"gene","STRING_id"
"AU040320","10090.ENSMUSP00000099667"
"AW554918","10090.ENSMUSP00000095248"
"Aacs","10090.ENSMUSP00000031445"
"Aagab","10090.ENSMUSP00000048595"
"Aak1","10090.ENSMUSP00000086948"
"Abca7","10090.ENSMUSP00000128121"
"Abcd1","10090.ENSMUSP00000002084"
"Abhd12","10090.ENSMUSP00000053558"
"Abhd14b","10090.ENSMUSP00000038755"
"Abhd4","10090.ENSMUSP00000044134"
"Acaca","10090.ENSMUSP00000099490"
"Acad9","10090.ENSMUSP00000011492"
"Ackr1","10090.ENSMUSP00000045134"
"Acly","10090.ENSMUSP00000103012"
"Aco1","10090.ENSMUSP00000100038"
"Acot2","10090.ENSMUSP00000021649"
"Acsl3","10090.ENSMUSP00000045291"
"Acss2","10090.ENSMUSP00000029135"
"Actr1a","10090.ENSMUSP00000039844"
"Adam10","10090.ENSMUSP00000063839"
"Adam17","10090.ENSMUSP00000099087"
"Adam9","10090.ENSMUSP00000146545"
"Adamts5","10090.ENSMUSP00000023611"
"Adamtsl1","10090.ENSMUSP00000102796"
"Adcy1","10090.ENSMUSP00000020706"
"Adcy8","10090.ENSMUSP00000023007"
"Adgrg6","10090.ENSMUSP00000043055"
"Afap1l2","10090.ENSMUSP00000107210"
"Aff1","10090.ENSMUSP00000031256"
"Agap3","10090.ENSMUSP00000024123"
"Ago2","10090.ENSMUSP00000042207"
"Agrn","10090.ENSMUSP00000137931"
"Agtpbp1","10090.ENSMUSP00000022040"
"Ahctf1","10090.ENSMUSP00000027768"
"Ahnak","10090.ENSMUSP00000090633"
"Ak5","10090.ENSMUSP00000042785"
"Akap11","10090.ENSMUSP00000022593"
"Akap12","10090.ENSMUSP00000035829"
"Akap13","10090.ENSMUSP00000129784"
"Akt3","10090.ENSMUSP00000106789"
"Aldh1a1","10090.ENSMUSP00000153410"
"Aldh2","10090.ENSMUSP00000031411"
"Aldoa","10090.ENSMUSP00000084846"
"Alg14","10090.ENSMUSP00000038387"
"Alkbh1","10090.ENSMUSP00000124565"
"Ambra1","10090.ENSMUSP00000049258"
"Amy1","10090.ENSMUSP00000070368"
"Anapc11","10090.ENSMUSP00000026128"
"Anapc16","10090.ENSMUSP00000020307"
"Anapc2","10090.ENSMUSP00000028341"
"Anapc5","10090.ENSMUSP00000083393"
"Ank3","10090.ENSMUSP00000138326"
"Ankfn1","10090.ENSMUSP00000049776"
"Ankhd1","10090.ENSMUSP00000123270"
"Ankrd11","10090.ENSMUSP00000095939"
"Ankrd12","10090.ENSMUSP00000039035"
"Ankrd13b","10090.ENSMUSP00000090568"
"Anks1","10090.ENSMUSP00000025058"
"Ano6","10090.ENSMUSP00000071770"
"Anxa1","10090.ENSMUSP00000025561"
"Anxa3","10090.ENSMUSP00000031447"
"Anxa7","10090.ENSMUSP00000066035"
"Ap2m1","10090.ENSMUSP00000007216"
"Ap3s2","10090.ENSMUSP00000075082"
"Aph1a","10090.ENSMUSP00000058846"
"Aplp2","10090.ENSMUSP00000072428"
"Apod","10090.ENSMUSP00000119827"
"Apoe","10090.ENSMUSP00000133302"
"Apopt1","10090.ENSMUSP00000131169"
"App","10090.ENSMUSP00000005406"
"Appbp2","10090.ENSMUSP00000018625"
"Appl1","10090.ENSMUSP00000042875"
"Arf3","10090.ENSMUSP00000050689"
"Arfgef1","10090.ENSMUSP00000085986"
"Arhgap1","10090.ENSMUSP00000106963"
"Arhgap12","10090.ENSMUSP00000138585"
"Arhgap17","10090.ENSMUSP00000102050"
"Arhgap24","10090.ENSMUSP00000092138"
"Arhgap28","10090.ENSMUSP00000024840"
"Arhgap31","10090.ENSMUSP00000023487"
"Arhgap35","10090.ENSMUSP00000075242"
"Arhgap42","10090.ENSMUSP00000091419"
"Arhgap5","10090.ENSMUSP00000151809"
"Arhgef10","10090.ENSMUSP00000081225"
"Arhgef10l","10090.ENSMUSP00000101425"
"Arhgef12","10090.ENSMUSP00000126598"
"Arhgef17","10090.ENSMUSP00000102647"
"Arhgef2","10090.ENSMUSP00000029694"
"Arhgef26","10090.ENSMUSP00000078281"
"Arhgef9","10090.ENSMUSP00000109510"
"Arid1a","10090.ENSMUSP00000101517"
"Arid4b","10090.ENSMUSP00000106163"
"Arid5b","10090.ENSMUSP00000151227"
"Arih1","10090.ENSMUSP00000126531"
"Arih2","10090.ENSMUSP00000013338"
"Arl3","10090.ENSMUSP00000026009"
"Arl6ip5","10090.ENSMUSP00000041503"
"Armc8","10090.ENSMUSP00000035043"
"Armcx3","10090.ENSMUSP00000084097"
"Arnt","10090.ENSMUSP00000099810"
"Arpc5","10090.ENSMUSP00000076933"
"Arrdc2","10090.ENSMUSP00000002989"
"Arrdc3","10090.ENSMUSP00000096957"
"Art3","10090.ENSMUSP00000113510"
"Arvcf","10090.ENSMUSP00000087562"
"Asah1","10090.ENSMUSP00000034000"
"Ascc2","10090.ENSMUSP00000063272"
"Aspa","10090.ENSMUSP00000139318"
"Asph","10090.ENSMUSP00000077273"
"Asxl1","10090.ENSMUSP00000105413"
"Asxl3","10090.ENSMUSP00000095260"
"Atf3","10090.ENSMUSP00000027941"
