"gene","STRING_id"
"Aacs","10090.ENSMUSP00000031445"
"Aatk","10090.ENSMUSP00000067181"
"Abca8b","10090.ENSMUSP00000020948"
"Abhd14b","10090.ENSMUSP00000038755"
"Acadl","10090.ENSMUSP00000027153"
"Acads","10090.ENSMUSP00000031524"
"Acadsb","10090.ENSMUSP00000015829"
"Aco1","10090.ENSMUSP00000100038"
"Acp6","10090.ENSMUSP00000088263"
"Acsl3","10090.ENSMUSP00000045291"
"Actr1b","10090.ENSMUSP00000047326"
"Adamtsl1","10090.ENSMUSP00000102796"
"Adck1","10090.ENSMUSP00000152821"
"Adcy1","10090.ENSMUSP00000020706"
"Adipor1","10090.ENSMUSP00000107856"
"Adprh","10090.ENSMUSP00000002923"
"Afap1","10090.ENSMUSP00000067779"
"Afap1l2","10090.ENSMUSP00000107210"
"Agrn","10090.ENSMUSP00000137931"
"Ahdc1","10090.ENSMUSP00000101536"
"Aifm2","10090.ENSMUSP00000078998"
"Akirin2","10090.ENSMUSP00000081322"
"Aldh1l1","10090.ENSMUSP00000114304"
"Aldh9a1","10090.ENSMUSP00000028004"
"Amotl2","10090.ENSMUSP00000035121"
"Amy1","10090.ENSMUSP00000070368"
"Anapc16","10090.ENSMUSP00000020307"
"Anapc2","10090.ENSMUSP00000028341"
"Angptl4","10090.ENSMUSP00000002360"
"Ank3","10090.ENSMUSP00000138326"
"Ankhd1","10090.ENSMUSP00000123270"
"Ankrd13b","10090.ENSMUSP00000090568"
"Ankrd13c","10090.ENSMUSP00000038662"
"Ankrd17","10090.ENSMUSP00000014421"
"Ankrd52","10090.ENSMUSP00000014642"
"Ano8","10090.ENSMUSP00000091157"
"Antxr2","10090.ENSMUSP00000031281"
"Anxa2","10090.ENSMUSP00000034756"
"Anxa3","10090.ENSMUSP00000031447"
"Ap1s1","10090.ENSMUSP00000106709"
"Ap2m1","10090.ENSMUSP00000007216"
"Apod","10090.ENSMUSP00000119827"
"Appbp2","10090.ENSMUSP00000018625"
"Appl2","10090.ENSMUSP00000020500"
"Arfgef2","10090.ENSMUSP00000096677"
"Arhgef1","10090.ENSMUSP00000096280"
"Arhgef2","10090.ENSMUSP00000029694"
"Arhgef26","10090.ENSMUSP00000078281"
"Arhgef37","10090.ENSMUSP00000130560"
"Arid1b","10090.ENSMUSP00000111463"
"Arih2","10090.ENSMUSP00000013338"
"Arl6ip4","10090.ENSMUSP00000031351"
"Arpc1b","10090.ENSMUSP00000082822"
"Arrb1","10090.ENSMUSP00000095866"
"Art3","10090.ENSMUSP00000113510"
"Ascc2","10090.ENSMUSP00000063272"
"Atf3","10090.ENSMUSP00000027941"
"Atg13","10090.ENSMUSP00000076081"
"Atp13a3","10090.ENSMUSP00000128224"
"Atp2a2","10090.ENSMUSP00000031423"
"Atp6ap1","10090.ENSMUSP00000019231"
"Atp6v0d1","10090.ENSMUSP00000013304"
"Atp6v0e","10090.ENSMUSP00000127552"
"Atp6v1h","10090.ENSMUSP00000040756"
"Atraid","10090.ENSMUSP00000013766"
"Atrnl1","10090.ENSMUSP00000076514"
"Axin2","10090.ENSMUSP00000051331"
"B2m","10090.ENSMUSP00000099534"
"B4galnt1","10090.ENSMUSP00000006914"
"Babam2","10090.ENSMUSP00000069133"
"Baz1b","10090.ENSMUSP00000002825"
"Bcar3","10090.ENSMUSP00000029766"
"Bckdhb","10090.ENSMUSP00000139684"
"Bcl9","10090.ENSMUSP00000046152"
"Becn1","10090.ENSMUSP00000119369"
"Bloc1s6","10090.ENSMUSP00000005954"
"Bmp7","10090.ENSMUSP00000009143"
"Bod1l","10090.ENSMUSP00000058618"
"Brms1l","10090.ENSMUSP00000082500"
"Brpf1","10090.ENSMUSP00000108744"
"Brwd1","10090.ENSMUSP00000097101"
"C1s1","10090.ENSMUSP00000125531"
"C77080","10090.ENSMUSP00000062395"
"Cabin1","10090.ENSMUSP00000001712"
"Cacna1c","10090.ENSMUSP00000108413"
"Cacna2d1","10090.ENSMUSP00000049457"
"Cacnb3","10090.ENSMUSP00000155514"
"Cadm3","10090.ENSMUSP00000106851"
"Cadm4","10090.ENSMUSP00000066880"
"Camk2d","10090.ENSMUSP00000143677"
"Capn2","10090.ENSMUSP00000068895"
"Capn7","10090.ENSMUSP00000022451"
"Capns1","10090.ENSMUSP00000001845"
"Card10","10090.ENSMUSP00000129513"
"Carns1","10090.ENSMUSP00000131624"
"Cars","10090.ENSMUSP00000010899"
"Caskin2","10090.ENSMUSP00000041328"
"Casq1","10090.ENSMUSP00000003554"
"Cast","10090.ENSMUSP00000065275"
"Cav1","10090.ENSMUSP00000007799"
"Cav2","10090.ENSMUSP00000000058"
"Cavin3","10090.ENSMUSP00000044979"
"Cc2d1a","10090.ENSMUSP00000046449"
"Cc2d1b","10090.ENSMUSP00000030320"
"Ccar2","10090.ENSMUSP00000036924"
"Ccdc159","10090.ENSMUSP00000126474"
"Ccdc28a","10090.ENSMUSP00000079671"
"Ccdc59","10090.ENSMUSP00000020049"
"Ccdc93","10090.ENSMUSP00000043442"
"Ccm2","10090.ENSMUSP00000000388"
"Ccn1","10090.ENSMUSP00000029846"
"Ccnl1","10090.ENSMUSP00000029416"
"Cd200","10090.ENSMUSP00000130518"
"Cd63","10090.ENSMUSP00000151313"
"Cd9","10090.ENSMUSP00000032492"
"Cdc42ep1","10090.ENSMUSP00000060930"
"Cdc42se1","10090.ENSMUSP00000052986"
"Cdc42se2","10090.ENSMUSP00000070725"
"Cdk16","10090.ENSMUSP00000033380"
"Cdk9","10090.ENSMUSP00000009699"
"Cds2","10090.ENSMUSP00000099470"
"Cep104","10090.ENSMUSP00000040762"
"Cep164","10090.ENSMUSP00000114053"
"Cep295nl","10090.ENSMUSP00000099313"
"Cep63","10090.ENSMUSP00000091306"
"Cfap100","10090.ENSMUSP00000126515"
"Cgrrf1","10090.ENSMUSP00000070548"
"Chfr","10090.ENSMUSP00000108138"
"Chp2","10090.ENSMUSP00000033152"
"Chpf2","10090.ENSMUSP00000085633"
"Chst2","10090.ENSMUSP00000040775"
"Cic","10090.ENSMUSP00000132351"
"Cirbp","10090.ENSMUSP00000101004"
"Ciz1","10090.ENSMUSP00000108960"
"Ckb","10090.ENSMUSP00000001304"
"Clasp2","10090.ENSMUSP00000130201"
"Clasrp","10090.ENSMUSP00000083205"
"Clcn4","10090.ENSMUSP00000000619"
"Clic4","10090.ENSMUSP00000041453"
"Clip3","10090.ENSMUSP00000014065"
"Clk3","10090.ENSMUSP00000067341"
"Clptm1","10090.ENSMUSP00000051293"
"Clstn1","10090.ENSMUSP00000036962"
"Cltb","10090.ENSMUSP00000053371"
"Cluap1","10090.ENSMUSP00000043397"
"Cmtm5","10090.ENSMUSP00000036138"
"Cnn3","10090.ENSMUSP00000029773"
"Coasy","10090.ENSMUSP00000102929"
"Col15a1","10090.ENSMUSP00000099981"
"Col1a1","10090.ENSMUSP00000001547"
"Col1a2","10090.ENSMUSP00000031668"
"Col23a1","10090.ENSMUSP00000099826"
"Col24a1","10090.ENSMUSP00000029848"
"Col26a1","10090.ENSMUSP00000052095"
"Col4a1","10090.ENSMUSP00000033898"
"Col4a2","10090.ENSMUSP00000033899"
"Col5a1","10090.ENSMUSP00000028280"
"Col5a3","10090.ENSMUSP00000004201"
"Col7a1","10090.ENSMUSP00000107701"
"Col9a2","10090.ENSMUSP00000030372"
"Comt","10090.ENSMUSP00000130077"
"Comtd1","10090.ENSMUSP00000119330"
"Cops7b","10090.ENSMUSP00000113587"
"Coq2","10090.ENSMUSP00000031262"
"Cox5a","10090.ENSMUSP00000000090"
"Cox8a","10090.ENSMUSP00000040717"
"Cpt1c","10090.ENSMUSP00000069539"
"Crebbp","10090.ENSMUSP00000023165"
"Crebzf","10090.ENSMUSP00000050972"
"Crlf3","10090.ENSMUSP00000060028"
"Crtc1","10090.ENSMUSP00000075916"
"Crtc3","10090.ENSMUSP00000113540"
"Cry2","10090.ENSMUSP00000088047"
"Cryab","10090.ENSMUSP00000149803"
"Cspg4","10090.ENSMUSP00000038909"
"Ctdsp2","10090.ENSMUSP00000100891"
"Ctnnal1","10090.ENSMUSP00000036487"
"Ctsa","10090.ENSMUSP00000099381"
"Cttn","10090.ENSMUSP00000099368"
"Cyb5r1","10090.ENSMUSP00000027726"
"Cyld","10090.ENSMUSP00000147654"
"Cyp4f13","10090.ENSMUSP00000074733"
"Cyth1","10090.ENSMUSP00000101909"
"Czib","10090.ENSMUSP00000119565"
"Dab2ip","10090.ENSMUSP00000088532"
"Dagla","10090.ENSMUSP00000046358"
"Dbn1","10090.ENSMUSP00000021950"
"Dbp","10090.ENSMUSP00000079693"
"Dclk2","10090.ENSMUSP00000029719"
"Ddit4","10090.ENSMUSP00000020308"
"Ddx5","10090.ENSMUSP00000021062"
"Depdc7","10090.ENSMUSP00000028595"
"Dhh","10090.ENSMUSP00000023737"
"Diaph2","10090.ENSMUSP00000039334"
"Dnajc21","10090.ENSMUSP00000116865"
"Dnajc3","10090.ENSMUSP00000022734"
"Dnm1l","10090.ENSMUSP00000155155"
"Dock6","10090.ENSMUSP00000149156"
"Dock9","10090.ENSMUSP00000047881"
"Dpysl4","10090.ENSMUSP00000026551"
"Drg1","10090.ENSMUSP00000020741"
"Dtd1","10090.ENSMUSP00000028917"
"Dtnbp1","10090.ENSMUSP00000072170"
"Dtymk","10090.ENSMUSP00000027503"
"Dusp6","10090.ENSMUSP00000020118"
"Dync1h1","10090.ENSMUSP00000018851"
"Ecscr","10090.ENSMUSP00000095223"
"Edf1","10090.ENSMUSP00000015236"
"Eef1a1","10090.ENSMUSP00000042457"
"Efr3b","10090.ENSMUSP00000106809"
"Efs","10090.ENSMUSP00000022813"
"Egln2","10090.ENSMUSP00000078966"
"Elmod2","10090.ENSMUSP00000137044"
"Emc1","10090.ENSMUSP00000137103"
"Emc10","10090.ENSMUSP00000159045"
"Emc7","10090.ENSMUSP00000068610"
"Eml2","10090.ENSMUSP00000112491"
"Emp1","10090.ENSMUSP00000145069"
"Eno2","10090.ENSMUSP00000004378"
"Entpd7","10090.ENSMUSP00000079864"
"Entr1","10090.ENSMUSP00000109737"
"Epb41l2","10090.ENSMUSP00000055122"
"Epb41l4b","10090.ENSMUSP00000030142"
"Epm2aip1","10090.ENSMUSP00000052904"
"Eps8l1","10090.ENSMUSP00000125840"
"Erf","10090.ENSMUSP00000041912"
"Etfb","10090.ENSMUSP00000004729"
"Etnk1","10090.ENSMUSP00000032413"
"Etnppl","10090.ENSMUSP00000072121"
"Evi5","10090.ENSMUSP00000108261"
"Exoc5","10090.ENSMUSP00000125434"
"F3","10090.ENSMUSP00000029771"
"Fads6","10090.ENSMUSP00000058783"
"Faim","10090.ENSMUSP00000108532"
"Fam171a1","10090.ENSMUSP00000110751"
"Fam234a","10090.ENSMUSP00000110639"
"Fbh1","10090.ENSMUSP00000071495"
"Fbln5","10090.ENSMUSP00000021603"
"Fbn1","10090.ENSMUSP00000099524"
"Fbxl12","10090.ENSMUSP00000119124"
"Fbxl19","10090.ENSMUSP00000033081"
"Fbxo27","10090.ENSMUSP00000103916"
"Fbxo7","10090.ENSMUSP00000120840"
"Fgf1","10090.ENSMUSP00000045710"
"Fignl2","10090.ENSMUSP00000150618"
"Filip1","10090.ENSMUSP00000091329"
"Fkbp2","10090.ENSMUSP00000136438"
"Fkbp8","10090.ENSMUSP00000114069"
"Flywch1","10090.ENSMUSP00000040022"
"Fnip2","10090.ENSMUSP00000075497"
"Fntb","10090.ENSMUSP00000035498"
"Foxo4","10090.ENSMUSP00000059420"
"Foxred1","10090.ENSMUSP00000038924"
"Frmd3","10090.ENSMUSP00000081514"
"Frs2","10090.ENSMUSP00000020381"
"Fscn1","10090.ENSMUSP00000031565"
"Fth1","10090.ENSMUSP00000158539"
"Fundc1","10090.ENSMUSP00000026016"
"Fus","10090.ENSMUSP00000101858"
"Fxyd3","10090.ENSMUSP00000130245"
"G3bp2","10090.ENSMUSP00000128353"
"G6pc3","10090.ENSMUSP00000077995"
"Gaa","10090.ENSMUSP00000101866"
"Galnt1","10090.ENSMUSP00000132142"
"Gar1","10090.ENSMUSP00000029643"
"Gask1b","10090.ENSMUSP00000114093"
"Gatd3a","10090.ENSMUSP00000001242"
"Gcn1","10090.ENSMUSP00000069432"
"Gdpd3","10090.ENSMUSP00000032944"
"Gjc3","10090.ENSMUSP00000076367"
"Gldn","10090.ENSMUSP00000056080"
"Glod4","10090.ENSMUSP00000017430"
"Glt8d1","10090.ENSMUSP00000022476"
"Gng2","10090.ENSMUSP00000125697"
"Gnl2","10090.ENSMUSP00000030684"
"Gnptab","10090.ENSMUSP00000020251"
"Golga2","10090.ENSMUSP00000097768"
"Gpbp1l1","10090.ENSMUSP00000030460"
"Gpr37l1","10090.ENSMUSP00000027682"
"Gpsm2","10090.ENSMUSP00000029482"
"Gpt","10090.ENSMUSP00000023203"
"Gpt2","10090.ENSMUSP00000034136"
"Gria3","10090.ENSMUSP00000075687"
"Grk2","10090.ENSMUSP00000086114"
"Grk4","10090.ENSMUSP00000001112"
"Grk6","10090.ENSMUSP00000001115"
"Grn","10090.ENSMUSP00000046340"
"Gtf3c1","10090.ENSMUSP00000056719"
"Gtpbp2","10090.ENSMUSP00000024748"
"Guf1","10090.ENSMUSP00000084480"
"H2-K1","10090.ENSMUSP00000025181"
"Heatr5b","10090.ENSMUSP00000094882"
"Hectd4","10090.ENSMUSP00000048345"
"Hepacam","10090.ENSMUSP00000054105"
"Herpud1","10090.ENSMUSP00000124201"
