"Term","n_celltypes","celltypes","mean_neg_log10_padj","max_neg_log10_padj","category"
"response to steroid hormone",2,"majorSC, mySC",2.11496959801144,2.70163877369035,"Partially shared"
"regulation of neuron differentiation",1,"mySC",1.70263904100847,1.70263904100847,"Cell-type-specific"
"cellular response to aldehyde",1,"majorSC",1.50487716632423,1.50487716632423,"Cell-type-specific"
"response to glucocorticoid",1,"majorSC",1.50487716632423,1.50487716632423,"Cell-type-specific"
"response to corticosteroid",1,"majorSC",1.4951512092919,1.4951512092919,"Cell-type-specific"
"action potential propagation",1,"mySC",1.33985895138399,1.33985895138399,"Cell-type-specific"
"axon ensheathment",1,"mySC",1.33985895138399,1.33985895138399,"Cell-type-specific"
"bone trabecula formation",1,"mySC",1.33985895138399,1.33985895138399,"Cell-type-specific"
"cell-cell adhesion involved in gastrulation",1,"mySC",1.33985895138399,1.33985895138399,"Cell-type-specific"
"cell-cell adhesion via plasma-membrane adhesion molecules",1,"mySC",1.33985895138399,1.33985895138399,"Cell-type-specific"
"collagen-activated tyrosine kinase receptor signaling pathway",1,"mySC",1.33985895138399,1.33985895138399,"Cell-type-specific"
"determination of dorsal identity",1,"mySC",1.33985895138399,1.33985895138399,"Cell-type-specific"
"determination of dorsal/ventral asymmetry",1,"mySC",1.33985895138399,1.33985895138399,"Cell-type-specific"
"ensheathment of neurons",1,"mySC",1.33985895138399,1.33985895138399,"Cell-type-specific"
"extracellular negative regulation of signal transduction",1,"mySC",1.33985895138399,1.33985895138399,"Cell-type-specific"
"extracellular regulation of signal transduction",1,"mySC",1.33985895138399,1.33985895138399,"Cell-type-specific"
"myelination",1,"mySC",1.33985895138399,1.33985895138399,"Cell-type-specific"
"negative regulation of cell projection organization",1,"mySC",1.33985895138399,1.33985895138399,"Cell-type-specific"
"negative regulation of heterotypic cell-cell adhesion",1,"mySC",1.33985895138399,1.33985895138399,"Cell-type-specific"
"neuronal action potential propagation",1,"mySC",1.33985895138399,1.33985895138399,"Cell-type-specific"
"positive regulation of neuron differentiation",1,"mySC",1.33985895138399,1.33985895138399,"Cell-type-specific"
"regulation of cell-cell adhesion involved in gastrulation",1,"mySC",1.33985895138399,1.33985895138399,"Cell-type-specific"
"regulation of microvillus assembly",1,"mySC",1.33985895138399,1.33985895138399,"Cell-type-specific"
"response to vitamin E",1,"mySC",1.33985895138399,1.33985895138399,"Cell-type-specific"
"retinal pigment epithelium development",1,"mySC",1.33985895138399,1.33985895138399,"Cell-type-specific"
"sensory perception of light stimulus",1,"mySC",1.33985895138399,1.33985895138399,"Cell-type-specific"
"sensory perception of sound",1,"mySC",1.33985895138399,1.33985895138399,"Cell-type-specific"
"sequestering of extracellular ligand from receptor",1,"mySC",1.33985895138399,1.33985895138399,"Cell-type-specific"
"skin morphogenesis",1,"mySC",1.33985895138399,1.33985895138399,"Cell-type-specific"
"visual perception",1,"mySC",1.33985895138399,1.33985895138399,"Cell-type-specific"
"negative regulation of cell adhesion",1,"mySC",1.31664018326383,1.31664018326383,"Cell-type-specific"
"negative regulation of cell migration",1,"mySC",1.31664018326383,1.31664018326383,"Cell-type-specific"
"positive regulation of chemokine (C-X-C motif) ligand 2 production",1,"mySC",1.31664018326383,1.31664018326383,"Cell-type-specific"
"sensory perception of mechanical stimulus",1,"mySC",1.31664018326383,1.31664018326383,"Cell-type-specific"
"collagen-activated signaling pathway",1,"mySC",1.31658951023112,1.31658951023112,"Cell-type-specific"
"negative regulation of cell motility",1,"mySC",1.31658951023112,1.31658951023112,"Cell-type-specific"
"response to hyperoxia",1,"mySC",1.31658951023112,1.31658951023112,"Cell-type-specific"
"bone trabecula morphogenesis",1,"mySC",1.3129456315937,1.3129456315937,"Cell-type-specific"
"microvillus assembly",1,"mySC",1.3129456315937,1.3129456315937,"Cell-type-specific"
"negative regulation of leukocyte chemotaxis",1,"mySC",1.3129456315937,1.3129456315937,"Cell-type-specific"
"negative regulation of locomotion",1,"mySC",1.3129456315937,1.3129456315937,"Cell-type-specific"
"regulation of microvillus organization",1,"mySC",1.3129456315937,1.3129456315937,"Cell-type-specific"
