"Term","n_celltypes","celltypes","mean_neg_log10_padj","max_neg_log10_padj","category"
"cell adhesion",2,"majorSC, mySC",2.87251985706048,3.00665745918635,"Partially shared"
"response to steroid hormone",2,"majorSC, mySC",2.42840123680814,3.00665745918635,"Partially shared"
"response to endogenous stimulus",2,"majorSC, mySC",2.3317906564193,2.81343629840867,"Partially shared"
"system development",2,"majorSC, mySC",2.30139233690076,3.00665745918635,"Partially shared"
"multicellular organism development",2,"majorSC, mySC",2.26278568709845,3.00665745918635,"Partially shared"
"cell migration",2,"majorSC, mySC",2.00979979658219,2.16945457873445,"Partially shared"
"cell motility",2,"majorSC, mySC",1.88395496038661,1.91776490634329,"Partially shared"
"response to hormone",2,"majorSC, mySC",1.83779677244688,2.1915884228783,"Partially shared"
"cellular component organization",2,"majorSC, mySC",1.83507398963207,2.1915884228783,"Partially shared"
"cellular component organization or biogenesis",2,"majorSC, mySC",1.81740978991841,2.17721506020548,"Partially shared"
"response to lipid",2,"majorSC, mySC",1.80291906235532,2.15259285669061,"Partially shared"
"cellular response to vitamin E",2,"majorSC, mySC",1.77095853266187,1.85014501442993,"Partially shared"
"negative regulation of microvillus assembly",2,"majorSC, mySC",1.77095853266187,1.85014501442993,"Partially shared"
"negative regulation of thyroid gland epithelial cell proliferation",2,"majorSC, mySC",1.77095853266187,1.85014501442993,"Partially shared"
"regulation of cell migration",2,"majorSC, mySC",1.77095853266187,1.85014501442993,"Partially shared"
"regulation of neuron differentiation",2,"majorSC, mySC",1.77095853266187,1.85014501442993,"Partially shared"
"regulation of thyroid gland epithelial cell proliferation",2,"majorSC, mySC",1.77095853266187,1.85014501442993,"Partially shared"
"thyroid gland epithelial cell proliferation",2,"majorSC, mySC",1.77095853266187,1.85014501442993,"Partially shared"
"regulation of cell motility",2,"majorSC, mySC",1.76139943469104,1.85014501442993,"Partially shared"
"regulation of cell differentiation",2,"majorSC, mySC",1.75545087049281,1.85014501442993,"Partially shared"
"regulation of locomotion",2,"majorSC, mySC",1.73167262914362,1.80258853173156,"Partially shared"
"neuron differentiation",2,"majorSC, mySC",1.63439053478366,1.67265385495215,"Partially shared"
"generation of neurons",2,"majorSC, mySC",1.62844197058543,1.66075672655569,"Partially shared"
"locomotion",2,"majorSC, mySC",1.59247100478681,1.6454082350625,"Partially shared"
"nervous system development",2,"majorSC, mySC",1.58868352029198,1.87386655863383,"Partially shared"
"cell-cell adhesion via plasma-membrane adhesion molecules",2,"majorSC, mySC",1.58311969011787,1.66075672655569,"Partially shared"
"neuron projection morphogenesis",2,"majorSC, mySC",1.57764060107464,1.59612721461517,"Partially shared"
"negative regulation of developmental process",2,"majorSC, mySC",1.5687442581614,1.67265385495215,"Partially shared"
"cell projection morphogenesis",2,"majorSC, mySC",1.56783049456314,1.59612721461517,"Partially shared"
"negative regulation of cell differentiation",2,"majorSC, mySC",1.56783049456314,1.59612721461517,"Partially shared"
"plasma membrane bounded cell projection morphogenesis",2,"majorSC, mySC",1.56783049456314,1.59612721461517,"Partially shared"
"regulation of developmental process",2,"majorSC, mySC",1.56783049456314,1.59612721461517,"Partially shared"
"regulation of cell adhesion",2,"majorSC, mySC",1.55610469630196,1.59609813686939,"Partially shared"
"positive regulation of neuron differentiation",2,"majorSC, mySC",1.55365657295577,1.6454082350625,"Partially shared"
"negative regulation of cell adhesion",2,"majorSC, mySC",1.53534961316608,1.60586456496151,"Partially shared"
"regulation of signal transduction",2,"majorSC, mySC",1.52659466250974,1.59612721461517,"Partially shared"
"neurogenesis",2,"majorSC, mySC",1.51197164875824,1.51846064383644,"Partially shared"
"positive regulation of cellular process",2,"majorSC, mySC",1.50316555145715,1.59612721461517,"Partially shared"
"regulation of cell communication",2,"majorSC, mySC",1.49047295855259,1.51611125573452,"Partially shared"
"regulation of signaling",2,"majorSC, mySC",1.49047295855259,1.51611125573452,"Partially shared"
"visual perception",2,"majorSC, mySC",1.48501456684713,1.59612721461517,"Partially shared"
"cell-cell adhesion",2,"majorSC, mySC",1.48127238204218,1.50548265368005,"Partially shared"
"sensory perception of light stimulus",2,"majorSC, mySC",1.47853248194524,1.59612721461517,"Partially shared"
"positive regulation of cell differentiation",2,"majorSC, mySC",1.46351116151605,1.50509228285146,"Partially shared"
"plasma membrane bounded cell projection organization",2,"majorSC, mySC",1.46323947767204,1.59612721461517,"Partially shared"
"cell projection organization",2,"majorSC, mySC",1.45845936989349,1.59609813686939,"Partially shared"
"axon ensheathment",2,"majorSC, mySC",1.45133792168596,1.59612721461517,"Partially shared"
"ensheathment of neurons",2,"majorSC, mySC",1.45133792168596,1.59612721461517,"Partially shared"
"myelination",2,"majorSC, mySC",1.45133792168596,1.59612721461517,"Partially shared"
"positive regulation of biological process",2,"majorSC, mySC",1.45133792168596,1.59612721461517,"Partially shared"
"cellular response to endogenous stimulus",2,"majorSC, mySC",1.43190981359023,1.53953377451111,"Partially shared"
"response to oxygen levels",2,"majorSC, mySC",1.39328993694157,1.46176054322032,"Partially shared"
"cell morphogenesis",2,"majorSC, mySC",1.38703293546881,1.45324526802004,"Partially shared"
"anatomical structure development",1,"majorSC",2.1915884228783,2.1915884228783,"Cell-type-specific"
"anatomical structure morphogenesis",1,"majorSC",2.17721506020548,2.17721506020548,"Cell-type-specific"
"cellular response to aldehyde",1,"majorSC",2.06777266621352,2.06777266621352,"Cell-type-specific"
"developmental process",1,"majorSC",2.06777266621352,2.06777266621352,"Cell-type-specific"
"response to glucocorticoid",1,"majorSC",1.96489867078361,1.96489867078361,"Cell-type-specific"
"animal organ development",1,"majorSC",1.91776490634329,1.91776490634329,"Cell-type-specific"
"response to corticosteroid",1,"majorSC",1.9094152231906,1.9094152231906,"Cell-type-specific"
