"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","mmu04064","NF-kappa B signaling pathway","30/693","107/10644",0.280373831775701,4.30634785774973,9.07083417093496,3.68683742759216e-12,1.21665635110541e-09,8.92602745627576e-10,"14825/15894/17873/19225/12044/13197/18035/20310/21929/11796/17096/22637/17060/19698/16818/18034/108723/21898/16176/12042/12675/18761/16177/50930/18033/18792/21947/245527/18751/23882",30
"Environmental Information Processing","Signal transduction","mmu04668","TNF signaling pathway","31/693","118/10644",0.26271186440678,4.03507227236041,8.74870239169814,1.04795036078426e-11,1.72911809529402e-09,1.26857148937042e-09,"14825/15894/20339/16193/19225/12702/18035/20293/12608/16477/26427/20310/21929/16182/16362/67457/26410/11796/12051/17392/231991/74568/16878/20297/26397/16176/12675/20311/29857/18033/21938",31
"Organismal Systems","Development and regeneration","mmu04380","Osteoclast differentiation","32/693","136/10644",0.235294117647059,3.6139546727782,8.09604213657649,1.13157484573735e-10,1.24473233031109e-08,9.13200752700321e-09,"246256/14283/18733/14284/12702/18035/232801/16477/320832/17969/17970/18019/17060/19698/16818/18034/16478/15980/232790/16176/16175/12675/20375/29857/14131/16177/17972/18033/12703/15979/16822/14282",32
"Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction","49/693","294/10644",0.166666666666667,2.55988455988456,7.15749799296319,7.94102133230155e-10,6.55134259914878e-08,4.80640764849831e-08,"12765/12985/227288/14825/16178/12986/16193/12156/27279/18413/20293/12771/20310/16174/16182/16181/16180/107527/56744/12983/12767/320100/56708/16196/16162/16878/58181/20297/16185/15980/12163/16176/16175/16172/16190/20311/238057/16177/16194/12803/50930/15979/16323/21938/21947/245527/269275/11479/16156",49
"Human Diseases","Infectious disease: bacterial","mmu05152","Tuberculosis","35/693","180/10644",0.194444444444444,2.98653198653199,7.09329847462431,3.7958292119935e-09,2.50524727991571e-07,1.83798046054422e-07,"246256/56619/16193/12608/12265/13063/12795/13115/24088/271457/12796/192656/170780/15510/20698/15980/21898/15526/16176/16175/18779/12042/15001/15000/56644/12323/29857/14131/12721/114143/18033/15979/108960/13040/21897",35
"Human Diseases","Infectious disease: parasitic","mmu05140","Leishmaniasis","20/693","70/10644",0.285714285714286,4.38837353123067,7.50560893770477,1.04834655911642e-08,4.96792081316311e-07,3.6447265933892e-07,"246256/19225/18035/17969/17970/24088/17357/18036/15980/21898/16176/16175/15001/15000/29857/14131/17972/18033/15979/18751",20
"Organismal Systems","Immune system","mmu04657","IL-17 signaling pathway","24/693","98/10644",0.244897959183673,3.76146302676915,7.24725716739214,1.05380138461036e-08,4.96792081316311e-07,3.6447265933892e-07,"12985/14825/14283/16193/19225/20201/18035/20293/12608/20310/21929/16819/17392/16478/74180/56489/20297/16176/16172/12675/20311/29857/18033/14282",24
"Human Diseases","Infectious disease: parasitic","mmu05145","Toxoplasmosis","25/693","109/10644",0.229357798165138,3.52277691727233,6.98618549849239,2.17230202453552e-08,8.96074585120901e-07,6.57407191635749e-07,"18035/12265/13063/24088/16835/11796/104709/11689/26397/18036/15980/21898/14679/12675/320207/105675/15001/15000/329581/29857/18033/12703/15979/16780/21947",25
"Organismal Systems","Immune system","mmu04659","Th17 cell differentiation","24/693","105/10644",0.228571428571429,3.51069882498454,6.82267763661273,4.4628937491173e-08,1.63639437467634e-06,1.20054451730641e-06,"16193/18035/16180/18019/22637/16818/14462/16185/18036/15980/16176/12675/16190/15001/15000/18761/15251/29857/16177/16194/18033/12503/15979/12502",24
"Organismal Systems","Immune system","mmu04625","C-type lectin receptor signaling pathway","24/693","112/10644",0.214285714285714,3.29128014842301,6.43275578139753,1.64814433376256e-07,5.43887630141645e-06,3.99024417647778e-06,"56619/16193/19225/18035/17474/216799/12795/16362/18019/12051/19698/17164/170780/18034/13655/56489/16176/12042/12675/56644/29857/56760/69810/18033",24
"Human Diseases","Cancer: overview","mmu05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","20/693","88/10644",0.227272727272727,3.49075167256985,6.19137859217528,6.53209186680325e-07,1.95962756004098e-05,1.43768529125813e-05,"18035/381319/24088/18019/22637/16818/60533/26397/18036/15980/21898/12675/18761/15251/53314/29857/18033/12503/15979/12502",20
"Organismal Systems","Immune system","mmu04640","Hematopoietic cell lineage","20/693","94/10644",0.212765957446809,3.26793773602284,5.82819547669308,1.98133697666447e-06,5.4486766858273e-05,3.99743425116517e-05,"12985/16178/12986/16193/13136/22042/16196/14128/16176/16175/16402/16190/15001/15000/16177/16194/12502/12481/14256/16156",20
"Organismal Systems","Immune system","mmu04658","Th1 and Th2 cell differentiation","19/693","88/10644",0.215909090909091,3.31621408894136,5.75752231067272,2.82728705111562e-06,7.17695943744734e-05,5.26539288871735e-05,"18035/18019/22637/16818/16162/14462/16185/18036/15980/12675/16190/15001/15000/18761/29857/18033/12503/15979/12502",19
"Cellular Processes","Transport and catabolism","mmu04145","Phagosome","29/693","183/10644",0.158469945355191,2.43398859792302,5.16356831528175,6.74493592687881e-06,0.000158711957555331,0.000116439394697691,"246256/17969/17970/24088/22042/271457/545486/67951/21354/22151/227613/22145/170780/21898/11966/18779/16402/15001/15000/22146/56644/14131/12721/17972/17195/114143/14991/13040/17523",29
"Human Diseases","Immune disease","mmu05321","Inflammatory bowel disease","15/693","62/10644",0.241935483870968,3.71596145789694,5.65979699200297,7.2141798888787e-06,0.000158711957555331,0.000116439394697691,"16193/16174/16182/24088/16162/14462/15980/21898/16176/16175/16190/15001/15000/18033/15979",15
"Organismal Systems","Immune system","mmu04062","Chemokine signaling pathway","30/693","194/10644",0.154639175257732,2.3751506225733,5.10103466401952,7.76641318116195e-06,0.000160182271861465,0.000117518094188635,"12765/227288/14825/18035/20293/12771/14191/20310/17969/56744/17096/104709/14707/277360/12767/15162/56484/22376/20297/18036/14679/12675/320207/20311/14695/216869/19354/271849/18033/18751",30
"Human Diseases","Immune disease","mmu05323","Rheumatoid arthritis","18/693","87/10644",0.206896551724138,3.17778772951187,5.38232845948518,9.69934953715332e-06,0.000183922369748404,0.00013493507190473,"14825/15894/16193/20293/20310/24088/17392/22339/20297/21898/11966/16176/16175/15001/15000/20311/114143/16156",18
"Environmental Information Processing","Signal transduction","mmu04010","MAPK signaling pathway","40/693","299/10644",0.133779264214047,2.05475683736553,4.88188990674807,1.00321292590039e-05,0.000183922369748404,0.00013493507190473,"17873/17869/13197/240672/12290/19252/13874/16180/16002/26410/11839/233046/15370/19417/19698/17164/26411/21802/18034/16478/20111/22339/26397/16176/16175/12675/19099/12531/16000/29857/216869/16177/19354/26404/13640/18033/58231/18751/14256/23882",40
"Human Diseases","Cardiovascular disease","mmu05417","Lipid and atherosclerosis","32/693","217/10644",0.147465437788018,2.26496698386099,4.96814949769765,1.07302391352771e-05,0.000186367311296917,0.000136728808925968,"14825/15894/20339/16193/18035/20293/20310/13063/17969/20656/216799/17970/24088/54123/18019/16835/17096/17392/15510/56489/13665/26397/78943/21898/16176/12675/12323/29857/17972/18033/238055/21947",32
"Human Diseases","Infectious disease: viral","mmu05169","Epstein-Barr virus infection","33/693","229/10644",0.14410480349345,2.21334996880848,4.89823336905747,1.28450760574815e-05,0.000211943754948445,0.000155493025958987,"12575/15894/17873/17869/16193/12427/13197/18035/13063/21929/27401/24088/54123/21354/17096/12566/17060/19698/18034/56489/26397/18036/14128/12675/15001/15000/13557/29857/18033/12503/12502/14991/23882",33
"Human Diseases","Infectious disease: bacterial","mmu05135","Yersinia infection","23/693","136/10644",0.169117647058824,2.59752992105933,4.94793184060523,2.06071866145101e-05,0.000323827218228016,0.000237576587535706,"16193/54483/18035/20293/216799/18019/74192/268973/22637/16818/20111/22376/26397/21898/16176/16402/12675/29857/14131/19354/56212/18033/16822",23
"Human Diseases","Cancer: specific types","mmu05222","Small cell lung cancer","18/693","94/10644",0.191489361702128,2.94114396242056,4.98839376482584,2.95396335778549e-05,0.000443094503667823,0.000325077307316106,"12575/17873/17869/19225/13197/18035/13063/27401/11796/12566/12675/329581/13557/12829/66197/18033/16780/23882",18
"Environmental Information Processing","Signaling molecules and interaction","mmu04061","Viral protein interaction with cytokine and cytokine receptor","18/693","95/10644",0.189473684210526,2.91018455228982,4.9351092399412,3.42750409634215e-05,0.000491772326866483,0.000360789904878121,"12765/227288/14825/16193/20293/12771/20310/16174/16182/56744/12767/58181/20297/16185/20311/16194/50930/21938",18
"Organismal Systems","Immune system","mmu04621","NOD-like receptor signaling pathway","31/693","220/10644",0.140909090909091,2.16426603699331,4.60480933938893,3.65110059916643e-05,0.000502026332385384,0.000368312779740473,"14825/16193/101613/59027/54483/18035/20293/378425/20310/21929/216799/12796/54123/55991/11796/57436/268973/192656/56489/106512/12363/28240/18036/21898/16176/12675/29857/22166/18033/15951/383619",31
"Environmental Information Processing","Signal transduction","mmu04068","FoxO signaling pathway","22/693","133/10644",0.165413533834586,2.5406373075546,4.71812560150796,4.40707755236092e-05,0.000581734236911642,0.000426790668228637,"12575/17873/16193/20393/13197/13611/26556/20656/12795/27401/57436/12581/12566/384783/56484/12675/16000/29857/18534/58231/216439/23882",22
"Human Diseases","Infectious disease: viral","mmu05167","Kaposi sarcoma-associated herpesvirus infection","31/693","224/10644",0.138392857142857,2.12561842918986,4.49310564266935,5.18750013480599e-05,0.000658413478648452,0.000483046571257238,"12575/14825/15894/17869/16193/19225/18035/12771/20310/13063/22695/57781/54123/18019/17096/104709/14707/277360/17164/22339/56489/15162/12675/320207/13557/15251/14695/29857/18033/15979/14991",31
"Human Diseases","Infectious disease: viral","mmu05164","Influenza A","26/693","174/10644",0.149425287356322,2.29506891575857,4.54526750562385,5.65684333385859e-05,0.00069139196302716,0.000507241312587709,"15894/16193/12702/18035/20293/12265/13063/216799/54123/81489/56488/56489/13665/18036/15980/21898/16176/16175/12675/16647/269966/15001/15000/18033/15979/18751",26
"Human Diseases","Cancer: overview","mmu05202","Transcriptional misregulation in cancer","31/693","226/10644",0.13716814159292,2.10680764663066,4.43812448081772,6.15692732906501e-05,0.000725637863782662,0.000532365896874042,"12575/16178/17873/17869/16193/17349/12044/12427/13197/18124/12608/212980/80859/15405/19696/12395/11796/17392/18627/18791/15395/20471/16185/15396/20375/58208/16000/18033/18792/17523/23882",31
"Cellular Processes","Transport and catabolism","mmu04148","Efferocytosis","24/693","163/10644",0.147239263803681,2.26149310811887,4.28294610235589,0.000136611959130148,0.00155454987975685,0.00114049911433517,"19225/20393/11846/240672/12608/12642/11847/320832/243958/192187/271457/55991/18019/71345/17164/11689/214058/20698/18442/18263/12323/15251/29857/56696",24
"Human Diseases","Cancer: specific types","mmu05215","Prostate cancer","18/693","107/10644",0.168224299065421,2.58380871464984,4.3451163722525,0.000171520497670771,0.00188672547437848,0.00138420050751851,"12575/16178/18035/26427/18095/17392/12566/231991/21802/18791/20509/12675/52466/13557/16000/18033/23920/18792",18
