"Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"GO:0048545","response to steroid hormone",362,6,6.13656145319465e-07,0.000775661367683804,"Per1,Hspa8,Pik3r1,Klf9,Etnppl,Paqr8"
"GO:0035556","intracellular signal transduction",3119,12,3.65763288138871e-06,0.00231162398103767,"Hspa1b,Per1,Otud7b,Rapgef3,Rtkn,Hspa8,Ctnnal1,Mt1,Pik3r1,Klf9,Arhgef10,Paqr8"
"GO:0014074","response to purine-containing compound",165,4,1.31283953742505e-05,0.0037282377446727,"Per1,Rapgef3,Pik3r1,Slc6a1"
"GO:0033120","positive regulation of RNA splicing",58,3,1.86428765065921e-05,0.0037282377446727,"Hspa8,Tra2a,Pik3r1"
"GO:0006913","nucleocytoplasmic transport",381,5,1.87321763155688e-05,0.0037282377446727,"Fam53b,Rapgef3,Hspa8,Pik3r1,Akap8l"
"GO:0051169","nuclear transport",381,5,1.87321763155688e-05,0.0037282377446727,"Fam53b,Rapgef3,Hspa8,Pik3r1,Akap8l"
"GO:1902903","regulation of supramolecular fiber organization",399,5,2.33753576636328e-05,0.0037282377446727,"Hspa1b,Rapgef3,Hspa8,Pik3r1,Arhgef10"
"GO:0043484","regulation of RNA splicing",198,4,2.68609955000825e-05,0.0037282377446727,"Hspa8,Tra2a,Pik3r1,Clk1"
"GO:0043066","negative regulation of apoptotic process",1063,7,2.759142099932e-05,0.0037282377446727,"Hspa1b,Tsc22d3,Rapgef3,Hspa8,Mt1,Pik3r1,St6gal1"
"GO:0050794","regulation of cellular process",12856,21,3.23622628358084e-05,0.0037282377446727,"Hspa1b,Per1,Tsc22d3,Fam53b,Otud7b,Per3,Rapgef3,Rtkn,Hspa8,Ctnnal1,Tra2a,Mt1,Pik3r1,Klf9,Arhgef10,Snta1,Akap8l,Slc6a1,Clk1,St6gal1,Paqr8"
"GO:0043069","negative regulation of programmed cell death",1108,7,3.59942900063867e-05,0.0037282377446727,"Hspa1b,Tsc22d3,Rapgef3,Hspa8,Mt1,Pik3r1,St6gal1"
"GO:0010656","negative regulation of muscle cell apoptotic process",74,3,3.88023990134816e-05,0.0037282377446727,"Rapgef3,Hspa8,Pik3r1"
"GO:0030522","intracellular receptor signaling pathway",451,5,4.19546070868979e-05,0.0037282377446727,"Hspa1b,Per1,Hspa8,Klf9,Paqr8"
"GO:0031032","actomyosin structure organization",224,4,4.34825115403942e-05,0.0037282377446727,"Rapgef3,Rtkn,Pik3r1,Arhgef10"
"GO:0071383","cellular response to steroid hormone stimulus",225,4,4.42433276662109e-05,0.0037282377446727,"Per1,Klf9,Etnppl,Paqr8"
"GO:0050789","regulation of biological process",13279,21,6.01386531765452e-05,0.00475095360094707,"Hspa1b,Per1,Tsc22d3,Fam53b,Otud7b,Per3,Rapgef3,Rtkn,Hspa8,Ctnnal1,Tra2a,Mt1,Pik3r1,Klf9,Arhgef10,Snta1,Akap8l,Slc6a1,Clk1,St6gal1,Paqr8"
"GO:0042981","regulation of apoptotic process",1683,8,6.64631881047807e-05,0.00494173351555546,"Hspa1b,Tsc22d3,Rapgef3,Rtkn,Hspa8,Mt1,Pik3r1,St6gal1"
"GO:0043067","regulation of programmed cell death",1741,8,8.44956689725189e-05,0.00593347364340355,"Hspa1b,Tsc22d3,Rapgef3,Rtkn,Hspa8,Mt1,Pik3r1,St6gal1"
"GO:0051492","regulation of stress fiber assembly",99,3,9.25287356830714e-05,0.00615559588965275,"Rapgef3,Pik3r1,Arhgef10"
"GO:0051591","response to cAMP",102,3,0.000101112748375039,0.00639032569730249,"Per1,Rapgef3,Pik3r1"
"GO:0065007","biological regulation",13697,21,0.000108435680542715,0.00652679524790438,"Hspa1b,Per1,Tsc22d3,Fam53b,Otud7b,Per3,Rapgef3,Rtkn,Hspa8,Ctnnal1,Tra2a,Mt1,Pik3r1,Klf9,Arhgef10,Snta1,Akap8l,Slc6a1,Clk1,St6gal1,Paqr8"
"GO:0110020","regulation of actomyosin structure organization",113,3,0.00013699983826934,0.00787126343511118,"Rapgef3,Pik3r1,Arhgef10"
