"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","mmu04064","NF-kappa B signaling pathway","30/687","107/10644",0.280373831775701,4.34395788270824,9.13146257898992,2.9533946791419e-12,9.74620244116828e-10,7.21250069011497e-10,"14825/15894/17873/19225/12044/13197/18035/20310/21929/11796/17096/22637/17060/19698/16818/18034/108723/21898/16176/12042/12675/18761/16177/50930/18033/18792/21947/245527/18751/23882",30
"Environmental Information Processing","Signal transduction","mmu04668","TNF signaling pathway","31/687","118/10644",0.26271186440678,4.07031307823255,8.809233656237,8.36768191208905e-12,1.38066751549469e-09,1.02173800189719e-09,"14825/15894/20339/16193/19225/12702/18035/20293/12608/16477/26427/20310/21929/16182/16362/67457/26410/11796/12051/17392/231991/74568/16878/20297/26397/16176/12675/20311/29857/18033/21938",31
"Organismal Systems","Development and regeneration","mmu04380","Osteoclast differentiation","31/687","136/10644",0.227941176470588,3.53159517081942,7.80458521267441,4.18539226067489e-10,4.60393148674238e-08,3.40705615605816e-08,"246256/14283/18733/14284/12702/18035/232801/16477/320832/17969/18019/17060/19698/16818/18034/16478/15980/232790/16176/16175/12675/20375/29857/14131/16177/17972/18033/12703/15979/16822/14282",31
"Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction","49/687","294/10644",0.166666666666667,2.58224163027656,7.22640742372501,5.90205290753085e-10,4.86919364871295e-08,3.60335861722936e-08,"12765/12985/227288/14825/16178/12986/16193/12156/27279/18413/20293/12771/20310/16174/16182/16181/16180/107527/56744/12983/12767/320100/56708/16196/16162/16878/58181/20297/16185/15980/12163/16176/16175/16172/16190/20311/238057/16177/16194/12803/50930/15979/16323/21938/21947/245527/269275/11479/16156",49
"Human Diseases","Infectious disease: bacterial","mmu05152","Tuberculosis","35/687","180/10644",0.194444444444444,3.01261523532266,7.15309987708481,3.02332270051478e-09,1.99539298233975e-07,1.47665445583038e-07,"246256/56619/16193/12608/12265/13063/12795/13115/24088/271457/12796/192656/170780/15510/20698/15980/21898/15526/16176/16175/18779/12042/15001/15000/56644/12323/29857/14131/12721/114143/18033/15979/108960/13040/21897",35
"Organismal Systems","Immune system","mmu04657","IL-17 signaling pathway","24/687","98/10644",0.244897959183673,3.79431423224312,7.2994568081256,8.89223232300542e-09,4.89072777765298e-07,3.61929455953905e-07,"12985/14825/14283/16193/19225/20201/18035/20293/12608/20310/21929/16819/17392/16478/74180/56489/20297/16176/16172/12675/20311/29857/18033/14282",24
"Human Diseases","Infectious disease: parasitic","mmu05145","Toxoplasmosis","25/687","109/10644",0.229357798165138,3.55354352790353,7.03858549701396,1.8271819710738e-08,8.61385786363363e-07,6.37452958329506e-07,"18035/12265/13063/24088/11796/104709/11689/26397/18036/15980/21898/14679/12675/320207/105675/15001/15000/329581/29857/18033/12703/15979/16780/21947/15481",25
"Organismal Systems","Immune system","mmu04659","Th17 cell differentiation","24/687","105/10644",0.228571428571429,3.54135995009357,6.87396433978972,3.78090835286538e-08,1.55962469555697e-06,1.15417202350627e-06,"16193/18035/16180/18019/22637/16818/14462/16185/18036/15980/16176/12675/16190/15001/15000/18761/15251/29857/16177/16194/18033/12503/15979/12502",24
"Human Diseases","Infectious disease: parasitic","mmu05140","Leishmaniasis","19/687","70/10644",0.271428571428571,4.20536494073612,7.06729134880913,5.33027257711962e-08,1.9544332782772e-06,1.44634296829445e-06,"246256/19225/18035/17969/24088/17357/18036/15980/21898/16176/16175/15001/15000/29857/14131/17972/18033/15979/18751",19
"Organismal Systems","Immune system","mmu04625","C-type lectin receptor signaling pathway","24/687","112/10644",0.214285714285714,3.32002495321273,6.48324431905025,1.40184059165008e-07,4.62607395244527e-06,3.42344228697704e-06,"56619/16193/19225/18035/17474/216799/12795/16362/18019/12051/19698/17164/170780/18034/13655/56489/16176/12042/12675/56644/29857/56760/69810/18033",24
