"Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"GO:0048678","response to axon injury",97,3,4.06753322799488e-05,0.0115812943304383,"Matn2,Cst3,Matn4"
"GO:0009611","response to wounding",600,5,4.51673203997425e-05,0.0115812943304383,"Matn2,Epb41l4b,Cst3,Matn4,F3"
"GO:0030198","extracellular matrix organization",323,4,6.49105796175819e-05,0.0115812943304383,"Matn2,Serpinh1,Cst3,Matn4"
"GO:0045229","external encapsulating structure organization",324,4,6.56932231840756e-05,0.0115812943304383,"Matn2,Serpinh1,Cst3,Matn4"
"GO:0043062","extracellular structure organization",325,4,6.64827458693359e-05,0.0115812943304383,"Matn2,Serpinh1,Cst3,Matn4"
"GO:0010711","negative regulation of collagen catabolic process",1,1,0.000699572483482847,0.0761659541391949,"Cst3"
"GO:0060310","regulation of elastin catabolic process",1,1,0.000699572483482847,0.0761659541391949,"Cst3"
"GO:0060311","negative regulation of elastin catabolic process",1,1,0.000699572483482847,0.0761659541391949,"Cst3"
"GO:0010604","positive regulation of macromolecule metabolic process",3294,8,0.000947900479873545,0.0917357019966509,"Zbtb16,Dbp,Epb41l4b,Tbc1d10a,Cst3,Per1,F3,Herpud1"
"GO:0006950","response to stress",4288,9,0.00112523295992967,0.0980077908098742,"Matn2,Epb41l4b,Cst3,Per1,Matn4,F3,Herpud1,C1s1,Prnp"
"GO:0009893","positive regulation of metabolic process",3674,8,0.00196278102005067,0.116530713130565,"Zbtb16,Dbp,Epb41l4b,Tbc1d10a,Cst3,Per1,F3,Herpud1"
"GO:0030162","regulation of proteolysis",406,3,0.00266817944741861,0.116530713130565,"Tbc1d10a,Cst3,Herpud1"
"GO:0007155","cell adhesion",1547,5,0.00345866049274633,0.116530713130565,"Zbtb16,Cdh19,Epb41l4b,Prnp,Sparcl1"
"GO:0002062","chondrocyte differentiation",131,2,0.00373117612619728,0.116530713130565,"Zbtb16,Serpinh1"
"GO:0032963","collagen metabolic process",138,2,0.00413022763992588,0.116530713130565,"Serpinh1,Cst3"
"GO:0098609","cell-cell adhesion",987,4,0.00428126615405062,0.116530713130565,"Zbtb16,Cdh19,Prnp,Sparcl1"
"GO:0006508","proteolysis",1673,5,0.00484558566089918,0.127894094261915,"Tbc1d10a,Cst3,F3,Herpud1,C1s1"
"GO:0051239","regulation of multicellular organismal process",3381,7,0.00568799471273107,0.130374826178652,"Zbtb16,Kcna1,Epb41l4b,Cst3,Per1,F3,Prnp"
"GO:0098771","inorganic ion homeostasis",582,3,0.00729355466550726,0.137753654993988,"Kcna1,Herpud1,Prnp"
"GO:0071248","cellular response to metal ion",195,2,0.0080720705889038,0.137753654993988,"Kcna1,Prnp"
"GO:0048518","positive regulation of biological process",6819,10,0.00843619318425488,0.137753654993988,"Zbtb16,Dbp,Epb41l4b,Tbc1d10a,Cst3,Per1,F3,Herpud1,C1s1,Prnp"
"GO:0045862","positive regulation of proteolysis",204,2,0.0088036249759542,0.137753654993988,"Tbc1d10a,Herpud1"
"GO:0051604","protein maturation",624,3,0.00882868465575468,0.137753654993988,"Serpinh1,F3,C1s1"
"GO:0071805","potassium ion transmembrane transport",207,2,0.00905389000224936,0.137753654993988,"Kcna1,Prnp"
