"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","mmu04064","NF-kappa B signaling pathway","30/719","107/10644",0.280373831775701,4.15062456943054,8.81579073988738,9.38482505714686e-12,3.09699226885846e-09,2.27211554015134e-09,"14825/15894/17873/19225/12044/13197/18035/20310/21929/11796/17096/22637/17060/19698/16818/18034/108723/21898/16176/12042/12675/18761/16177/50930/18033/18792/21947/245527/18751/23882",30
"Environmental Information Processing","Signal transduction","mmu04668","TNF signaling pathway","31/719","118/10644",0.26271186440678,3.88915867141274,8.49399367257998,2.7025672519067e-11,4.45923596564606e-09,3.2715287786239e-09,"14825/15894/20339/16193/19225/12702/18035/20293/12608/16477/26427/20310/21929/16182/16362/67457/26410/11796/12051/17392/231991/74568/16878/20297/26397/16176/12675/20311/29857/18033/21938",31
"Organismal Systems","Development and regeneration","mmu04380","Osteoclast differentiation","32/719","136/10644",0.235294117647059,3.4832692465025,7.84448525149589,2.90502952535484e-10,3.19553247789033e-08,2.34440979239163e-08,"246256/14283/18733/14284/12702/18035/232801/16477/320832/17969/17970/18019/17060/19698/16818/18034/16478/15980/232790/16176/16175/12675/20375/29857/14131/16177/17972/18033/12703/15979/16822/14282",32
"Organismal Systems","Immune system","mmu04657","IL-17 signaling pathway","26/719","98/10644",0.26530612244898,3.92756379325026,7.83622216626223,8.66645523935174e-10,6.06907471894399e-08,4.45259070289352e-08,"12985/14825/14283/16193/20202/19225/20201/18035/20293/12608/20310/21929/56069/16819/17392/16478/74180/56489/20297/16176/16172/12675/20311/29857/18033/14282",26
"Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction","50/719","294/10644",0.170068027210884,2.51766909823735,7.10250912345131,9.19556775597575e-10,6.06907471894399e-08,4.45259070289352e-08,"12765/12985/227288/14825/16178/12986/16193/12156/27279/18413/20293/12771/20310/16174/16182/16181/16180/107527/56069/56744/12983/12767/320100/56708/16196/16162/16878/58181/20297/16185/15980/12163/16176/16175/16172/16190/20311/238057/16177/16194/12803/50930/15979/16323/21938/21947/245527/269275/11479/16156",50
"Human Diseases","Infectious disease: bacterial","mmu05152","Tuberculosis","36/719","180/10644",0.2,2.96077885952712,7.14080578709108,2.74017206747589e-09,1.50709463711174e-07,1.10568346582361e-07,"246256/56619/16193/12608/16411/12265/13063/12795/13115/24088/271457/12796/192656/170780/15510/20698/15980/21898/15526/16176/16175/18779/12042/15001/15000/56644/12323/29857/14131/12721/114143/18033/15979/108960/13040/21897",36
"Human Diseases","Infectious disease: parasitic","mmu05145","Toxoplasmosis","26/719","109/10644",0.238532110091743,3.53120414439014,7.1491493600853,1.0100159957261e-08,4.76150397985161e-07,3.49328840627072e-07,"18035/12265/13063/24088/16835/11796/104709/11689/26397/18036/15980/21898/14679/12675/320207/105675/15001/15000/329581/29857/18033/12703/15979/16780/21947/15481",26
"Human Diseases","Infectious disease: parasitic","mmu05140","Leishmaniasis","20/719","70/10644",0.285714285714286,4.22968408503874,7.29660151374627,1.95539937665596e-08,8.06602242870584e-07,5.91765600830094e-07,"246256/19225/18035/17969/17970/24088/17357/18036/15980/21898/16176/16175/15001/15000/29857/14131/17972/18033/15979/18751",20
"Organismal Systems","Immune system","mmu04625","C-type lectin receptor signaling pathway","25/719","112/10644",0.223214285714286,3.30444069143652,6.59857777589805,7.96241422600253e-08,2.91955188286759e-06,2.14193599062056e-06,"56619/16193/19225/18035/17474/216799/12795/16362/18019/12051/13654/19698/17164/170780/18034/13655/56489/16176/12042/12675/56644/29857/56760/69810/18033",25
"Organismal Systems","Immune system","mmu04659","Th17 cell differentiation","24/719","105/10644",0.228571428571429,3.383747268031,6.60672719281667,8.96271013623264e-08,2.95769434495677e-06,2.16991929614053e-06,"16193/18035/16180/18019/22637/16818/14462/16185/18036/15980/16176/12675/16190/15001/15000/18761/15251/29857/16177/16194/18033/12503/15979/12502",24
"Organismal Systems","Immune system","mmu04640","Hematopoietic cell lineage","21/719","94/10644",0.223404255319149,3.30725298138668,6.04733644532943,8.55393174582222e-07,2.56617952374667e-05,1.88268354214269e-05,"12985/16178/12986/16193/13136/22042/17380/16196/14128/16176/16175/16402/16190/15001/15000/16177/16194/12502/12481/14256/16156",21
"Human Diseases","Cancer: overview","mmu05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","20/719","88/10644",0.227272727272727,3.36452143128082,5.99468156533202,1.16608767773491e-06,3.206741113771e-05,2.35263303402657e-05,"18035/381319/24088/18019/22637/16818/60533/26397/18036/15980/21898/12675/18761/15251/53314/29857/18033/12503/15979/12502",20
"Cellular Processes","Transport and catabolism","mmu04145","Phagosome","31/719","183/10644",0.169398907103825,2.50776351490002,5.53736807291006,1.65388991898864e-06,4.19833594820194e-05,3.08011887746873e-05,"246256/17969/17970/24088/22042/271457/545486/67951/21354/22151/227613/22145/170780/21825/21898/11966/18779/16402/15001/15000/22146/56644/14131/12721/17972/22153/17195/114143/14991/13040/17523",31
