"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031589","cell-substrate adhesion","44/810","383/25730",0.114882506527415,3.64929246043258,9.41772385620955,1.45074131430115e-13,7.33204660247803e-10,5.48838345641931e-10,"Mertk/Tnxb/Pik3r1/Apod/Col1a1/Dag1/Jam3/Megf9/Rhpn1/Nedd9/Lims2/Vit/Itga6/Col5a3/P4hb/Sirpa/Fam107a/Itgav/Lrp1/Ptk2/Rab1a/Bcl6/Cd63/Taok2/Ddr1/Jak2/Spp1/Lamb1/Notch1/Gpm6b/Itgb4/Itgb1/Calr/Tesk2/Actg1/Arl2/St6gal1/Col26a1/Trpm7/Rsu1/Parva/Ccn1/Tiam1/Vcl",44
"GO:0010970","transport along microtubule","29/810","196/25730",0.147959183673469,4.69998740236835,9.37451477682167,4.4638213811083e-12,1.12800766300607e-08,8.44367054931748e-09,"Hspa8/Bicd2/Sfpq/Dync1h1/Kif21a/Kifc2/Rufy3/Lamp1/Rhot1/Bicd1/Rab1a/Ift74/Fuz/Dync1i2/Map1b/App/Kif3a/Tmem201/Ift20/Spg11/Ndel1/Clip3/Arl3/Agtpbp1/Arl8a/Htt/Mapk8ip3/Kif5b/Hsbp1",29
"GO:0030705","cytoskeleton-dependent intracellular transport","30/810","217/25730",0.138248847926267,4.39153439153439,9.04534782562052,1.11754852613755e-11,1.44559835555535e-08,1.08209870032406e-08,"Hspa8/Bicd2/Sfpq/Dync1h1/Kif21a/Kifc2/Rufy3/Lamp1/Rhot1/Bicd1/Rab1a/Ift74/Fuz/Dync1i2/Map1b/App/Kif3a/Tmem201/Ift20/Spg11/Ndel1/Clip3/Arl3/Agtpbp1/Arl8a/Htt/Mapk8ip3/Kif5b/Hook3/Hsbp1",30
"GO:0034976","response to endoplasmic reticulum stress","35/810","290/25730",0.120689655172414,3.83375904640272,8.74950148015695,1.14412216506161e-11,1.44559835555535e-08,1.08209870032406e-08,"Pik3r1/Herpud1/Sgf29/Nod1/Bcl2l1/Xbp1/Pmp22/Erlin2/Hsp90b1/Pdia6/Brsk2/P4hb/Ddx3x/Dnajb2/Tmbim6/Sgta/Derl1/Syvn1/H13/Scamp5/Creb3l2/App/Calr/Bok/Pdia4/Serinc3/Ppp1r15b/Ddrgk1/Selenon/Abca7/Erp29/Lrrk2/Faf2/Man1c1/Stt3b",35
"GO:0030198","extracellular matrix organization","36/810","323/25730",0.111455108359133,3.54041967664259,8.28342566337989,5.80904844826047e-11,4.37401106457601e-08,3.27415403455026e-08,"Serpinh1/Lox/Tnxb/Timp3/Vwa1/Cst3/Col1a1/Tgfbr3/Dag1/Megf9/Pmp22/Adamtsl5/Vit/Col5a3/Matn4/Matn2/Lrp1/Ptk2/Col1a2/Ddr1/Lamb1/Notch1/Gpm6b/Col4a1/App/Itgb1/Mpv17/Colgalt1/Chadl/Plod3/Ccn1/Mmp15/Col18a1/Selenon/Exoc8/Pomt2",36
"GO:0031647","regulation of protein stability","39/810","372/25730",0.104838709677419,3.33024691358025,8.1619862073705,5.9114227329983e-11,4.37401106457601e-08,3.27415403455026e-08,"Ip6k2/Gsn/Mt3/Prnp/Hspa8/Pik3r1/Atp1b3/Serf2/Xbp1/Cryab/Cd81/Lamp1/Mylip/Ppib/Fam107a/Asph/Usp34/Cdc37l1/Tmc6/Cfp/Ube2b/Dad1/Per3/Derl1/Syvn1/Hsp90ab1/Calr/Ctsa/Cmtm6/Tcf3/Tada2a/Ddrgk1/Htt/Mapk8ip3/Cbx4/Lrrk2/Kat2a/Ywhag/Glmp",39
"GO:0045229","external encapsulating structure organization","36/810","324/25730",0.111111111111111,3.52949245541838,8.26071598101108,6.34312573996896e-11,4.37401106457601e-08,3.27415403455026e-08,"Serpinh1/Lox/Tnxb/Timp3/Vwa1/Cst3/Col1a1/Tgfbr3/Dag1/Megf9/Pmp22/Adamtsl5/Vit/Col5a3/Matn4/Matn2/Lrp1/Ptk2/Col1a2/Ddr1/Lamb1/Notch1/Gpm6b/Col4a1/App/Itgb1/Mpv17/Colgalt1/Chadl/Plod3/Ccn1/Mmp15/Col18a1/Selenon/Exoc8/Pomt2",36
"GO:0043062","extracellular structure organization","36/810","325/25730",0.110769230769231,3.51863247863248,8.23809553851613,6.92364236577129e-11,4.37401106457601e-08,3.27415403455026e-08,"Serpinh1/Lox/Tnxb/Timp3/Vwa1/Cst3/Col1a1/Tgfbr3/Dag1/Megf9/Pmp22/Adamtsl5/Vit/Col5a3/Matn4/Matn2/Lrp1/Ptk2/Col1a2/Ddr1/Lamb1/Notch1/Gpm6b/Col4a1/App/Itgb1/Mpv17/Colgalt1/Chadl/Plod3/Ccn1/Mmp15/Col18a1/Selenon/Exoc8/Pomt2",36
"GO:0042552","myelination","27/810","200/25730",0.135,4.28833333333333,8.41676824788898,2.07272746234711e-10,1.16395162163359e-07,8.71272806979592e-08,"Cd9/Mbp/Mpz/Psap/Dag1/Fa2h/Jam3/S100b/Pmp22/Sirt2/Pllp/Mal/Abca2/Arhgef10/Gpm6b/Gjc3/Dhh/Itgb4/Lpin1/Degs1/Atrn/Ncmap/Cyfip1/Map2k2/Rxra/Nfasc/Marveld1",27
"GO:0050770","regulation of axonogenesis","25/810","176/25730",0.142045454545455,4.51213524130191,8.4290390042487,3.24391592534048e-10,1.37369109587234e-07,1.02827271750675e-07,"Mt3/Mbp/Sema3g/Vim/Plxna3/Cdh1/Rufy3/Brsk2/Lrp1/Ptk2/Syngap1/Gdi1/Ttc3/Zfyve27/Map1b/Slit2/Apoe/Plxnb3/Ndel1/Ifrd1/Stk25/Cyfip1/Tiam1/Tsc2/Map2k2",25
"GO:0007272","ensheathment of neurons","27/810","204/25730",0.132352941176471,4.20424836601307,8.28380403912274,3.26163299376099e-10,1.37369109587234e-07,1.02827271750675e-07,"Cd9/Mbp/Mpz/Psap/Dag1/Fa2h/Jam3/S100b/Pmp22/Sirt2/Pllp/Mal/Abca2/Arhgef10/Gpm6b/Gjc3/Dhh/Itgb4/Lpin1/Degs1/Atrn/Ncmap/Cyfip1/Map2k2/Rxra/Nfasc/Marveld1",27
"GO:0008366","axon ensheathment","27/810","204/25730",0.132352941176471,4.20424836601307,8.28380403912274,3.26163299376099e-10,1.37369109587234e-07,1.02827271750675e-07,"Cd9/Mbp/Mpz/Psap/Dag1/Fa2h/Jam3/S100b/Pmp22/Sirt2/Pllp/Mal/Abca2/Arhgef10/Gpm6b/Gjc3/Dhh/Itgb4/Lpin1/Degs1/Atrn/Ncmap/Cyfip1/Map2k2/Rxra/Nfasc/Marveld1",27
"GO:0032963","collagen metabolic process","22/810","138/25730",0.159420289855072,5.06405439255681,8.63031972950937,3.95972220304306e-10,1.53941815493689e-07,1.15232725487747e-07,"Serpinh1/Tnxb/Cst3/Tns2/Col1a1/Tgfbr3/Klf15/Arrb2/Vim/Errfi1/Rapgef3/Retreg1/Il6ra/Col1a2/Notch1/Ctsb/Retreg2/Itgb1/Plod3/Mmp15/Tmem131/P3h2",22
"GO:0031345","negative regulation of cell projection organization","28/810","224/25730",0.125,3.97067901234568,8.05079009110419,5.8551962694283e-10,2.11372585326361e-07,1.58222371370867e-07,"Mt3/Prnp/Mbp/Sema3g/Vim/Plxna3/Pmp22/Cdh1/Rufy3/Mylip/Lrp1/Ptk2/Syngap1/Gdi1/Ttc3/Rap1gap/Dync1i2/Slit2/Itgb1/Apoe/Plxnb3/Itm2c/Ifrd1/Tsc2/Lrrk2/Rapgef2/Cyth2/Cers2",28
"GO:0043484","regulation of RNA splicing","26/810","198/25730",0.131313131313131,4.17121835640354,8.0759992117151,8.23521810676093e-10,2.77471948743798e-07,2.07700869303149e-07,"Fus/Clk1/Hspa8/Pik3r1/Tra2a/Sgf29/Srsf6/Slc38a2/Srrm1/Ddx5/Hnrnph3/Pcbp4/Tmbim6/Ccnl2/Clk4/Rbm15/Sfswap/Slirp/Hnrnph1/Rbm3/Jmjd6/Clk3/Ptbp1/Puf60/Kat2a/Dazap1",26
"GO:0050767","regulation of neurogenesis","43/810","483/25730",0.0890269151138716,2.82797842701224,7.31172224735239,1.11553364077528e-09,3.52369188779891e-07,2.6376499374647e-07,"Per2/Sgk1/Mt3/Mbp/Dag1/Sema3g/Arrb2/Vim/Plxna3/Gpr37l1/Cdh1/Rufy3/Aspa/Clcn2/Sirt2/Lrp1/Ptk2/Syngap1/Slc7a5/Gdi1/Ttc3/Notch1/Zfyve27/Map1b/Dock7/Slit2/Itgb1/Apoe/Plxnb3/Ndel1/Ifrd1/Stk25/Spen/Cyfip1/Sox2/Tiam1/Tsc2/Map2k2/Bmp7/Srrt/Hook3/Rapgef2/Cers2",43
"GO:0099111","microtubule-based transport","29/810","252/25730",0.115079365079365,3.65554575739761,7.63750199650756,2.03867784621819e-09,6.06086931458044e-07,4.53684716985027e-07,"Hspa8/Bicd2/Sfpq/Dync1h1/Kif21a/Kifc2/Rufy3/Lamp1/Rhot1/Bicd1/Rab1a/Ift74/Fuz/Dync1i2/Map1b/App/Kif3a/Tmem201/Ift20/Spg11/Ndel1/Clip3/Arl3/Agtpbp1/Arl8a/Htt/Mapk8ip3/Kif5b/Hsbp1",29
"GO:0010977","negative regulation of neuron projection development","23/810","165/25730",0.139393939393939,4.42790871679761,7.96394525358642,2.39928251055475e-09,6.73665211574652e-07,5.04270253972736e-07,"Mt3/Mbp/Sema3g/Vim/Plxna3/Pmp22/Cdh1/Rufy3/Mylip/Lrp1/Ptk2/Syngap1/Gdi1/Ttc3/Dync1i2/Slit2/Apoe/Itm2c/Ifrd1/Tsc2/Lrrk2/Cyth2/Cers2",23
"GO:0097193","intrinsic apoptotic signaling pathway","34/810","340/25730",0.1,3.17654320987654,7.28375527187675,3.42731803696084e-09,8.77746860231708e-07,6.57035014615366e-07,"Pik3r1/Pttg1ip/Sfpq/Herpud1/Mapk8ip1/Bcl2l1/Xbp1/Brsk2/P4hb/Ddx5/Ddx3x/Cpe/Tmbim6/Jak2/Parp1/Prkca/Mcl1/Syvn1/App/Phlda3/Ddit4/Cyld/Bok/Mdm4/Epha2/Bcl2l2/Serinc3/Stk25/Aldh2/Erp29/Lrrk2/Cdkn1a/Tmem109/Taf6",34
"GO:1990778","protein localization to cell periphery","38/810","410/25730",0.0926829268292683,2.94411321890997,7.15420820216789,3.47347392256315e-09,8.77746860231708e-07,6.57035014615366e-07,"Prnp/Pik3r1/Clstn1/Dag1/Atp1b3/Errfi1/Palm/Atp6ap1/Bcl2l1/Hsp90b1/Cdh1/Cd81/Vamp2/Lrp1/Rabep1/Abca2/Zdhhc3/Rock2/Zfyve27/Itgb1/Camk2g/Ift20/Ehd4/Rab11fip3/Cacnb3/Epha2/Rer1/Clip3/Arl3/Ikbkb/Tspan15/Golph3/Tsc2/Stx7/Kif5b/Pacs2/Nfasc/Numa1",38
"GO:0007264","small GTPase-mediated signal transduction","40/810","461/25730",0.0867678958785249,2.75621970488203,6.8598595594326,8.81985880276581e-09,2.12264601853231e-06,1.58890087905465e-06,"Rtkn/Ralgds/Rapgef3/Timp2/Notch2/Itgav/Syngap1/Rab33b/Bcl6/Col1a2/Chm/Gdi1/Rap1gap/Arhgef10/Rock2/Notch1/Vav2/Dock7/Slit2/Itgb1/Apoe/Icmt/Dhcr24/Ctnnal1/Arl3/G3bp2/Lztr1/Rsu1/Git2/Cyfip1/Arhgef12/Tiam1/Csnk1a1/Tsc2/Lrrk2/Rhob/Cdkn1a/Rasa2/Rapgef2/Cyth2",40
"GO:0010810","regulation of cell-substrate adhesion","27/810","242/25730",0.111570247933884,3.54407713498623,7.16885873324276,1.4225610877411e-08,3.26801078974706e-06,2.44626054992417e-06,"Pik3r1/Apod/Col1a1/Dag1/Nedd9/Lims2/Vit/Itga6/P4hb/Fam107a/Lrp1/Ptk2/Bcl6/Ddr1/Jak2/Spp1/Notch1/Gpm6b/Itgb1/Calr/Actg1/Arl2/St6gal1/Col26a1/Rsu1/Ccn1/Vcl",27
"GO:0072659","protein localization to plasma membrane","31/810","312/25730",0.0993589743589744,3.15618075340298,6.90830842070081,1.95335473573437e-08,4.29228471060936e-06,3.2129779955283e-06,"Prnp/Pik3r1/Atp1b3/Errfi1/Palm/Atp6ap1/Bcl2l1/Hsp90b1/Cdh1/Cd81/Vamp2/Lrp1/Zdhhc3/Rock2/Zfyve27/Itgb1/Camk2g/Ift20/Ehd4/Rab11fip3/Cacnb3/Epha2/Rer1/Clip3/Ikbkb/Tspan15/Golph3/Stx7/Kif5b/Pacs2/Nfasc",31
"GO:0050771","negative regulation of axonogenesis","13/810","60/25730",0.216666666666667,6.88251028806584,8.22442094046175,3.57111723952468e-08,7.52017772023238e-06,5.62920849072443e-06,"Mt3/Mbp/Sema3g/Plxna3/Cdh1/Rufy3/Ptk2/Syngap1/Gdi1/Ttc3/Slit2/Ifrd1/Tsc2",13
"GO:1902235","regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway","10/810","33/25730",0.303030303030303,9.6258885147774,8.93921828627807,4.34094914952742e-08,8.6947751241516e-06,6.50845016895442e-06,"Herpud1/Bcl2l1/Xbp1/Tmbim6/Syvn1/App/Bok/Serinc3/Erp29/Lrrk2",10
"GO:0051961","negative regulation of nervous system development","22/810","177/25730",0.124293785310734,3.94824579758666,7.09592992141045,4.47297493525804e-08,8.6947751241516e-06,6.50845016895442e-06,"Mt3/Mbp/Sema3g/Plxna3/Gpr37l1/Cdh1/Rufy3/Sirt2/Ptpn13/Ptk2/Syngap1/Gdi1/Ttc3/Notch1/App/Slit2/Ifrd1/Tsc2/Bmp7/Hook3/Rapgef2/Cers2",22
"GO:0042063","gliogenesis","36/810","415/25730",0.0867469879518072,2.75555555555556,6.50024317463345,4.9185814921229e-08,9.2068558745145e-06,6.89176681586343e-06,"Dusp15/Cd9/Klf15/Dag1/Fa2h/Arrb2/Vim/S100b/Pmp22/Gpr37l1/Aspa/Clcn2/Matn2/Sirt2/Lrp1/Ptk2/Mal/Cntf/Slc7a5/Abca2/Arhgef10/Lamb1/Notch1/Gpm6b/Dhh/App/Itgb4/Bok/Mxra8/Mboat7/Ncmap/Sox13/Tiam1/Phgdh/Map2k2/Cers2",36
