"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Genetic Information Processing","Folding, sorting and degradation","mmu04141","Protein processing in endoplasmic reticulum","29/421","177/10644",0.163841807909605,4.14235677764805,8.55489950513139,5.6515832632219e-11,1.73503606180912e-08,1.45751357840986e-08,"15481/64209/22433/12955/22027/71853/18453/67075/56812/13135/12334/18415/67819/20224/74126/15516/12317/105245/320011/12304/103963/66890/107513/67437/70361/218811/67397/230815/68292",29
"Cellular Processes","Transport and catabolism","mmu04142","Lysosome","19/421","136/10644",0.139705882352941,3.53213636998742,6.03087617830411,1.5697929573355e-06,0.000240963218950999,0.000202420670814315,"19156/54411/432486/16783/53599/18145/12751/12512/114143/11305/13030/19025/11886/67963/13033/11767/14387/75612/14667",19
"Environmental Information Processing","Signal transduction","mmu04151","PI3K-Akt signaling pathway","32/421","368/10644",0.0869565217391304,2.1984922028297,4.74822153166559,2.32388959485209e-05,0.00237811368539864,0.00199772965171496,"15370/20393/81877/18708/12842/12048/16194/22027/16403/12827/16410/14702/14083/12843/16452/20750/16777/18750/17210/15516/208647/12826/192897/74747/16412/13836/16150/22084/26396/22628/20181/12575",32
"Human Diseases","Cancer: overview","mmu05205","Proteoglycans in cancer","21/421","204/10644",0.102941176470588,2.6026267989381,4.69008953583257,5.65799736136253e-05,0.00434251297484575,0.00364791935140479,"21859/18708/12842/16801/16410/13207/15200/14083/12843/12512/19878/18750/22325/16440/16412/12325/11465/69632/21844/26396/12575",21
"Human Diseases","Cancer: specific types","mmu05222","Small cell lung cancer","13/421","94/10644",0.138297872340426,3.49653813109617,4.9335530132817,7.83875717285336e-05,0.00481299690413196,0.00404314843652436,"18708/12048/16403/12827/16410/14083/16777/12826/16412/18035/16150/20181/12575",13
"Cellular Processes","Cell motility","mmu04820","Cytoskeleton in muscle cells","22/421","233/10644",0.0944206008583691,2.38720397989663,4.34466166526706,0.000137574211910501,0.00636322407295717,0.00534541367349394,"20648/20970/12842/640524/13138/22352/11933/16403/11928/53867/12827/16410/54418/12843/71355/12826/192897/16412/11465/20649/22330/98386",22
"Cellular Processes","Cellular community - eukaryotes","mmu04510","Focal adhesion","20/421","202/10644",0.099009900990099,2.50323369629124,4.37717833674301,0.000145089799709121,0.00636322407295717,0.00534541367349394,"81877/18708/12842/16403/12827/16410/14083/12843/12334/20750/19878/16777/18750/22325/12826/192897/16412/11465/57342/22330",20
"Environmental Information Processing","Signaling molecules and interaction","mmu04512","ECM-receptor interaction","12/421","89/10644",0.134831460674157,3.40889802236516,4.63092980619458,0.000187965029474827,0.00721315800609649,0.00605939897649114,"81877/12842/13138/16403/12827/16410/12843/20750/16777/12826/192897/16412",12
"Cellular Processes","Transport and catabolism","mmu04148","Efferocytosis","17/421","163/10644",0.104294478527607,2.63684187517305,4.27349369286045,0.000243669600536003,0.00825163153918414,0.0069317665938629,"17289/20393/50770/19261/16410/16971/14083/16452/11938/12317/20525/11980/70676/12325/218035/26396/20181",17
"Organismal Systems","Endocrine system","mmu04919","Thyroid hormone signaling pathway","14/421","120/10644",0.116666666666667,2.94964370546318,4.35852311780145,0.000268782786292643,0.00825163153918414,0.0069317665938629,"18708/11933/11928/18129/16410/11938/18128/18750/20525/11465/22084/26396/14534/20181",14
"Organismal Systems","Environmental adaptation","mmu04710","Circadian rhythm","7/421","34/10644",0.205882352941176,5.20525359787621,4.98376844753909,0.000306555094850033,0.00830443368482995,0.00697612293085321,"18626/18627/18628/13170/12953/353187/104318",7
"Organismal Systems","Digestive system","mmu04974","Protein digestion and absorption","13/421","108/10644",0.12037037037037,3.0432831881763,4.33098278093218,0.000324603271068272,0.00830443368482995,0.00697612293085321,"17254/12842/11933/67760/237759/11928/53867/12827/12843/71355/12826/140709/12822",13
"Human Diseases","Infectious disease: bacterial","mmu05132","Salmonella infection","21/421","253/10644",0.08300395256917,2.09856073906472,3.58871988158574,0.00107958241132058,0.0254947538673398,0.0214168170666835,"107607/13424/22027/170625/19878/15516/13427/18035/11465/218035/69654/16150/20430/68724/26396/16573/11852/53413/22154/67665/19158",21
"Human Diseases","Cardiovascular disease","mmu05412","Arrhythmogenic right ventricular cardiomyopathy","10/421","86/10644",0.116279069767442,2.93984422471414,3.66529683264305,0.00202885404079855,0.0375234700955173,0.0315215161097266,"20648/13138/16403/16410/11938/192897/16412/11465/12297/20649",10
"Organismal Systems","Endocrine system","mmu04928","Parathyroid hormone synthesis, secretion and action","12/421","116/10644",0.103448275862069,2.61544762060775,3.55003664506826,0.00208706915651322,0.0375234700955173,0.0315215161097266,"20393/216869/16801/15200/18750/208647/16440/17258/11514/17388/20181/12575",12
"Organismal Systems","Development and regeneration","mmu04360","Axon guidance","16/421","181/10644",0.0883977900552486,2.23493130011417,3.40046157418217,0.00218542316374731,0.0375234700955173,0.0315215161097266,"18708/218877/18844/18846/14083/19878/18750/20563/16412/12632/12325/13836/140571/69632/12162/231637",16
"Human Diseases","Cardiovascular disease","mmu05417","Lipid and atherosclerosis","18/421","217/10644",0.0829493087557604,2.09717919809101,3.31368821919747,0.00241678827174757,0.0375234700955173,0.0315215161097266,"17970/15481/18708/12048/22433/22027/16801/14083/16452/19878/18750/15516/22325/12325/18035/16150/11307/20181",18
"Human Diseases","Cardiovascular disease","mmu05414","Dilated cardiomyopathy","11/421","103/10644",0.106796116504854,2.70008993842677,3.51830512857921,0.00245678704009738,0.0375234700955173,0.0315215161097266,"20648/13138/16403/16410/11938/192897/16412/11465/12297/11514/20649",11
"Cellular Processes","Cell motility","mmu04810","Regulation of actin cytoskeleton","19/421","235/10644",0.0808510638297872,2.04412998433315,3.28448961516185,0.00247942784519876,0.0375234700955173,0.0315215161097266,"227753/18708/544963/16403/16801/16410/14083/19878/22325/192897/16412/12632/11465/20430/69632/21844/26396/22330/231637",19
"Cellular Processes","Transport and catabolism","mmu04140","Autophagy - animal","15/421","167/10644",0.0898203592814371,2.27089763465942,3.35918740765071,0.00254525867449613,0.0375234700955173,0.0315215161097266,"18708/12048/72145/12211/16783/19338/19324/13030/74747/218035/13033/22084/26396/53331/57436",15
"Organismal Systems","Immune system","mmu04670","Leukocyte transendothelial migration","12/421","119/10644",0.100840336134454,2.54951196630671,3.44938175200973,0.0025892957600961,0.0375234700955173,0.0315215161097266,"17970/18708/223864/83964/14083/19878/18750/22325/16412/11465/242653/22330",12
"Cellular Processes","Cell growth and death","mmu04210","Apoptosis","13/421","136/10644",0.0955882352941176,2.41672488472824,3.37426232638513,0.0028112045999899,0.0375234700955173,0.0315215161097266,"18708/12048/19249/12334/11545/17210/13030/16440/18035/11465/13033/16150/26396",13
"Human Diseases","Infectious disease: bacterial","mmu05135","Yersinia infection","13/421","136/10644",0.0955882352941176,2.41672488472824,3.37426232638513,0.0028112045999899,0.0375234700955173,0.0315215161097266,"18708/16801/14083/54353/19878/22325/16412/18035/11465/16150/26431/69632/26396",13
"Genetic Information Processing","Information processing in viruses","mmu03250","Viral life cycle - HIV-1","8/421","63/10644",0.126984126984127,3.21049655016401,3.5709244142959,0.00322173375865599,0.0412113443294745,0.0346195074943297,"76895/12121/72949/103573/17755/18571/26943/14534",8
"Environmental Information Processing","Signaling molecules and interaction","mmu04517","IgSF CAM signaling","22/421","300/10644",0.0733333333333333,1.85406175771972,3.04501576841017,0.00394602567898406,0.0484571953379242,0.0407063701621513,"18708/17196/17528/640524/18844/83964/18846/18858/12550/14083/94332/18750/22325/11820/20563/16412/11465/26396/22330/22154/76089/269116",22
