"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031589","cell-substrate adhesion","40/712","383/25730",0.10443864229765,3.77416610437997,9.22770541917001,7.00896206358482e-13,3.37271254499702e-09,2.65233880195657e-09,"Mertk/Tnxb/Pik3r1/Apod/Dag1/Jam3/Rhpn1/Lims2/Vit/Itga6/Col5a3/P4hb/Sirpa/Itgav/Lrp1/Ptk2/Rab1a/Bcl6/Cd63/Taok2/Ddr1/Jak2/Spp1/Lamb1/Notch1/Gpm6b/Itgb4/Itgb1/Calr/Tesk2/Actg1/Arl2/St6gal1/Col26a1/Trpm7/Rsu1/Parva/Ccn1/Tiam1/Vcl",40
"GO:0010970","transport along microtubule","26/712","196/25730",0.13265306122449,4.79376863104793,8.99424277728208,4.12688355984552e-11,9.92928184498831e-08,7.80849810402349e-08,"Bicd2/Sfpq/Dync1h1/Kif21a/Kifc2/Rufy3/Lamp1/Rhot1/Bicd1/Rab1a/Ift74/Fuz/Dync1i2/Map1b/App/Kif3a/Tmem201/Ift20/Spg11/Clip3/Arl3/Arl8a/Htt/Mapk8ip3/Kif5b/Hsbp1",26
"GO:0030705","cytoskeleton-dependent intracellular transport","27/712","217/25730",0.124423963133641,4.49638844301766,8.72557256580204,7.77161091686778e-11,1.24656639106559e-07,9.80313727934725e-08,"Bicd2/Sfpq/Dync1h1/Kif21a/Kifc2/Rufy3/Lamp1/Rhot1/Bicd1/Rab1a/Ift74/Fuz/Dync1i2/Map1b/App/Kif3a/Tmem201/Ift20/Spg11/Clip3/Arl3/Arl8a/Htt/Mapk8ip3/Kif5b/Hook3/Hsbp1",27
"GO:0030198","extracellular matrix organization","32/712","323/25730",0.0990712074303406,3.58019967300936,7.8723254403599,5.5155121010641e-10,4.68189862562874e-07,3.6818973529193e-07,"Serpinh1/Lox/Tnxb/Timp3/Vwa1/Cst3/Tgfbr3/Dag1/Adamtsl5/Vit/Col5a3/Matn4/Matn2/Lrp1/Ptk2/Col1a2/Ddr1/Lamb1/Notch1/Gpm6b/Col4a1/App/Itgb1/Mpv17/Colgalt1/Chadl/Plod3/Ccn1/Col18a1/Selenon/Exoc8/Pomt2",32
"GO:0045229","external encapsulating structure organization","32/712","324/25730",0.0987654320987654,3.56914967401859,7.85089051006181,5.96261992380697e-10,4.68189862562874e-07,3.6818973529193e-07,"Serpinh1/Lox/Tnxb/Timp3/Vwa1/Cst3/Tgfbr3/Dag1/Adamtsl5/Vit/Col5a3/Matn4/Matn2/Lrp1/Ptk2/Col1a2/Ddr1/Lamb1/Notch1/Gpm6b/Col4a1/App/Itgb1/Mpv17/Colgalt1/Chadl/Plod3/Ccn1/Col18a1/Selenon/Exoc8/Pomt2",32
"GO:0043062","extracellular structure organization","32/712","325/25730",0.0984615384615385,3.55816767502161,7.82953994176045,6.44379954896683e-10,4.68189862562874e-07,3.6818973529193e-07,"Serpinh1/Lox/Tnxb/Timp3/Vwa1/Cst3/Tgfbr3/Dag1/Adamtsl5/Vit/Col5a3/Matn4/Matn2/Lrp1/Ptk2/Col1a2/Ddr1/Lamb1/Notch1/Gpm6b/Col4a1/App/Itgb1/Mpv17/Colgalt1/Chadl/Plod3/Ccn1/Col18a1/Selenon/Exoc8/Pomt2",32
"GO:0034976","response to endoplasmic reticulum stress","30/712","290/25730",0.103448275862069,3.73837659821774,7.91149897947106,6.81074197410664e-10,4.68189862562874e-07,3.6818973529193e-07,"Pik3r1/Herpud1/Sgf29/Nod1/Bcl2l1/Xbp1/Erlin2/Hsp90b1/Pdia6/Brsk2/P4hb/Dnajb2/Tmbim6/Sgta/Derl1/Syvn1/H13/Scamp5/Creb3l2/App/Calr/Bok/Pdia4/Serinc3/Ddrgk1/Selenon/Abca7/Erp29/Faf2/Stt3b",30
"GO:1990778","protein localization to cell periphery","36/712","410/25730",0.0878048780487805,3.1730611126336,7.48268001979844,1.29381966884345e-09,7.78232530809333e-07,6.12010751248972e-07,"Prnp/Pik3r1/Clstn1/Dag1/Palm/Atp6ap1/Bcl2l1/Hsp90b1/Cdh1/Cd81/Vamp2/Lrp1/Rabep1/Abca2/Zdhhc3/Rock2/Zfyve27/Itgb1/Camk2g/Ift20/Ehd4/Rab11fip3/Cacnb3/Epha2/Rer1/Clip3/Arl3/Ikbkb/Tspan15/Golph3/Tsc2/Stx7/Kif5b/Pacs2/Nfasc/Numa1",36
"GO:0050770","regulation of axonogenesis","22/712","176/25730",0.125,4.51720505617978,7.89859295804283,4.02973608138331e-09,2.15456555817961e-06,1.69437441082725e-06,"Mt3/Sema3g/Vim/Plxna3/Cdh1/Rufy3/Brsk2/Lrp1/Ptk2/Syngap1/Gdi1/Ttc3/Zfyve27/Map1b/Slit2/Apoe/Plxnb3/Stk25/Cyfip1/Tiam1/Tsc2/Map2k2",22
"GO:0043484","regulation of RNA splicing","23/712","198/25730",0.116161616161616,4.19780671887413,7.62022060166209,7.47747713244967e-09,3.59816199613478e-06,2.82963476749016e-06,"Fus/Clk1/Pik3r1/Tra2a/Sgf29/Srsf6/Slc38a2/Srrm1/Ddx5/Hnrnph3/Pcbp4/Tmbim6/Ccnl2/Clk4/Rbm15/Sfswap/Slirp/Hnrnph1/Rbm3/Clk3/Ptbp1/Puf60/Dazap1",23
