"Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"GO:0016043","cellular component organization",7913,231,3.51793234420304e-24,1.88525994325841e-20,"Per1,Fus,Snta1,Etnppl,Mat2a,Plk5,Mertk,Col1a1,Sptbn5,Cldn19,Apod,Cfap100,Gas2l3,Lox,Gsn,Tnxb,Rtkn,Col5a3,Pik3r1,Mt3,Bicd2,Palm,Ip6k2,S100b,Sparc,Per2,Gls,Adamtsl5,Lims2,Mpz,Vwa1,Megf9,Nr4a1,Brsk2,Fmn2,Dnajb2,Klf7,Myo9a,Mbp,Sgk1,Vim,Sema3g,Iqgap2,Nfasc,Arhgap39,Drp2,Hjurp,Kif21a,Myo7a,Gnptab,Prnp,Prelid3a,Sfpq,Rhpn1,Lrp1,Plxna3,Rufy3,Sirt2,Aldh9a1,Cntf,Psap,Nedd9,Cryab,Dmpk,Dync1h1,Sncg,Fa2h,Tgfbr3,Sgf29,Meaf6,Nbl1,Rap1gds1,Vamp2,Clstn1,Tbc1d23,Zkscan3,Srsf6,Jam3,Kifc2,Bcl2l1,Snx14,Ift74,Vit,Med22,Prrt1,Dock7,Pla2g7,Pmp22,Gdi1,Atp11a,Rhot1,Dcun1d5,Rapgef3,Cdh1,Cttnbp2,Arhgef17,Itpr3,Mylip,Plxna1,Map2k2,Sptbn1,Arhgef1,Cfl2,Taok2,Arhgef10,Rabep1,Acrbp,Myo1b,Vav2,Map1b,Amotl2,Atp6ap1,Ranbp9,Fuz,Serpinh1,Plekha1,Arrb2,Entr1,Ptk2,Arl2,Itga6,Brwd1,Retreg1,Syngap1,Cd9,Reep5,Mllt6,Cd63,Hace1,Abca2,Clcn2,Clip4,Huwe1,Ndufa13,Bok,Prkca,Ppfibp1,Vamp1,Tpp1,Trpm7,Znhit1,Nudcd3,Kif3a,Tns1,Snx18,Htt,Gulp1,Cdh19,Mroh1,Dag1,Bcl2l2,Col5a1,Sirpa,Ccnl2,Rsrp1,Tdrkh,Cfp,Nsmf,Tesk2,Igsf11,Chka,Immt,Atxn2,Pdcd6ip,Mdm4,Xbp1,St7l,Filip1,Acap3,Kif1a,Slc6a1,Mical2,Cyld,Med15,Parva,Bicd1,Azin1,Tjp1,Camk2g,Gpm6b,Stxbp6,Marf1,Lyst,Ercc1,Atg16l2,Luc7l3,Tada2a,Smg1,Mast3,Stx18,Ptpn13,Stk25,Alkbh5,Gopc,Exoc6b,Cep295nl,Prkar1a,Fbxl2,Dclk2,Agtpbp1,Timp3,Abr,Fat1,Ankrd28,Rnh1,Stard9,Mapk8ip3,Vps41,Asph,Ddx3x,Mal,Itgb4,Slirp,Ctns,Hmbox1,Jdp2,Jak2,Ubn2,Igfbp5,Mtr,Ddr1,Herc1,Ifrd1,U2af2,Rap1gap,Mbd2,Mdn1,Arhgap12,Hdgfl3,Ucp2,Pcbp2"
"GO:0071840","cellular component organization or biogenesis",8121,233,2.23587263895523e-23,5.99102073608053e-20,"Per1,Fus,Snta1,Etnppl,Mat2a,Plk5,Mertk,Col1a1,Sptbn5,Cldn19,Apod,Cfap100,Gas2l3,Lox,Gsn,Tnxb,Rtkn,Col5a3,Pik3r1,Mt3,Bicd2,Palm,Wbp11,Ip6k2,S100b,Sparc,Per2,Gls,Adamtsl5,Lims2,Mpz,Vwa1,Megf9,Nr4a1,Brsk2,Fmn2,Dnajb2,Klf7,Myo9a,Mbp,Sgk1,Vim,Sema3g,Iqgap2,Nfasc,Arhgap39,Drp2,Hjurp,Kif21a,Myo7a,Gnptab,Prnp,Prelid3a,Sfpq,Rhpn1,Lrp1,Plxna3,Rufy3,Sirt2,Aldh9a1,Cntf,Psap,Nedd9,Cryab,Dmpk,Dync1h1,Sncg,Fa2h,Tgfbr3,Sgf29,Meaf6,Nbl1,Rap1gds1,Vamp2,Clstn1,Tbc1d23,Zkscan3,Srsf6,Jam3,Kifc2,Bcl2l1,Snx14,Ift74,Vit,Med22,Prrt1,Dock7,Pla2g7,Pmp22,Gdi1,Atp11a,Rhot1,Dcun1d5,Rapgef3,Cdh1,Cttnbp2,Arhgef17,Itpr3,Mylip,Plxna1,Map2k2,Sptbn1,Arhgef1,Cfl2,Taok2,Arhgef10,Rabep1,Acrbp,Myo1b,Vav2,Map1b,Amotl2,Atp6ap1,Ranbp9,Fuz,Serpinh1,Plekha1,Arrb2,Entr1,Ptk2,Arl2,Itga6,Brwd1,Retreg1,Syngap1,Cd9,Reep5,Mllt6,Cd63,Hace1,Abca2,Clcn2,Clip4,Huwe1,Ndufa13,Bok,Prkca,Ppfibp1,Vamp1,Tpp1,Trpm7,Znhit1,Nudcd3,Kif3a,Tns1,Snx18,Htt,Gulp1,Cdh19,Mroh1,Dag1,Bcl2l2,Col5a1,Sirpa,Ccnl2,Rsrp1,Tdrkh,Cfp,Serinc1,Nsmf,Tesk2,Igsf11,Chka,Immt,Atxn2,Pdcd6ip,Mdm4,Xbp1,St7l,Filip1,Acap3,Kif1a,Slc6a1,Mical2,Cyld,Med15,Parva,Bicd1,Azin1,Tjp1,Camk2g,Gpm6b,Stxbp6,Marf1,Lyst,Ercc1,Atg16l2,Luc7l3,Tada2a,Smg1,Mast3,Stx18,Ptpn13,Stk25,Alkbh5,Gopc,Exoc6b,Cep295nl,Prkar1a,Fbxl2,Dclk2,Agtpbp1,Timp3,Abr,Fat1,Ankrd28,Rnh1,Stard9,Mapk8ip3,Vps41,Asph,Ddx3x,Mal,Itgb4,Slirp,Ctns,Hmbox1,Jdp2,Jak2,Ubn2,Igfbp5,Mtr,Ddr1,Herc1,Ifrd1,U2af2,Rap1gap,Mbd2,Mdn1,Arhgap12,Hdgfl3,Ucp2,Pcbp2"
"GO:0048731","system development",4438,158,5.36203745003607e-23,9.5783862315811e-20,"Dusp15,Plk5,Mertk,Col1a1,Ogn,Cldn19,Apod,Lox,Gsn,Tnxb,Tns2,Pik3r1,Rhobtb3,Vstm4,Mt3,Palm,S100b,Sparc,Per2,Arid5b,Lims2,Mpz,Megf9,Nr4a1,Brsk2,Klf7,Myo9a,Mbp,Sgk1,Vim,Sema3g,Aspa,Nfasc,Drp2,Kif21a,Myo7a,Rhpn1,Lrp1,Plxna3,Rufy3,Sirt2,Col4a2,Rorc,Cntf,Psap,Cryab,Fa2h,Klf15,Tgfbr3,Nbl1,Maged1,Mthfd1l,Clstn1,Tbc1d23,Srsf6,Jam3,Kifc2,Lctl,Anks1,Bcl2l1,Ift74,Stim1,Vit,Dock7,Ecscr,Pmp22,Gdi1,Rapgef3,Cdh1,Mylip,Plxna1,Map2k2,Sptbn1,Taok2,Sin3b,Arhgef10,Vav2,Map1b,Amotl2,Chm,Atp6ap1,Fuz,Serpinh1,Plekha1,Arrb2,Ptk2,Itpk1,Itga6,Syngap1,Cd9,Spp1,Gpr37l1,Abca2,Clcn2,Bok,Prkca,Errfi1,Tpp1,Slc7a5,Cemip2,Kif3a,Timp2,Htt,Dag1,Bcl2l2,Col5a1,Notch2,Atf7,Slc38a2,Nsmf,Igsf11,Atxn2,Mdm4,Xbp1,Matr3,Filip1,Acap3,Kif1a,Mical2,Parva,Lta4h,Tjp1,Camk2g,Gpm6b,Tnfsf12,Ercc1,Ppib,Mxra8,Ptpn13,Stk25,Klf9,Prkar1a,Dclk2,Agtpbp1,Timp3,Mboat7,Abr,Fat1,Rnh1,Mapk8ip3,Anxa3,Mal,Itgb4,Ctns,Sat1,Lgals8,Jak2,Igfbp5,Mtr,Ddr1,Herc1,Tnfsf13,Ifrd1,Rap1gap,Mbd2,Arhgap12,Hdgfl3,Ucp2"
"GO:0051179","localization",5607,180,1.13825584116232e-21,1.52497826319721e-18,"Per1,Snta1,Etnppl,Mat2a,Ncf2,Mertk,Col1a1,Sptbn5,Otud7b,Cldn19,Apod,Gsn,Appbp2,Pik3r1,Rhobtb3,Mt3,Bicd2,Palm,Ip6k2,Per2,Mapk8ip1,Fam53b,Nr4a1,Brsk2,S100a6,Fmn2,Pttg1ip,Dnajb2,Klf7,Sgk1,Pabpn1,Nfasc,Tspan17,Kif21a,Myo7a,Gnptab,Prnp,Prelid3a,Sfpq,Lrp1,Rufy3,Sirt2,Cntf,Psap,Nedd9,Cryab,Dmpk,Zdhhc3,Dync1h1,Homer3,Sncg,Klf15,Abcc5,Atp1b3,Nbl1,Rap1gds1,Maged1,Vamp2,Tmc4,Clstn1,Tbc1d23,Jam3,Kifc2,Bcl2l1,Snx14,Ift74,Stim1,Slc3a2,Kcnk1,Prrt1,Dock7,Tmc6,Ccdc93,Gdi1,Atp11a,Rhot1,Rapgef3,Cdh1,Slc22a17,Itpr3,Map2k2,Sptbn1,Prss12,Herpud1,Cltb,Ucp3,Rabep1,Myo1b,Map1b,Amotl2,Chm,Atp6ap1,Slc44a2,Fuz,Plekha1,Arrb2,Entr1,Ptk2,Arl2,Retreg1,Syngap1,Cd9,Xpo7,Mllt6,Spp1,Slc25a51,Cd63,Abca2,Clcn2,Ndufa13,Bok,Prkca,Vamp1,Pim3,Errfi1,Tpp1,Slc7a5,Trpm7,Nudcd3,Kif3a,Snx18,Htt,Atp1a1,Gulp1,Slc27a1,Catsper2,Dag1,Bcl2l2,Sirpa,Slc48a1,Cfp,Aagab,Slc38a2,Igsf11,Gjb1,Atxn2,Pdcd6ip,Xbp1,Filip1,Kif1a,Slc6a1,Cyld,Bicd1,Azin1,Tjp1,Camk2g,Gpm6b,Tex2,Stxbp6,Lyst,Atg16l2,Ddx5,Stx18,Stk25,Alkbh5,Gopc,Ttyh2,Exoc6b,Prkar1a,Dclk2,Agtpbp1,Abr,Scrn1,Afap1,Mapk8ip3,Vps41,Asph,Ddx3x,Anxa3,Mal,Ctns,Sgsm2,Hdlbp,Jak2,Ddr1,Nadk,Rap1gap,Stoml1,Arhgap12,Ucp2"
"GO:0007275","multicellular organism development",5197,170,4.8601892717095e-21,5.20915086141825e-18,"Dusp15,Plk5,Mertk,Col1a1,Ogn,Otud7b,Cldn19,Apod,Lox,Gsn,Tnxb,Tns2,Pik3r1,Rhobtb3,Vstm4,Mt3,Palm,S100b,Sparc,Per2,Arid5b,Lims2,Mpz,Megf9,Nr4a1,Brsk2,Klf7,Myo9a,Mbp,Sgk1,Vim,Sema3g,Aspa,Nfasc,Drp2,Kif21a,Myo7a,Mafg,Rhpn1,Lrp1,Plxna3,Rufy3,Sirt2,Col4a2,Rorc,Cntf,Psap,Nedd9,Cryab,Fa2h,Klf15,Tgfbr3,Sgf29,Meaf6,Nbl1,Maged1,Mthfd1l,Clstn1,Tbc1d23,Srsf6,Jam3,Kifc2,Lctl,Anks1,Bcl2l1,Ift74,Stim1,Vit,Dock7,Ecscr,Pmp22,Gdi1,Atp11a,Rapgef3,Cdh1,Mylip,Plxna1,Map2k2,Sptbn1,Taok2,Sin3b,Birc6,Arhgef10,Vav2,Map1b,Amotl2,Chm,Atp6ap1,Fuz,Serpinh1,Plekha1,Arrb2,Ptk2,Itpk1,Itga6,Syngap1,Cd9,Spp1,Gpr37l1,Abca2,Clcn2,Bok,Prkca,Errfi1,Tpp1,Slc7a5,Cemip2,Kif3a,Timp2,Htt,Dag1,Bcl2l2,Col5a1,Notch2,Tdrkh,Atf7,Slc38a2,Nsmf,Igsf11,Atxn2,Mdm4,Xbp1,Matr3,Filip1,Acap3,Kif1a,Tcim,Mical2,Cyld,Parva,Lta4h,Tjp1,Camk2g,Gpm6b,Tnfsf12,Ercc1,Tada2a,Ppib,Mxra8,Ptpn13,Stk25,Klf9,Prkar1a,Dclk2,Agtpbp1,Timp3,Mboat7,Abr,Fat1,Rnh1,Mapk8ip3,Asph,Anxa3,Mal,Itgb4,Ctns,Sat1,Lgals8,Jak2,Igfbp5,Mtr,Ddr1,Herc1,Tnfsf13,Ifrd1,Rap1gap,Mbd2,Arhgap12,Hdgfl3,Ucp2"
"GO:0051234","establishment of localization",4883,160,1.31936527864167e-19,1.17841308804011e-16,"Per1,Snta1,Etnppl,Ncf2,Mertk,Col1a1,Sptbn5,Cldn19,Apod,Gsn,Appbp2,Pik3r1,Rhobtb3,Mt3,Bicd2,Ip6k2,Per2,Mapk8ip1,Fam53b,Nr4a1,Brsk2,S100a6,Fmn2,Pttg1ip,Klf7,Sgk1,Pabpn1,Tspan17,Kif21a,Myo7a,Gnptab,Prnp,Prelid3a,Sfpq,Lrp1,Rufy3,Sirt2,Cntf,Psap,Cryab,Dmpk,Zdhhc3,Dync1h1,Homer3,Sncg,Klf15,Abcc5,Atp1b3,Rap1gds1,Vamp2,Tmc4,Clstn1,Tbc1d23,Kifc2,Bcl2l1,Snx14,Ift74,Stim1,Slc3a2,Kcnk1,Prrt1,Dock7,Tmc6,Ccdc93,Gdi1,Atp11a,Rhot1,Rapgef3,Cdh1,Slc22a17,Itpr3,Map2k2,Sptbn1,Prss12,Herpud1,Cltb,Ucp3,Rabep1,Myo1b,Map1b,Chm,Atp6ap1,Slc44a2,Fuz,Plekha1,Arrb2,Entr1,Ptk2,Arl2,Retreg1,Cd9,Xpo7,Mllt6,Spp1,Slc25a51,Cd63,Abca2,Clcn2,Ndufa13,Bok,Prkca,Vamp1,Pim3,Slc7a5,Trpm7,Kif3a,Snx18,Htt,Atp1a1,Gulp1,Slc27a1,Catsper2,Dag1,Bcl2l2,Sirpa,Slc48a1,Cfp,Aagab,Slc38a2,Gjb1,Atxn2,Pdcd6ip,Xbp1,Kif1a,Slc6a1,Bicd1,Azin1,Camk2g,Gpm6b,Tex2,Stxbp6,Lyst,Atg16l2,Ddx5,Stx18,Stk25,Alkbh5,Gopc,Ttyh2,Exoc6b,Prkar1a,Agtpbp1,Abr,Scrn1,Afap1,Mapk8ip3,Vps41,Asph,Anxa3,Mal,Ctns,Sgsm2,Hdlbp,Jak2,Ddr1,Nadk,Rap1gap,Stoml1,Arhgap12,Ucp2"
"GO:0051128","regulation of cellular component organization",2712,110,2.17233766696847e-19,1.66307965104057e-16,"Plk5,Mertk,Apod,Gsn,Tnxb,Pik3r1,Mt3,Bicd2,Palm,Ip6k2,Sparc,Per2,Brsk2,Dnajb2,Myo9a,Mbp,Sgk1,Vim,Sema3g,Iqgap2,Hjurp,Kif21a,Prnp,Sfpq,Rhpn1,Lrp1,Plxna3,Rufy3,Sirt2,Cntf,Nedd9,Cryab,Dmpk,Dync1h1,Tgfbr3,Meaf6,Rap1gds1,Clstn1,Jam3,Bcl2l1,Pmp22,Gdi1,Rhot1,Dcun1d5,Rapgef3,Cdh1,Cttnbp2,Mylip,Map2k2,Sptbn1,Cfl2,Taok2,Arhgef10,Rabep1,Map1b,Fuz,Arrb2,Entr1,Ptk2,Arl2,Itga6,Syngap1,Cd63,Abca2,Huwe1,Bok,Prkca,Vamp1,Kif3a,Snx18,Htt,Dag1,Bcl2l2,Sirpa,Ccnl2,Cfp,Nsmf,Igsf11,Atxn2,Pdcd6ip,Xbp1,St7l,Acap3,Kif1a,Cyld,Bicd1,Azin1,Tjp1,Camk2g,Gpm6b,Stxbp6,Ercc1,Smg1,Stx18,Ptpn13,Stk25,Cep295nl,Fbxl2,Timp3,Abr,Ankrd28,Rnh1,Asph,Ddx3x,Igfbp5,Ddr1,Ifrd1,Rap1gap,Arhgap12,Hdgfl3"
"GO:0009987","cellular process",20947,408,4.46364097842796e-19,2.99008150042443e-16,"Dusp15,Per1,Fus,Snta1,Etnppl,Mat2a,Plk5,Ncf2,Mertk,Col1a1,Clk1,Sptbn5,Ogn,Otud7b,Cldn19,Apod,Cfap100,Gas2l3,Lox,Hsd17b14,Gsn,Tnxb,Rtkn,Tns2,Col5a3,Mt2,Appbp2,Pik3r1,Rhobtb3,Tsc22d3,Vstm4,Plekha4,Mt3,Bicd2,Palm,S100a7a,Wbp11,Ip6k2,Zcchc7,S100b,Sparc,Per2,Arid5b,Sdc3,Gls,Adamtsl5,Dnajc7,Mapk8ip1,Lims2,Fam53b,Mpz,Eid1,Vwa1,Megf9,Nr4a1,Brsk2,S100a6,Fmn2,Gpt,Pttg1ip,Dnajb2,Klf7,Myo9a,Mbp,Cyb5r2,Sgk1,Vim,Sema3g,Tmtc1,Tra2a,Iqgap2,Aspa,Nod1,Pabpn1,Nfasc,Mocs2,Arhgap39,Drp2,Tspan17,Scube1,Hjurp,Kif21a,Myo7a,Gnptab,Prnp,Lmo1,Prelid3a,Mafg,Sfpq,Mt1,Abhd14b,Rhpn1,Lrp1,Plxna3,Rufy3,Sirt2,Mlec,Col4a2,Zfp276,Elovl7,Rorc,Aldh9a1,Cntf,Wdfy2,Psap,Nedd9,Fra10ac1,Cryab,Inpp4a,Dmpk,Galnt16,Zdhhc3,Dync1h1,Homer3,Dtymk,Sncg,Cerk,Fa2h,Klf15,Abcc5,Tgfbr3,Ints10,Sgf29,Atp1b3,Meaf6,Nbl1,Rap1gds1,Maged1,Vamp2,Mthfd1l,Tmc4,Wdfy3,Clstn1,Tbc1d23,Ide,Zkscan3,Ddn,Srsf6,Senp3,Abtb2,Erlin2,Ippk,Jam3,Kifc2,Rasal2,Lctl,Anks1,Bcl2l1,Ralgds,Snx14,Ift74,Stim1,Vit,Slc3a2,Tnfrsf25,Kcnk1,Med22,Prrt1,Dock7,Pla2g7,Ecscr,Srrm1,Tmc6,Ccdc93,Pmp22,Gdi1,Atp11a,Rhot1,Dcun1d5,Rapgef3,Cdh1,Slc22a17,Oxr1,Cttnbp2,Arhgef17,Ppip5k2,Col24a1,Itpr3,Mylip,Plxna1,Map2k2,Sptbn1,Prss12,Arhgef1,Cfl2,Taok2,Herpud1,Sin3b,Far1,Cltb,Birc6,Sod3,Ucp3,Mpnd,Arhgef10,Rabep1,Acrbp,Myo1b,Vav2,Map1b,Amotl2,Cdc37l1,Chm,Ccnt2,Ptpre,Atp6ap1,Evc2,Ranbp9,Slc44a2,Fuz,Wdr13,Serpinh1,Elovl1,Plekha1,Arrb2,Entr1,Ptk2,Wdr82,Arl2,Pcmtd1,Itpk1,Itga6,Ivd,Brwd1,Retreg1,Syngap1,Cd9,Reep5,Xpo7,Mllt6,Spp1,Hnrnph3,Slc25a51,Pcyox1l,Gpr37l1,Cd63,Hace1,Bckdhb,Adat1,Abca2,Clcn2,Clip4,Huwe1,Lztr1,Ndufa13,U2surp,Bok,Snd1,Gpt2,Prkca,Ppfibp1,Vamp1,Zfp397,Pim3,Usp34,Errfi1,Rgs11,Tpp1,Slc7a5,Pcbp4,Trpm7,Znhit1,Nudcd3,Cemip2,Kif3a,Timp2,Tns1,Mdp1,Snx18,Htt,Atp1a1,Gulp1,Cdh19,Slc27a1,Catsper2,Mroh1,Dag1,Bcl2l2,Col5a1,Sirpa,Notch2,Ccnl2,Amdhd2,Rsrp1,Slc48a1,Tdrkh,Cfp,Lrrfip2,Serinc1,Il17rb,Atf7,Sh3bp5,Ntan1,Arhgef12,Slc38a2,Nsmf,Tesk2,Igsf11,Chka,Immt,Gjb1,Atxn2,Pdcd6ip,Mdm4,Xbp1,St7l,Matr3,Zfp451,Filip1,Acap3,Kif1a,Tcim,Acads,Slc6a1,Mical2,Cyld,Med15,Parva,Lta4h,Bicd1,Azin1,Gng2,Tjp1,Dcaf6,Camk2g,Gpm6b,Tnfsf12,Stxbp6,Marf1,Ddx41,Lyst,Hspa4l,Lgals4,Ercc1,Atg16l2,Ddx5,Luc7l3,Tada2a,Ppib,Smg1,Mast3,Stx18,Mxra8,Ptpn13,Ptms,Stk25,Alkbh5,Gopc,Hnrnph1,Klf9,Ttyh2,Exoc6b,Cep295nl,Prkar1a,Fbxl2,Hspb2,Dclk2,Agtpbp1,Timp3,Mboat7,Abr,Scrn1,Fat1,Ankrd28,Afap1,Rnh1,Usp5,Stard9,Gkap1,Mapk8ip3,Vps41,Asph,Ddx3x,Anxa3,Mal,Itgb4,Slirp,Ctns,Sgsm2,Sat1,Hmbox1,Jdp2,Hdlbp,Pag1,Map4k3,Lgals8,Jak2,Ubn2,Igfbp5,Clasrp,Mtr,Ddr1,Herc1,Tnfsf13,Nadk,Ifrd1,U2af2,Rap1gap,Mbd2,Afap1l2,Mdn1,Arhgap12,Hdgfl3,Ucp2,Pcbp2,Idh3g,Ctnnal1,Mtus1"
"GO:0006810","transport",4642,153,7.93334259417961e-19,4.35479272316552e-16,"Per1,Snta1,Etnppl,Ncf2,Mertk,Col1a1,Sptbn5,Cldn19,Apod,Gsn,Appbp2,Pik3r1,Rhobtb3,Mt3,Bicd2,Ip6k2,Per2,Mapk8ip1,Fam53b,Nr4a1,Brsk2,S100a6,Fmn2,Pttg1ip,Klf7,Sgk1,Pabpn1,Kif21a,Myo7a,Gnptab,Prnp,Prelid3a,Sfpq,Lrp1,Rufy3,Sirt2,Cntf,Psap,Cryab,Dmpk,Dync1h1,Homer3,Sncg,Klf15,Abcc5,Atp1b3,Rap1gds1,Vamp2,Tmc4,Clstn1,Tbc1d23,Kifc2,Bcl2l1,Snx14,Ift74,Stim1,Slc3a2,Kcnk1,Prrt1,Dock7,Tmc6,Ccdc93,Gdi1,Atp11a,Rhot1,Rapgef3,Cdh1,Slc22a17,Itpr3,Map2k2,Sptbn1,Prss12,Herpud1,Cltb,Ucp3,Rabep1,Myo1b,Map1b,Chm,Atp6ap1,Slc44a2,Fuz,Arrb2,Entr1,Ptk2,Arl2,Cd9,Xpo7,Mllt6,Spp1,Slc25a51,Cd63,Abca2,Clcn2,Bok,Prkca,Vamp1,Pim3,Slc7a5,Trpm7,Kif3a,Snx18,Htt,Atp1a1,Gulp1,Slc27a1,Catsper2,Dag1,Bcl2l2,Sirpa,Slc48a1,Cfp,Aagab,Slc38a2,Gjb1,Atxn2,Pdcd6ip,Xbp1,Kif1a,Slc6a1,Bicd1,Azin1,Camk2g,Gpm6b,Tex2,Stxbp6,Lyst,Atg16l2,Ddx5,Stx18,Alkbh5,Gopc,Ttyh2,Exoc6b,Prkar1a,Agtpbp1,Abr,Scrn1,Afap1,Mapk8ip3,Vps41,Asph,Anxa3,Ctns,Sgsm2,Hdlbp,Jak2,Ddr1,Nadk,Rap1gap,Stoml1,Arhgap12,Ucp2"
"GO:0048856","anatomical structure development",6654,194,8.12612935839807e-19,4.35479272316552e-16,"Dusp15,Plk5,Mertk,Col1a1,Ogn,Otud7b,Cldn19,Apod,Lox,Gsn,Tnxb,Tns2,Pik3r1,Rhobtb3,Tsc22d3,Vstm4,Mt3,Palm,S100b,Sparc,Per2,Arid5b,Lims2,Mpz,Megf9,Nr4a1,Brsk2,Fmn2,Klf7,Myo9a,Mbp,Sgk1,Vim,Sema3g,Aspa,Nfasc,Drp2,Kif21a,Myo7a,Mafg,Rhpn1,Lrp1,Plxna3,Rufy3,Palmd,Sirt2,Col4a2,Rorc,Cntf,Psap,Nedd9,Cryab,Dmpk,Fa2h,Klf15,Tgfbr3,Sgf29,Meaf6,Nbl1,Maged1,Mthfd1l,Clstn1,Tbc1d23,Srsf6,Jam3,Kifc2,Rasal2,Lctl,Anks1,Bcl2l1,Ift74,Stim1,Vit,Dock7,Ecscr,Pmp22,Gdi1,Atp11a,Rapgef3,Cdh1,Col24a1,Mylip,Plxna1,Map2k2,Sptbn1,Cfl2,Taok2,Sin3b,Birc6,Arhgef10,Acrbp,Vav2,Map1b,Amotl2,Chm,Ccnt2,Atp6ap1,Fuz,Serpinh1,Elovl1,Plekha1,Arrb2,Ptk2,Itpk1,Itga6,Brwd1,Syngap1,Cd9,Spp1,Gpr37l1,Cd63,Abca2,Clcn2,Huwe1,Bok,Prkca,Errfi1,Tpp1,Slc7a5,Znhit1,Cemip2,Kif3a,Timp2,Htt,Cdh19,Catsper2,Dag1,Bcl2l2,Col5a1,Sirpa,Notch2,Slc48a1,Tdrkh,Atf7,Slc38a2,Nsmf,Igsf11,Atxn2,Mdm4,Xbp1,Matr3,Filip1,Acap3,Kif1a,Tcim,Mical2,Cyld,Parva,Lta4h,Tjp1,Camk2g,Gpm6b,Tnfsf12,Marf1,Ercc1,Ddx5,Tada2a,Ppib,Mxra8,Ptpn13,Stk25,Gopc,Klf9,Prkar1a,Hspb2,Dclk2,Agtpbp1,Timp3,Mboat7,Abr,Fat1,Afap1,Rnh1,Mapk8ip3,Asph,Anxa3,Mal,Itgb4,Slirp,Ctns,Sat1,Lgals8,Jak2,Igfbp5,Mtr,Ddr1,Herc1,Tnfsf13,Ifrd1,Rap1gap,Mbd2,Arhgap12,Hdgfl3,Ucp2"
