"Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"GO:0016043","cellular component organization",7913,205,2.31655737645468e-22,1.14298940954274e-18,"Per1,Fus,Snta1,Plk5,Mertk,Apod,Cfap100,Gas2l3,Lox,Gsn,Tnxb,Rtkn,Col5a3,Pik3r1,Mt3,Bicd2,Palm,Ip6k2,Sparc,Gls,Adamtsl5,Lims2,Mpz,Vwa1,Brsk2,Fmn2,Dnajb2,Klf7,Myo9a,Vim,Sema3g,Iqgap2,Nfasc,Arhgap39,Drp2,Hjurp,Kif21a,Gnptab,Prnp,Prelid3a,Sfpq,Rhpn1,Lrp1,Plxna3,Rufy3,Sirt2,Aldh9a1,Psap,Dmpk,Dync1h1,Sncg,Fa2h,Tgfbr3,Sgf29,Meaf6,Rap1gds1,Vamp2,Clstn1,Tbc1d23,Srsf6,Jam3,Kifc2,Bcl2l1,Snx14,Ift74,Vit,Med22,Prrt1,Dock7,Pla2g7,Gdi1,Atp11a,Rhot1,Dcun1d5,Rapgef3,Cdh1,Cttnbp2,Arhgef17,Itpr3,Mylip,Plxna1,Map2k2,Sptbn1,Arhgef1,Cfl2,Taok2,Arhgef10,Rabep1,Acrbp,Myo1b,Vav2,Map1b,Amotl2,Atp6ap1,Ranbp9,Fuz,Serpinh1,Plekha1,Entr1,Ptk2,Arl2,Itga6,Brwd1,Retreg1,Syngap1,Cd9,Reep5,Mllt6,Cd63,Hace1,Abca2,Clip4,Huwe1,Ndufa13,Bok,Prkca,Ppfibp1,Vamp1,Tpp1,Trpm7,Znhit1,Nudcd3,Kif3a,Snx18,Htt,Gulp1,Cdh19,Mroh1,Dag1,Bcl2l2,Col5a1,Sirpa,Ccnl2,Rsrp1,Tdrkh,Nsmf,Tesk2,Igsf11,Chka,Immt,Atxn2,Pdcd6ip,Mdm4,Xbp1,St7l,Filip1,Acap3,Kif1a,Slc6a1,Mical2,Cyld,Med15,Parva,Bicd1,Azin1,Tjp1,Camk2g,Gpm6b,Stxbp6,Marf1,Lyst,Ercc1,Atg16l2,Luc7l3,Tada2a,Smg1,Mast3,Stx18,Ptpn13,Stk25,Alkbh5,Gopc,Exoc6b,Cep295nl,Prkar1a,Fbxl2,Dclk2,Timp3,Abr,Fat1,Ankrd28,Rnh1,Stard9,Mapk8ip3,Vps41,Asph,Mal,Itgb4,Slirp,Ctns,Hmbox1,Jdp2,Jak2,Ubn2,Igfbp5,Mtr,Ddr1,Herc1,U2af2,Mbd2,Mdn1,Arhgap12,Hdgfl3,Ucp2,Pcbp2"
"GO:0071840","cellular component organization or biogenesis",8121,207,9.54765938758652e-22,2.3554075709176e-18,"Per1,Fus,Snta1,Plk5,Mertk,Apod,Cfap100,Gas2l3,Lox,Gsn,Tnxb,Rtkn,Col5a3,Pik3r1,Mt3,Bicd2,Palm,Wbp11,Ip6k2,Sparc,Gls,Adamtsl5,Lims2,Mpz,Vwa1,Brsk2,Fmn2,Dnajb2,Klf7,Myo9a,Vim,Sema3g,Iqgap2,Nfasc,Arhgap39,Drp2,Hjurp,Kif21a,Gnptab,Prnp,Prelid3a,Sfpq,Rhpn1,Lrp1,Plxna3,Rufy3,Sirt2,Aldh9a1,Psap,Dmpk,Dync1h1,Sncg,Fa2h,Tgfbr3,Sgf29,Meaf6,Rap1gds1,Vamp2,Clstn1,Tbc1d23,Srsf6,Jam3,Kifc2,Bcl2l1,Snx14,Ift74,Vit,Med22,Prrt1,Dock7,Pla2g7,Gdi1,Atp11a,Rhot1,Dcun1d5,Rapgef3,Cdh1,Cttnbp2,Arhgef17,Itpr3,Mylip,Plxna1,Map2k2,Sptbn1,Arhgef1,Cfl2,Taok2,Arhgef10,Rabep1,Acrbp,Myo1b,Vav2,Map1b,Amotl2,Atp6ap1,Ranbp9,Fuz,Serpinh1,Plekha1,Entr1,Ptk2,Arl2,Itga6,Brwd1,Retreg1,Syngap1,Cd9,Reep5,Mllt6,Cd63,Hace1,Abca2,Clip4,Huwe1,Ndufa13,Bok,Prkca,Ppfibp1,Vamp1,Tpp1,Trpm7,Znhit1,Nudcd3,Kif3a,Snx18,Htt,Gulp1,Cdh19,Mroh1,Dag1,Bcl2l2,Col5a1,Sirpa,Ccnl2,Rsrp1,Tdrkh,Serinc1,Nsmf,Tesk2,Igsf11,Chka,Immt,Atxn2,Pdcd6ip,Mdm4,Xbp1,St7l,Filip1,Acap3,Kif1a,Slc6a1,Mical2,Cyld,Med15,Parva,Bicd1,Azin1,Tjp1,Camk2g,Gpm6b,Stxbp6,Marf1,Lyst,Ercc1,Atg16l2,Luc7l3,Tada2a,Smg1,Mast3,Stx18,Ptpn13,Stk25,Alkbh5,Gopc,Exoc6b,Cep295nl,Prkar1a,Fbxl2,Dclk2,Timp3,Abr,Fat1,Ankrd28,Rnh1,Stard9,Mapk8ip3,Vps41,Asph,Mal,Itgb4,Slirp,Ctns,Hmbox1,Jdp2,Jak2,Ubn2,Igfbp5,Mtr,Ddr1,Herc1,U2af2,Mbd2,Mdn1,Arhgap12,Hdgfl3,Ucp2,Pcbp2"
"GO:0051128","regulation of cellular component organization",2712,98,6.95890717965731e-18,1.14450826748097e-14,"Plk5,Mertk,Apod,Gsn,Tnxb,Pik3r1,Mt3,Bicd2,Palm,Ip6k2,Sparc,Brsk2,Dnajb2,Myo9a,Vim,Sema3g,Iqgap2,Hjurp,Kif21a,Prnp,Sfpq,Rhpn1,Lrp1,Plxna3,Rufy3,Sirt2,Dmpk,Dync1h1,Tgfbr3,Meaf6,Rap1gds1,Clstn1,Jam3,Bcl2l1,Gdi1,Rhot1,Dcun1d5,Rapgef3,Cdh1,Cttnbp2,Mylip,Map2k2,Sptbn1,Cfl2,Taok2,Arhgef10,Rabep1,Map1b,Fuz,Entr1,Ptk2,Arl2,Itga6,Syngap1,Cd63,Abca2,Huwe1,Bok,Prkca,Vamp1,Kif3a,Snx18,Htt,Dag1,Bcl2l2,Sirpa,Ccnl2,Nsmf,Igsf11,Atxn2,Pdcd6ip,Xbp1,St7l,Acap3,Kif1a,Cyld,Bicd1,Azin1,Tjp1,Camk2g,Gpm6b,Stxbp6,Ercc1,Smg1,Stx18,Ptpn13,Stk25,Cep295nl,Fbxl2,Timp3,Abr,Ankrd28,Rnh1,Asph,Igfbp5,Ddr1,Arhgap12,Hdgfl3"
"GO:0048731","system development",4438,129,4.36523054117573e-16,4.53143302608865e-13,"Plk5,Mertk,Ogn,Apod,Lox,Gsn,Tnxb,Tns2,Pik3r1,Vstm4,Mt3,Palm,Sparc,Lims2,Mpz,Brsk2,Klf7,Myo9a,Vim,Sema3g,Aspa,Nfasc,Drp2,Kif21a,Rhpn1,Lrp1,Plxna3,Rufy3,Sirt2,Col4a2,Rorc,Psap,Fa2h,Tgfbr3,Maged1,Mthfd1l,Clstn1,Tbc1d23,Srsf6,Jam3,Kifc2,Anks1,Bcl2l1,Ift74,Stim1,Vit,Dock7,Ecscr,Gdi1,Rapgef3,Cdh1,Mylip,Plxna1,Map2k2,Sptbn1,Taok2,Sin3b,Arhgef10,Vav2,Map1b,Amotl2,Chm,Atp6ap1,Fuz,Serpinh1,Plekha1,Ptk2,Itpk1,Itga6,Syngap1,Cd9,Spp1,Gpr37l1,Abca2,Bok,Prkca,Tpp1,Cemip2,Kif3a,Timp2,Htt,Dag1,Bcl2l2,Col5a1,Notch2,Atf7,Slc38a2,Nsmf,Igsf11,Atxn2,Mdm4,Xbp1,Matr3,Filip1,Acap3,Kif1a,Mical2,Parva,Lta4h,Tjp1,Camk2g,Gpm6b,Tnfsf12,Ercc1,Ppib,Mxra8,Ptpn13,Stk25,Prkar1a,Dclk2,Timp3,Abr,Fat1,Rnh1,Mapk8ip3,Mal,Itgb4,Ctns,Lgals8,Jak2,Igfbp5,Mtr,Ddr1,Herc1,Tnfsf13,Mbd2,Arhgap12,Hdgfl3,Ucp2"
"GO:0009987","cellular process",20947,357,4.59204806048708e-16,4.53143302608865e-13,"Per1,Fus,Snta1,Plk5,Mertk,Clk1,Ogn,Apod,Cfap100,Gas2l3,Lox,Hsd17b14,Gsn,Tnxb,Rtkn,Tns2,Col5a3,Mt2,Appbp2,Pik3r1,Vstm4,Plekha4,Mt3,Bicd2,Palm,S100a7a,Wbp11,Ip6k2,Zcchc7,Sparc,Gls,Adamtsl5,Dnajc7,Lims2,Fam53b,Mpz,Eid1,Vwa1,Brsk2,S100a6,Fmn2,Gpt,Pttg1ip,Dnajb2,Klf7,Myo9a,Cyb5r2,Vim,Sema3g,Tmtc1,Tra2a,Iqgap2,Aspa,Nod1,Pabpn1,Nfasc,Mocs2,Arhgap39,Drp2,Tspan17,Hjurp,Kif21a,Gnptab,Prnp,Lmo1,Prelid3a,Mafg,Sfpq,Mt1,Abhd14b,Rhpn1,Lrp1,Plxna3,Rufy3,Sirt2,Mlec,Col4a2,Zfp276,Elovl7,Rorc,Aldh9a1,Wdfy2,Psap,Fra10ac1,Inpp4a,Dmpk,Galnt16,Zdhhc3,Dync1h1,Homer3,Dtymk,Sncg,Cerk,Fa2h,Abcc5,Tgfbr3,Ints10,Sgf29,Meaf6,Rap1gds1,Maged1,Vamp2,Mthfd1l,Tmc4,Wdfy3,Clstn1,Tbc1d23,Ide,Ddn,Srsf6,Senp3,Abtb2,Erlin2,Ippk,Jam3,Kifc2,Rasal2,Anks1,Bcl2l1,Ralgds,Snx14,Ift74,Stim1,Vit,Slc3a2,Tnfrsf25,Kcnk1,Med22,Prrt1,Dock7,Pla2g7,Ecscr,Srrm1,Tmc6,Ccdc93,Gdi1,Atp11a,Rhot1,Dcun1d5,Rapgef3,Cdh1,Slc22a17,Oxr1,Cttnbp2,Arhgef17,Ppip5k2,Col24a1,Itpr3,Mylip,Plxna1,Map2k2,Sptbn1,Prss12,Arhgef1,Cfl2,Taok2,Herpud1,Sin3b,Far1,Cltb,Birc6,Sod3,Ucp3,Mpnd,Arhgef10,Rabep1,Acrbp,Myo1b,Vav2,Map1b,Amotl2,Chm,Ccnt2,Atp6ap1,Evc2,Ranbp9,Slc44a2,Fuz,Wdr13,Serpinh1,Elovl1,Plekha1,Entr1,Ptk2,Wdr82,Arl2,Pcmtd1,Itpk1,Itga6,Ivd,Brwd1,Retreg1,Syngap1,Cd9,Reep5,Xpo7,Mllt6,Spp1,Hnrnph3,Slc25a51,Pcyox1l,Gpr37l1,Cd63,Hace1,Bckdhb,Adat1,Abca2,Clip4,Huwe1,Lztr1,Ndufa13,U2surp,Bok,Snd1,Gpt2,Prkca,Ppfibp1,Vamp1,Zfp397,Usp34,Rgs11,Tpp1,Pcbp4,Trpm7,Znhit1,Nudcd3,Cemip2,Kif3a,Timp2,Mdp1,Snx18,Htt,Gulp1,Cdh19,Slc27a1,Catsper2,Mroh1,Dag1,Bcl2l2,Col5a1,Sirpa,Notch2,Ccnl2,Amdhd2,Rsrp1,Slc48a1,Tdrkh,Lrrfip2,Serinc1,Il17rb,Atf7,Sh3bp5,Ntan1,Arhgef12,Slc38a2,Nsmf,Tesk2,Igsf11,Chka,Immt,Atxn2,Pdcd6ip,Mdm4,Xbp1,St7l,Matr3,Zfp451,Filip1,Acap3,Kif1a,Tcim,Acads,Slc6a1,Mical2,Cyld,Med15,Parva,Lta4h,Bicd1,Azin1,Gng2,Tjp1,Dcaf6,Camk2g,Gpm6b,Tnfsf12,Stxbp6,Marf1,Ddx41,Lyst,Hspa4l,Lgals4,Ercc1,Atg16l2,Ddx5,Luc7l3,Tada2a,Ppib,Smg1,Mast3,Stx18,Mxra8,Ptpn13,Ptms,Stk25,Alkbh5,Gopc,Hnrnph1,Ttyh2,Exoc6b,Cep295nl,Prkar1a,Fbxl2,Hspb2,Dclk2,Timp3,Abr,Fat1,Ankrd28,Afap1,Rnh1,Usp5,Stard9,Gkap1,Mapk8ip3,Vps41,Asph,Mal,Itgb4,Slirp,Ctns,Sgsm2,Hmbox1,Jdp2,Hdlbp,Pag1,Map4k3,Lgals8,Jak2,Ubn2,Igfbp5,Clasrp,Mtr,Ddr1,Herc1,Tnfsf13,U2af2,Mbd2,Afap1l2,Mdn1,Arhgap12,Hdgfl3,Ucp2,Pcbp2,Idh3g,Ctnnal1,Mtus1"
"GO:0051179","localization",5607,147,9.69590035720361e-15,7.9732620604071e-12,"Per1,Snta1,Mertk,Apod,Gsn,Appbp2,Pik3r1,Mt3,Bicd2,Palm,Ip6k2,Fam53b,Brsk2,S100a6,Fmn2,Pttg1ip,Dnajb2,Klf7,Pabpn1,Nfasc,Tspan17,Kif21a,Gnptab,Prnp,Prelid3a,Sfpq,Lrp1,Rufy3,Sirt2,Psap,Dmpk,Zdhhc3,Dync1h1,Homer3,Sncg,Abcc5,Rap1gds1,Maged1,Vamp2,Tmc4,Clstn1,Tbc1d23,Jam3,Kifc2,Bcl2l1,Snx14,Ift74,Stim1,Slc3a2,Kcnk1,Prrt1,Dock7,Tmc6,Ccdc93,Gdi1,Atp11a,Rhot1,Rapgef3,Cdh1,Slc22a17,Itpr3,Map2k2,Sptbn1,Prss12,Herpud1,Cltb,Ucp3,Rabep1,Myo1b,Map1b,Amotl2,Chm,Atp6ap1,Slc44a2,Fuz,Plekha1,Entr1,Ptk2,Arl2,Retreg1,Syngap1,Cd9,Xpo7,Mllt6,Spp1,Slc25a51,Cd63,Abca2,Ndufa13,Bok,Prkca,Vamp1,Tpp1,Trpm7,Nudcd3,Kif3a,Snx18,Htt,Gulp1,Slc27a1,Catsper2,Dag1,Bcl2l2,Sirpa,Slc48a1,Aagab,Slc38a2,Igsf11,Atxn2,Pdcd6ip,Xbp1,Filip1,Kif1a,Slc6a1,Cyld,Bicd1,Azin1,Tjp1,Camk2g,Gpm6b,Tex2,Stxbp6,Lyst,Atg16l2,Ddx5,Stx18,Stk25,Alkbh5,Gopc,Ttyh2,Exoc6b,Prkar1a,Dclk2,Abr,Afap1,Mapk8ip3,Vps41,Asph,Mal,Ctns,Sgsm2,Hdlbp,Jak2,Ddr1,Stoml1,Arhgap12,Ucp2"
"GO:0007275","multicellular organism development",5197,139,1.73293662957977e-14,1.22147276147809e-11,"Plk5,Mertk,Ogn,Apod,Lox,Gsn,Tnxb,Tns2,Pik3r1,Vstm4,Mt3,Palm,Sparc,Lims2,Mpz,Brsk2,Klf7,Myo9a,Vim,Sema3g,Aspa,Nfasc,Drp2,Kif21a,Mafg,Rhpn1,Lrp1,Plxna3,Rufy3,Sirt2,Col4a2,Rorc,Psap,Fa2h,Tgfbr3,Sgf29,Meaf6,Maged1,Mthfd1l,Clstn1,Tbc1d23,Srsf6,Jam3,Kifc2,Anks1,Bcl2l1,Ift74,Stim1,Vit,Dock7,Ecscr,Gdi1,Atp11a,Rapgef3,Cdh1,Mylip,Plxna1,Map2k2,Sptbn1,Taok2,Sin3b,Birc6,Arhgef10,Vav2,Map1b,Amotl2,Chm,Atp6ap1,Fuz,Serpinh1,Plekha1,Ptk2,Itpk1,Itga6,Syngap1,Cd9,Spp1,Gpr37l1,Abca2,Bok,Prkca,Tpp1,Cemip2,Kif3a,Timp2,Htt,Dag1,Bcl2l2,Col5a1,Notch2,Tdrkh,Atf7,Slc38a2,Nsmf,Igsf11,Atxn2,Mdm4,Xbp1,Matr3,Filip1,Acap3,Kif1a,Tcim,Mical2,Cyld,Parva,Lta4h,Tjp1,Camk2g,Gpm6b,Tnfsf12,Ercc1,Tada2a,Ppib,Mxra8,Ptpn13,Stk25,Prkar1a,Dclk2,Timp3,Abr,Fat1,Rnh1,Mapk8ip3,Asph,Mal,Itgb4,Ctns,Lgals8,Jak2,Igfbp5,Mtr,Ddr1,Herc1,Tnfsf13,Mbd2,Arhgap12,Hdgfl3,Ucp2"
"GO:0051234","establishment of localization",4883,133,2.24118192826754e-14,1.37315090364027e-11,"Per1,Snta1,Mertk,Apod,Gsn,Appbp2,Pik3r1,Mt3,Bicd2,Ip6k2,Fam53b,Brsk2,S100a6,Fmn2,Pttg1ip,Klf7,Pabpn1,Tspan17,Kif21a,Gnptab,Prnp,Prelid3a,Sfpq,Lrp1,Rufy3,Sirt2,Psap,Dmpk,Zdhhc3,Dync1h1,Homer3,Sncg,Abcc5,Rap1gds1,Vamp2,Tmc4,Clstn1,Tbc1d23,Kifc2,Bcl2l1,Snx14,Ift74,Stim1,Slc3a2,Kcnk1,Prrt1,Dock7,Tmc6,Ccdc93,Gdi1,Atp11a,Rhot1,Rapgef3,Cdh1,Slc22a17,Itpr3,Map2k2,Sptbn1,Prss12,Herpud1,Cltb,Ucp3,Rabep1,Myo1b,Map1b,Chm,Atp6ap1,Slc44a2,Fuz,Plekha1,Entr1,Ptk2,Arl2,Retreg1,Cd9,Xpo7,Mllt6,Spp1,Slc25a51,Cd63,Abca2,Ndufa13,Bok,Prkca,Vamp1,Trpm7,Kif3a,Snx18,Htt,Gulp1,Slc27a1,Catsper2,Dag1,Bcl2l2,Sirpa,Slc48a1,Aagab,Slc38a2,Atxn2,Pdcd6ip,Xbp1,Kif1a,Slc6a1,Bicd1,Azin1,Camk2g,Gpm6b,Tex2,Stxbp6,Lyst,Atg16l2,Ddx5,Stx18,Stk25,Alkbh5,Gopc,Ttyh2,Exoc6b,Prkar1a,Abr,Afap1,Mapk8ip3,Vps41,Asph,Mal,Ctns,Sgsm2,Hdlbp,Jak2,Ddr1,Stoml1,Arhgap12,Ucp2"
"GO:0051641","cellular localization",2691,90,2.50473411689551e-14,1.37315090364027e-11,"Mertk,Apod,Gsn,Appbp2,Pik3r1,Bicd2,Palm,Fam53b,Brsk2,Fmn2,Pttg1ip,Klf7,Pabpn1,Nfasc,Kif21a,Gnptab,Prnp,Sfpq,Lrp1,Rufy3,Sirt2,Psap,Dmpk,Zdhhc3,Dync1h1,Sncg,Vamp2,Clstn1,Tbc1d23,Kifc2,Bcl2l1,Ift74,Stim1,Dock7,Ccdc93,Gdi1,Rhot1,Rapgef3,Cdh1,Itpr3,Map2k2,Sptbn1,Herpud1,Cltb,Ucp3,Rabep1,Map1b,Chm,Atp6ap1,Fuz,Entr1,Ptk2,Arl2,Retreg1,Syngap1,Xpo7,Cd63,Abca2,Ndufa13,Bok,Prkca,Vamp1,Kif3a,Snx18,Htt,Dag1,Bcl2l2,Slc48a1,Slc38a2,Pdcd6ip,Xbp1,Kif1a,Slc6a1,Bicd1,Camk2g,Gpm6b,Lyst,Ddx5,Stx18,Stk25,Alkbh5,Exoc6b,Abr,Mapk8ip3,Vps41,Asph,Mal,Sgsm2,Jak2,Ucp2"
"GO:0006996","organelle organization",3735,111,2.99721183903525e-14,1.47882432137999e-11,"Fus,Plk5,Cfap100,Gas2l3,Gsn,Rtkn,Pik3r1,Bicd2,Palm,Brsk2,Fmn2,Myo9a,Vim,Iqgap2,Hjurp,Kif21a,Gnptab,Sfpq,Rhpn1,Lrp1,Plxna3,Rufy3,Sirt2,Dmpk,Dync1h1,Rap1gds1,Vamp2,Jam3,Bcl2l1,Ift74,Dock7,Rhot1,Rapgef3,Cdh1,Arhgef17,Map2k2,Sptbn1,Arhgef1,Cfl2,Taok2,Arhgef10,Acrbp,Myo1b,Map1b,Amotl2,Atp6ap1,Ranbp9,Fuz,Entr1,Ptk2,Arl2,Brwd1,Retreg1,Syngap1,Reep5,Hace1,Clip4,Huwe1,Ndufa13,Bok,Ppfibp1,Vamp1,Tpp1,Trpm7,Nudcd3,Kif3a,Snx18,Htt,Mroh1,Dag1,Bcl2l2,Sirpa,Ccnl2,Tdrkh,Tesk2,Chka,Immt,Atxn2,Pdcd6ip,Mical2,Cyld,Parva,Bicd1,Azin1,Tjp1,Gpm6b,Stxbp6,Marf1,Lyst,Ercc1,Atg16l2,Smg1,Mast3,Stx18,Stk25,Alkbh5,Gopc,Cep295nl,Prkar1a,Dclk2,Abr,Fat1,Rnh1,Stard9,Vps41,Slirp,Hmbox1,Mdn1,Arhgap12,Hdgfl3,Ucp2"
