"Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"GO:0030198","extracellular matrix organization",323,5,3.04180210075495e-06,0.00139403834013292,"Cst3,Serpinh1,Matn2,Matn4,Timp3"
"GO:0045229","external encapsulating structure organization",324,5,3.08806914420043e-06,0.00139403834013292,"Cst3,Serpinh1,Matn2,Matn4,Timp3"
"GO:0043062","extracellular structure organization",325,5,3.13488871149783e-06,0.00139403834013292,"Cst3,Serpinh1,Matn2,Matn4,Timp3"
"GO:0010716","negative regulation of extracellular matrix disassembly",5,2,5.15928327214256e-06,0.00139403834013292,"Cst3,Timp3"
"GO:1902951","negative regulation of dendritic spine maintenance",5,2,5.15928327214256e-06,0.00139403834013292,"Apoe,Prnp"
"GO:0048731","system development",4438,12,1.03271044719579e-05,0.00232531969026918,"Zbtb16,F3,Cst3,Egr1,Serpinh1,Matn2,Dusp6,Fos,Nrn1,Apoe,Timp3,Klf7"
"GO:0051239","regulation of multicellular organismal process",3381,10,4.49912678088185e-05,0.00594557011999009,"Zbtb16,Per1,F3,Cst3,Egr1,Dusp6,Fos,Apoe,Prnp,Klf7"
"GO:1900272","negative regulation of long-term synaptic potentiation",14,2,4.67637054841386e-05,0.00594557011999009,"Apoe,Prnp"
"GO:1903054","negative regulation of extracellular matrix organization",14,2,4.67637054841386e-05,0.00594557011999009,"Cst3,Timp3"
"GO:0048678","response to axon injury",97,3,4.81698986120439e-05,0.00594557011999009,"Cst3,Matn2,Matn4"
"GO:0007275","multicellular organism development",5197,12,5.47729948517515e-05,0.00594557011999009,"Zbtb16,F3,Cst3,Egr1,Serpinh1,Matn2,Dusp6,Fos,Nrn1,Apoe,Timp3,Klf7"
"GO:0033002","muscle cell proliferation",293,4,5.5795841981367e-05,0.00594557011999009,"Egr1,Fos,Apoe,Timp3"
"GO:0009611","response to wounding",600,5,6.01253444466297e-05,0.00594557011999009,"F3,Cst3,Matn2,Matn4,Apoe"
"GO:1902950","regulation of dendritic spine maintenance",16,2,6.16121255957522e-05,0.00594557011999009,"Apoe,Prnp"
"GO:0010715","regulation of extracellular matrix disassembly",19,2,8.7681349683468e-05,0.00703361491597415,"Cst3,Timp3"
"GO:0008283","cell population proliferation",2207,8,9.22021082868435e-05,0.00703361491597415,"Zbtb16,F3,Cst3,Egr1,Fos,Apoe,Timp3,Prnp"
"GO:0043065","positive regulation of apoptotic process",658,5,9.30044096990085e-05,0.00703361491597415,"Zbtb16,F3,Egr1,Dusp6,Prnp"
"GO:1902430","negative regulation of amyloid-beta formation",20,2,9.73808251445196e-05,0.00703361491597415,"Apoe,Prnp"
"GO:0061448","connective tissue development",345,4,0.000104997830550035,0.00703361491597415,"Zbtb16,Egr1,Serpinh1,Klf7"
"GO:1902992","negative regulation of amyloid precursor protein catabolic process",21,2,0.000107584048261504,0.00703361491597415,"Apoe,Prnp"
"GO:0043068","positive regulation of programmed cell death",681,5,0.000109330801802707,0.00703361491597415,"Zbtb16,F3,Egr1,Dusp6,Prnp"
"GO:0048856","anatomical structure development",6654,13,0.000121082273873149,0.00743555236375566,"Zbtb16,F3,Cst3,Egr1,Serpinh1,Cdh19,Matn2,Dusp6,Fos,Nrn1,Apoe,Timp3,Klf7"
"GO:0009653","anatomical structure morphogenesis",3026,9,0.000129760729152781,0.0076220323950177,"Zbtb16,F3,Cst3,Serpinh1,Cdh19,Matn2,Nrn1,Apoe,Klf7"
"GO:0007611","learning or memory",369,4,0.000136025280656222,0.00765708975693981,"Egr1,Fos,Apoe,Prnp"
"GO:0034249","negative regulation of amide metabolic process",26,2,0.000166132926360664,0.00863252244281757,"Apoe,Prnp"
"GO:0051043","regulation of membrane protein ectodomain proteolysis",26,2,0.000166132926360664,0.00863252244281757,"Apoe,Timp3"
"GO:0097062","dendritic spine maintenance",28,2,0.000193055285186476,0.00943283846656498,"Apoe,Prnp"
"GO:0030162","regulation of proteolysis",406,4,0.000196215433504379,0.00943283846656498,"Tbc1d10a,Cst3,Apoe,Timp3"
"GO:0042127","regulation of cell population proliferation",1814,7,0.000202481358645732,0.00943283846656498,"Zbtb16,F3,Cst3,Egr1,Apoe,Timp3,Prnp"
"GO:0050890","cognition",415,4,0.000213367691061133,0.0096086583541197,"Egr1,Fos,Apoe,Prnp"
"GO:0010640","regulation of platelet-derived growth factor receptor signaling pathway",30,2,0.000221971243237124,0.00967364998752757,"F3,Apoe"
"GO:0010604","positive regulation of macromolecule metabolic process",3294,9,0.000251245456978615,0.0105450972533811,"Tbc1d10a,Zbtb16,Per1,F3,Cst3,Egr1,Fos,Apoe,Klf7"
"GO:0006979","response to oxidative stress",436,4,0.000257578245271338,0.0105450972533811,"Cst3,Fos,Apoe,Prnp"
"GO:0043409","negative regulation of MAPK cascade",175,3,0.000276591781473797,0.0107827559059408,"Per1,Dusp6,Apoe"
"GO:0030154","cell differentiation",5107,11,0.000286807053288381,0.0107827559059408,"Zbtb16,Cst3,Egr1,Serpinh1,Matn2,Dusp6,Fos,Nrn1,Apoe,Timp3,Klf7"
"GO:0048869","cellular developmental process",5108,11,0.000287327322438097,0.0107827559059408,"Zbtb16,Cst3,Egr1,Serpinh1,Matn2,Dusp6,Fos,Nrn1,Apoe,Timp3,Klf7"
"GO:0032502","developmental process",7236,13,0.000305308991170014,0.0110997585435014,"Zbtb16,F3,Cst3,Egr1,Serpinh1,Cdh19,Matn2,Dusp6,Fos,Nrn1,Apoe,Timp3,Klf7"
"GO:0051246","regulation of protein metabolic process",1358,6,0.000319896812187246,0.0110997585435014,"Tbc1d10a,Cst3,Egr1,Apoe,Timp3,Prnp"
"GO:0007613","memory",184,3,0.000320422341374208,0.0110997585435014,"Egr1,Fos,Apoe"
"GO:0006950","response to stress",4288,10,0.000349465091839663,0.0118031834768846,"Per1,F3,Cst3,Egr1,Matn2,Dusp6,Matn4,Fos,Apoe,Prnp"
"GO:0048468","cell development",3477,9,0.000380722375546235,0.0123654726172357,"Zbtb16,Cst3,Egr1,Serpinh1,Matn2,Fos,Nrn1,Apoe,Klf7"
"GO:0022617","extracellular matrix disassembly",40,2,0.000396269065390164,0.0123654726172357,"Cst3,Timp3"
"GO:1902003","regulation of amyloid-beta formation",40,2,0.000396269065390164,0.0123654726172357,"Apoe,Prnp"
"GO:0009410","response to xenobiotic stimulus",493,4,0.000410611235716212,0.0123654726172357,"Cst3,Dusp6,Fos,Prnp"
"GO:1901700","response to oxygen-containing compound",2039,7,0.000417166470177425,0.0123654726172357,"Per1,Cst3,Egr1,Fos,Apoe,Prnp,Klf7"
"GO:0048660","regulation of smooth muscle cell proliferation",202,3,0.000421030155731194,0.0123654726172357,"Egr1,Apoe,Timp3"
"GO:0048522","positive regulation of cellular process",6410,12,0.000465444595933128,0.0124703653322891,"Tbc1d10a,Zbtb16,Per1,F3,Cst3,Egr1,Dusp6,Fos,Apoe,Plekha4,Prnp,Klf7"
"GO:0048659","smooth muscle cell proliferation",210,3,0.000471567604341401,0.0124703653322891,"Egr1,Apoe,Timp3"
"GO:1904646","cellular response to amyloid-beta",44,2,0.000479757849932198,0.0124703653322891,"Apoe,Prnp"
"GO:1901701","cellular response to oxygen-containing compound",1469,6,0.000488077635344114,0.0124703653322891,"Cst3,Egr1,Fos,Apoe,Prnp,Klf7"
"GO:0007616","long-term memory",45,2,0.000501851245850102,0.0124703653322891,"Egr1,Apoe"
"GO:0007409","axonogenesis",523,4,0.000513143167877657,0.0124703653322891,"Matn2,Nrn1,Apoe,Klf7"
"GO:0050793","regulation of developmental process",2829,8,0.000522037099263727,0.0124703653322891,"Zbtb16,F3,Cst3,Dusp6,Fos,Nrn1,Apoe,Klf7"
"GO:0045935","positive regulation of nucleobase-containing compound metabolic process",2124,7,0.000535402644958019,0.0124703653322891,"Zbtb16,Per1,Cst3,Egr1,Fos,Apoe,Klf7"
"GO:1902991","regulation of amyloid precursor protein catabolic process",47,2,0.000547498884896165,0.0124703653322891,"Apoe,Prnp"
"GO:0009893","positive regulation of metabolic process",3674,9,0.000578893491992176,0.0124703653322891,"Tbc1d10a,Zbtb16,Per1,F3,Cst3,Egr1,Fos,Apoe,Klf7"
"GO:0034205","amyloid-beta formation",50,2,0.000619612643450482,0.0124703653322891,"Apoe,Prnp"
"GO:0006509","membrane protein ectodomain proteolysis",51,2,0.000644619229123712,0.0124703653322891,"Apoe,Timp3"
"GO:1904645","response to amyloid-beta",51,2,0.000644619229123712,0.0124703653322891,"Apoe,Prnp"
"GO:0051248","negative regulation of protein metabolic process",561,4,0.000667839936497243,0.0124703653322891,"Cst3,Apoe,Timp3,Prnp"
"GO:0000122","negative regulation of transcription by RNA polymerase II",1009,5,0.000674300482599179,0.0124703653322891,"Zbtb16,Per1,Egr1,Prnp,Klf7"
"GO:0009636","response to toxic substance",240,3,0.000695382168632628,0.0124703653322891,"Cst3,Fos,Apoe"
"GO:0032501","multicellular organismal process",9056,14,0.000715675403314965,0.0124703653322891,"Zbtb16,Per1,F3,Cst3,Egr1,Serpinh1,Matn2,Dusp6,Fos,Nrn1,Apoe,Timp3,Prnp,Klf7"
"GO:0010711","negative regulation of collagen catabolic process",1,1,0.000738437621453092,0.0124703653322891,"Cst3"
"GO:0060310","regulation of elastin catabolic process",1,1,0.000738437621453092,0.0124703653322891,"Cst3"
"GO:0060311","negative regulation of elastin catabolic process",1,1,0.000738437621453092,0.0124703653322891,"Cst3"
"GO:0071831","intermediate-density lipoprotein particle clearance",1,1,0.000738437621453092,0.0124703653322891,"Apoe"
"GO:0072303","positive regulation of glomerular metanephric mesangial cell proliferation",1,1,0.000738437621453092,0.0124703653322891,"Egr1"
"GO:0072375","medium-term memory",1,1,0.000738437621453092,0.0124703653322891,"Fos"
"GO:0090731","cellular response to very-low-density lipoprotein particle stimulus",1,1,0.000738437621453092,0.0124703653322891,"Apoe"
"GO:0150200","regulation of transport across blood-brain barrier",1,1,0.000738437621453092,0.0124703653322891,"Apoe"
"GO:0150201","positive regulation of transport across blood-brain barrier",1,1,0.000738437621453092,0.0124703653322891,"Apoe"
"GO:0150202","negative regulation of transport across blood-brain barrier",1,1,0.000738437621453092,0.0124703653322891,"Apoe"
"GO:1901627","negative regulation of postsynaptic membrane organization",1,1,0.000738437621453092,0.0124703653322891,"Apoe"
"GO:1902999","negative regulation of phospholipid efflux",1,1,0.000738437621453092,0.0124703653322891,"Apoe"
"GO:1903000","regulation of lipid transport across blood-brain barrier",1,1,0.000738437621453092,0.0124703653322891,"Apoe"
"GO:1903001","negative regulation of lipid transport across blood-brain barrier",1,1,0.000738437621453092,0.0124703653322891,"Apoe"
"GO:1903002","positive regulation of lipid transport across blood-brain barrier",1,1,0.000738437621453092,0.0124703653322891,"Apoe"
"GO:1905890","regulation of cellular response to very-low-density lipoprotein particle stimulus",1,1,0.000738437621453092,0.0124703653322891,"Apoe"
"GO:2001139","negative regulation of phospholipid transport",1,1,0.000738437621453092,0.0124703653322891,"Apoe"
"GO:1900271","regulation of long-term synaptic potentiation",56,2,0.000776887823874275,0.0129577216056067,"Apoe,Prnp"
"GO:0060348","bone development",253,3,0.000810212036663825,0.0130461156852853,"Zbtb16,Serpinh1,Timp3"
"GO:0061564","axon development",591,4,0.000811497232573451,0.0130461156852853,"Matn2,Nrn1,Apoe,Klf7"
"GO:0023051","regulation of signaling",3853,9,0.000827856757652794,0.0130461156852853,"Per1,F3,Egr1,Dusp6,Nrn1,Apoe,Plekha4,Prnp,Klf7"
"GO:1902895","positive regulation of miRNA transcription",58,2,0.000833159771093945,0.0130461156852853,"Egr1,Fos"
"GO:0010646","regulation of cell communication",3858,9,0.000835924278911858,0.0130461156852853,"Per1,F3,Egr1,Dusp6,Nrn1,Apoe,Plekha4,Prnp,Klf7"
"GO:0009888","tissue development",2289,7,0.000842022506666008,0.0130461156852853,"Zbtb16,Cst3,Egr1,Serpinh1,Fos,Timp3,Klf7"
"GO:0048518","positive regulation of biological process",6819,12,0.000856881994328826,0.0130461156852853,"Tbc1d10a,Zbtb16,Per1,F3,Cst3,Egr1,Dusp6,Fos,Apoe,Plekha4,Prnp,Klf7"
"GO:0060828","regulation of canonical Wnt signaling pathway",259,3,0.000867043800643994,0.0130461156852853,"Egr1,Apoe,Plekha4"
"GO:0010605","negative regulation of macromolecule metabolic process",3052,8,0.000873674662201511,0.0130461156852853,"Zbtb16,Per1,Cst3,Egr1,Apoe,Timp3,Prnp,Klf7"
"GO:2000026","regulation of multicellular organismal development",1641,6,0.000878753906262738,0.0130461156852853,"Zbtb16,F3,Dusp6,Fos,Apoe,Klf7"
"GO:0023057","negative regulation of signaling",1648,6,0.000898680389857109,0.0131969261597495,"Per1,Egr1,Dusp6,Apoe,Prnp,Klf7"
"GO:0010648","negative regulation of cell communication",1653,6,0.00091312859763222,0.0132649111333455,"Per1,Egr1,Dusp6,Apoe,Prnp,Klf7"
"GO:0042987","amyloid precursor protein catabolic process",62,2,0.000951442872522343,0.0136744608593371,"Apoe,Prnp"
"GO:0042981","regulation of apoptotic process",1683,6,0.00100367342202045,0.0142732925594697,"Zbtb16,F3,Egr1,Dusp6,Apoe,Prnp"
"GO:0033619","membrane protein proteolysis",65,2,0.00104515665183358,0.0145567694497647,"Apoe,Timp3"
"GO:2000630","positive regulation of miRNA metabolic process",65,2,0.00104515665183358,0.0145567694497647,"Egr1,Fos"
"GO:0050435","amyloid-beta metabolic process",66,2,0.00107734379814847,0.014707046381865,"Apoe,Prnp"
"GO:0009719","response to endogenous stimulus",1706,6,0.00107771842472586,0.014707046381865,"Per1,Egr1,Dusp6,Fos,Apoe,Timp3"
"GO:1903053","regulation of extracellular matrix organization",67,2,0.00111000448234033,0.0149961605564179,"Cst3,Timp3"
"GO:0043067","regulation of programmed cell death",1741,6,0.00119849082121348,0.0159564840966889,"Zbtb16,F3,Egr1,Dusp6,Apoe,Prnp"
"GO:0048008","platelet-derived growth factor receptor signaling pathway",70,2,0.00121082134192352,0.0159564840966889,"F3,Apoe"
"GO:0000902","cell morphogenesis",1156,5,0.00124498748259186,0.0159564840966889,"Cdh19,Matn2,Nrn1,Apoe,Klf7"
"GO:0009743","response to carbohydrate",295,3,0.00126163255308644,0.0159564840966889,"Cst3,Egr1,Klf7"
"GO:0030193","regulation of blood coagulation",72,2,0.00128038851115042,0.0159564840966889,"F3,Apoe"
"GO:0045893","positive regulation of DNA-templated transcription",1767,6,0.00129482916652354,0.0159564840966889,"Zbtb16,Per1,Egr1,Fos,Apoe,Klf7"
"GO:1902680","positive regulation of RNA biosynthetic process",1769,6,0.00130248161231412,0.0159564840966889,"Zbtb16,Per1,Egr1,Fos,Apoe,Klf7"
"GO:0014911","positive regulation of smooth muscle cell migration",73,2,0.00131587695488667,0.0159564840966889,"F3,Egr1"
"GO:0032922","circadian regulation of gene expression",74,2,0.0013518344529,0.0159564840966889,"Per1,Egr1"
"GO:1900046","regulation of hemostasis",74,2,0.0013518344529,0.0159564840966889,"F3,Apoe"
"GO:0048662","negative regulation of smooth muscle cell proliferation",75,2,0.00138826036709012,0.0159564840966889,"Apoe,Timp3"
"GO:0050818","regulation of coagulation",76,2,0.00142515405995885,0.0159564840966889,"F3,Apoe"
"GO:0080090","regulation of primary metabolic process",5085,10,0.00142832903131919,0.0159564840966889,"Tbc1d10a,Zbtb16,Per1,Cst3,Egr1,Fos,Apoe,Timp3,Prnp,Klf7"
"GO:0060255","regulation of macromolecule metabolic process",6099,11,0.00143046236165565,0.0159564840966889,"Tbc1d10a,Zbtb16,Per1,F3,Cst3,Egr1,Fos,Apoe,Timp3,Prnp,Klf7"
"GO:0009892","negative regulation of metabolic process",3295,8,0.0014574859025757,0.0159564840966889,"Zbtb16,Per1,Cst3,Egr1,Apoe,Timp3,Prnp,Klf7"
"GO:1902893","regulation of miRNA transcription",77,2,0.00146251489460957,0.0159564840966889,"Egr1,Fos"
"GO:0042982","amyloid precursor protein metabolic process",78,2,0.00150034223474685,0.0160870028503413,"Apoe,Prnp"
"GO:0034248","regulation of amide metabolic process",79,2,0.0015386354446759,0.016365975196136,"Apoe,Prnp"
"GO:0060070","canonical Wnt signaling pathway",317,3,0.00155058832354213,0.016365975196136,"Egr1,Apoe,Plekha4"
"GO:0048667","cell morphogenesis involved in neuron differentiation",707,4,0.00157636202261356,0.0163927626495937,"Matn2,Nrn1,Apoe,Klf7"
"GO:0061614","miRNA transcription",80,2,0.00157739388930213,0.0163927626495937,"Egr1,Fos"
"GO:0016358","dendrite development",334,3,0.00180021765092183,0.0185656034075984,"Matn2,Apoe,Klf7"
"GO:0001666","response to hypoxia",337,3,0.00184672647038451,0.0187588530939059,"Cst3,Egr1,Fos"
