"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032007","negative regulation of TOR signaling","2/8","89/25730",0.0224719101123595,72.2752808988764,11.8787445105019,0.000326806584638169,0.0298157571414931,0.0123056324438574,"Sesn1/Ddit4",2
"GO:1903578","regulation of ATP metabolic process","2/8","92/25730",0.0217391304347826,69.9184782608696,11.6786219923466,0.000349176163312225,0.0298157571414931,0.0123056324438574,"Tmsb4x/Ddit4",2
"GO:0006140","regulation of nucleotide metabolic process","2/8","102/25730",0.0196078431372549,63.0637254901961,11.0760434207539,0.000429003699877599,0.0298157571414931,0.0123056324438574,"Tmsb4x/Ddit4",2
"GO:1900542","regulation of purine nucleotide metabolic process","2/8","102/25730",0.0196078431372549,63.0637254901961,11.0760434207539,0.000429003699877599,0.0298157571414931,0.0123056324438574,"Tmsb4x/Ddit4",2
"GO:0098754","detoxification","2/8","133/25730",0.0150375939849624,48.3646616541353,9.65805792070925,0.000727561041732371,0.039801427482212,0.01642694280788,"Mt2/Sesn1",2
"GO:0021782","glial cell development","2/8","150/25730",0.0133333333333333,42.8833333333333,9.07278621754172,0.000923787143065023,0.039801427482212,0.01642694280788,"Prx/Mal",2
"GO:0032006","regulation of TOR signaling","2/8","161/25730",0.0124223602484472,39.9534161490683,8.74391036677548,0.0010629096901272,0.039801427482212,0.01642694280788,"Sesn1/Ddit4",2
"GO:0031929","TOR signaling","2/8","194/25730",0.0103092783505155,33.1572164948454,7.92879080816699,0.00153701266993606,0.039801427482212,0.01642694280788,"Sesn1/Ddit4",2
"GO:0042552","myelination","2/8","200/25730",0.01,32.1625,7.80235959107274,0.00163228342234761,0.039801427482212,0.01642694280788,"Prx/Mal",2
"GO:0007272","ensheathment of neurons","2/8","204/25730",0.00980392156862745,31.531862745098,7.72113387499452,0.00169733701899572,0.039801427482212,0.01642694280788,"Prx/Mal",2
"GO:0008366","axon ensheathment","2/8","204/25730",0.00980392156862745,31.531862745098,7.72113387499452,0.00169733701899572,0.039801427482212,0.01642694280788,"Prx/Mal",2
"GO:0009636","response to toxic substance","2/8","240/25730",0.00833333333333333,26.8020833333333,7.08238541247303,0.00233784107891355,0.039801427482212,0.01642694280788,"Mt2/Sesn1",2
"GO:0045926","negative regulation of growth","2/8","247/25730",0.00809716599190283,26.0425101214575,6.9743724722766,0.00247379743309492,0.039801427482212,0.01642694280788,"Mt2/Sesn1",2
"GO:0072593","reactive oxygen species metabolic process","2/8","256/25730",0.0078125,25.126953125,6.84191967008901,0.00265401298545168,0.039801427482212,0.01642694280788,"Sesn1/Ddit4",2
"GO:0046034","ATP metabolic process","2/8","259/25730",0.00772200772200772,24.8359073359073,6.79927571654519,0.0027154342879716,0.039801427482212,0.01642694280788,"Tmsb4x/Ddit4",2
"GO:1901031","regulation of response to reactive oxygen species","1/8","10/25730",0.1,321.625,17.8840543226023,0.00310540679888904,0.039801427482212,0.01642694280788,"Sesn1",1
"GO:0009205","purine ribonucleoside triphosphate metabolic process","2/8","282/25730",0.00709219858156028,22.8102836879433,6.49476020006969,0.00320861933780702,0.039801427482212,0.01642694280788,"Tmsb4x/Ddit4",2
"GO:0009144","purine nucleoside triphosphate metabolic process","2/8","290/25730",0.00689655172413793,22.1810344827586,6.39722598651324,0.00338935411321099,0.039801427482212,0.01642694280788,"Tmsb4x/Ddit4",2
"GO:0099612","protein localization to axon","1/8","12/25730",0.0833333333333333,268.020833333333,16.3162839247505,0.00372547456227446,0.039801427482212,0.01642694280788,"Mal",1
"GO:0010001","glial cell differentiation","2/8","305/25730",0.00655737704918033,21.0901639344262,6.22453623552589,0.00374092327171545,0.039801427482212,0.01642694280788,"Prx/Mal",2
"GO:0009141","nucleoside triphosphate metabolic process","2/8","307/25730",0.00651465798045603,20.9527687296417,6.2024466551965,0.0037890447876023,0.039801427482212,0.01642694280788,"Tmsb4x/Ddit4",2
"GO:0071233","cellular response to L-leucine","1/8","13/25730",0.0769230769230769,247.403846153846,15.6715909071165,0.00403538187246577,0.039801427482212,0.01642694280788,"Sesn1",1
"GO:0097501","stress response to metal ion","1/8","13/25730",0.0769230769230769,247.403846153846,15.6715909071165,0.00403538187246577,0.039801427482212,0.01642694280788,"Mt2",1
"GO:1990253","cellular response to leucine starvation","1/8","13/25730",0.0769230769230769,247.403846153846,15.6715909071165,0.00403538187246577,0.039801427482212,0.01642694280788,"Sesn1",1
"GO:0010269","response to selenium ion","1/8","14/25730",0.0714285714285714,229.732142857143,15.097101954996,0.00434520482790468,0.039801427482212,0.01642694280788,"Selenop",1
"GO:1902043","positive regulation of extrinsic apoptotic signaling pathway via death domain receptors","1/8","14/25730",0.0714285714285714,229.732142857143,15.097101954996,0.00434520482790468,0.039801427482212,0.01642694280788,"Mal",1
"GO:1901533","negative regulation of hematopoietic progenitor cell differentiation","1/8","15/25730",0.0666666666666667,214.416666666667,14.5809149805096,0.00465494344827222,0.039801427482212,0.01642694280788,"Tmsb4x",1
"GO:0043201","response to L-leucine","1/8","16/25730",0.0625,201.015625,14.1137745283048,0.00496459775324665,0.039801427482212,0.01642694280788,"Sesn1",1
"GO:1902036","regulation of hematopoietic stem cell differentiation","1/8","16/25730",0.0625,201.015625,14.1137745283048,0.00496459775324665,0.039801427482212,0.01642694280788,"Tmsb4x",1
"GO:0030810","positive regulation of nucleotide biosynthetic process","1/8","17/25730",0.0588235294117647,189.191176470588,13.6883601433324,0.00527416776250123,0.039801427482212,0.01642694280788,"Tmsb4x",1
"GO:0061687","detoxification of inorganic compound","1/8","17/25730",0.0588235294117647,189.191176470588,13.6883601433324,0.00527416776250123,0.039801427482212,0.01642694280788,"Mt2",1
"GO:0071294","cellular response to zinc ion","1/8","17/25730",0.0588235294117647,189.191176470588,13.6883601433324,0.00527416776250123,0.039801427482212,0.01642694280788,"Mt2",1
