"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","mmu04064","NF-kappa B signaling pathway","29/689","107/10644",0.271028037383178,4.18697014500224,8.71630470165152,1.84839418192805e-11,6.09970080036257e-09,4.49451637921452e-09,"14825/15894/17873/19225/12044/13197/20310/21929/11796/17096/22637/17060/19698/16818/18034/108723/21898/16176/12042/12675/18761/16177/50930/18033/18792/21947/245527/18751/23882",29
"Environmental Information Processing","Signal transduction","mmu04668","TNF signaling pathway","30/689","118/10644",0.254237288135593,3.9275786573516,8.41276781746146,4.80657403835891e-11,7.93084716329221e-09,5.84378212032057e-09,"14825/15894/20339/16193/19225/12702/20293/12608/16477/26427/20310/21929/16182/16362/67457/26410/11796/12051/17392/231991/74568/16878/20297/26397/16176/12675/20311/29857/18033/21938",30
"Organismal Systems","Development and regeneration","mmu04380","Osteoclast differentiation","31/689","136/10644",0.227941176470588,3.52134380602749,7.78506963098899,4.4970548432487e-10,4.94676032757357e-08,3.64498129400157e-08,"246256/14283/18733/14284/12702/232801/16477/320832/17969/17970/18019/17060/19698/16818/18034/16478/15980/232790/16176/16175/12675/20375/29857/14131/16177/17972/18033/12703/15979/16822/14282",31
"Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction","48/689","294/10644",0.163265306122449,2.52220017179586,6.96299794140165,1.99084699474362e-09,1.64244877066349e-07,1.21022540996257e-07,"12765/12985/227288/14825/16178/12986/16193/12156/27279/18413/20293/12771/20310/16174/16182/16181/16180/107527/56744/12983/12767/320100/56708/16196/16162/16878/58181/20297/16185/15980/12163/16176/16175/16172/16190/20311/238057/16177/16194/50930/15979/16323/21938/21947/245527/269275/11479/16156",48
"Human Diseases","Infectious disease: bacterial","mmu05152","Tuberculosis","35/689","180/10644",0.194444444444444,3.00387034349298,7.13309511100525,3.26258283896412e-09,2.15330467371632e-07,1.58664554905413e-07,"246256/56619/16193/12608/12265/13063/12795/13115/24088/271457/12796/192656/170780/15510/20698/15980/21898/15526/16176/16175/18779/12042/15001/15000/56644/12323/29857/14131/12721/114143/18033/15979/108960/13040/21897",35
"Human Diseases","Infectious disease: parasitic","mmu05145","Toxoplasmosis","25/689","109/10644",0.229357798165138,3.54322845235083,7.02105479496718,1.93608132064946e-08,1.0648447263572e-06,7.84622429947412e-07,"12265/13063/24088/16835/11796/104709/11689/26397/18036/15980/21898/14679/12675/320207/105675/15001/15000/329581/29857/18033/12703/15979/16780/21947/15481",25
"Organismal Systems","Immune system","mmu04657","IL-17 signaling pathway","23/689","98/10644",0.23469387755102,3.62566274695655,6.86956293448857,4.53080968490514e-08,2.13595313716957e-06,1.57386020633547e-06,"12985/14825/14283/16193/19225/20201/20293/12608/20310/21929/16819/17392/16478/74180/56489/20297/16176/16172/12675/20311/29857/18033/14282",23
"Human Diseases","Infectious disease: parasitic","mmu05140","Leishmaniasis","19/689","70/10644",0.271428571428571,4.19315778561062,7.0513253884608,5.5830934047751e-08,2.30302602946973e-06,1.69696654803033e-06,"246256/19225/17969/17970/24088/17357/18036/15980/21898/16176/16175/15001/15000/29857/14131/17972/18033/15979/18751",19
"Organismal Systems","Immune system","mmu04659","Th17 cell differentiation","23/689","105/10644",0.219047619047619,3.38395189715944,6.45822907053309,1.76071355469351e-07,6.45594970054287e-06,4.75701556882106e-06,"16193/16180/18019/22637/16818/14462/16185/18036/15980/16176/12675/16190/15001/15000/18761/15251/29857/16177/16194/18033/12503/15979/12502",23
"Organismal Systems","Immune system","mmu04625","C-type lectin receptor signaling pathway","23/689","112/10644",0.205357142857143,3.17245490358698,6.08030501534342,6.01062262175909e-07,1.9835054651805e-05,1.46153034276458e-05,"56619/16193/19225/17474/216799/12795/16362/18019/12051/19698/17164/170780/18034/13655/56489/16176/12042/12675/56644/29857/56760/69810/18033",23
