"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Neurodegenerative disease","mmu05012","Parkinson disease","13/79","274/10644",0.0474452554744526,6.39249745911485,7.81963853938238,9.49230478558725e-08,1.83201482361834e-05,1.52876066546826e-05,"22142/17709/17716/17705/17711/17991/30791/12048/17708/17706/17710/73710/12315",13
"Human Diseases","Neurodegenerative disease","mmu05020","Prion disease","12/79","273/10644",0.043956043956044,5.9223814160523,7.12454435960044,7.05753987685656e-07,5.51292192047619e-05,4.60036571493241e-05,"22142/17709/17716/17705/17711/17991/12390/17708/17706/17710/73710/19122",12
"Human Diseases","Neurodegenerative disease","mmu05010","Alzheimer disease","14/79","389/10644",0.0359897172236504,4.84904493833588,6.68760749656721,8.56930868467802e-07,5.51292192047619e-05,4.60036571493241e-05,"22142/17709/17716/17705/17711/17991/226548/30791/17708/17706/17710/20168/73710/12315",14
"Human Diseases","Neurodegenerative disease","mmu05016","Huntington disease","12/79","308/10644",0.038961038961039,5.24938352786454,6.54388809562618,2.51015402924792e-06,0.000121114931911212,0.000101066728019719,"22142/17709/17716/17705/11773/17711/17991/17708/17706/53623/17710/73710",12
"Human Diseases","Cancer: overview","mmu05208","Chemical carcinogenesis - reactive oxygen species","10/79","229/10644",0.0436681222707424,5.88358852468078,6.46008146374561,6.86202656754475e-06,0.000264874225507227,0.000221029487333547,"17709/17716/17705/17711/17991/17708/17706/18035/17710/56484",10
"Metabolism","Energy metabolism","mmu00190","Oxidative phosphorylation","8/79","141/10644",0.0567375886524823,7.64449232426609,6.86792436422484,9.1792192100152e-06,0.000281610176847456,0.000234995129848164,"17709/17716/17705/17711/17991/17708/17706/17710",8
"Human Diseases","Neurodegenerative disease","mmu05022","Pathways of neurodegeneration - multiple diseases","14/79","481/10644",0.0291060291060291,3.9215768836022,5.67008697915539,1.02138406110476e-05,0.000281610176847456,0.000234995129848164,"22142/17709/17716/17705/17711/17991/12048/17708/17706/53623/17710/73710/19122/12315",14
"Human Diseases","Infectious disease: bacterial","mmu05132","Salmonella infection","10/79","253/10644",0.0395256916996047,5.32546155000751,6.02108655032249,1.64256269915103e-05,0.000396268251170185,0.000330673806539615,"22142/68652/19349/18035/67068/73710/67771/19344/11848/235406",10
"Human Diseases","Neurodegenerative disease","mmu05014","Amyotrophic lateral sclerosis","11/79","376/10644",0.0292553191489362,3.9416913546997,5.02179433744933,9.64243255066535e-05,0.00206776609142046,0.00172548793011906,"22142/17709/17716/17705/17711/17991/12048/17708/17706/17710/73710",11
"Human Diseases","Cardiovascular disease","mmu05415","Diabetic cardiomyopathy","8/79","217/10644",0.0368663594470046,4.96715860701161,5.105526915884,0.000197410679466832,0.00381002611370985,0.00317935094299213,"17709/17716/17705/17711/17991/17708/17706/17710",8
"Organismal Systems","Environmental adaptation","mmu04714","Thermogenesis","8/79","238/10644",0.0336134453781513,4.52887990639294,4.76095714904583,0.000369063703309215,0.00647539043078896,0.00540351642165645,"17709/17716/17705/17711/17991/17708/17706/17710",8
"Cellular Processes","Transport and catabolism","mmu04137","Mitophagy - animal","5/79","100/10644",0.05,6.73670886075949,4.98391856237216,0.000860834429632452,0.0138450870765886,0.0115533041871724,"19349/12048/93739/19344/56484",5
"Human Diseases","Endocrine and metabolic disease","mmu04932","Non-alcoholic fatty liver disease","6/79","162/10644",0.037037037037037,4.9901547116737,4.42523145439393,0.00125974811290579,0.0187024142916013,0.0156065960546223,"17709/72674/17711/17991/17708/17710",6
"Organismal Systems","Nervous system","mmu04722","Neurotrophin signaling pathway","5/79","121/10644",0.0413223140495868,5.56752798409876,4.36933096745588,0.00201436143414161,0.0277694111992379,0.0231727292799749,"14388/18035/11848/56484/12315",5
"Human Diseases","Infectious disease: bacterial","mmu05100","Bacterial invasion of epithelial cells","4/79","77/10644",0.051948051948052,6.99917803715272,4.56848376136144,0.00252367399207325,0.0324712720313424,0.0270962891780496,"14388/12390/67771/11848",4
"Cellular Processes","Transport and catabolism","mmu04144","Endocytosis","7/79","270/10644",0.0259259259259259,3.49310829817159,3.58806854070084,0.00382288375149606,0.0461135352524212,0.0384803430249275,"11773/12390/19349/67771/54673/19344/11848",7
"Organismal Systems","Circulatory system","mmu04260","Cardiac muscle contraction","4/79","89/10644",0.0449438202247191,6.05546863888494,4.14131371977647,0.00425849193754753,0.0483464084674513,0.0403436078293976,"17709/17711/17708/17710",4
