"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","mmu04064","NF-kappa B signaling pathway","29/692","107/10644",0.271028037383178,4.16881854032737,8.68681682524576,2.05512636783655e-11,6.78191701386061e-09,5.0188349193482e-09,"14825/15894/17873/19225/12044/13197/20310/21929/11796/17096/22637/17060/19698/16818/18034/108723/21898/16176/12042/12675/18761/16177/50930/18033/18792/21947/245527/18751/23882",29
"Environmental Information Processing","Signal transduction","mmu04668","TNF signaling pathway","30/692","118/10644",0.254237288135593,3.91055158224748,8.38329050403141,5.35276324762034e-11,8.83205935857356e-09,6.53600564972589e-09,"14825/15894/20339/16193/19225/12702/20293/12608/16477/26427/20310/21929/16182/16362/67457/26410/11796/12051/17392/231991/74568/16878/20297/26397/16176/12675/20311/29857/18033/21938",30
"Organismal Systems","Development and regeneration","mmu04380","Osteoclast differentiation","31/692","136/10644",0.227941176470588,3.50607786467188,7.75592993814708,5.00600644145645e-10,5.5066070856021e-08,4.07506489269437e-08,"246256/14283/18733/14284/12702/232801/16477/320832/17969/17970/18019/17060/19698/16818/18034/16478/15980/232790/16176/16175/12675/20375/29857/14131/16177/17972/18033/12703/15979/16822/14282",31
"Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction","48/692","294/10644",0.163265306122449,2.5112657779875,6.9290585798515,2.29760071817778e-09,1.89552059249667e-07,1.40274570162433e-07,"12765/12985/227288/14825/16178/12986/16193/12156/27279/18413/20293/12771/20310/16174/16182/16181/16180/107527/56744/12983/12767/320100/56708/16196/16162/16878/58181/20297/16185/15980/12163/16176/16175/16172/16190/20311/238057/16177/16194/50930/15979/16323/21938/21947/245527/269275/11479/16156",48
"Human Diseases","Infectious disease: bacterial","mmu05152","Tuberculosis","35/692","180/10644",0.194444444444444,2.99084778420039,7.10322117770004,3.65528510032579e-09,2.41248816621502e-07,1.78531819636965e-07,"246256/56619/16193/12608/12265/13063/12795/13115/24088/271457/12796/192656/170780/15510/20698/15980/21898/15526/16176/16175/18779/12042/15001/15000/56644/12323/29857/14131/12721/114143/18033/15979/108960/13040/21897",35
"Human Diseases","Infectious disease: parasitic","mmu05145","Toxoplasmosis","25/692","109/10644",0.229357798165138,3.52786763536087,6.99487895048533,2.1108469808332e-08,1.16096583945826e-06,8.59151753602287e-07,"12265/13063/24088/16835/11796/104709/11689/26397/18036/15980/21898/14679/12675/320207/105675/15001/15000/329581/29857/18033/12703/15979/16780/21947/15481",25
"Organismal Systems","Immune system","mmu04657","IL-17 signaling pathway","23/692","98/10644",0.23469387755102,3.60994455585702,6.84432038021898,4.90869102600849e-08,2.31409719797543e-06,1.71250574140446e-06,"12985/14825/14283/16193/19225/20201/20293/12608/20310/21929/16819/17392/16478/74180/56489/20297/16176/16172/12675/20311/29857/18033/14282",23
"Human Diseases","Infectious disease: parasitic","mmu05140","Leishmaniasis","19/692","70/10644",0.271428571428571,4.17497935590421,7.02748888541606,5.98312638143502e-08,2.46803963234195e-06,1.82642805328016e-06,"246256/19225/17969/17970/24088/17357/18036/15980/21898/16176/16175/15001/15000/29857/14131/17972/18033/15979/18751",19
"Organismal Systems","Immune system","mmu04659","Th17 cell differentiation","23/692","105/10644",0.219047619047619,3.36928158546656,6.43341431283528,1.90378811769032e-07,6.98055643153117e-06,5.16583442460999e-06,"16193/16180/18019/22637/16818/14462/16185/18036/15980/16176/12675/16190/15001/15000/18761/15251/29857/16177/16194/18033/12503/15979/12502",23
"Organismal Systems","Immune system","mmu04625","C-type lectin receptor signaling pathway","23/692","112/10644",0.205357142857143,3.1587014863749,6.05586341302391,6.48621849810487e-07,2.14045210437461e-05,1.5840028332214e-05,"56619/16193/19225/17474/216799/12795/16362/18019/12051/19698/17164/170780/18034/13655/56489/16176/12042/12675/56644/29857/56760/69810/18033",23
"Organismal Systems","Immune system","mmu04640","Hematopoietic cell lineage","20/692","94/10644",0.212765957446809,3.2726601893986,5.83582279448691,1.93764150043495e-06,5.81292450130486e-05,4.30174955120487e-05,"12985/16178/12986/16193/13136/22042/16196/14128/16176/16175/16402/16190/15001/15000/16177/16194/12502/12481/14256/16156",20
"Human Diseases","Cancer: overview","mmu05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","19/692","88/10644",0.215909090909091,3.3210063058329,5.76498073452821,2.76768029869965e-06,7.61112082142404e-05,5.63247218682736e-05,"381319/24088/18019/22637/16818/60533/26397/18036/15980/21898/12675/18761/15251/53314/29857/18033/12503/15979/12502",19
"Environmental Information Processing","Signal transduction","mmu04010","MAPK signaling pathway","41/692","299/10644",0.137123745819398,2.10916929263247,5.12977219146074,4.03830099364492e-06,0.000102510717530986,7.5861200852277e-05,"17873/17869/13197/240672/12290/19252/13874/16180/16002/26410/11839/233046/15370/19417/19698/17164/26411/21802/18034/16478/20111/22339/26397/16176/16175/12675/19099/12531/16000/29857/216869/16177/19354/26404/13640/18033/58231/15481/18751/14256/23882",41
