"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","mmu04064","NF-kappa B signaling pathway","30/685","107/10644",0.280373831775701,4.35664097141688,9.15182571117857,2.74144024934616e-12,9.04675282284233e-10,6.66602839577855e-10,"14825/15894/17873/19225/12044/13197/18035/20310/21929/11796/17096/22637/17060/19698/16818/18034/108723/21898/16176/12042/12675/18761/16177/50930/18033/18792/21947/245527/18751/23882",30
"Environmental Information Processing","Signal transduction","mmu04668","TNF signaling pathway","31/685","118/10644",0.26271186440678,4.08219720400841,8.82956267349638,7.75865612318166e-12,1.28017826032497e-09,9.4328924444998e-10,"14825/15894/20339/16193/19225/12702/18035/20293/12608/16477/26427/20310/21929/16182/16362/67457/26410/11796/12051/17392/231991/74568/16878/20297/26397/16176/12675/20311/29857/18033/21938",31
"Organismal Systems","Development and regeneration","mmu04380","Osteoclast differentiation","32/685","136/10644",0.235294117647059,3.65616144267926,8.17585801761785,8.38678951603695e-11,9.22546846764065e-09,6.79771360773521e-09,"246256/14283/18733/14284/12702/18035/232801/16477/320832/17969/17970/18019/17060/19698/16818/18034/16478/15980/232790/16176/16175/12675/20375/29857/14131/16177/17972/18033/12703/15979/16822/14282",32
"Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction","49/685","294/10644",0.166666666666667,2.58978102189781,7.24953664057365,5.34137010631071e-10,4.40663033770633e-08,3.24699077515204e-08,"12765/12985/227288/14825/16178/12986/16193/12156/27279/18413/20293/12771/20310/16174/16182/16181/16180/107527/56744/12983/12767/320100/56708/16196/16162/16878/58181/20297/16185/15980/12163/16176/16175/16172/16190/20311/238057/16177/16194/12803/50930/15979/16323/21938/21947/245527/269275/11479/16156",49
"Human Diseases","Infectious disease: bacterial","mmu05152","Tuberculosis","35/685","180/10644",0.194444444444444,3.02141119221411,7.17317627967291,2.80072240850685e-09,1.84847678961452e-07,1.36203552918965e-07,"246256/56619/16193/12608/12265/13063/12795/13115/24088/271457/12796/192656/170780/15510/20698/15980/21898/15526/16176/16175/18779/12042/15001/15000/56644/12323/29857/14131/12721/114143/18033/15979/108960/13040/21897",35
"Human Diseases","Infectious disease: parasitic","mmu05145","Toxoplasmosis","26/685","109/10644",0.238532110091743,3.70647559097301,7.44851238604053,3.67354539573953e-09,2.02044996765674e-07,1.48875260774707e-07,"18035/12265/13063/24088/16835/11796/104709/11689/26397/18036/15980/21898/14679/12675/320207/105675/15001/15000/329581/29857/18033/12703/15979/16780/21947/15481",26
"Organismal Systems","Immune system","mmu04657","IL-17 signaling pathway","24/685","98/10644",0.244897959183673,3.80539252197229,7.31698626812924,8.39932076768147e-09,3.54910562508504e-07,2.61513046058898e-07,"12985/14825/14283/16193/19225/20201/18035/20293/12608/20310/21929/16819/17392/16478/74180/56489/20297/16176/16172/12675/20311/29857/18033/14282",24
"Human Diseases","Infectious disease: parasitic","mmu05140","Leishmaniasis","20/685","70/10644",0.285714285714286,4.43962460896767,7.57198709426644,8.60389242444858e-09,3.54910562508504e-07,2.61513046058898e-07,"246256/19225/18035/17969/17970/24088/17357/18036/15980/21898/16176/16175/15001/15000/29857/14131/17972/18033/15979/18751",20
"Organismal Systems","Immune system","mmu04659","Th17 cell differentiation","24/685","105/10644",0.228571428571429,3.55169968717414,6.89118578070094,3.57606385642476e-08,1.31122341402241e-06,9.66164620858618e-07,"16193/18035/16180/18019/22637/16818/14462/16185/18036/15980/16176/12675/16190/15001/15000/18761/15251/29857/16177/16194/18033/12503/15979/12502",24
"Organismal Systems","Immune system","mmu04625","C-type lectin receptor signaling pathway","24/685","112/10644",0.214285714285714,3.32971845672576,6.50019637366667,1.32764588021216e-07,4.38123140470013e-06,3.2282757718843e-06,"56619/16193/19225/18035/17474/216799/12795/16362/18019/12051/19698/17164/170780/18034/13655/56489/16176/12042/12675/56644/29857/56760/69810/18033",24
"Human Diseases","Cancer: overview","mmu05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","20/685","88/10644",0.227272727272727,3.5315195753152,6.25377692798689,5.43375333616071e-07,1.63012600084821e-05,1.20114547430921e-05,"18035/381319/24088/18019/22637/16818/60533/26397/18036/15980/21898/12675/18761/15251/53314/29857/18033/12503/15979/12502",20
"Organismal Systems","Immune system","mmu04640","Hematopoietic cell lineage","20/685","94/10644",0.212765957446809,3.30610343220997,5.88960175854041,1.65557178420423e-06,4.55282240656163e-05,3.35471124694015e-05,"12985/16178/12986/16193/13136/22042/16196/14128/16176/16175/16402/16190/15001/15000/16177/16194/12502/12481/14256/16156",20
"Organismal Systems","Immune system","mmu04658","Th1 and Th2 cell differentiation","19/685","88/10644",0.215909090909091,3.35494359654944,5.81756984003477,2.38141184585022e-06,6.04512237792748e-05,4.45430069952551e-05,"18035/18019/22637/16818/16162/14462/16185/18036/15980/12675/16190/15001/15000/18761/29857/18033/12503/15979/12502",19
"Human Diseases","Cardiovascular disease","mmu05417","Lipid and atherosclerosis","33/685","217/10644",0.152073732718894,2.36302600154731,5.32014870376008,3.10613256199325e-06,7.32159818184124e-05,5.39486181819881e-05,"14825/15894/20339/16193/18035/20293/20310/13063/17969/20656/216799/17970/24088/54123/18019/16835/17096/17392/15510/56489/13665/26397/78943/21898/16176/12675/12323/29857/17972/18033/238055/21947/15481",33
"Cellular Processes","Transport and catabolism","mmu04145","Phagosome","29/685","183/10644",0.158469945355191,2.46241474213234,5.23333999900916,5.38325980194324e-06,0.000118431715642751,8.72654746841326e-05,"246256/17969/17970/24088/22042/271457/545486/67951/21354/22151/227613/22145/170780/21898/11966/18779/16402/15001/15000/22146/56644/14131/12721/17972/17195/114143/14991/13040/17523",29
"Organismal Systems","Immune system","mmu04062","Chemokine signaling pathway","30/685","194/10644",0.154639175257732,2.40288960794642,5.17172791483316,6.17218579203001e-06,0.000121607541047741,8.96055565614933e-05,"12765/227288/14825/18035/20293/12771/14191/20310/17969/56744/17096/104709/14707/277360/12767/15162/56484/22376/20297/18036/14679/12675/320207/20311/14695/216869/19354/271849/18033/18751",30
"Human Diseases","Immune disease","mmu05321","Inflammatory bowel disease","15/685","62/10644",0.241935483870968,3.75935954791618,5.71465096517575,6.26463090245938e-06,0.000121607541047741,8.96055565614933e-05,"16193/16174/16182/24088/16162/14462/15980/21898/16176/16175/16190/15001/15000/18033/15979",15
"Environmental Information Processing","Signal transduction","mmu04010","MAPK signaling pathway","40/685","299/10644",0.133779264214047,2.07875399750995,4.96206233113728,7.61044781411705e-06,0.000139524876592146,0.000102807803804739,"17873/17869/13197/240672/12290/19252/13874/16180/16002/26410/11839/233046/19417/19698/17164/26411/21802/18034/16478/20111/22339/26397/16176/16175/12675/19099/12531/16000/29857/216869/16177/19354/26404/13640/18033/58231/15481/18751/14256/23882",40
