"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030198","extracellular matrix organization","10/54","323/25730",0.0309597523219814,14.7517486526774,11.4058365372964,1.24144147433633e-09,5.85412532149372e-07,4.25300690628517e-07,"Col1a1/Vit/Col5a1/Lamb1/Pmp22/Sema5a/Col1a2/Dag1/Col4a1/Col5a3",10
"GO:0045229","external encapsulating structure organization","10/54","324/25730",0.0308641975308642,14.7062185642433,11.3858815404458,1.27897180416226e-09,5.85412532149372e-07,4.25300690628517e-07,"Col1a1/Vit/Col5a1/Lamb1/Pmp22/Sema5a/Col1a2/Dag1/Col4a1/Col5a3",10
"GO:0043062","extracellular structure organization","10/54","325/25730",0.0307692307692308,14.6609686609687,11.3660150245579,1.31750757422965e-09,5.85412532149372e-07,4.25300690628517e-07,"Col1a1/Vit/Col5a1/Lamb1/Pmp22/Sema5a/Col1a2/Dag1/Col4a1/Col5a3",10
"GO:0031589","cell-substrate adhesion","8/54","383/25730",0.02088772845953,9.95261580117977,8.09525813489152,1.28240672747438e-06,0.000427362041930838,0.00031047741823064,"Col1a1/Vit/Lamb1/Dbn1/Dag1/Col5a3/Itga6/Apod",8
"GO:0071711","basement membrane organization","4/54","43/25730",0.0930232558139535,44.3238587424634,13.0391510378073,2.01185379304086e-06,0.000536360221224693,0.000389664313599493,"Lamb1/Pmp22/Dag1/Col4a1",4
"GO:0043589","skin morphogenesis","3/54","13/25730",0.230769230769231,109.957264957265,18.020314517457,2.46212745573144e-06,0.000547002649748334,0.000397396010398758,"Col1a1/Col1a2/Itga6",3
"GO:0045161","neuronal ion channel clustering","3/54","14/25730",0.214285714285714,102.103174603175,17.3528875179472,3.12896099684904e-06,0.000595843572685682,0.000432878814601672,"Gldn/Pmp22/Nfasc",3
"GO:0031345","negative regulation of cell projection organization","6/54","224/25730",0.0267857142857143,12.7628968253968,8.10889672245518,7.41850454529082e-06,0.00123610831985908,0.000898029497587837,"Pmp22/Sema5a/Sema3g/Vim/Limk2/Slit2",6
"GO:0010810","regulation of cell-substrate adhesion","6/54","242/25730",0.0247933884297521,11.8135904499541,7.7509399260866,1.15188217384618e-05,0.0017060654863744,0.00123945216367074,"Col1a1/Vit/Dbn1/Dag1/Itga6/Apod",6
"GO:0007411","axon guidance","6/54","264/25730",0.0227272727272727,10.8291245791246,7.3617503474781,1.88419717596881e-05,0.00233246412126855,0.0016945291519462,"Lamb1/Sema5a/Sema3g/Dag1/Slit2/Nfasc",6
"GO:0097485","neuron projection guidance","6/54","265/25730",0.0226415094339623,10.7882599580713,7.3451596787164,1.92476409106932e-05,0.00233246412126855,0.0016945291519462,"Lamb1/Sema5a/Sema3g/Dag1/Slit2/Nfasc",6
"GO:0010977","negative regulation of neuron projection development","5/54","165/25730",0.0303030303030303,14.4388327721661,7.94191570609445,2.5037403573973e-05,0.00278123824700883,0.00202056239368905,"Pmp22/Sema5a/Sema3g/Vim/Slit2",5
"GO:0050770","regulation of axonogenesis","5/54","176/25730",0.0284090909090909,13.5364057239057,7.65322669367665,3.41063995584122e-05,0.00349721773933565,0.00254071964321775,"Sema5a/Dbn1/Sema3g/Vim/Slit2",5
"GO:0050767","regulation of neurogenesis","7/54","483/25730",0.0144927536231884,6.90552871712292,6.00858363990344,6.49824266734871e-05,0.0057800163606335,0.0041991669378788,"Sema5a/Dbn1/Sema3g/Dag1/Vim/Mapre3/Slit2",7
"GO:0030516","regulation of axon extension","4/54","103/25730",0.0388349514563107,18.5041352031643,8.16309850069685,6.56658812013673e-05,0.0057800163606335,0.0041991669378788,"Sema5a/Dbn1/Sema3g/Slit2",4
"GO:0030517","negative regulation of axon extension","3/54","38/25730",0.0789473684210526,37.6169590643275,10.3590461065343,6.99763289987498e-05,0.0057800163606335,0.0041991669378788,"Sema5a/Sema3g/Slit2",3
"GO:1990138","neuron projection extension","5/54","207/25730",0.0241545893719807,11.5092145285382,6.96200322176105,7.3713637007329e-05,0.0057800163606335,0.0041991669378788,"Sema5a/Dbn1/Sema3g/Spag9/Slit2",5
"GO:0048640","negative regulation of developmental growth","4/54","119/25730",0.0336134453781513,16.0161842514784,7.52947075910687,0.000115048394875631,0.00833695095350397,0.00605677330692435,"Sema5a/Sema3g/Spag9/Slit2",4
"GO:0061387","regulation of extent of cell growth","4/54","120/25730",0.0333333333333333,15.8827160493827,7.49398258493176,0.000118831258902157,0.00833695095350397,0.00605677330692435,"Sema5a/Dbn1/Sema3g/Slit2",4
"GO:0050919","negative chemotaxis","3/54","48/25730",0.0625,29.7800925925926,9.15256948341228,0.000141356623789034,0.00942141897553913,0.00684463652031113,"Sema5a/Sema3g/Slit2",3
"GO:0051962","positive regulation of nervous system development","6/54","392/25730",0.0153061224489796,7.29308390022676,5.75791221505184,0.00016766373938981,0.010642655457458,0.00773186166609651,"Sema5a/Dbn1/Dag1/Vim/Mapre3/Slit2",6
"GO:0048675","axon extension","4/54","133/25730",0.0300751879699248,14.3302701197438,7.06829856847006,0.000176614548405409,0.0107012360465641,0.00777442031258258,"Sema5a/Dbn1/Sema3g/Slit2",4
"GO:0071225","cellular response to muramyl dipeptide","2/54","10/25730",0.2,95.2962962962963,13.6774080223497,0.00019245851699292,0.011154226223981,0.00810351650496504,"Vim/Nod1",2
"GO:0032963","collagen metabolic process","4/54","138/25730",0.0289855072463768,13.8110574342458,6.92017469036578,0.000203467447467697,0.0113009211447683,0.00821008998553863,"Col1a1/Col5a1/Col1a2/Vim",4
"GO:0021700","developmental maturation","6/54","413/25730",0.0145278450363196,6.92224912563896,5.56416791225758,0.000222172523367778,0.0118462389459699,0.00860626195782551,"Gldn/Pmp22/Dag1/Atp6ap1/Slit2/Nfasc",6
"GO:0050771","negative regulation of axonogenesis","3/54","60/25730",0.05,23.8240740740741,8.11709275762515,0.000274741062289513,0.0127498510413456,0.00926273380821883,"Sema5a/Sema3g/Slit2",3
"GO:0021782","glial cell development","4/54","150/25730",0.0266666666666667,12.7061728395062,6.59409107949787,0.000279775035837676,0.0127498510413456,0.00926273380821883,"Pmp22/Phgdh/Dag1/Vim",4
