"Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"GO:0016043","cellular component organization",7913,35,3.10036558378061e-10,4.05103180978188e-07,"Sptbn5,Cfap100,Col1a1,Tada2a,Per1,Col5a1,Nfasc,Mat2a,Col5a3,Spag9,Pmp22,Vit,Dbn1,Cadm3,Sema3g,Myo1b,Slc9a9,Limk2,Col1a2,Mdn1,Vim,Tnxb,Mbp,Nav1,Mpz,Gldn,Phgdh,Filip1,Apod,Med15,Slit2,Lrp1,Prnp,Sparc,Mapre3"
"GO:0007155","cell adhesion",1547,17,5.29678954977516e-10,4.05103180978188e-07,"Col1a1,Col5a1,Nfasc,Col5a3,Pmp22,Vit,Dbn1,Cadm3,Tnxb,Mbp,Mpz,Gldn,Sox13,Apod,Slit2,Lrp1,Prnp"
"GO:0071840","cellular component organization or biogenesis",8121,35,6.80845682316282e-10,4.05103180978188e-07,"Sptbn5,Cfap100,Col1a1,Tada2a,Per1,Col5a1,Nfasc,Mat2a,Col5a3,Spag9,Pmp22,Vit,Dbn1,Cadm3,Sema3g,Myo1b,Slc9a9,Limk2,Col1a2,Mdn1,Vim,Tnxb,Mbp,Nav1,Mpz,Gldn,Phgdh,Filip1,Apod,Med15,Slit2,Lrp1,Prnp,Sparc,Mapre3"
"GO:0120036","plasma membrane bounded cell projection organization",1809,17,5.70684919986301e-09,2.0404345154941e-06,"Cfap100,Nfasc,Spag9,Pmp22,Dbn1,Sema3g,Limk2,Vim,Tnxb,Mbp,Gldn,Phgdh,Apod,Slit2,Lrp1,Prnp,Mapre3"
"GO:0031345","negative regulation of cell projection organization",224,8,5.71550284452129e-09,2.0404345154941e-06,"Pmp22,Sema3g,Limk2,Vim,Mbp,Slit2,Lrp1,Prnp"
"GO:0030030","cell projection organization",1854,17,8.24993188736056e-09,2.45435473648977e-06,"Cfap100,Nfasc,Spag9,Pmp22,Dbn1,Sema3g,Limk2,Vim,Tnxb,Mbp,Gldn,Phgdh,Apod,Slit2,Lrp1,Prnp,Mapre3"
"GO:0048731","system development",4438,25,1.24629130950324e-08,3.17804283923326e-06,"Col1a1,Col5a1,Nfasc,Spag9,Pmp22,Vit,Dbn1,Sema3g,Limk2,Maged1,Col1a2,Vim,Tnxb,Mbp,Nav1,Mpz,Gldn,Sox13,Phgdh,Filip1,Apod,Slit2,Lrp1,Sparc,Mapre3"
"GO:0048699","generation of neurons",1806,16,4.26512416537196e-08,9.51655829398618e-06,"Nfasc,Spag9,Pmp22,Dbn1,Sema3g,Vim,Tnxb,Mbp,Nav1,Gldn,Phgdh,Filip1,Apod,Slit2,Lrp1,Mapre3"
"GO:0022008","neurogenesis",2099,17,5.19184760341621e-08,1.02971644134422e-05,"Nfasc,Spag9,Pmp22,Dbn1,Sema3g,Vim,Tnxb,Mbp,Nav1,Gldn,Sox13,Phgdh,Filip1,Apod,Slit2,Lrp1,Mapre3"
"GO:0007275","multicellular organism development",5197,26,6.33018075770037e-08,1.12993726524952e-05,"Col1a1,Tada2a,Col5a1,Nfasc,Spag9,Pmp22,Vit,Dbn1,Sema3g,Limk2,Maged1,Col1a2,Vim,Tnxb,Mbp,Nav1,Mpz,Gldn,Sox13,Phgdh,Filip1,Apod,Slit2,Lrp1,Sparc,Mapre3"
"GO:0030198","extracellular matrix organization",323,8,9.74728909547508e-08,1.22043531773109e-05,"Col1a1,Col5a1,Col5a3,Pmp22,Vit,Col1a2,Tnxb,Lrp1"
"GO:0048666","neuron development",1416,14,9.97684011296782e-08,1.22043531773109e-05,"Nfasc,Spag9,Pmp22,Dbn1,Sema3g,Vim,Tnxb,Mbp,Gldn,Phgdh,Apod,Slit2,Lrp1,Mapre3"
"GO:0045229","external encapsulating structure organization",324,8,9.98085799725979e-08,1.22043531773109e-05,"Col1a1,Col5a1,Col5a3,Pmp22,Vit,Col1a2,Tnxb,Lrp1"
"GO:0043062","extracellular structure organization",325,8,1.02192275063072e-07,1.22043531773109e-05,"Col1a1,Col5a1,Col5a3,Pmp22,Vit,Col1a2,Tnxb,Lrp1"
"GO:0007399","nervous system development",2794,19,1.02557589725302e-07,1.22043531773109e-05,"Nfasc,Spag9,Pmp22,Vit,Dbn1,Sema3g,Vim,Tnxb,Mbp,Nav1,Mpz,Gldn,Sox13,Phgdh,Filip1,Apod,Slit2,Lrp1,Mapre3"
"GO:0034330","cell junction organization",988,12,1.11946695882074e-07,1.24890532593439e-05,"Nfasc,Pmp22,Dbn1,Cadm3,Mpz,Filip1,Apod,Slit2,Lrp1,Prnp,Sparc,Mapre3"
"GO:0031175","neuron projection development",1233,13,1.53026834052538e-07,1.60678175755165e-05,"Nfasc,Spag9,Pmp22,Dbn1,Sema3g,Vim,Tnxb,Mbp,Phgdh,Apod,Slit2,Lrp1,Mapre3"
"GO:0010977","negative regulation of neuron projection development",165,6,4.80888483188716e-07,4.76881079162144e-05,"Pmp22,Sema3g,Vim,Mbp,Slit2,Lrp1"
"GO:0050770","regulation of axonogenesis",176,6,7.02039562928833e-07,6.59547694646299e-05,"Dbn1,Sema3g,Vim,Mbp,Slit2,Lrp1"
"GO:0048812","neuron projection morphogenesis",766,10,7.96843298798408e-07,7.11182644177579e-05,"Nfasc,Spag9,Pmp22,Dbn1,Sema3g,Vim,Mbp,Slit2,Lrp1,Mapre3"
"GO:0061564","axon development",591,9,8.64785795472164e-07,7.3506792615134e-05,"Nfasc,Pmp22,Dbn1,Sema3g,Vim,Mbp,Apod,Slit2,Lrp1"
"GO:0120035","regulation of plasma membrane bounded cell projection organization",782,10,9.60875227314153e-07,7.45722730763375e-05,"Pmp22,Dbn1,Sema3g,Limk2,Vim,Mbp,Slit2,Lrp1,Prnp,Mapre3"
"GO:0120039","plasma membrane bounded cell projection morphogenesis",782,10,9.60875227314153e-07,7.45722730763375e-05,"Nfasc,Spag9,Pmp22,Dbn1,Sema3g,Vim,Mbp,Slit2,Lrp1,Mapre3"
"GO:0048858","cell projection morphogenesis",789,10,1.04147581575439e-06,7.62363678587652e-05,"Nfasc,Spag9,Pmp22,Dbn1,Sema3g,Vim,Mbp,Slit2,Lrp1,Mapre3"
"GO:0030182","neuron differentiation",1721,14,1.06773624452052e-06,7.62363678587652e-05,"Nfasc,Spag9,Pmp22,Dbn1,Sema3g,Vim,Tnxb,Mbp,Gldn,Phgdh,Apod,Slit2,Lrp1,Mapre3"
"GO:0051129","negative regulation of cellular component organization",797,10,1.14078810083211e-06,7.62768151933355e-05,"Pmp22,Dbn1,Sema3g,Limk2,Vim,Mbp,Apod,Slit2,Lrp1,Prnp"
