"Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"GO:0072303","positive regulation of glomerular metanephric mesangial cell proliferation",1,1,0.000194325689856223,0.018945281967261,"Egr1"
"GO:0007626","locomotory behavior",294,2,0.00127193788818029,0.0275586542439062,"Egr1,Selenop"
"GO:0030335","positive regulation of cell migration",621,2,0.00554110238405661,0.0458956601001708,"Egr1,Epb41l4b"
"GO:2000147","positive regulation of cell motility",649,2,0.00603914675612372,0.0458956601001708,"Egr1,Epb41l4b"
"GO:0040017","positive regulation of locomotion",670,2,0.00642597020038441,0.0458956601001708,"Egr1,Epb41l4b"
"GO:0006338","chromatin remodeling",676,2,0.00653857383371878,0.0458956601001708,"Egr1,Baz1b"
"GO:0010557","positive regulation of macromolecule biosynthetic process",2796,3,0.0108226789092398,0.0598609779991633,"Egr1,Epb41l4b,Baz1b"
"GO:0007610","behavior",882,2,0.0109551057430899,0.0598609779991633,"Egr1,Selenop"
"GO:0006325","chromatin organization",886,2,0.0110512574767686,0.0598609779991633,"Egr1,Baz1b"
"GO:0009891","positive regulation of biosynthetic process",2942,3,0.0124930113080958,0.0612713611123807,"Egr1,Epb41l4b,Baz1b"
"GO:0043687","post-translational protein modification",1009,2,0.014195703293432,0.0634299158641971,"Egr1,Baz1b"
"GO:0030334","regulation of cell migration",1048,2,0.0152675735389835,0.0634299158641971,"Egr1,Epb41l4b"
"GO:2000145","regulation of cell motility",1109,2,0.0170149428118937,0.0682439205092578,"Egr1,Epb41l4b"
"GO:0010604","positive regulation of macromolecule metabolic process",3294,3,0.0171484723330956,0.0682439205092578,"Egr1,Epb41l4b,Baz1b"
"GO:0040012","regulation of locomotion",1162,2,0.0186023769111208,0.0702450358107284,"Egr1,Epb41l4b"
"GO:0009893","positive regulation of metabolic process",3674,3,0.0232216783021579,0.0750716680243399,"Egr1,Epb41l4b,Baz1b"
"GO:0040011","locomotion",1360,2,0.0250864182296603,0.07826962487654,"Egr1,Epb41l4b"
"GO:0045944","positive regulation of transcription by RNA polymerase II",1371,2,0.0254716455903381,0.0785572704895875,"Egr1,Baz1b"
"GO:0010628","positive regulation of gene expression",1400,2,0.0264995846773083,0.0795985945211399,"Egr1,Epb41l4b"
"GO:0006950","response to stress",4288,3,0.0354713365191139,0.0981122073932938,"Egr1,Epb41l4b,Baz1b"
"GO:0016477","cell migration",1685,2,0.0375251228829367,0.0995564484649341,"Egr1,Epb41l4b"
"GO:0036211","protein modification process",1729,2,0.0393716446860664,0.102366276183773,"Egr1,Baz1b"
"GO:0045893","positive regulation of DNA-templated transcription",1767,2,0.0409963398198979,0.103369155838464,"Egr1,Baz1b"
"GO:1902680","positive regulation of RNA biosynthetic process",1769,2,0.0410826132178512,0.103369155838464,"Egr1,Baz1b"
"GO:0043412","macromolecule modification",1884,2,0.0461697195789566,0.109128428095716,"Egr1,Baz1b"
"GO:0051254","positive regulation of RNA metabolic process",1914,2,0.0475370532957001,0.111278725559771,"Egr1,Baz1b"
"GO:0033554","cellular response to stress",1962,2,0.0497587692682699,0.112470516253035,"Egr1,Baz1b"
