"Mouse_Symbol","Mouse_log2FC","Mouse_padj","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Plekha4",0.298290463020058,5.26514577208746e-23,"PLEKHA4",0.978397890357331,1.5524597159828e-05,"Up","Up","Concordant"
"Vstm4",-0.285572664762467,1.85378278706488e-15,"VSTM4",-0.786205197234893,0.00256629411903055,"Down","Down","Concordant"
"Gpt",-0.226377016912097,3.19464134074534e-14,"GPT",-0.579950182253614,0.041086144094004,"Down","Down","Concordant"
"Mbp",0.309362962879349,1.0963497224448e-13,"MBP",1.69699863632153,0.000267523191204788,"Up","Up","Concordant"
"Col1a1",-0.218300074510664,2.30282551535219e-12,"COL1A1",-2.33093047101344,4.86690219674216e-12,"Down","Down","Concordant"
"Sema3g",-0.294957569108663,7.62542256815819e-11,"SEMA3G",-0.608545192438649,0.0381973899900013,"Down","Down","Concordant"
"Ide",-0.149236961213908,1.59366606619147e-10,"IDE",-0.51913816266272,0.00350840144624801,"Down","Down","Concordant"
"Myo7a",-0.178077727183201,9.84379719734919e-10,"MYO7A",-1.25005024467451,4.0030645680663e-06,"Down","Down","Concordant"
"Abcc5",-0.139889713924267,2.84068700038281e-09,"ABCC5",-0.967701443549381,1.97453539423291e-06,"Down","Down","Concordant"
"Scube1",-0.229769785658775,7.80097624230978e-09,"SCUBE1",-0.888601729839685,0.00616252818558909,"Down","Down","Concordant"
"Pcdhga12",-0.183704532354525,8.0732614951035e-09,"PCDHGA12",-1.01470602899415,0.000831031242675205,"Down","Down","Concordant"
"Hjurp",-0.172865975391534,2.32665632027913e-08,"HJURP",-1.31698323057106,0.00307193999547672,"Down","Down","Concordant"
"Mpnd",-0.121791437023365,2.44135126138767e-08,"MPND",-0.595499216283351,0.00490170726157816,"Down","Down","Concordant"
"Kifc2",-0.16035204144899,3.01809785132065e-08,"KIFC2",-0.794340720641097,0.00327147821258128,"Down","Down","Concordant"
"Adamtsl5",-0.152244006848852,3.22490756738657e-08,"ADAMTSL5",-0.730610612395635,0.00732530439285907,"Down","Down","Concordant"
"Timp2",-0.143061865535284,4.96288485073894e-08,"TIMP2",-0.31091995692204,0.0387226628601124,"Down","Down","Concordant"
"Tmtc1",-0.205785017956104,2.67504052133079e-07,"TMTC1",-0.506513330680648,0.0228591350107867,"Down","Down","Concordant"
"Dtymk",-0.0872439926718773,4.08193386518224e-07,"DTYMK",-0.452840471120764,0.00343036048735035,"Down","Down","Concordant"
"Fra10ac1",-0.143883245625808,5.40075272914339e-07,"FRA10AC1",-0.718282529966479,1.31429371020952e-05,"Down","Down","Concordant"
"Xpo7",-0.108724306984689,5.44883272232523e-07,"XPO7",-0.350256736875357,0.046637561482762,"Down","Down","Concordant"
"Atxn2",-0.12412329659344,8.70824337884315e-07,"ATXN2",-0.569868126504766,0.00327076498568536,"Down","Down","Concordant"
"Tpp1",-0.140832403256721,1.46860259502632e-06,"TPP1",-0.425048961489547,0.0446214304260235,"Down","Down","Concordant"
"Zkscan3",-0.0913435979447657,1.78745254333602e-06,"ZKSCAN3",-1.26942947076881,1.30222820497611e-05,"Down","Down","Concordant"
"Sin3b",-0.0670486762655518,1.9784189809224e-06,"SIN3B",-0.557232242686378,0.031362550179986,"Down","Down","Concordant"
"Lrp1",-0.128881854137702,2.12197811191648e-06,"LRP1",-0.819374421249414,0.000902398609018947,"Down","Down","Concordant"
"Drp2",0.232920998739397,2.12393504128461e-06,"DRP2",1.8364887437442,0.0049134881586191,"Up","Up","Concordant"
"Sod3",-0.214516756741697,2.38957599632613e-06,"SOD3",-0.45875517949551,0.00277560942349493,"Down","Down","Concordant"
"Arhgef17",-0.0770142465638963,2.9520188747028e-06,"ARHGEF17",-0.633317308573752,0.0300738495147949,"Down","Down","Concordant"
"Iqcc",-0.0897842109608321,3.05687741377305e-06,"IQCC",-0.670264477802829,0.00141091098501831,"Down","Down","Concordant"
"Wdfy2",-0.0811201948697042,3.18162981515192e-06,"WDFY2",-0.355256628261011,0.0311272127861863,"Down","Down","Concordant"
"Evc2",-0.121918698369386,3.87945033879373e-06,"EVC2",-0.615300860984749,0.0331391907339537,"Down","Down","Concordant"
"Ppp1r16a",-0.120955727216085,3.92538323241241e-06,"PPP1R16A",-0.415080962446433,0.0326252800520048,"Down","Down","Concordant"
