"Mouse_Symbol","Mouse_log2FC","Mouse_padj","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Per1",-0.517292194744234,3.40040112505858e-75,"PER1",0.614657911355589,0.030933662866666,"Down","Up","Discordant"
"Etnppl",-0.567689866009864,1.90287318595585e-31,"ETNPPL",3.17168473836637,1.36280441409346e-06,"Down","Up","Discordant"
"Mat2a",-0.29092170295442,2.33634047615297e-27,"MAT2A",2.03602742581746,5.68684526512092e-17,"Down","Up","Discordant"
"Gas2l3",-0.288706766954567,2.49880923537619e-25,"GAS2L3",0.796413699156658,0.0173435712693783,"Down","Up","Discordant"
"Dusp15",-0.324389346818371,8.423219358941e-25,"DUSP15",1.34448477075041,0.000183240813414026,"Down","Up","Discordant"
"Tsc22d3",-0.284038878428629,8.71262248209546e-25,"TSC22D3",1.28403787692541,2.60544727124652e-07,"Down","Up","Discordant"
"Nr4a1",-0.45337961251694,5.22568253361084e-24,"NR4A1",2.04199998326437,5.15570936980758e-07,"Down","Up","Discordant"
"Ncf2",-0.375748056437832,2.35011368606965e-23,"NCF2",2.94452359412225,1.759485916442e-09,"Down","Up","Discordant"
"Plekha4",0.298290463020058,5.26514577208746e-23,"PLEKHA4",0.978397890357331,1.5524597159828e-05,"Up","Up","Concordant"
"Per2",-0.230279643086404,3.35480217230575e-19,"PER2",1.01412500687374,4.10554993011023e-07,"Down","Up","Discordant"
"Ip6k2",-0.218294721830656,2.49094607760566e-17,"IP6K2",0.407793156564496,0.0357117917319335,"Down","Up","Discordant"
"Sgk1",-0.272135709402824,5.80394277719253e-17,"SGK1",2.7482021378972,6.57950120432712e-19,"Down","Up","Discordant"
"Sparc",-0.196554548415053,9.91216334751763e-17,"SPARC",0.59245081141209,0.00477617873902357,"Down","Up","Discordant"
"Otud7b",-0.218319976133601,1.17623426047945e-16,"OTUD7B",1.43033784367623,9.5988887341034e-07,"Down","Up","Discordant"
"Vstm4",-0.285572664762467,1.85378278706488e-15,"VSTM4",-0.786205197234893,0.00256629411903055,"Down","Down","Concordant"
"S100a6",-0.218453293871311,3.14037015081417e-15,"S100A6",0.668400803833228,0.00086456358449962,"Down","Up","Discordant"
"Hspa8",-0.305027444231289,6.86833436114207e-15,"HSPA8",1.05839121905272,0.000725689570105757,"Down","Up","Discordant"
"Slc3a2",-0.277196451418237,8.3660840372404e-15,"SLC3A2",0.628915890382855,0.00830149386462628,"Down","Up","Discordant"
"Pttg1ip",-0.220779044179023,2.14083056933782e-14,"PTTG1IP",0.331388807252075,0.0121856217054011,"Down","Up","Discordant"
"Sec14l5",-0.242616732845642,2.26098294459107e-14,"SEC14L5",1.58327555886197,0.00068014537123565,"Down","Up","Discordant"
"Gpt",-0.226377016912097,3.19464134074534e-14,"GPT",-0.579950182253614,0.041086144094004,"Down","Down","Concordant"
"Wbp11",-0.233128590733083,3.87416195676905e-14,"WBP11",0.635845926719241,6.27490327167346e-09,"Down","Up","Discordant"
