"Mouse_Symbol","Mouse_log2FC","Mouse_padj","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Col1a1",-0.353839979787682,4.46184029013813e-17,"COL1A1",-2.33093047101344,4.86690219674216e-12,"Down","Down","Concordant"
"Cldn19",0.25415672339727,3.1296174023515e-16,"CLDN19",1.49997021198936,0.0097889318302183,"Up","Up","Concordant"
"Vstm4",-0.358781313999331,2.92973181333442e-12,"VSTM4",-0.786205197234893,0.00256629411903055,"Down","Down","Concordant"
"Plekha4",0.202340503546775,4.32862879606425e-12,"PLEKHA4",0.978397890357331,1.5524597159828e-05,"Up","Up","Concordant"
"Adamtsl5",-0.214689224061706,1.87866229484832e-10,"ADAMTSL5",-0.730610612395635,0.00732530439285907,"Down","Down","Concordant"
"Gpt",-0.275979766726106,4.0263191166451e-09,"GPT",-0.579950182253614,0.041086144094004,"Down","Down","Concordant"
"Mbp",0.146461563519881,8.53483427498848e-09,"MBP",1.69699863632153,0.000267523191204788,"Up","Up","Concordant"
"Sema3g",-0.284948507316888,2.80032462528302e-08,"SEMA3G",-0.608545192438649,0.0381973899900013,"Down","Down","Concordant"
"Tmtc1",-0.293605621249134,2.8404058920474e-08,"TMTC1",-0.506513330680648,0.0228591350107867,"Down","Down","Concordant"
"Drp2",0.150336576077599,8.58089585275219e-08,"DRP2",1.8364887437442,0.0049134881586191,"Up","Up","Concordant"
"Scube1",-0.270998802064575,1.37339312340915e-07,"SCUBE1",-0.888601729839685,0.00616252818558909,"Down","Down","Concordant"
"Hjurp",-0.22959815253348,1.8490583493222e-07,"HJURP",-1.31698323057106,0.00307193999547672,"Down","Down","Concordant"
"Myo7a",-0.221293706178742,2.27972199996926e-07,"MYO7A",-1.25005024467451,4.0030645680663e-06,"Down","Down","Concordant"
"Lrp1",-0.177776196998774,5.65520488981378e-07,"LRP1",-0.819374421249414,0.000902398609018947,"Down","Down","Concordant"
"Rorc",-0.254900641472437,1.21716361472464e-06,"RORC",-1.16036955556816,0.00377100420411472,"Down","Down","Concordant"
"Wdfy2",-0.136520100444906,1.32390665062008e-06,"WDFY2",-0.355256628261011,0.0311272127861863,"Down","Down","Concordant"
"Fra10ac1",-0.202718942174658,1.76395472705623e-06,"FRA10AC1",-0.718282529966479,1.31429371020952e-05,"Down","Down","Concordant"
"Dtymk",-0.162173342144911,3.62209444640368e-06,"DTYMK",-0.452840471120764,0.00343036048735035,"Down","Down","Concordant"
"Abcc5",-0.166592379024238,5.21734769885763e-06,"ABCC5",-0.967701443549381,1.97453539423291e-06,"Down","Down","Concordant"
"Ide",-0.172696660825825,1.17916448808418e-05,"IDE",-0.51913816266272,0.00350840144624801,"Down","Down","Concordant"
"Zkscan3",-0.146537034263122,1.20941254404079e-05,"ZKSCAN3",-1.26942947076881,1.30222820497611e-05,"Down","Down","Concordant"
