"Mouse_Symbol","Mouse_log2FC","Mouse_padj","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Dusp15",-0.358578375804353,1.37787492955993e-52,"DUSP15",1.34448477075041,0.000183240813414026,"Down","Up","Discordant"
"Per1",-0.492985046141943,1.4690455278015e-43,"PER1",0.614657911355589,0.030933662866666,"Down","Up","Discordant"
"Etnppl",-0.702534786099968,9.94159660681345e-28,"ETNPPL",3.17168473836637,1.36280441409346e-06,"Down","Up","Discordant"
"Mat2a",-0.347590293597761,1.068541254682e-25,"MAT2A",2.03602742581746,5.68684526512092e-17,"Down","Up","Discordant"
"Sec14l5",-0.269794359424686,1.62122065677171e-19,"SEC14L5",1.58327555886197,0.00068014537123565,"Down","Up","Discordant"
"Ncf2",-0.426378941356039,3.84383079884107e-18,"NCF2",2.94452359412225,1.759485916442e-09,"Down","Up","Discordant"
"Col1a1",-0.353839979787682,4.46184029013813e-17,"COL1A1",-2.33093047101344,4.86690219674216e-12,"Down","Down","Concordant"
"Sptbn5",-0.279052436095427,7.5132129100169e-17,"SPTBN5",2.38514777172604,1.09154521488196e-06,"Down","Up","Discordant"
"Otud7b",-0.271521922954668,3.06024487699073e-16,"OTUD7B",1.43033784367623,9.5988887341034e-07,"Down","Up","Discordant"
"Cldn19",0.25415672339727,3.1296174023515e-16,"CLDN19",1.49997021198936,0.0097889318302183,"Up","Up","Concordant"
"Gas2l3",-0.288206211346012,1.64025534048308e-15,"GAS2L3",0.796413699156658,0.0173435712693783,"Down","Up","Discordant"
"Rhobtb3",-0.256137143228437,1.44880144816968e-12,"RHOBTB3",1.08101008964996,2.97101651403888e-06,"Down","Up","Discordant"
"Tsc22d3",-0.242429472362229,1.81137371898938e-12,"TSC22D3",1.28403787692541,2.60544727124652e-07,"Down","Up","Discordant"
"Vstm4",-0.358781313999331,2.92973181333442e-12,"VSTM4",-0.786205197234893,0.00256629411903055,"Down","Down","Concordant"
"Plekha4",0.202340503546775,4.32862879606425e-12,"PLEKHA4",0.978397890357331,1.5524597159828e-05,"Up","Up","Concordant"
"Wbp11",-0.295009706950237,1.89991360719489e-11,"WBP11",0.635845926719241,6.27490327167346e-09,"Down","Up","Discordant"
"Ip6k2",-0.248043136306551,2.34637687857363e-11,"IP6K2",0.407793156564496,0.0357117917319335,"Down","Up","Discordant"
"Sparc",-0.26324968856995,6.09131690173331e-11,"SPARC",0.59245081141209,0.00477617873902357,"Down","Up","Discordant"
"Per2",-0.233231719197991,1.17006835701961e-10,"PER2",1.01412500687374,4.10554993011023e-07,"Down","Up","Discordant"
"Arid5b",-0.266369722817172,1.28625089340315e-10,"ARID5B",1.00233724445659,2.65653545696934e-09,"Down","Up","Discordant"
"Adamtsl5",-0.214689224061706,1.87866229484832e-10,"ADAMTSL5",-0.730610612395635,0.00732530439285907,"Down","Down","Concordant"
"Mapk8ip1",-0.267359699898961,2.90718059306414e-10,"MAPK8IP1",1.97162808296533,5.03540842940661e-05,"Down","Up","Discordant"
"Mpz",-0.270456834664951,4.91132892750431e-10,"MPZ",1.71292998284678,0.00117146089740735,"Down","Up","Discordant"
"Megf9",-0.239404287492019,8.78613661043456e-10,"MEGF9",1.80510583671921,3.17665770495995e-06,"Down","Up","Discordant"
"Nr4a1",-0.281268450047849,9.16240620403706e-10,"NR4A1",2.04199998326437,5.15570936980758e-07,"Down","Up","Discordant"
"Brsk2",-0.289161698676103,1.37456545617303e-09,"BRSK2",0.919606832246747,0.00727183191789815,"Down","Up","Discordant"
"S100a6",-0.219886886958036,1.59400107139e-09,"S100A6",0.668400803833228,0.00086456358449962,"Down","Up","Discordant"
"Gpt",-0.275979766726106,4.0263191166451e-09,"GPT",-0.579950182253614,0.041086144094004,"Down","Down","Concordant"
"Pttg1ip",-0.195594478683767,4.7748096198255e-09,"PTTG1IP",0.331388807252075,0.0121856217054011,"Down","Up","Discordant"
"Mbp",0.146461563519881,8.53483427498848e-09,"MBP",1.69699863632153,0.000267523191204788,"Up","Up","Concordant"
"Cyb5r2",-0.267424076856278,1.12719522784716e-08,"CYB5R2",1.00695743795473,0.00352882719305511,"Down","Up","Discordant"
"Sgk1",-0.2604334094961,1.40933018156202e-08,"SGK1",2.7482021378972,6.57950120432712e-19,"Down","Up","Discordant"
"Sema3g",-0.284948507316888,2.80032462528302e-08,"SEMA3G",-0.608545192438649,0.0381973899900013,"Down","Down","Concordant"
"Tmtc1",-0.293605621249134,2.8404058920474e-08,"TMTC1",-0.506513330680648,0.0228591350107867,"Down","Down","Concordant"
"Iqgap2",-0.300867194986792,3.22359852179171e-08,"IQGAP2",0.667062492239989,0.0101837809039101,"Down","Up","Discordant"
"Drp2",0.150336576077599,8.58089585275219e-08,"DRP2",1.8364887437442,0.0049134881586191,"Up","Up","Concordant"
"Scube1",-0.270998802064575,1.37339312340915e-07,"SCUBE1",-0.888601729839685,0.00616252818558909,"Down","Down","Concordant"
"Hjurp",-0.22959815253348,1.8490583493222e-07,"HJURP",-1.31698323057106,0.00307193999547672,"Down","Down","Concordant"
"Kif21a",-0.257898068513339,1.95841080207884e-07,"KIF21A",0.570694855910723,0.0120541087988496,"Down","Up","Discordant"
"Myo7a",-0.221293706178742,2.27972199996926e-07,"MYO7A",-1.25005024467451,4.0030645680663e-06,"Down","Down","Concordant"
"Sfpq",-0.119893125483906,3.55764052711948e-07,"SFPQ",0.615547768668322,0.000417455264524902,"Down","Up","Discordant"
"Lrp1",-0.177776196998774,5.65520488981378e-07,"LRP1",-0.819374421249414,0.000902398609018947,"Down","Down","Concordant"
"Sirt2",-0.18057167745095,8.50712666949635e-07,"SIRT2",0.49228408389631,3.79133563366013e-05,"Down","Up","Discordant"
"Elovl7",-0.247812771468342,1.15756310014872e-06,"ELOVL7",0.918234349499559,0.00277138142783631,"Down","Up","Discordant"
"Rorc",-0.254900641472437,1.21716361472464e-06,"RORC",-1.16036955556816,0.00377100420411472,"Down","Down","Concordant"
"Cntf",-0.256063198813654,1.23129566123755e-06,"CNTF",2.62653624340717,0.000270677068410278,"Down","Up","Discordant"
"Wdfy2",-0.136520100444906,1.32390665062008e-06,"WDFY2",-0.355256628261011,0.0311272127861863,"Down","Down","Concordant"
"Nedd9",-0.188529843062535,1.56229614915809e-06,"NEDD9",2.5439781102678,1.45742549457497e-17,"Down","Up","Discordant"
"Fra10ac1",-0.202718942174658,1.76395472705623e-06,"FRA10AC1",-0.718282529966479,1.31429371020952e-05,"Down","Down","Concordant"
"Cryab",-0.190097737548393,2.21126666739567e-06,"CRYAB",1.08341602218809,5.7269190274382e-05,"Down","Up","Discordant"
"Dtymk",-0.162173342144911,3.62209444640368e-06,"DTYMK",-0.452840471120764,0.00343036048735035,"Down","Down","Concordant"
"Fa2h",-0.165850889031565,4.39735314276161e-06,"FA2H",1.3352567336003,0.00292691716258544,"Down","Up","Discordant"
"Klf15",-0.187062510624917,4.45682339662113e-06,"KLF15",1.48401137805783,1.67269822736748e-05,"Down","Up","Discordant"
"Abcc5",-0.166592379024238,5.21734769885763e-06,"ABCC5",-0.967701443549381,1.97453539423291e-06,"Down","Down","Concordant"
"Atp1b3",-0.154033225753278,5.88861158568481e-06,"ATP1B3",2.31810166786389,2.10745120832055e-26,"Down","Up","Discordant"
"Rap1gds1",-0.165067052585922,6.7458224262482e-06,"RAP1GDS1",0.666498916787632,0.0020158455859027,"Down","Up","Discordant"
"Mthfd1l",-0.207852215407488,8.86239821777541e-06,"MTHFD1L",0.842884885757314,0.00238120556135578,"Down","Up","Discordant"
"Tbc1d23",-0.187469090136993,1.15275093971902e-05,"TBC1D23",0.424067506537128,0.00192458431543134,"Down","Up","Discordant"
"Ide",-0.172696660825825,1.17916448808418e-05,"IDE",-0.51913816266272,0.00350840144624801,"Down","Down","Concordant"
"Zkscan3",-0.146537034263122,1.20941254404079e-05,"ZKSCAN3",-1.26942947076881,1.30222820497611e-05,"Down","Down","Concordant"
"Srsf6",-0.105499095689851,1.27894713685967e-05,"SRSF6",0.607447182868995,7.7281743493011e-05,"Down","Up","Discordant"
"Senp3",-0.170218092968413,1.4604312024817e-05,"SENP3",0.46287359604863,0.0135688003827127,"Down","Up","Discordant"
"Abtb2",-0.157082263870391,1.47606764992881e-05,"ABTB2",0.850021399170085,0.00198104421965933,"Down","Up","Discordant"
"Ippk",-0.164906918441024,1.58572148771865e-05,"IPPK",0.539823439698933,0.0162897076209734,"Down","Up","Discordant"
"Jam3",-0.141873996368704,1.61664675972027e-05,"JAM3",0.457492352742025,0.00031177974466763,"Down","Up","Discordant"
"Kifc2",-0.190335644533964,1.70022437288168e-05,"KIFC2",-0.794340720641097,0.00327147821258128,"Down","Down","Concordant"
"Rasal2",0.455198681342389,1.86474471328411e-05,"RASAL2",0.503969031010408,0.0302095596797724,"Up","Up","Concordant"
"Lctl",-0.188227262037815,1.96600428918644e-05,"LCTL",1.36203941807496,0.00020920595137583,"Down","Up","Discordant"
"Bcl2l1",-0.159066674192921,2.25365035646136e-05,"BCL2L1",0.43555280611491,0.00566397624664395,"Down","Up","Discordant"
"Ralgds",-0.211977554820806,2.42135309044557e-05,"RALGDS",0.800620882164364,0.000117416874076248,"Down","Up","Discordant"
"Snx14",-0.171421899365792,2.44256189160285e-05,"SNX14",-0.665090290492076,0.000109807789869119,"Down","Down","Concordant"
"Slc3a2",-0.193279624158277,2.71467805868422e-05,"SLC3A2",0.628915890382855,0.00830149386462628,"Down","Up","Discordant"
"Med22",-0.200216783567503,3.07700578772704e-05,"MED22",-0.541387339592153,4.65730757140838e-06,"Down","Down","Concordant"
"Pmp22",-0.166648551351319,4.51440264801836e-05,"PMP22",1.45929829179601,1.88551476517146e-06,"Down","Up","Discordant"
"Gdi1",-0.152369820947697,4.7640842945518e-05,"GDI1",0.37407099549111,0.0279566052358016,"Down","Up","Discordant"
"Dcun1d5",-0.154548891773481,5.18718841296064e-05,"DCUN1D5",0.492434370437308,0.000228099134445988,"Down","Up","Discordant"
"Cdh1",-0.18793436886008,6.05133187141327e-05,"CDH1",1.61733830378314,0.00241398407306228,"Down","Up","Discordant"
"Arhgef17",-0.137762398495946,9.25704329762668e-05,"ARHGEF17",-0.633317308573752,0.0300738495147949,"Down","Down","Concordant"
"Col24a1",-0.207763618865932,9.55100483105696e-05,"COL24A1",-0.706756334151809,0.0231127885684988,"Down","Down","Concordant"
"Mylip",-0.172103024651407,0.000102483664224861,"MYLIP",0.764613361473144,0.00145723825263538,"Down","Up","Discordant"
"Sin3b",-0.101457426721294,0.000155058674327483,"SIN3B",-0.557232242686378,0.031362550179986,"Down","Down","Concordant"
"Far1",-0.117130445465433,0.000178300348925445,"FAR1",0.51632518539572,1.38969577865751e-05,"Down","Up","Discordant"
"Cltb",-0.167751464920067,0.000178974968731596,"CLTB",0.839681369544865,1.61606905579954e-06,"Down","Up","Discordant"
"Sod3",-0.200635476665892,0.000196203888948399,"SOD3",-0.45875517949551,0.00277560942349493,"Down","Down","Concordant"
"Mpnd",-0.134284219662391,0.000203243797630702,"MPND",-0.595499216283351,0.00490170726157816,"Down","Down","Concordant"
"Rabep1",-0.139891891536326,0.000208188608986003,"RABEP1",0.294246152545924,0.0224182618985853,"Down","Up","Discordant"
"Myo1b",-0.152476563912179,0.000214525668030702,"MYO1B",0.489556382046038,1.32623899575974e-05,"Down","Up","Discordant"
"Vav2",-0.151720153689917,0.000214735325619461,"VAV2",-0.734534082086073,0.0028285000008971,"Down","Down","Concordant"
"Map1b",-0.109972261841846,0.000237928853109599,"MAP1B",0.482800784960368,0.0100343188238451,"Down","Up","Discordant"
"Cdc37l1",-0.149199662730125,0.000251167467593877,"CDC37L1",1.05894406250881,5.31125816105214e-09,"Down","Up","Discordant"
"Paqr6",-0.130537173723003,0.000277133357685961,"PAQR6",0.805361172474919,0.00215066741025202,"Down","Up","Discordant"
"Ptpre",-0.0999021847823989,0.000278678858163613,"PTPRE",2.06625014305419,1.42155021346131e-06,"Down","Up","Discordant"
"Evc2",-0.140777470363264,0.000326296943675356,"EVC2",-0.615300860984749,0.0331391907339537,"Down","Down","Concordant"
"Slc44a2",-0.123417282117339,0.000343535535290604,"SLC44A2",0.51829195359802,0.00517102720976109,"Down","Up","Discordant"
"Elovl1",-0.143880548441382,0.000494376895185552,"ELOVL1",0.709125826521035,0.000121144857753579,"Down","Up","Discordant"
"Arrb2",-0.120262034120816,0.000517955433920998,"ARRB2",1.73985888909546,0.000201212352501719,"Down","Up","Discordant"
"Itpk1",-0.0880771233497444,0.000600908538879357,"ITPK1",0.756103281010516,0.000459840990722149,"Down","Up","Discordant"
"Ivd",-0.162165971144344,0.000621193033455914,"IVD",-0.49725309963615,0.00796337687156573,"Down","Down","Concordant"
"Syngap1",-0.162897050933872,0.000662947465243555,"SYNGAP1",-1.02606301268327,0.0010777313727179,"Down","Down","Concordant"
"Cd9",-0.179833872441933,0.000693325206906308,"CD9",0.9312890045953,2.48731597477048e-08,"Down","Up","Discordant"
"Xpo7",-0.134052039845581,0.000738569655972796,"XPO7",-0.350256736875357,0.046637561482762,"Down","Down","Concordant"
"Mllt6",-0.107054996928389,0.000747870882818181,"MLLT6",-0.384963253133459,0.0421949504949132,"Down","Down","Concordant"
"Slc25a51",-0.105950288447405,0.000780275125651167,"SLC25A51",0.391699491828875,0.0348342150511964,"Down","Up","Discordant"
