"Mouse_Symbol","Mouse_log2FC","Mouse_padj","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Tmtc1",-0.334094845125183,1.33890656500287e-13,"TMTC1",-0.506513330680648,0.0228591350107867,"Down","Down","Concordant"
"Slc27a1",-0.209785801889431,3.12942330974699e-12,"SLC27A1",-0.723270208286471,0.00678387661198289,"Down","Down","Concordant"
"Plekha4",0.124586840127851,1.39755781314277e-10,"PLEKHA4",0.978397890357331,1.5524597159828e-05,"Up","Up","Concordant"
"Ctnnal1",0.265177172927374,5.51248377194603e-09,"CTNNAL1",0.789409797152029,0.0109055514275373,"Up","Up","Concordant"
"Abcc5",-0.21068698901537,1.76974178562858e-08,"ABCC5",-0.967701443549381,1.97453539423291e-06,"Down","Down","Concordant"
"Kifc2",-0.253793627089626,6.02268303733057e-08,"KIFC2",-0.794340720641097,0.00327147821258128,"Down","Down","Concordant"
"Per3",-0.184582703558025,7.34266043277781e-08,"PER3",-0.4257381222925,0.041497444185606,"Down","Down","Concordant"
"Ldlr",0.239079658158136,0.000218437235589934,"LDLR",2.18367449258416,5.12560435474751e-08,"Up","Up","Concordant"
"Adamtsl5",-0.186017553196214,0.000253099426595979,"ADAMTSL5",-0.730610612395635,0.00732530439285907,"Down","Down","Concordant"
"Fra10ac1",-0.168649654834443,0.000305494578851949,"FRA10AC1",-0.718282529966479,1.31429371020952e-05,"Down","Down","Concordant"
"Fbxl2",-0.176728352625138,0.000586786967876969,"FBXL2",-0.868538406440034,0.00140863908132455,"Down","Down","Concordant"
"Xpo7",-0.158282739274658,0.00247048011635077,"XPO7",-0.350256736875357,0.046637561482762,"Down","Down","Concordant"
"Dbp",-0.107614829599608,0.00431049599352072,"DBP",-1.24920220507366,0.000906717305914943,"Down","Down","Concordant"
"Kcna1",0.230775149044328,0.00478466215252415,"KCNA1",1.77994603376021,0.000672740015383392,"Up","Up","Concordant"
"Six5",-0.180308101828239,0.0118811137382315,"SIX5",-1.19916151973698,0.000165829767918995,"Down","Down","Concordant"
"Mpnd",-0.176989593312235,0.0146185766021106,"MPND",-0.595499216283351,0.00490170726157816,"Down","Down","Concordant"
"Zkscan3",-0.103869563738363,0.0177994414053394,"ZKSCAN3",-1.26942947076881,1.30222820497611e-05,"Down","Down","Concordant"
"Hmgcs1",0.292261994205017,0.0302865792995219,"HMGCS1",0.664451359166214,0.00619868364623705,"Up","Up","Concordant"
"Iqcc",-0.0780654964395598,0.030530847584537,"IQCC",-0.670264477802829,0.00141091098501831,"Down","Down","Concordant"
"Ralgps1",-0.0833063573570638,0.0353919140448197,"RALGPS1",-0.404660211450232,0.0432265341198442,"Down","Down","Concordant"
