"Mouse_Symbol","Mouse_log2FC","Mouse_padj","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Slc27a1",-0.259759994294515,8.20358592407375e-12,"SLC27A1",-0.723270208286471,0.00678387661198289,"Down","Down","Concordant"
"Plekha4",0.185399523019998,1.64966442815034e-10,"PLEKHA4",0.978397890357331,1.5524597159828e-05,"Up","Up","Concordant"
"Tmtc1",-0.410830759493501,1.89679892313397e-10,"TMTC1",-0.506513330680648,0.0228591350107867,"Down","Down","Concordant"
"Ctnnal1",0.251161487528039,1.13007133442015e-07,"CTNNAL1",0.789409797152029,0.0109055514275373,"Up","Up","Concordant"
"Cldn19",0.174365934945207,6.58065136496937e-07,"CLDN19",1.49997021198936,0.0097889318302183,"Up","Up","Concordant"
"Abcc5",-0.247198295354299,2.19260283940929e-06,"ABCC5",-0.967701443549381,1.97453539423291e-06,"Down","Down","Concordant"
"Adamtsl5",-0.237294699459379,3.19273357569237e-06,"ADAMTSL5",-0.730610612395635,0.00732530439285907,"Down","Down","Concordant"
"Hmgcs1",0.394803490636078,2.2791807104488e-05,"HMGCS1",0.664451359166214,0.00619868364623705,"Up","Up","Concordant"
"Kifc2",-0.310575919396404,0.000207637815737837,"KIFC2",-0.794340720641097,0.00327147821258128,"Down","Down","Concordant"
"Ldlr",0.320991415922984,0.000230195279197953,"LDLR",2.18367449258416,5.12560435474751e-08,"Up","Up","Concordant"
"Fbxl2",-0.280344848134335,0.00178180234037417,"FBXL2",-0.868538406440034,0.00140863908132455,"Down","Down","Concordant"
