"Mouse_Symbol","Mouse_log2FC","Mouse_padj","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Dusp15",-0.292277882955442,7.63812514258645e-26,"DUSP15",1.34448477075041,0.000183240813414026,"Down","Up","Discordant"
"Otud7b",-0.323270462831118,5.56331680294593e-14,"OTUD7B",1.43033784367623,9.5988887341034e-07,"Down","Up","Discordant"
"Slc27a1",-0.259759994294515,8.20358592407375e-12,"SLC27A1",-0.723270208286471,0.00678387661198289,"Down","Down","Concordant"
"Etnppl",-0.627828586757472,8.71087714627505e-12,"ETNPPL",3.17168473836637,1.36280441409346e-06,"Down","Up","Discordant"
"Per2",-0.412376197959632,1.09866539252764e-11,"PER2",1.01412500687374,4.10554993011023e-07,"Down","Up","Discordant"
"Plekha4",0.185399523019998,1.64966442815034e-10,"PLEKHA4",0.978397890357331,1.5524597159828e-05,"Up","Up","Concordant"
"Tmtc1",-0.410830759493501,1.89679892313397e-10,"TMTC1",-0.506513330680648,0.0228591350107867,"Down","Down","Concordant"
"Sec14l5",-0.200335594616752,3.38551073416337e-09,"SEC14L5",1.58327555886197,0.00068014537123565,"Down","Up","Discordant"
"Ctnnal1",0.251161487528039,1.13007133442015e-07,"CTNNAL1",0.789409797152029,0.0109055514275373,"Up","Up","Concordant"
"Per1",-0.325325565772658,4.6657987967761e-07,"PER1",0.614657911355589,0.030933662866666,"Down","Up","Discordant"
"Cldn19",0.174365934945207,6.58065136496937e-07,"CLDN19",1.49997021198936,0.0097889318302183,"Up","Up","Concordant"
"Abcc5",-0.247198295354299,2.19260283940929e-06,"ABCC5",-0.967701443549381,1.97453539423291e-06,"Down","Down","Concordant"
"Adamtsl5",-0.237294699459379,3.19273357569237e-06,"ADAMTSL5",-0.730610612395635,0.00732530439285907,"Down","Down","Concordant"
"Art3",-0.214049091617625,7.55722246773013e-06,"ART3",0.855985414490905,0.0339782259659872,"Down","Up","Discordant"
"Tsc22d3",-0.407620436988261,1.98643993437111e-05,"TSC22D3",1.28403787692541,2.60544727124652e-07,"Down","Up","Discordant"
"Hmgcs1",0.394803490636078,2.2791807104488e-05,"HMGCS1",0.664451359166214,0.00619868364623705,"Up","Up","Concordant"
"Qk",-0.153756872412131,3.51300220413214e-05,"QKI",0.627873801897697,0.00248291076654324,"Down","Up","Discordant"
"Brsk2",-0.279962543436617,4.98225271240128e-05,"BRSK2",0.919606832246747,0.00727183191789815,"Down","Up","Discordant"
"Kifc2",-0.310575919396404,0.000207637815737837,"KIFC2",-0.794340720641097,0.00327147821258128,"Down","Down","Concordant"
"Ldlr",0.320991415922984,0.000230195279197953,"LDLR",2.18367449258416,5.12560435474751e-08,"Up","Up","Concordant"
"Ncf2",-0.278015399659654,0.00113492350856411,"NCF2",2.94452359412225,1.759485916442e-09,"Down","Up","Discordant"
"Mapk8ip1",-0.252736141678651,0.00128102377368184,"MAPK8IP1",1.97162808296533,5.03540842940661e-05,"Down","Up","Discordant"
"Fbxl2",-0.280344848134335,0.00178180234037417,"FBXL2",-0.868538406440034,0.00140863908132455,"Down","Down","Concordant"
"Rap1gap",-0.138814018349014,0.00630771133702704,"RAP1GAP",0.761753912731507,0.0123053059106887,"Down","Up","Discordant"
"Megf9",-0.259428870537079,0.00646142528319979,"MEGF9",1.80510583671921,3.17665770495995e-06,"Down","Up","Discordant"
"Abca7",-0.195167234176098,0.00698798486214567,"ABCA7",0.944051929768345,0.0194516527809627,"Down","Up","Discordant"
"Sgk1",-0.263190424511546,0.00969181069013019,"SGK1",2.7482021378972,6.57950120432712e-19,"Down","Up","Discordant"
"Clcn2",-0.203320997865295,0.0117330006102694,"CLCN2",1.28952414032155,0.000610248511241346,"Down","Up","Discordant"
"Arrb2",-0.269295899415535,0.0128332725409556,"ARRB2",1.73985888909546,0.000201212352501719,"Down","Up","Discordant"
"Slc44a2",-0.204527126880786,0.0156615605715089,"SLC44A2",0.51829195359802,0.00517102720976109,"Down","Up","Discordant"
"Cyb5r2",-0.208944122757711,0.021037646659738,"CYB5R2",1.00695743795473,0.00352882719305511,"Down","Up","Discordant"
"Bcl2l1",-0.195706856166978,0.0273797350165414,"BCL2L1",0.43555280611491,0.00566397624664395,"Down","Up","Discordant"
"Ddx5",-0.183039131545519,0.0281411924991211,"DDX5",0.793816015429833,2.16237727586592e-06,"Down","Up","Discordant"
"Slc9a9",0.308828165606576,0.0395831044972085,"SLC9A9",-1.26085104283364,3.7160431001603e-05,"Up","Down","Discordant"
"Gjc3",-0.166396100559051,0.0399324619087648,"GJC3",1.77220224797196,0.000641135206273757,"Down","Up","Discordant"
