"Mouse_Symbol","Mouse_log2FC","Mouse_padj","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Per1",0.604967290744782,2.12036061944996e-11,"PER1",0.614657911355589,0.030933662866666,"Up","Up","Concordant"
"F3",0.733907914143271,1.02597255934517e-10,"F3",0.88253926607158,0.000328483487033753,"Up","Up","Concordant"
"Egr1",1.28349732149207,2.11631691426568e-09,"EGR1",1.25937497766124,0.00323379676374362,"Up","Up","Concordant"
"Cdh19",0.287635760993447,7.42412652081038e-09,"CDH19",0.557185739341524,0.0166725875656682,"Up","Up","Concordant"
"Dusp6",0.626107512478708,1.69306022557557e-07,"DUSP6",0.838839297126798,0.00102203797236345,"Up","Up","Concordant"
"Fos",0.799382765989077,3.26056599123202e-06,"FOS",1.26700067297776,0.00272521173937634,"Up","Up","Concordant"
"Plekha4",-0.375379042894981,2.73720588340761e-05,"PLEKHA4",0.978397890357331,1.5524597159828e-05,"Down","Up","Discordant"
"Klf9",0.517378420002492,3.1092337915497e-05,"KLF9",1.64653591947783,3.91417121914828e-16,"Up","Up","Concordant"
"Nr4a1",0.681157140935735,0.0002082994415151,"NR4A1",2.04199998326437,5.15570936980758e-07,"Up","Up","Concordant"
"Srpk1",0.447202264855429,0.00416834987208831,"SRPK1",1.37573547686643,0.000476474840202546,"Up","Up","Concordant"
"Kcna2",-0.349151393787951,0.00627713532008415,"KCNA2",0.940367612256028,0.0157561500277667,"Down","Up","Discordant"
"Mbp",-0.228506638697135,0.0284843222727599,"MBP",1.69699863632153,0.000267523191204788,"Down","Up","Discordant"
