"Mouse_Symbol","Mouse_log2FC","Mouse_padj","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Art3",-0.382661503784864,1.70168779878938e-09,"ART3",0.855985414490905,0.0339782259659872,"Down","Up","Discordant"
"Hnrnpk",-0.433150527560204,1.63051077115693e-07,"HNRNPK",0.634743052787214,0.00156661386026881,"Down","Up","Discordant"
"Drp2",-0.145637638137859,6.60821580779688e-07,"DRP2",1.8364887437442,0.0049134881586191,"Down","Up","Discordant"
"Rasal2",-0.292374365004438,3.5204360297144e-06,"RASAL2",0.503969031010408,0.0302095596797724,"Down","Up","Discordant"
"Gjc3",-0.28324572322178,6.4245724868824e-05,"GJC3",1.77220224797196,0.000641135206273757,"Down","Up","Discordant"
"Cntf",-0.30160340878344,0.000115281184612107,"CNTF",2.62653624340717,0.000270677068410278,"Down","Up","Discordant"
"Ddit4",-0.403866178310724,0.000752061836029046,"DDIT4",0.774687726686025,0.00446078167606851,"Down","Up","Discordant"
"Nfkbia",-0.300159231993674,0.000795282619899511,"NFKBIA",1.98951729214316,9.71898576407927e-16,"Down","Up","Discordant"
"Ddx5",-0.308819532154313,0.0012696357472022,"DDX5",0.793816015429833,2.16237727586592e-06,"Down","Up","Discordant"
"Kcna2",-0.270484252565961,0.0018046296698734,"KCNA2",0.940367612256028,0.0157561500277667,"Down","Up","Discordant"
"Tsc22d3",-0.40636653276385,0.00193278078655025,"TSC22D3",1.28403787692541,2.60544727124652e-07,"Down","Up","Discordant"
"Ube2d2a",-0.384016990438824,0.002275462839852,"UBE2D2",0.409872132377405,0.00496467521858178,"Down","Up","Discordant"
"Crlf3",-0.274261784324067,0.00228658404815266,"CRLF3",0.674211248765869,0.020962088936711,"Down","Up","Discordant"
"Dusp15",-0.1303812184652,0.00347443539094356,"DUSP15",1.34448477075041,0.000183240813414026,"Down","Up","Discordant"
"Ldlrad3",-0.216263778888606,0.00742205466806634,"LDLRAD3",0.889767821554033,9.28931356781209e-06,"Down","Up","Discordant"
"Foxo3",-0.212778665510103,0.0104655984128066,"FOXO3",1.06446988071623,1.090427967114e-05,"Down","Up","Discordant"
"Bcl2l1",-0.216572178467974,0.0122723706558517,"BCL2L1",0.43555280611491,0.00566397624664395,"Down","Up","Discordant"
"Mbp",-0.105922065817598,0.0135383131127844,"MBP",1.69699863632153,0.000267523191204788,"Down","Up","Discordant"
"Prrg3",-0.258492999596688,0.0141821508121049,"PRRG3",0.928634925958511,0.00548212478871804,"Down","Up","Discordant"
"Stmn1",-0.256666010597891,0.0168824803257643,"STMN1",0.545254135640379,0.0278407251948185,"Down","Up","Discordant"
"Tsc22d4",-0.215225188097765,0.0373347796811193,"TSC22D4",0.890100934935264,3.43188909345328e-06,"Down","Up","Discordant"
"Tuba1a",-0.281075245137086,0.0448451927561847,"TUBA1A",0.885338673144257,0.000657902084975456,"Down","Up","Discordant"
