"Mouse_Symbol","Mouse_log2FC","Mouse_padj","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Col1a1",0.347238735430106,4.82534321042236e-08,"COL1A1",-1.16644022107065,2.37264383302555e-67,"Up","Down","Discordant"
"Col5a1",0.23200384573031,1.90977823966438e-06,"COL5A1",-0.525377966877682,0.00012532257529028,"Up","Down","Discordant"
"Col5a3",0.198031365853164,9.75743921118035e-06,"COL5A3",-0.537714507117596,3.04158998458971e-05,"Up","Down","Discordant"
"Pmp22",0.188415723332456,8.44116048311063e-05,"PMP22",-0.579019896005548,2.70875008517136e-63,"Up","Down","Discordant"
"Col1a2",0.175670485596967,0.00373756339149726,"COL1A2",-0.619075352501228,3.21595905018177e-50,"Up","Down","Discordant"
"Vim",0.136285184251597,0.00442671623404403,"VIM",-0.196078656164987,1.08598095396774e-19,"Up","Down","Discordant"
"Mpz",0.220759691930069,0.00910544075090026,"MPZ",-0.884917878908733,1.25053568141596e-97,"Up","Down","Discordant"
"Gldn",0.19333705337085,0.00961179496911281,"GLDN",-0.718047708873683,7.53175031938415e-05,"Up","Down","Discordant"
"Prnp",0.200524451537914,0.0398809614493075,"PRNP",-0.294385360434167,0.0104156275004854,"Up","Down","Discordant"
"Fxyd3",0.199215531193784,0.0427134750480278,"FXYD3",-1.1029612683335,5.82839663589413e-06,"Up","Down","Discordant"
"Sparc",0.201836649288225,0.0429816068302452,"SPARC",-0.74235848073811,1.37184003580368e-160,"Up","Down","Discordant"
