"Mouse_Symbol","Mouse_log2FC","Mouse_padj","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Ncam1",-0.500378355236724,4.9095091296073e-07,"NCAM1",-0.897811193376382,3.11502894356559e-23,"Down","Down","Concordant"
"Ank3",-0.375279353732083,6.97851267496409e-07,"ANK3",-0.429856305547353,0.023717896384544,"Down","Down","Concordant"
"Abca8b",-0.520924806108598,1.26704129698573e-05,"ABCA8",-0.327996893066868,0.0453972555628082,"Down","Down","Concordant"
"Scn7a",-0.342935575439237,3.94379430005095e-05,"SCN7A",-0.311151358410696,0.00445061677847615,"Down","Down","Concordant"
"Slc7a2",0.248073213258141,0.000389637264113217,"SLC7A2",1.18531014352491,1.66562575160656e-05,"Up","Up","Concordant"
"Fxyd1",-0.446870754869364,0.000525663710562495,"FXYD1",-0.299331198860358,0.0167861022358932,"Down","Down","Concordant"
"Gas7",-0.508409695338686,0.000985584297445502,"GAS7",-0.328946721951587,0.000411548693023676,"Down","Down","Concordant"
"S100a6",0.266512447958804,0.00099752959280449,"S100A6",0.295483239760776,1.01272497407963e-16,"Up","Up","Concordant"
"Sptbn1",-0.197865068505218,0.0160482191243151,"SPTBN1",-0.428965046738478,1.86793757641035e-16,"Down","Down","Concordant"
"Aldh1a1",-0.540501041229417,0.0201032642189088,"ALDH1A1",-0.336274976047292,0.00201995951565405,"Down","Down","Concordant"
