"Mouse_Symbol","Mouse_log2FC","Mouse_padj","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Mpz",0.0838853442025389,1.82873984673474e-09,"MPZ",-0.884917878908733,1.25053568141596e-97,"Up","Down","Discordant"
"Ugt8a",0.252906156246418,1.71781277861172e-07,"UGT8",-0.972602340215425,0.000840970671925923,"Up","Down","Discordant"
"Arhgap19",0.234511322843526,1.26415573749777e-06,"ARHGAP19",-0.657937198986322,0.026041076501425,"Up","Down","Discordant"
"Pmp22",0.101827205630947,1.32292163523669e-05,"PMP22",-0.579019896005548,2.70875008517136e-63,"Up","Down","Discordant"
"Aatk",0.123123419915559,2.6719677921833e-05,"AATK",-0.512476951408044,2.42987514165809e-10,"Up","Down","Discordant"
"Bcas1",0.139507711463589,0.000149862211953593,"BCAS1",-0.700897443488715,2.43322279385279e-09,"Up","Down","Discordant"
"Mlip",0.213971699187157,0.00048562859363997,"MLIP",-1.29102164932565,7.18535815992706e-15,"Up","Down","Discordant"
"Nfasc",0.162129929622384,0.00110706210471145,"NFASC",-1.01362960847548,0.00271788506408365,"Up","Down","Discordant"
"Cldn19",0.168114798037611,0.00122060420896229,"CLDN19",-1.05113574276211,1.40518979547685e-06,"Up","Down","Discordant"
"Drp2",0.102086368789584,0.00140234566553541,"DRP2",-0.85712512279549,3.21368352371589e-10,"Up","Down","Discordant"
"Cdh19",-0.378951920031661,0.0256089779442782,"CDH19",0.574278258759879,7.51109389584067e-08,"Down","Up","Discordant"
"Txnip",-0.324234883972057,0.0402033294310257,"TXNIP",1.06445803228047,6.78608611883923e-68,"Down","Up","Discordant"
