"Mouse_Symbol","Mouse_log2FC","Mouse_padj","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Tsc22d3",0.782626690629162,7.17619575226145e-23,"TSC22D3",1.28403787692541,2.60544727124652e-07,"Up","Up","Concordant"
"Hspa8",0.48212506456241,3.80823463923371e-10,"HSPA8",1.05839121905272,0.000725689570105757,"Up","Up","Concordant"
"Per1",0.392874073576125,5.52561016715334e-10,"PER1",0.614657911355589,0.030933662866666,"Up","Up","Concordant"
"Sgk1",0.494351186323986,7.14544709909544e-08,"SGK1",2.7482021378972,6.57950120432712e-19,"Up","Up","Concordant"
"Ddit4",0.465527401066869,1.10018659232372e-07,"DDIT4",0.774687726686025,0.00446078167606851,"Up","Up","Concordant"
"Ip6k2",0.269608788941677,1.61611624350603e-06,"IP6K2",0.407793156564496,0.0357117917319335,"Up","Up","Concordant"
"Per2",0.247527633428808,1.02597018337397e-05,"PER2",1.01412500687374,4.10554993011023e-07,"Up","Up","Concordant"
"Klf9",0.351955590456329,1.54912946129757e-05,"KLF9",1.64653591947783,3.91417121914828e-16,"Up","Up","Concordant"
"Slc1a5",0.194663165888534,4.88442435031475e-05,"SLC1A5",1.19060082330504,5.44962898108874e-05,"Up","Up","Concordant"
"Mal",0.259681967732489,6.34105749172107e-05,"MAL",1.03220087595097,0.00607270508940302,"Up","Up","Concordant"
"Fa2h",0.22907946121772,8.33849031979114e-05,"FA2H",1.3352567336003,0.00292691716258544,"Up","Up","Concordant"
"Dusp15",0.241360367256048,0.000200915894006721,"DUSP15",1.34448477075041,0.000183240813414026,"Up","Up","Concordant"
"Cntf",0.34592397700629,0.000676025711855699,"CNTF",2.62653624340717,0.000270677068410278,"Up","Up","Concordant"
"Arid5b",0.315124353340983,0.00461174477676105,"ARID5B",1.00233724445659,2.65653545696934e-09,"Up","Up","Concordant"
"Etnppl",0.344355329271279,0.0055037633725634,"ETNPPL",3.17168473836637,1.36280441409346e-06,"Up","Up","Concordant"
"Rap1gds1",0.205495829720622,0.0076626909665671,"RAP1GDS1",0.666498916787632,0.0020158455859027,"Up","Up","Concordant"
"Errfi1",0.267109610886474,0.0103557021953121,"ERRFI1",2.47246134003074,2.32068104463967e-16,"Up","Up","Concordant"
"Klf15",0.14359962320072,0.0153742792539379,"KLF15",1.48401137805783,1.67269822736748e-05,"Up","Up","Concordant"
"Bcl2l1",0.218919744596628,0.0333196924891172,"BCL2L1",0.43555280611491,0.00566397624664395,"Up","Up","Concordant"
"Elovl1",0.210664139843038,0.0499799382794183,"ELOVL1",0.709125826521035,0.000121144857753579,"Up","Up","Concordant"
