"Mouse_Symbol","Mouse_log2FC","Mouse_padj","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Plekha4",-0.228892346867785,1.40796376352939e-28,"PLEKHA4",0.978397890357331,1.5524597159828e-05,"Down","Up","Discordant"
"Ide",0.181298076515463,7.5519173932074e-19,"IDE",-0.51913816266272,0.00350840144624801,"Up","Down","Discordant"
"Tmtc1",0.184228748738965,2.73014053753124e-18,"TMTC1",-0.506513330680648,0.0228591350107867,"Up","Down","Discordant"
"Ucp2",0.227548056448036,3.50286978211391e-17,"UCP2",-0.707725555259273,0.00108041690961829,"Up","Down","Discordant"
"Comt",0.181851033805593,1.09025513946951e-16,"COMT",-0.362315019865887,0.0157210129282574,"Up","Down","Discordant"
"Slc48a1",0.171297467545745,1.23948522006114e-16,"SLC48A1",-0.419067522425082,0.0324772155807526,"Up","Down","Discordant"
"Vstm4",0.261550912626696,4.13971871615378e-16,"VSTM4",-0.786205197234893,0.00256629411903055,"Up","Down","Discordant"
"Arhgef17",0.139978992132259,4.47187774172876e-16,"ARHGEF17",-0.633317308573752,0.0300738495147949,"Up","Down","Discordant"
"Sema3g",0.24398738189618,1.22851541487227e-15,"SEMA3G",-0.608545192438649,0.0381973899900013,"Up","Down","Discordant"
"Paqr7",0.18617942801272,1.24147217885973e-14,"PAQR7",-0.41584816805986,0.0237184135370659,"Up","Down","Discordant"
"Ermp1",0.16104268119538,6.83573706788383e-14,"ERMP1",-0.44418200201875,0.0473875006045052,"Up","Down","Discordant"
"Per3",0.0766412234512979,7.92467217979376e-14,"PER3",-0.4257381222925,0.041497444185606,"Up","Down","Discordant"
"Timp2",0.16225666141355,1.79770574287732e-13,"TIMP2",-0.31091995692204,0.0387226628601124,"Up","Down","Discordant"
"Sod3",0.215610203127212,1.92247086017421e-13,"SOD3",-0.45875517949551,0.00277560942349493,"Up","Down","Discordant"
"Mxd4",0.106106551379229,1.03321817840377e-12,"MXD4",-0.495833231453984,0.0196313524124304,"Up","Down","Discordant"
"Atn1",0.108783384744574,4.12849871148636e-12,"ATN1",-0.71442317628964,0.0171821171792075,"Up","Down","Discordant"
"Dbp",0.0952144517212701,4.92932485778103e-12,"DBP",-1.24920220507366,0.000906717305914943,"Up","Down","Discordant"
"Zadh2",0.15109482378197,5.18979190135388e-12,"ZADH2",-0.53426119531307,0.000630761716143259,"Up","Down","Discordant"
"Col1a2",0.232870167622161,5.61315223035901e-12,"COL1A2",-0.884662679434246,0.000673077956595261,"Up","Down","Discordant"
"Col1a1",0.135578166367927,7.11839100236307e-12,"COL1A1",-2.33093047101344,4.86690219674216e-12,"Up","Down","Discordant"
"Myo7a",0.133201631871548,1.22891467164332e-11,"MYO7A",-1.25005024467451,4.0030645680663e-06,"Up","Down","Discordant"
"Atf7",0.117130284410312,1.43059973352292e-11,"ATF7",-0.730025177276958,0.000266168879839558,"Up","Down","Discordant"
"Hjurp",0.168243462229843,2.52849141889674e-11,"HJURP",-1.31698323057106,0.00307193999547672,"Up","Down","Discordant"
"Akr1a1",0.0962415840231485,7.55658380313475e-11,"AKR1A1",-0.366859994436924,0.0179255864338826,"Up","Down","Discordant"
"Gprasp1",0.170701807735804,9.2079497373341e-11,"GPRASP1",-0.654936770892581,0.0162220715678114,"Up","Down","Discordant"
"Rpusd3",0.0981483399764045,1.27353469586698e-10,"RPUSD3",-0.524272863919062,0.00126202858625372,"Up","Down","Discordant"
"Slc25a36",0.172599793160918,2.19804618478213e-10,"SLC25A36",-0.383963062433775,0.0335977550000253,"Up","Down","Discordant"
"Rcn3",0.0872985294267437,6.72132266218999e-10,"RCN3",-0.508711290747099,0.000767019278027791,"Up","Down","Discordant"
"Abcc5",0.108150469842495,6.8544929152445e-10,"ABCC5",-0.967701443549381,1.97453539423291e-06,"Up","Down","Discordant"
"Evc2",0.107623176452847,1.14504755442456e-09,"EVC2",-0.615300860984749,0.0331391907339537,"Up","Down","Discordant"
"H2-DMa",0.124744729930312,1.15277519316964e-09,"HLA-DMA",-0.964397919356987,6.47689085094364e-05,"Up","Down","Discordant"
"Atp1b2",0.233390948915579,1.36940370247844e-09,"ATP1B2",-0.954079705986757,0.00230352644128668,"Up","Down","Discordant"
"Scube1",0.1555317696214,1.78796667679744e-09,"SCUBE1",-0.888601729839685,0.00616252818558909,"Up","Down","Discordant"
"Limd1",0.0951231018978909,2.70352739270352e-09,"LIMD1",-0.482975876802474,0.0320552378530218,"Up","Down","Discordant"
"Glt8d1",0.0996798702155757,3.37112487516389e-09,"GLT8D1",-0.397458213091208,0.02371255306438,"Up","Down","Discordant"
"Rbm6",0.103640476231304,5.31881507907496e-09,"RBM6",-0.441189228957299,0.015412786950615,"Up","Down","Discordant"
"Xpo7",0.0962462214288652,8.33596886608976e-09,"XPO7",-0.350256736875357,0.046637561482762,"Up","Down","Discordant"
"Six5",0.110680289389532,1.06635436596384e-08,"SIX5",-1.19916151973698,0.000165829767918995,"Up","Down","Discordant"
