"Mouse_Symbol","Mouse_log2FC","Mouse_padj","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Plekha4",-0.236857113104066,9.29972310065076e-16,"PLEKHA4",0.978397890357331,1.5524597159828e-05,"Down","Up","Discordant"
"Tmtc1",0.296806385542342,2.74420784931736e-15,"TMTC1",-0.506513330680648,0.0228591350107867,"Up","Down","Discordant"
"Ide",0.238561642474797,5.24425829975259e-12,"IDE",-0.51913816266272,0.00350840144624801,"Up","Down","Discordant"
"Sema3g",0.262022001140819,1.30561335790663e-11,"SEMA3G",-0.608545192438649,0.0381973899900013,"Up","Down","Discordant"
"Hjurp",0.259586503974939,6.00182430624146e-11,"HJURP",-1.31698323057106,0.00307193999547672,"Up","Down","Discordant"
"Klhdc8b",0.193187805647589,7.25680043027159e-11,"KLHDC8B",-0.686808814256493,0.00445133741981406,"Up","Down","Discordant"
"Abcc5",0.194643122376529,9.17225562911873e-10,"ABCC5",-0.967701443549381,1.97453539423291e-06,"Up","Down","Discordant"
"Slc25a36",0.267109417738967,1.21486063639614e-09,"SLC25A36",-0.383963062433775,0.0335977550000253,"Up","Down","Discordant"
"Gprasp1",0.29125568630621,2.27232569467814e-09,"GPRASP1",-0.654936770892581,0.0162220715678114,"Up","Down","Discordant"
"Col1a1",0.154749743384814,4.98919886258612e-09,"COL1A1",-2.33093047101344,4.86690219674216e-12,"Up","Down","Discordant"
"Adamtsl5",0.184190602325341,9.61930460098306e-09,"ADAMTSL5",-0.730610612395635,0.00732530439285907,"Up","Down","Discordant"
"Myo7a",0.191093365114845,4.94603675152262e-08,"MYO7A",-1.25005024467451,4.0030645680663e-06,"Up","Down","Discordant"
"Rpusd3",0.178617648825261,1.71646863863351e-07,"RPUSD3",-0.524272863919062,0.00126202858625372,"Up","Down","Discordant"
"Zadh2",0.175494384210089,3.09216326950014e-07,"ZADH2",-0.53426119531307,0.000630761716143259,"Up","Down","Discordant"
"Cryzl1",0.0682131739684415,6.84552079004516e-07,"CRYZL1",-0.487690740494642,0.0135811436581068,"Up","Down","Discordant"
"Atf7",0.190148941455272,7.98741616518399e-07,"ATF7",-0.730025177276958,0.000266168879839558,"Up","Down","Discordant"
"Arhgef17",0.13512905194242,1.37309883939344e-06,"ARHGEF17",-0.633317308573752,0.0300738495147949,"Up","Down","Discordant"
"Per3",0.0800085417750289,2.22261390977135e-06,"PER3",-0.4257381222925,0.041497444185606,"Up","Down","Discordant"
"Dtymk",0.131172414102389,2.48824666023884e-06,"DTYMK",-0.452840471120764,0.00343036048735035,"Up","Down","Discordant"
"Rorc",0.244985242500236,2.99153645105131e-06,"RORC",-1.16036955556816,0.00377100420411472,"Up","Down","Discordant"
