"Mouse_Symbol","Mouse_log2FC","Mouse_padj","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Cst3",1.04921959610487,5.84622486602439e-21,"CST3",-0.218818234737092,8.06606770719687e-09,"Up","Down","Discordant"
"Matn2",0.732395227619505,3.04472641422336e-14,"MATN2",-0.506887953536937,4.85976775236512e-10,"Up","Down","Discordant"
"Gsn",0.638003529239889,1.65385715041179e-12,"GSN",0.79472909308265,7.93104283439763e-96,"Up","Up","Concordant"
"Gpr37l1",0.68073133153926,2.08071889470075e-10,"GPR37L1",-0.659323954221469,3.87975475736906e-05,"Up","Down","Discordant"
"Prnp",0.685321882462723,1.30753929645459e-09,"PRNP",-0.294385360434167,0.0104156275004854,"Up","Down","Discordant"
"Cpe",0.647271722167842,2.80165326313467e-08,"CPE",1.19611689848149,3.23111956070507e-13,"Up","Up","Concordant"
"Aldh1a1",0.487055492781066,3.14943457727263e-08,"ALDH1A1",-0.336274976047292,0.00201995951565405,"Up","Down","Discordant"
"Ncam1",0.414464683739497,6.82000470843461e-08,"NCAM1",-0.897811193376382,3.11502894356559e-23,"Up","Down","Discordant"
"Cdh19",0.280955951739409,2.82942387320201e-07,"CDH19",0.574278258759879,7.51109389584067e-08,"Up","Up","Concordant"
"Scn7a",0.372281019484867,7.26831527976915e-07,"SCN7A",-0.311151358410696,0.00445061677847615,"Up","Down","Discordant"
"Sparc",0.473426446825775,3.53420506408056e-06,"SPARC",-0.74235848073811,1.37184003580368e-160,"Up","Down","Discordant"
"Tsc22d3",0.500946639144577,4.86650636862918e-06,"TSC22D3",0.879953045600486,1.39651604335522e-10,"Up","Up","Concordant"
"Vwa1",0.395250476685535,9.07908537228405e-06,"VWA1",-0.428903634526047,5.92811829244541e-14,"Up","Down","Discordant"
"Clu",0.42046587841933,1.20143888152168e-05,"CLU",-0.390621591187377,1.43020217106108e-32,"Up","Down","Discordant"
"Hsp90b1",0.402323240288276,1.20302267795963e-05,"HSP90B1",-0.660335557541809,8.37480216361675e-18,"Up","Down","Discordant"
"Tsc22d4",0.401335483606398,1.29116806305081e-05,"TSC22D4",-0.927039762834982,8.07676113809392e-26,"Up","Down","Discordant"
"Gpm6b",0.32139128876109,0.000271820718759831,"GPM6B",-0.299748453746233,3.88133464838745e-06,"Up","Down","Discordant"
"Art3",0.290330346328221,0.000615756472248099,"ART3",-0.927736762890254,0.00845234952386587,"Up","Down","Discordant"
"Sparcl1",0.490294454776079,0.00270258716581608,"SPARCL1",0.642267452055392,1.62785509106627e-09,"Up","Up","Concordant"
"Rarres2",0.299901884023777,0.00361089705427498,"RARRES2",-0.483384482321261,8.43703505320028e-13,"Up","Down","Discordant"
"Mag",0.3353248048875,0.00515152091974534,"MAG",-1.12752291704277,4.07386587248261e-05,"Up","Down","Discordant"
"Ifitm3",0.308055512603183,0.00685311102712327,"IFITM3",-0.275078046638706,5.55137408391712e-11,"Up","Down","Discordant"
"Sbspon",0.308804691886612,0.0119664441605353,"SBSPON",-0.467999456140596,0.000335862255988385,"Up","Down","Discordant"
"Dag1",0.357614947763409,0.0121217389266421,"DAG1",-0.355510375777363,0.0143532295132145,"Up","Down","Discordant"
"Ank3",-0.201895564993817,0.0205111598462206,"ANK3",-0.429856305547353,0.023717896384544,"Down","Down","Concordant"
"Gal3st1",0.297884779075785,0.0234028144996336,"GAL3ST1",-0.807145273718807,0.000213295428286532,"Up","Down","Discordant"
"Pdk4",0.375234704794154,0.043163417764846,"PDK4",0.965214226982593,2.1668984531981e-07,"Up","Up","Concordant"
"Itm2c",0.293234664466105,0.0452616193610596,"ITM2C",-0.499022978356476,0.0262236242923218,"Up","Down","Discordant"
"Syt11",0.345239262455082,0.0478321675263211,"SYT11",-0.578582622205665,6.26635661478105e-06,"Up","Down","Discordant"
