"Mouse_Symbol","Mouse_log2FC","Mouse_padj","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Tsc22d3",0.247203619089529,6.60843495493663e-14,"TSC22D3",0.879953045600486,1.39651604335522e-10,"Up","Up","Concordant"
"Mfap5",0.255038285894197,1.79085212922091e-09,"MFAP5",1.81098965773897,3.53330478985158e-59,"Up","Up","Concordant"
"S100a4",0.27805487519851,1.81392471252382e-08,"S100A4",0.516993394015899,4.10084734203777e-06,"Up","Up","Concordant"
"Qk",-0.234208061616465,4.82476830129865e-07,"QKI",-0.324267583096405,0.000306334977383979,"Down","Down","Concordant"
"Frzb",0.245449120359608,1.82826525252467e-06,"FRZB",1.63027259954587,8.80147207544474e-13,"Up","Up","Concordant"
"Flnb",0.171683361871027,2.7161769009812e-06,"FLNB",0.5892527787854,2.45984283958365e-05,"Up","Up","Concordant"
"Igfbp6",0.246115138629187,1.1701534559817e-05,"IGFBP6",0.843033724120946,6.5201888518728e-42,"Up","Up","Concordant"
"Cpe",0.263659854181209,1.55348542271713e-05,"CPE",1.19611689848149,3.23111956070507e-13,"Up","Up","Concordant"
"Nbl1",0.207304173578861,2.69011091143357e-05,"NBL1",1.16396834909537,1.70066773906957e-17,"Up","Up","Concordant"
"Nid1",0.109026739085155,8.02975076615898e-05,"NID1",0.536241151385984,0.00527543552386505,"Up","Up","Concordant"
"Gsn",0.191349808481855,8.97780010251937e-05,"GSN",0.79472909308265,7.93104283439763e-96,"Up","Up","Concordant"
"Sun2",0.125863814055532,0.000292099500558254,"SUN2",0.939246095169931,1.14795966774153e-17,"Up","Up","Concordant"
"S100a6",0.1315657755701,0.00154718521749333,"S100A6",0.295483239760776,1.01272497407963e-16,"Up","Up","Concordant"
"Klf2",0.142807314836976,0.00415323341770324,"KLF2",0.620465825516886,0.0351484482735246,"Up","Up","Concordant"
"Col4a2",0.16177876597859,0.00492889500590852,"COL4A2",0.452422443784434,2.7226774723748e-05,"Up","Up","Concordant"
"Vcl",0.0710962936082813,0.00706592933903798,"VCL",0.606909410377914,0.0209767908921726,"Up","Up","Concordant"
"Myl6",0.101358111666982,0.00970290051707515,"MYL6",0.381870673997414,1.52908038656067e-09,"Up","Up","Concordant"
"Timp2",0.11314763447501,0.0119043457624121,"TIMP2",0.386943497683537,1.32602673395383e-15,"Up","Up","Concordant"
"Nfasc",-0.232740274017598,0.0160320797008038,"NFASC",-1.01362960847548,0.00271788506408365,"Down","Down","Concordant"
"Pdgfrb",0.105594238218023,0.0358526426569343,"PDGFRB",0.683443258567213,0.000118930817412768,"Up","Up","Concordant"
