"Mouse_Symbol","Mouse_log2FC","Mouse_padj","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Qk",-0.313749088227866,3.15595009742404e-12,"QKI",0.627873801897697,0.00248291076654324,"Down","Up","Discordant"
"Sema3g",0.262898434411825,2.41283297899164e-06,"SEMA3G",-0.608545192438649,0.0381973899900013,"Up","Down","Discordant"
"Klhdc8b",0.182918026269559,5.15418869586459e-06,"KLHDC8B",-0.686808814256493,0.00445133741981406,"Up","Down","Discordant"
"Ide",0.221690505225864,0.000223017457691022,"IDE",-0.51913816266272,0.00350840144624801,"Up","Down","Discordant"
"Nav1",0.211628274489038,0.000655261273800084,"NAV1",-0.527597117377038,0.00713652459332991,"Up","Down","Discordant"
"Zfp386",0.189374158595039,0.00142424997283103,"ZNF519",-1.22519097226681,0.000100739496940538,"Up","Down","Discordant"
"Paqr7",0.211497522724016,0.00459207574282731,"PAQR7",-0.41584816805986,0.0237184135370659,"Up","Down","Discordant"
"Ucp2",0.214720349145217,0.00595845451928446,"UCP2",-0.707725555259273,0.00108041690961829,"Up","Down","Discordant"
"Rbm6",0.19564059567857,0.0078998634186064,"RBM6",-0.441189228957299,0.015412786950615,"Up","Down","Discordant"
"Slc36a2",-0.167353909382345,0.00861396524145392,"SLC36A2",1.78687611036061,0.00150013874473236,"Down","Up","Discordant"
"Col1a1",0.148148499027239,0.00965182767588872,"COL1A1",-2.33093047101344,4.86690219674216e-12,"Up","Down","Discordant"
"Hoxc6",0.23176526464438,0.0137119852319904,"HOXC6",-1.59721675973031,5.39075544364532e-05,"Up","Down","Discordant"
"D11Wsu47e",0.201970715516621,0.017716198230945,"C17orf80",-0.327809640465848,0.0147940339466146,"Up","Down","Discordant"
"Zscan26",0.118928242048759,0.0469870455111251,"ZSCAN26",-0.820402033142347,0.000281584241419561,"Up","Down","Discordant"
