"Mouse_Symbol","Mouse_log2FC","Mouse_padj","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Nfasc",0.357517450537391,2.5095828055911e-15,"NFASC",-1.01362960847548,0.00271788506408365,"Up","Down","Discordant"
"Ank3",-0.416324226903446,9.30007424891025e-12,"ANK3",-0.429856305547353,0.023717896384544,"Down","Down","Concordant"
"Abca8b",-0.691448650548725,3.89494659522616e-10,"ABCA8",-0.327996893066868,0.0453972555628082,"Down","Down","Concordant"
"Drp2",0.302304248004151,1.96062593681732e-09,"DRP2",-0.85712512279549,3.21368352371589e-10,"Up","Down","Discordant"
"Mbp",0.344992376536913,2.75254384557004e-09,"MBP",-1.30208801771583,1.42010607307706e-214,"Up","Down","Discordant"
"Cdh19",-0.397094575199245,3.76650052443266e-08,"CDH19",0.574278258759879,7.51109389584067e-08,"Down","Up","Discordant"
"Slc7a2",0.468376195922386,1.13775934329994e-07,"SLC7A2",1.18531014352491,1.66562575160656e-05,"Up","Up","Concordant"
"Ncam1",-0.565779019270806,1.50242642479418e-06,"NCAM1",-0.897811193376382,3.11502894356559e-23,"Down","Down","Concordant"
"Scn7a",-0.371430592670153,2.87363265716012e-06,"SCN7A",-0.311151358410696,0.00445061677847615,"Down","Down","Concordant"
"Adam23",-0.505019482175153,2.02753720482567e-05,"ADAM23",-1.05611944708503,0.000823455780561756,"Down","Down","Concordant"
"Txnip",-0.533447212482693,9.90627113012941e-05,"TXNIP",1.06445803228047,6.78608611883923e-68,"Down","Up","Discordant"
"Aatk",0.138752179584064,0.000113076877449778,"AATK",-0.512476951408044,2.42987514165809e-10,"Up","Down","Discordant"
"Col1a2",-0.239375125714964,0.000127125841099961,"COL1A2",-0.619075352501228,3.21595905018177e-50,"Down","Down","Concordant"
"Cldn19",0.216319541912164,0.000136668313918313,"CLDN19",-1.05113574276211,1.40518979547685e-06,"Up","Down","Discordant"
"Prx",0.183594091617839,0.000250689486441991,"PRX",-0.731594240711631,5.22310979613096e-32,"Up","Down","Discordant"
"Vim",-0.225973259853626,0.000595353853079663,"VIM",-0.196078656164987,1.08598095396774e-19,"Down","Down","Concordant"
"Bcas1",0.348312389089689,0.000950883165709599,"BCAS1",-0.700897443488715,2.43322279385279e-09,"Up","Down","Discordant"
"Gas7",-0.413819000497238,0.00108068713003628,"GAS7",-0.328946721951587,0.000411548693023676,"Down","Down","Concordant"
"Sptbn1",-0.1319582664613,0.00265465753616633,"SPTBN1",-0.428965046738478,1.86793757641035e-16,"Down","Down","Concordant"
"Vcl",-0.248931863365841,0.00753768083123721,"VCL",0.606909410377914,0.0209767908921726,"Down","Up","Discordant"
"Aldh1a1",-0.417052594436524,0.0195462576421769,"ALDH1A1",-0.336274976047292,0.00201995951565405,"Down","Down","Concordant"
"Hspa12a",0.18687307928743,0.0224494900269645,"HSPA12A",-0.489393338295002,1.78811524704095e-05,"Up","Down","Discordant"
