"Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"GO:0048545","response to steroid hormone",362,10,1.09211485368291e-09,2.02032196206796e-06,"Hspa8,Per1,Sgk1,Ddit4,Klf9,Paqr8,Etnppl,Cry2,Errfi1,Pik3r1"
"GO:0048519","negative regulation of biological process",6085,31,1.91954580719046e-09,2.02032196206796e-06,"Tsc22d3,Mt2,Mt1,Hspa8,Per1,Mt3,Sgk1,Ddit4,Ip6k2,Per2,Klf9,Sesn1,Plaat3,Dusp15,Hspa1b,Cntf,Per3,Fmn2,Appbp2,Plk5,Arid5b,Ndfip1,Angptl4,Cry2,Fus,Ogn,Errfi1,Pik3r1,Klf15,Clip3,Bcl2l1"
"GO:0048523","negative regulation of cellular process",5830,30,3.75487823718227e-09,2.63467289642289e-06,"Tsc22d3,Mt1,Hspa8,Per1,Mt3,Sgk1,Ddit4,Ip6k2,Per2,Klf9,Sesn1,Plaat3,Dusp15,Hspa1b,Cntf,Per3,Fmn2,Appbp2,Plk5,Arid5b,Ndfip1,Angptl4,Cry2,Fus,Ogn,Errfi1,Pik3r1,Klf15,Clip3,Bcl2l1"
"GO:0050896","response to stimulus",10946,40,7.19902525294715e-09,2.95799362089768e-06,"Tsc22d3,Mt2,Mt1,Hspa8,Per1,Mt3,Sgk1,Ddit4,Ip6k2,Per2,Klf9,Paqr8,Mal,Sesn1,Plaat3,Rhot1,Dusp15,Hspa1b,Fam53b,Cntf,Per3,Fmn2,Plk5,Arid5b,Etnppl,Ndfip1,Angptl4,Rap1gds1,Cry2,Fus,Gpd1,Ogn,Errfi1,Eps8l1,Pik3r1,Cab39l,Klf15,H13,Endod1,Bcl2l1"
"GO:0032870","cellular response to hormone stimulus",741,12,8.02108656448479e-09,2.95799362089768e-06,"Per1,Mt3,Sgk1,Ddit4,Klf9,Paqr8,Etnppl,Rap1gds1,Cry2,Errfi1,Pik3r1,Klf15"
"GO:0071383","cellular response to steroid hormone stimulus",225,8,8.43133573652544e-09,2.95799362089768e-06,"Per1,Sgk1,Ddit4,Klf9,Paqr8,Etnppl,Cry2,Errfi1"
"GO:0009628","response to abiotic stimulus",1354,15,1.28583515591539e-08,3.86669000457414e-06,"Tsc22d3,Hspa8,Per1,Mt3,Sgk1,Ddit4,Per2,Hspa1b,Per3,Fmn2,Angptl4,Cry2,Errfi1,Pik3r1,Bcl2l1"
"GO:0070887","cellular response to chemical stimulus",2640,20,1.51832217122394e-08,3.99508521303298e-06,"Mt2,Mt1,Hspa8,Per1,Mt3,Sgk1,Ddit4,Ip6k2,Klf9,Paqr8,Sesn1,Fmn2,Etnppl,Rap1gds1,Cry2,Gpd1,Errfi1,Pik3r1,Klf15,Bcl2l1"
"GO:0006915","apoptotic process",2116,18,1.82618613817939e-08,4.27124646763067e-06,"Tsc22d3,Mt1,Hspa8,Mt3,Sgk1,Ddit4,Ip6k2,Mal,Rhot1,Hspa1b,Cntf,Fmn2,Plk5,Angptl4,Errfi1,Pik3r1,Clip3,Bcl2l1"
"GO:0008219","cell death",2202,18,3.38639569824308e-08,6.48032994981972e-06,"Tsc22d3,Mt1,Hspa8,Mt3,Sgk1,Ddit4,Ip6k2,Mal,Rhot1,Hspa1b,Cntf,Fmn2,Plk5,Angptl4,Errfi1,Pik3r1,Clip3,Bcl2l1"
"GO:0012501","programmed cell death",2202,18,3.38639569824308e-08,6.48032994981972e-06,"Tsc22d3,Mt1,Hspa8,Mt3,Sgk1,Ddit4,Ip6k2,Mal,Rhot1,Hspa1b,Cntf,Fmn2,Plk5,Angptl4,Errfi1,Pik3r1,Clip3,Bcl2l1"
"GO:0009725","response to hormone",1062,13,4.7148314419025e-08,8.27060015433729e-06,"Hspa8,Per1,Mt3,Sgk1,Ddit4,Klf9,Paqr8,Etnppl,Rap1gds1,Cry2,Errfi1,Pik3r1,Klf15"
