"Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"GO:0071384","cellular response to corticosteroid stimulus",81,4,4.42503603152977e-08,4.76133876992604e-05,"Sgk1,Klf9,Etnppl,Errfi1"
"GO:0048545","response to steroid hormone",362,5,3.91616540266249e-07,0.000210689698663242,"Hspa8,Sgk1,Klf9,Etnppl,Errfi1"
"GO:0031960","response to corticosteroid",180,4,1.09751828649303e-06,0.000393643225422166,"Sgk1,Klf9,Etnppl,Errfi1"
"GO:0071383","cellular response to steroid hormone stimulus",225,4,2.66745838556535e-06,0.000652204307054991,"Sgk1,Klf9,Etnppl,Errfi1"
"GO:0048856","anatomical structure development",6654,11,3.14954769350108e-06,0.000652204307054991,"Tsc22d3,Hspa8,Sgk1,Per2,Klf9,Slc1a5,Dusp15,Cntf,Arid5b,Errfi1,Klf15"
"GO:0009725","response to hormone",1062,6,3.63682699101296e-06,0.000652204307054991,"Hspa8,Sgk1,Klf9,Etnppl,Errfi1,Klf15"
"GO:0071385","cellular response to glucocorticoid stimulus",73,3,4.73245692695412e-06,0.000727446236200376,"Klf9,Etnppl,Errfi1"
"GO:1901654","response to ketone",282,4,6.52430171926305e-06,0.00087751858124088,"Hspa8,Sgk1,Klf9,Errfi1"
"GO:0032502","developmental process",7236,11,7.71158779267694e-06,0.000921963162768932,"Tsc22d3,Hspa8,Sgk1,Per2,Klf9,Slc1a5,Dusp15,Cntf,Arid5b,Errfi1,Klf15"
"GO:0042592","homeostatic process",2027,7,1.03576303379438e-05,0.00107023852986389,"Tsc22d3,Sgk1,Per2,Slc1a5,Etnppl,Errfi1,Klf15"
"GO:0060613","fat pad development",11,2,1.09411002123631e-05,0.00107023852986389,"Arid5b,Errfi1"
"GO:0032870","cellular response to hormone stimulus",741,5,1.3082890536706e-05,0.0011730991847913,"Sgk1,Klf9,Etnppl,Errfi1,Klf15"
"GO:0048523","negative regulation of cellular process",5830,10,1.47717582860663e-05,0.00122264707044672,"Tsc22d3,Hspa8,Sgk1,Per2,Klf9,Dusp15,Cntf,Arid5b,Errfi1,Klf15"
"GO:0048731","system development",4438,9,1.78353001709571e-05,0.00129754692774929,"Hspa8,Sgk1,Per2,Klf9,Dusp15,Cntf,Arid5b,Errfi1,Klf15"
"GO:0050847","progesterone receptor signaling pathway",14,2,1.80884794760589e-05,0.00129754692774929,"Klf9,Errfi1"
