"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Endocrine system","mmu04928","Parathyroid hormone synthesis, secretion and action","7/83","116/10644",0.0603448275862069,7.73867885334441,6.46918203789692,3.19091528503554e-05,0.00702001362707819,0.0049711101282659,"20393/15200/12575/18227/216869/16478/14679",7
"Environmental Information Processing","Signal transduction","mmu04151","PI3K-Akt signaling pathway","10/83","368/10644",0.0271739130434783,3.48480880041907,4.30054398622469,0.000554424518577752,0.0421350877536292,0.0298372870217087,"20393/15370/16194/12842/22628/56484/12575/17210/21802/18033",10
"Environmental Information Processing","Signal transduction","mmu04068","FoxO signaling pathway","6/83","133/10644",0.0451127819548872,5.78530664009421,4.9230260153404,0.000583770421676591,0.0421350877536292,0.0298372870217087,"20393/57436/56484/12575/26556/20656",6
"Organismal Systems","Aging","mmu04213","Longevity regulating pathway - multiple species","4/83","61/10644",0.0655737704918033,8.40924353150306,5.14461577483819,0.00127968362674385,0.0421350877536292,0.0298372870217087,"15481/12955/56484/20656",4
"Organismal Systems","Endocrine system","mmu04925","Aldosterone synthesis and secretion","5/83","104/10644",0.0480769230769231,6.16543095458758,4.69268584386213,0.00128366679350955,0.0421350877536292,0.0298372870217087,"11933/15370/11928/18227/12323",5
"Organismal Systems","Immune system","mmu04659","Th17 cell differentiation","5/83","105/10644",0.0476190476190476,6.10671256454389,4.66181373576153,0.00133970448651712,0.0421350877536292,0.0298372870217087,"18035/16194/15979/16180/18033",5
"Human Diseases","Infectious disease: parasitic","mmu05145","Toxoplasmosis","5/83","109/10644",0.0458715596330275,5.8826130208909,4.54220613888909,0.00158208479419934,0.0421350877536292,0.0298372870217087,"15481/18035/15979/14679/18033",5
"Environmental Information Processing","Signal transduction","mmu04024","cAMP signaling pathway","7/83","224/10644",0.03125,4.00753012048193,4.03291149423559,0.00178118381151443,0.0421350877536292,0.0298372870217087,"18035/11933/11928/19046/14679/18033/12323",7
"Human Diseases","Infectious disease: parasitic","mmu05140","Leishmaniasis","4/83","70/10644",0.0571428571428571,7.32805507745267,4.70888596639086,0.00213229568417612,0.0421350877536292,0.0298372870217087,"18035/17970/15979/18033",4
"Environmental Information Processing","Signal transduction","mmu04066","HIF-1 signaling pathway","5/83","117/10644",0.0427350427350427,5.48038307074452,4.31990626002717,0.00216166128608701,0.0421350877536292,0.0298372870217087,"16194/12575/15979/18033/12323",5
"Environmental Information Processing","Signal transduction","mmu04010","MAPK signaling pathway","8/83","299/10644",0.0267558528428094,3.4311963573357,3.78014917814889,0.00224181815021843,0.0421350877536292,0.0298372870217087,"15481/19099/15370/216869/21802/16478/16180/18033",8
"Organismal Systems","Environmental adaptation","mmu04710","Circadian rhythm","3/83","34/10644",0.0882352941176471,11.3153791637137,5.34054425866363,0.00229827751383432,0.0421350877536292,0.0298372870217087,"18627/13170/104318",3
"Organismal Systems","Digestive system","mmu04971","Gastric acid secretion","4/83","75/10644",0.0533333333333333,6.83951807228916,4.4989300996554,0.00274467694104505,0.0456553001280784,0.0323300689902182,"11933/11928/14679/12323",4
"Cellular Processes","Transport and catabolism","mmu04145","Phagosome","6/83","183/10644",0.0327868852459016,4.20462176575153,3.87645081419431,0.00300412524751818,0.0456553001280784,0.0323300689902182,"17970/22151/227613/11966/114143/271457",6
"Organismal Systems","Excretory system","mmu04960","Aldosterone-regulated sodium reabsorption","3/83","38/10644",0.0789473684210526,10.1242866201649,4.9949766472313,0.00316828772224917,0.0456553001280784,0.0323300689902182,"20393/11933/11928",3
"Human Diseases","Infectious disease: bacterial","mmu05132","Salmonella infection","7/83","253/10644",0.0276679841897233,3.54816896042669,3.63645623637312,0.0035254616744133,0.0456553001280784,0.0323300689902182,"18035/22151/227613/622434/11852/18033/271457",7
"Organismal Systems","Endocrine system","mmu04926","Relaxin signaling pathway","5/83","131/10644",0.0381679389312977,4.89469327692449,3.9761625675884,0.00352790955535151,0.0456553001280784,0.0323300689902182,"18035/12842/216869/14679/18033",5
"Environmental Information Processing","Signal transduction","mmu04012","ErbB signaling pathway","4/83","84/10644",0.0476190476190476,6.10671256454389,4.16550493963277,0.00413275212659504,0.0479356391233508,0.0339448544988322,"15200/12575/21802/12323",4
"Organismal Systems","Development and regeneration","mmu04380","Osteoclast differentiation","5/83","136/10644",0.0367647058823529,4.71474131821403,3.86506279714141,0.00413989610610757,0.0479356391233508,0.0339448544988322,"18035/17970/15979/16478/18033",5
"Cellular Processes","Cellular community - eukaryotes","mmu04540","Gap junction","4/83","86/10644",0.0465116279069767,5.96469599327543,4.09797790910109,0.00449532910763918,0.0494486201840309,0.035016247785821,"22151/227613/104318/14679",4
