"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","mmu04064","NF-kappa B signaling pathway","29/663","107/10644",0.271028037383178,4.35116505264938,8.97906229606507,7.19406047064599e-12,2.37403995531318e-09,1.77201068434859e-09,"14825/15894/17873/19225/12044/13197/20310/21929/11796/17096/22637/17060/19698/16818/18034/108723/21898/16176/12042/12675/18761/16177/50930/18033/18792/21947/245527/18751/23882",29
"Environmental Information Processing","Signal transduction","mmu04668","TNF signaling pathway","29/663","118/10644",0.245762711864407,3.94554797147021,8.29234167623343,9.79372606226303e-11,1.6159648002734e-08,1.20617468345766e-08,"14825/15894/20339/16193/19225/12702/20293/12608/16477/26427/20310/21929/16182/16362/26410/11796/12051/17392/231991/74568/16878/20297/26397/16176/12675/20311/29857/18033/21938",29
"Organismal Systems","Development and regeneration","mmu04380","Osteoclast differentiation","30/663","136/10644",0.220588235294118,3.54138940644131,7.68745178405578,7.97934867644984e-10,8.77728354409482e-08,6.55146522908513e-08,"246256/14283/18733/14284/12702/232801/16477/320832/17969/18019/17060/19698/16818/18034/16478/15980/232790/16176/16175/12675/20375/29857/14131/16177/17972/18033/12703/15979/16822/14282",30
"Human Diseases","Infectious disease: bacterial","mmu05152","Tuberculosis","35/663","180/10644",0.194444444444444,3.12166918049271,7.39889428827848,1.18196580256651e-09,9.75121787117371e-08,7.27842099475167e-08,"246256/56619/16193/12608/12265/13063/12795/13115/24088/271457/12796/192656/170780/15510/20698/15980/21898/15526/16176/16175/18779/12042/15001/15000/56644/12323/29857/14131/12721/114143/18033/15979/108960/13040/21897",35
"Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction","47/663","294/10644",0.159863945578231,2.56650352448672,7.01999227361203,1.71270198399886e-09,1.13038330943925e-07,8.43731082643651e-08,"12765/12985/227288/14825/16178/12986/16193/12156/27279/18413/20293/12771/20310/16174/16182/16181/16180/107527/56744/12983/12767/320100/56708/16196/16162/16878/58181/20297/16185/15980/12163/16176/16175/16172/16190/20311/238057/16177/50930/15979/16323/21938/21947/245527/269275/11479/16156",47
"Human Diseases","Infectious disease: parasitic","mmu05145","Toxoplasmosis","25/663","109/10644",0.229357798165138,3.68217858773714,7.25413172709475,8.96178183634997e-09,4.92898000999249e-07,3.67904728018578e-07,"12265/13063/24088/16835/11796/104709/11689/26397/18036/15980/21898/14679/12675/320207/105675/15001/15000/329581/29857/18033/12703/15979/16780/21947/15481",25
"Organismal Systems","Immune system","mmu04657","IL-17 signaling pathway","23/663","98/10644",0.23469387755102,3.76784559977837,7.09435279680847,2.21917040476422e-08,1.04618033367456e-06,7.80881014608762e-07,"12985/14825/14283/16193/19225/20201/20293/12608/20310/21929/16819/17392/16478/74180/56489/20297/16176/16172/12675/20311/29857/18033/14282",23
"Human Diseases","Infectious disease: parasitic","mmu05140","Leishmaniasis","18/663","70/10644",0.257142857142857,4.12824822236587,6.76756352277196,1.72136582630497e-07,7.10063403350799e-06,5.29999478099161e-06,"246256/19225/17969/24088/17357/18036/15980/21898/16176/16175/15001/15000/29857/14131/17972/18033/15979/18751",18
"Organismal Systems","Immune system","mmu04625","C-type lectin receptor signaling pathway","23/663","112/10644",0.205357142857143,3.29686489980608,6.29782813292817,3.0465885389297e-07,1.11708246427422e-05,8.33803179075497e-06,"56619/16193/19225/17474/216799/12795/16362/18019/12051/19698/17164/170780/18034/13655/56489/16176/12042/12675/56644/29857/56760/69810/18033",23
"Organismal Systems","Immune system","mmu04659","Th17 cell differentiation","22/663","105/10644",0.20952380952381,3.36375781081663,6.27335250652183,3.81427018724685e-07,1.25870916179146e-05,9.39514972437646e-06,"16193/16180/18019/22637/16818/14462/16185/18036/15980/16176/12675/16190/15001/15000/18761/15251/29857/16177/18033/12503/15979/12502",22
"Human Diseases","Cancer: overview","mmu05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","19/663","88/10644",0.215909090909091,3.46626902509255,5.98733917769423,1.46472324085246e-06,4.39416972255739e-05,3.27985874028207e-05,"381319/24088/18019/22637/16818/60533/26397/18036/15980/21898/12675/18761/15251/53314/29857/18033/12503/15979/12502",19
"Organismal Systems","Immune system","mmu04640","Hematopoietic cell lineage","19/663","94/10644",0.202127659574468,3.24501781072494,5.63455023581057,4.16037335379866e-06,0.000106691459113528,7.96357302474182e-05,"12985/16178/12986/16193/13136/22042/16196/14128/16176/16175/16402/16190/15001/15000/16177/12502/12481/14256/16156",19
"Human Diseases","Immune disease","mmu05321","Inflammatory bowel disease","15/663","62/10644",0.241935483870968,3.88410451029047,5.86981923878402,4.2029968741693e-06,0.000106691459113528,7.96357302474182e-05,"16193/16174/16182/24088/16162/14462/15980/21898/16176/16175/16190/15001/15000/18033/15979",15
"Organismal Systems","Immune system","mmu04658","Th1 and Th2 cell differentiation","18/663","88/10644",0.204545454545455,3.28383381324558,5.54444285123148,6.22830449384692e-06,0.00014681003449782,0.000109580695606029,"18019/22637/16818/16162/14462/16185/18036/15980/12675/16190/15001/15000/18761/29857/18033/12503/15979/12502",18
"Environmental Information Processing","Signal transduction","mmu04010","MAPK signaling pathway","39/663","299/10644",0.130434782608696,2.09403895337399,4.94543957090206,8.439106299053e-06,0.000185660338579166,0.000138579008700239,"17873/17869/13197/240672/12290/19252/13874/16180/16002/26410/11839/233046/19417/19698/17164/26411/21802/18034/16478/20111/22339/26397/16176/16175/12675/12531/16000/29857/216869/16177/19354/26404/13640/18033/58231/15481/18751/14256/23882",39
