"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Transport and catabolism","mmu04142","Lysosome","17/355","136/10644",0.125,3.74788732394366,5.99056751047333,2.63910538191947e-06,0.000789092509193921,0.000616717257669602,"18145/67963/235380/74325/54411/19156/11305/432486/67300/16783/240283/11886/83429/19063/17939/16784/12512",17
"Organismal Systems","Environmental adaptation","mmu04710","Circadian rhythm","8/355","34/10644",0.235294117647059,7.05484672742336,6.56817241370067,1.20127524359307e-05,0.00179590648917164,0.00140359528461927,"18626/18627/12953/18628/19885/50789/13170/108097",8
"Human Diseases","Cancer: overview","mmu05205","Proteoglycans in cancer","18/355","204/10644",0.0882352941176471,2.64556752278376,4.40798558716494,0.000159734583936781,0.0120617129422065,0.00942686242974773,"13207/18708/12842/18750/66911/16653/69253/12325/12390/69632/21859/16440/12575/23797/13043/12512/17246/26396",18
"Human Diseases","Cancer: specific types","mmu05214","Glioma","10/355","75/10644",0.133333333333333,3.99774647887324,4.83914023968528,0.000180409844371381,0.0120617129422065,0.00942686242974773,"18708/18750/16653/19645/12325/107986/12575/23797/17246/26396",10
"Human Diseases","Cancer: specific types","mmu05220","Chronic myeloid leukemia","10/355","76/10644",0.131578947368421,3.94514455151964,4.78604340793933,0.000201700885321179,0.0120617129422065,0.00942686242974773,"12048/18708/18035/16653/19645/107986/12575/23797/17246/26396",10
"Environmental Information Processing","Signal transduction","mmu04150","mTOR signaling pathway","15/355","158/10644",0.0949367088607595,2.84649670172936,4.34341950214041,0.000253076366084413,0.0126116389098732,0.0098566584685508,"20393/18708/74747/17254/20539/18750/69008/16653/11966/66290/23797/216805/277854/22084/26396",15
"Human Diseases","Cancer: specific types","mmu05218","Melanoma","9/355","72/10644",0.125,3.74788732394366,4.34556465243292,0.0006145220977521,0.0209755390773382,0.0163934859185674,"18708/16653/19645/107986/12575/12550/23797/17246/26396",9
"Human Diseases","Cancer: specific types","mmu05223","Non-small cell lung cancer","9/355","72/10644",0.125,3.74788732394366,4.34556465243292,0.0006145220977521,0.0209755390773382,0.0163934859185674,"18708/18750/16653/19645/56484/107986/12575/23797/26396",9
"Human Diseases","Cancer: specific types","mmu05213","Endometrial cancer","8/355","58/10644",0.137931034482759,4.13559980573094,4.4476264551333,0.00063137074145834,0.0209755390773382,0.0163934859185674,"18708/16653/56484/107986/12575/12550/23797/26396",8
"Metabolism","Lipid metabolism","mmu01040","Biosynthesis of unsaturated fatty acids","6/355","35/10644",0.171428571428571,5.13995975855131,4.55672207903638,0.000943744247485798,0.0282179529998253,0.0220538129412471,"54325/20250/106529/170439/74559/76267",6
"Human Diseases","Cancer: specific types","mmu05222","Small cell lung cancer","10/355","94/10644",0.106382978723404,3.18969133952652,3.96077545194069,0.00112448766209037,0.0304953101767936,0.0238336872355155,"12048/18708/18035/19645/17187/107986/12575/23797/16776/12827",10
"Human Diseases","Cancer: specific types","mmu05216","Thyroid cancer","6/355","37/10644",0.162162162162162,4.86212409592691,4.3710968156777,0.00127798358428266,0.0304953101767936,0.0238336872355155,"16653/107986/12575/12550/108989/26396",6
"Human Diseases","Drug resistance: antineoplastic","mmu01521","EGFR tyrosine kinase inhibitor resistance","9/355","80/10644",0.1125,3.3730985915493,3.95736585978224,0.00132588305116494,0.0304953101767936,0.0238336872355155,"12048/18708/16194/18750/16653/56484/23797/26396/16452",9
"Organismal Systems","Excretory system","mmu04960","Aldosterone-regulated sodium reabsorption","6/355","38/10644",0.157894736842105,4.73417346182357,4.28321721222177,0.00147569171753592,0.0315165588245171,0.0246318467137574,"20393/18708/11933/18750/16653/110784",6
"Human Diseases","Cancer: specific types","mmu05211","Renal cell carcinoma","8/355","70/10644",0.114285714285714,3.4266398390342,3.78350501760988,0.00219951568520305,0.0413002678117723,0.0322783293582589,"18708/16653/11863/12575/23797/216805/112406/26396",8
"Human Diseases","Cancer: specific types","mmu05219","Bladder cancer","6/355","41/10644",0.146341463414634,4.38777052559258,4.03692942400458,0.00221004777588079,0.0413002678117723,0.0322783293582589,"16653/19645/12575/12550/17246/26396",6
"Environmental Information Processing","Signal transduction","mmu04151","PI3K-Akt signaling pathway","23/355","368/10644",0.0625,1.87394366197183,3.16923849663378,0.00284884493052439,0.046141955714694,0.0360623628539415,"12048/20393/18708/74747/16194/12842/15370/18750/16653/56484/81877/14702/12575/23797/16776/12827/20750/22084/17246/22027/17210/26396/16452",23
"Organismal Systems","Aging","mmu04211","Longevity regulating pathway","9/355","90/10644",0.1,2.99830985915493,3.53618652482249,0.00301926404882572,0.046141955714694,0.0360623628539415,"18708/140742/16653/75747/56484/23797/11514/22084/108097",9
"Organismal Systems","Digestive system","mmu04974","Protein digestion and absorption","10/355","108/10644",0.0925925925925926,2.77621283255086,3.44610593805416,0.00319522213670418,0.046141955714694,0.0360623628539415,"11933/17254/12842/237759/246049/20514/140709/12827/105243/215335",10
"Human Diseases","Infectious disease: viral","mmu05161","Hepatitis B","13/355","164/10644",0.0792682926829268,2.37670903469598,3.30022134737256,0.00332213559971919,0.046141955714694,0.0360623628539415,"18708/18035/13654/68652/18750/16653/54411/19645/107986/12575/23797/26396/16452",13
"Metabolism","Lipid metabolism","mmu00062","Fatty acid elongation","5/355","31/10644",0.161290322580645,4.83598364379827,3.97281311146643,0.00333520832343102,0.046141955714694,0.0360623628539415,"54325/106529/170439/74559/19063",5
"Cellular Processes","Cell growth and death","mmu04115","p53 signaling pathway","8/355","75/10644",0.106666666666667,3.19819718309859,3.54846032460139,0.00340455035185527,0.046141955714694,0.0360623628539415,"12048/140742/75747/107986/12575/22084/17246/17248",8
"Human Diseases","Cancer: specific types","mmu05212","Pancreatic cancer","8/355","76/10644",0.105263157894737,3.15611564121572,3.50382226436756,0.00369740649607125,0.046141955714694,0.0360623628539415,"12048/18708/19730/16653/19645/107986/12575/23797",8
"Human Diseases","Drug resistance: antineoplastic","mmu01522","Endocrine resistance","9/355","93/10644",0.0967741935483871,2.90159018627896,3.42114289425618,0.00376925723872171,0.046141955714694,0.0360623628539415,"18708/16653/19645/20185/12575/23797/11514/17246/26396",9
"Cellular Processes","Transport and catabolism","mmu04140","Autophagy - animal","13/355","167/10644",0.0778443113772455,2.33401366281521,3.22745105789931,0.00388114018361122,0.046141955714694,0.0360623628539415,"12048/18708/74747/16653/71648/16783/15289/72145/23797/16784/22084/67443/26396",13
"Organismal Systems","Aging","mmu04213","Longevity regulating pathway - multiple species","7/355","61/10644",0.114754098360656,3.44068344493189,3.5508440492409,0.00401234397519078,0.046141955714694,0.0360623628539415,"18708/12955/16653/56484/23797/11514/108097",7
"Metabolism","Global and overview maps","mmu01212","Fatty acid metabolism","7/355","62/10644",0.112903225806452,3.38518855065879,3.49860011539179,0.00439673798292015,0.0479229371710191,0.0374542934411767,"54325/20250/106529/170439/74559/19063/76267",7
"Genetic Information Processing","Information processing in viruses","mmu03273","Virion - Lassa virus and SFTS virus","4/355","21/10644",0.19047619047619,5.71106639839034,4.01388481838454,0.0046421184000444,0.0479229371710191,0.0374542934411767,"211712/13138/16783/16784",4
"Environmental Information Processing","Signal transduction","mmu04070","Phosphatidylinositol signaling system","9/355","96/10644",0.09375,2.81091549295775,3.31061260461503,0.00465800276150423,0.0479229371710191,0.0374542934411767,"76500/18708/18750/16329/227399/16440/219135/75678/217837",9
"Organismal Systems","Endocrine system","mmu04929","GnRH secretion","7/355","63/10644",0.111111111111111,3.33145539906103,3.44741568550056,0.0048083214552862,0.0479229371710191,0.0374542934411767,"18708/18750/16653/16440/23797/20750/26396",7
