"Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"GO:0051179","localization",5607,43,9.27993014528663e-13,2.25687901133371e-09,"Cntf,Etnppl,Per2,Otud7b,Sgk1,Ncf2,Mat2a,Mapk8ip1,Gjc3,Nfkbia,Atp1b3,Slc12a2,Egr2,Errfi1,Sptbn5,Slc7a5,Klf15,Rhobtb3,Col1a1,Nr4a1,Myo7a,Cryab,Pim3,Mfsd2a,Gjb1,Cadm3,Cmtm6,Atp6v1b2,Homer1,Rab20,Slc1a5,Fxyd6,Cfp,Slc31a2,Cdkn1a,Zc3h12a,Arl13b,Ndel1,Frmd8,Zdhhc18,Mcl1,Arrdc3,Nedd9"
"GO:0051234","establishment of localization",4883,36,1.0542502126372e-09,7.75161144648483e-07,"Cntf,Etnppl,Per2,Sgk1,Ncf2,Mapk8ip1,Gjc3,Nfkbia,Atp1b3,Slc12a2,Egr2,Sptbn5,Slc7a5,Klf15,Rhobtb3,Col1a1,Nr4a1,Myo7a,Cryab,Pim3,Mfsd2a,Gjb1,Cmtm6,Atp6v1b2,Homer1,Rab20,Slc1a5,Fxyd6,Cfp,Slc31a2,Cdkn1a,Zc3h12a,Ndel1,Zdhhc18,Mcl1,Arrdc3"
"GO:0006810","transport",4642,35,1.17497165029497e-09,7.75161144648483e-07,"Cntf,Etnppl,Per2,Sgk1,Ncf2,Mapk8ip1,Gjc3,Nfkbia,Atp1b3,Slc12a2,Egr2,Sptbn5,Slc7a5,Klf15,Rhobtb3,Col1a1,Nr4a1,Myo7a,Cryab,Pim3,Mfsd2a,Gjb1,Cmtm6,Atp6v1b2,Homer1,Rab20,Slc1a5,Fxyd6,Cfp,Slc31a2,Cdkn1a,Zc3h12a,Ndel1,Mcl1,Arrdc3"
"GO:0007275","multicellular organism development",5197,37,1.39041168951461e-09,7.75161144648483e-07,"Dusp15,Arid5b,Cntf,Per2,Otud7b,Sgk1,Gjc3,Nfkbia,Klf9,Megf9,Slc12a2,Egr2,Errfi1,Slc7a5,Klf15,Rhobtb3,Il6ra,Lctl,Col1a1,Nr4a1,Myo7a,Cryab,Sat1,Pmp22,Six5,Mfsd2a,Mboat7,Nr4a2,Dbp,Foxo3,Cdkn1a,Zc3h12a,Arl13b,Rbm45,Ndel1,Tiparp,Nedd9"
"GO:0048731","system development",4438,34,1.59367011646481e-09,7.75161144648483e-07,"Dusp15,Arid5b,Cntf,Per2,Sgk1,Gjc3,Klf9,Megf9,Slc12a2,Egr2,Errfi1,Slc7a5,Klf15,Rhobtb3,Il6ra,Lctl,Col1a1,Nr4a1,Myo7a,Cryab,Sat1,Pmp22,Six5,Mfsd2a,Mboat7,Nr4a2,Dbp,Foxo3,Cdkn1a,Zc3h12a,Arl13b,Rbm45,Ndel1,Tiparp"
"GO:0032502","developmental process",7236,43,6.19814663219779e-09,2.46982941416094e-06,"Dusp15,Tsc22d3,Arid5b,Cntf,Per2,Otud7b,Sgk1,Gjc3,Nfkbia,Klf9,Megf9,Slc12a2,Egr2,Errfi1,Slc7a5,Klf15,Rhobtb3,Il6ra,Lctl,Col1a1,Nr4a1,Myo7a,Cryab,Sat1,Pmp22,Six5,Mfsd2a,Atp6v1b2,Mboat7,Nr4a2,Dbp,Homer1,Foxo3,Slc1a5,Cdkn1a,Zc3h12a,Arl13b,Rbm45,Ndel1,Tiparp,Mcl1,Arrdc3,Nedd9"
"GO:0048856","anatomical structure development",6654,41,7.10888400457507e-09,2.46982941416094e-06,"Dusp15,Tsc22d3,Arid5b,Cntf,Per2,Otud7b,Sgk1,Gjc3,Nfkbia,Klf9,Megf9,Slc12a2,Egr2,Errfi1,Slc7a5,Klf15,Rhobtb3,Il6ra,Lctl,Col1a1,Nr4a1,Myo7a,Cryab,Sat1,Pmp22,Six5,Mfsd2a,Mboat7,Nr4a2,Dbp,Homer1,Foxo3,Slc1a5,Cdkn1a,Zc3h12a,Arl13b,Rbm45,Ndel1,Tiparp,Arrdc3,Nedd9"
"GO:0048513","animal organ development",3492,29,8.57658521663280e-09,2.60728190585637e-06,"Tsc22d3,Arid5b,Cntf,Megf9,Slc12a2,Egr2,Errfi1,Slc7a5,Klf15,Rhobtb3,Il6ra,Lctl,Col1a1,Nr4a1,Myo7a,Cryab,Pmp22,Six5,Mfsd2a,Mboat7,Nr4a2,Dbp,Homer1,Foxo3,Cdkn1a,Arl13b,Ndel1,Tiparp,Arrdc3"
"GO:0008104","intracellular protein localization",2642,25,1.11212842744653e-08,3.00521815061107e-06,"Per2,Otud7b,Sgk1,Mat2a,Nfkbia,Atp1b3,Slc12a2,Egr2,Errfi1,Col1a1,Nr4a1,Myo7a,Pim3,Cadm3,Cmtm6,Homer1,Rab20,Cdkn1a,Zc3h12a,Arl13b,Ndel1,Frmd8,Zdhhc18,Arrdc3,Nedd9"
"GO:0033036","macromolecule localization",3143,27,1.77991270580493e-08,4.32874770051759e-06,"Etnppl,Per2,Otud7b,Sgk1,Mat2a,Nfkbia,Atp1b3,Slc12a2,Egr2,Errfi1,Col1a1,Nr4a1,Myo7a,Pim3,Mfsd2a,Cadm3,Cmtm6,Homer1,Rab20,Cdkn1a,Zc3h12a,Arl13b,Ndel1,Frmd8,Zdhhc18,Arrdc3,Nedd9"
"GO:0065007","biological regulation",13697,57,7.73726934337097e-07,0.000171063991300711,"Dusp15,Tsc22d3,Arid5b,Cntf,Per2,Otud7b,Sgk1,Ncf2,Mat2a,Mapk8ip1,Gjc3,Nfkbia,Klf9,Atp1b3,Slc12a2,Egr2,Errfi1,Ptpdc1,Slc7a5,Klf15,Cdc37l1,Rhobtb3,Il6ra,Col1a1,Nr4a1,Cryab,Sat1,Pim3,Pmp22,Six5,Mfsd2a,Gjb1,Pisd,Zfp386,Cmtm6,Atp6v1b2,Mboat7,Nr4a2,Dbp,Homer1,Foxo3,Rab20,Fxyd6,Cfp,Slc31a2,Cdkn1a,Zc3h12a,Arl13b,Ndel1,Cdk17,Frmd8,Tiparp,Zdhhc18,Mcl1,Arrdc3,Nedd9,Ccnl1"
"GO:1901700","response to oxygen-containing compound",2039,19,1.38058497063917e-06,0.000279798554049538,"Sgk1,Ncf2,Mat2a,Nfkbia,Klf9,Slc12a2,Egr2,Errfi1,Slc7a5,Klf15,Col1a1,Nr4a1,Cryab,Pim3,Nr4a2,Homer1,Foxo3,Zc3h12a,Ndel1"
"GO:0032501","multicellular organismal process",9056,44,2.19043307201718e-06,0.000409779479318906,"Dusp15,Tsc22d3,Arid5b,Cntf,Per2,Otud7b,Sgk1,Ncf2,Mapk8ip1,Gjc3,Nfkbia,Klf9,Megf9,Slc12a2,Egr2,Errfi1,Slc7a5,Klf15,Rhobtb3,Il6ra,Lctl,Col1a1,Nr4a1,Myo7a,Cryab,Sat1,Pmp22,Six5,Mfsd2a,Mboat7,Nr4a2,Dbp,Homer1,Foxo3,Slc1a5,Cdkn1a,Zc3h12a,Arl13b,Rbm45,Ndel1,Frmd8,Tiparp,Arrdc3,Nedd9"
"GO:0048518","positive regulation of biological process",6819,37,2.47449678971624e-06,0.000423225620890489,"Dusp15,Arid5b,Cntf,Per2,Otud7b,Sgk1,Ncf2,Mat2a,Mapk8ip1,Nfkbia,Klf9,Atp1b3,Slc12a2,Egr2,Slc7a5,Klf15,Il6ra,Col1a1,Nr4a1,Pmp22,Six5,Mfsd2a,Nr4a2,Dbp,Homer1,Foxo3,Fxyd6,Cfp,Cdkn1a,Zc3h12a,Ndel1,Frmd8,Tiparp,Zdhhc18,Mcl1,Arrdc3,Nedd9"
"GO:0071384","cellular response to corticosteroid stimulus",81,5,2.81288413889248e-06,0.000423225620890489,"Etnppl,Sgk1,Klf9,Errfi1,Foxo3"
