"Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"GO:0065008","regulation of biological quality",3488,35,7.31310358331174e-09,2.07692141766053e-05,"F3,Gsn,Gpr37l1,Prnp,Apoe,Aldh1a1,Cyp2d22,Sparc,Clu,Hsp90b1,Nrn1,Bcl2l1,Tmsb4x,Fus,P4hb,Vwc2,Plscr2,Sparcl1,Rarres2,Chrdl1,Ap2m1,Hsd17b11,Limd1,Ece1,Akap12,Dag1,Laptm4b,Snta1,Ank3,Slc3a2,Lamp1,Adgrg1,Met,Foxo1,Ctsb"
"GO:0072657","protein localization to membrane",513,13,4.67948731255054e-08,6.64487198382176e-05,"Gsn,Prnp,Apoe,Hsp90b1,Bcl2l1,Vwc2,Tm9sf2,Chrdl1,Ap2m1,Atp6ap1,Dag1,Tmem59,Ank3"
"GO:0048523","negative regulation of cellular process",5830,44,2.09904820006021e-07,0.000155799568886663,"Zbtb16,Cst3,Per1,Gsn,Gpr37l1,Prnp,Apoe,Aldh1a1,Ncam1,Timp3,Sparc,Clu,Hsp90b1,Tsc22d4,Ranbp9,Itm2b,Lpcat1,Bcl2l1,Tmsb4x,Fus,Sfrp5,Vwc2,Azin1,Chrdl1,Ifitm3,Ap2m1,Limd1,Ndrg2,Dag1,Laptm4b,Tmem59,H2-D1,Tmem176a,Cnot10,Hnrnpk,Ank3,Adgrg1,Tmem176b,Met,Phlda3,Foxo1,Celf2,Pdk4,Syt11"
"GO:0048519","negative regulation of biological process",6085,45,2.51224143307022e-07,0.000155799568886663,"Zbtb16,Cst3,Per1,Gsn,Gpr37l1,Prnp,Apoe,Aldh1a1,Ncam1,Timp3,Sparc,Clu,Hsp90b1,Tsc22d4,Ranbp9,Itm2b,Lpcat1,Gpm6b,Bcl2l1,Tmsb4x,Fus,Sfrp5,Vwc2,Azin1,Chrdl1,Ifitm3,Ap2m1,Limd1,Ndrg2,Dag1,Laptm4b,Tmem59,H2-D1,Tmem176a,Cnot10,Hnrnpk,Ank3,Adgrg1,Tmem176b,Met,Phlda3,Foxo1,Celf2,Pdk4,Syt11"
"GO:1902531","regulation of intracellular signal transduction",2070,24,2.74295015645534e-07,0.000155799568886663,"Per1,F3,Gsn,Gpr37l1,Prnp,Apoe,Ncam1,Clu,Ranbp9,Bcl2l1,Tmsb4x,Sfrp5,P4hb,Limd1,Ece1,Ndrg2,Akap12,Dag1,Hnrnpk,Ank3,Adgrg1,Met,Phlda3,Foxo1"
"GO:0006950","response to stress",4288,36,4.19654209343783e-07,0.000198636325756057,"Cst3,Per1,Matn2,F3,Gsn,Gpr37l1,Prnp,Apoe,Aldh1a1,Ncam1,Scn7a,Endod1,Vwa1,Clu,Hsp90b1,C1s1,Ep400,Bcl2l1,Tmsb4x,Fus,P4hb,Rarres2,Ifitm3,Limd1,Ece1,Dag1,Cp,Hnrnpk,Lamp1,Adgrg1,Met,Phlda3,Foxo1,Srsf5,Pdk4,Syt11"
"GO:0065007","biological regulation",13697,73,8.01619498410546e-07,0.000265643841613742,"Zbtb16,Cst3,Per1,F3,Gsn,Gpr37l1,Prnp,Apoe,Aldh1a1,Ncam1,Cyp2d22,Timp3,Scn7a,Tbc1d10a,Sparc,Clu,Hsp90b1,Tsc22d4,Ranbp9,C1s1,Ep400,Itm2b,Lpcat1,Nrn1,Gpm6b,Bcl2l1,Tmsb4x,Fus,Selenop,Sfrp5,P4hb,Ralgds,Vwc2,Tmed9,Plscr2,Sparcl1,Azin1,Rarres2,Tm9sf2,Chrdl1,Ifitm3,Ap2m1,Hsd17b11,Atp6ap1,Limd1,Zfp866,Ece1,Ndrg2,Akap12,Dag1,Laptm4b,Tmem59,H2-D1,Tef,Tmem176a,Cp,Cnot10,Hnrnpk,Snta1,Ank3,Slc3a2,Lamp1,Adgrg1,Tmem176b,Met,Phlda3,Foxo1,Celf2,Eif2s3y,Srsf5,Pdk4,Ctsb,Syt11"
"GO:0008219","cell death",2202,24,8.41829075536507e-07,0.000265643841613742,"Zbtb16,F3,Gsn,Prnp,Apoe,Aldh1a1,Ncam1,Clu,Hsp90b1,Emp3,Ep400,Bcl2l1,P4hb,Plscr2,Tmem219,Akap12,Hnrnpk,Lamp1,Adgrg1,Met,Phlda3,Foxo1,Pdk4,Ctsb"
"GO:0012501","programmed cell death",2202,24,8.41829075536507e-07,0.000265643841613742,"Zbtb16,F3,Gsn,Prnp,Apoe,Aldh1a1,Ncam1,Clu,Hsp90b1,Emp3,Ep400,Bcl2l1,P4hb,Plscr2,Tmem219,Akap12,Hnrnpk,Lamp1,Adgrg1,Met,Phlda3,Foxo1,Pdk4,Ctsb"
"GO:0009987","cellular process",20947,92,9.75817748617374e-07,0.000277132240607334,"Zbtb16,Cst3,Per1,Matn2,F3,Gsn,Gpr37l1,Prnp,Apoe,Aldh1a1,Serpinh1,Ncam1,Cyp2d22,Cdh19,Timp3,Scn7a,Tbc1d10a,Pcdh9,Sparc,Vwa1,Clu,Hsp90b1,Tsc22d4,Emp3,Ranbp9,C1s1,Gpt2,Ep400,Itm2b,Ube2d2a,Lpcat1,Nrn1,Slc43a3,Gpm6b,Bcl2l1,Tmsb4x,Fus,Selenop,Prss23,Sfrp5,P4hb,Etnk1,Ralgds,Vwc2,Cfap100,Tmed9,Plscr2,Tmem219,Sparcl1,Azin1,Rarres2,Tm9sf2,Chrdl1,Rbm6,Ifitm3,Ap2m1,Hsd17b11,Atp6ap1,Ddx10,Limd1,Zfp866,Ece1,Ndrg2,Akap12,Dag1,Laptm4b,Tmem59,H2-D1,Tcn2,Tef,Tmem176a,Cp,Cnot10,Hnrnpk,Snta1,Ank3,Slc3a2,Lamp1,Gal3st1,Adgrg1,Tmem176b,Met,Phlda3,Foxo1,Celf2,Eif2s3y,Srsf5,Pdk4,Eef1a1,Rab2a,Ctsb,Syt11"
"GO:1902532","negative regulation of intracellular signal transduction",804,14,1.30141841269569e-06,0.00033600257200507,"Per1,Prnp,Apoe,Clu,Ranbp9,Bcl2l1,Tmsb4x,Sfrp5,Limd1,Ndrg2,Dag1,Met,Phlda3,Foxo1"
"GO:0048583","regulation of response to stimulus",4311,35,1.4918052493471e-06,0.000353060575678814,"Per1,F3,Gsn,Gpr37l1,Prnp,Apoe,Ncam1,Clu,Hsp90b1,Ranbp9,C1s1,Ep400,Bcl2l1,Tmsb4x,Fus,Sfrp5,P4hb,Vwc2,Plscr2,Rarres2,Chrdl1,Limd1,Ece1,Ndrg2,Akap12,Dag1,H2-D1,Hnrnpk,Ank3,Lamp1,Adgrg1,Met,Phlda3,Foxo1,Syt11"
"GO:0009966","regulation of signal transduction",3214,29,2.20225109704876e-06,0.000481107162739883,"Per1,F3,Gsn,Gpr37l1,Prnp,Apoe,Ncam1,Clu,Hsp90b1,Ranbp9,Bcl2l1,Tmsb4x,Sfrp5,P4hb,Vwc2,Plscr2,Rarres2,Chrdl1,Limd1,Ece1,Ndrg2,Akap12,Dag1,Hnrnpk,Ank3,Adgrg1,Met,Phlda3,Foxo1"
"GO:0048731","system development",4438,35,2.96076348496191e-06,0.00060061202123513,"Zbtb16,Cst3,Matn2,F3,Gsn,Gpr37l1,Apoe,Aldh1a1,Serpinh1,Ncam1,Timp3,Sparc,Clu,Tsc22d4,Lpcat1,Nrn1,Gpm6b,Bcl2l1,Selenop,Sfrp5,Vwc2,Rarres2,Chrdl1,Atp6ap1,Ece1,Ndrg2,Dag1,H2-D1,Cp,Ank3,Gal3st1,Adgrg1,Met,Foxo1,Eif2s3y"
"GO:0051668","localization within membrane",765,13,4.20651789536825e-06,0.000796434054856389,"Gsn,Prnp,Apoe,Hsp90b1,Bcl2l1,Vwc2,Tm9sf2,Chrdl1,Ap2m1,Atp6ap1,Dag1,Tmem59,Ank3"
"GO:0051239","regulation of multicellular organismal process",3381,29,6.08471535680549e-06,0.00108003697583297,"Zbtb16,Cst3,Per1,F3,Gsn,Gpr37l1,Prnp,Apoe,Aldh1a1,Ncam1,Sparc,Clu,Gpm6b,Plscr2,Ece1,Ndrg2,Akap12,Dag1,Laptm4b,Tmem176a,Hnrnpk,Snta1,Adgrg1,Tmem176b,Met,Foxo1,Eif2s3y,Pdk4,Syt11"
"GO:0048518","positive regulation of biological process",6819,45,7.18386098846984e-06,0.0011985675744938,"Zbtb16,Cst3,Per1,F3,Gsn,Gpr37l1,Prnp,Apoe,Aldh1a1,Ncam1,Tbc1d10a,Sparc,Clu,Hsp90b1,Ranbp9,C1s1,Ep400,Lpcat1,Gpm6b,Bcl2l1,Tmsb4x,Fus,P4hb,Vwc2,Tmed9,Plscr2,Azin1,Rarres2,Ap2m1,Ece1,Akap12,Dag1,Tmem59,H2-D1,Tef,Hnrnpk,Ank3,Lamp1,Adgrg1,Met,Phlda3,Foxo1,Eif2s3y,Srsf5,Syt11"
"GO:0051246","regulation of protein metabolic process",1358,17,7.66331089040867e-06,0.0011985675744938,"Cst3,Gsn,Prnp,Apoe,Timp3,Tbc1d10a,Clu,Ranbp9,Itm2b,Lpcat1,Azin1,Rarres2,Tm9sf2,Limd1,Laptm4b,Cnot10,Foxo1"
"GO:1990000","amyloid fibril formation",35,4,8.01858588569793e-06,0.0011985675744938,"Gsn,Apoe,Clu,Fus"
"GO:0042982","amyloid precursor protein metabolic process",78,5,9.99529189706982e-06,0.00141933144938391,"Prnp,Apoe,Clu,Ranbp9,Itm2b"
