"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","mmu04668","TNF signaling pathway","30/667","118/10644",0.254237288135593,4.05712398038269,8.6341051711918,2.14261043558924e-11,7.04918833308859e-09,5.39035678006135e-09,"14825/15894/20339/16193/19225/12702/20293/12608/16477/26427/20310/21929/16182/16362/67457/26410/11796/12051/17392/231991/74568/16878/20297/26397/16176/12675/20311/29857/18033/21938",30
"Environmental Information Processing","Signal transduction","mmu04064","NF-kappa B signaling pathway","28/667","107/10644",0.261682242990654,4.17593072622567,8.53688402931209,4.79082259625767e-11,7.88090317084386e-09,6.02635052897675e-09,"14825/15894/17873/19225/12044/13197/20310/21929/11796/17096/22637/17060/19698/16818/18034/108723/21898/16176/12042/12675/16177/50930/18033/18792/21947/245527/18751/23882",28
"Organismal Systems","Development and regeneration","mmu04380","Osteoclast differentiation","30/667","136/10644",0.220588235294118,3.52015168886145,7.64770392061702,9.21180966371361e-10,1.01022845978726e-07,7.72499126185107e-08,"246256/14283/18733/14284/12702/232801/16477/320832/17969/17970/18019/17060/19698/16818/18034/16478/15980/232790/16176/16175/12675/20375/29857/14131/16177/17972/18033/12703/16822/14282",30
"Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction","47/667","294/10644",0.159863945578231,2.55111219900254,6.97335324694227,2.0834352392136e-09,1.71362548425319e-07,1.31037111097908e-07,"12765/12985/227288/14825/16178/12986/16193/12156/27279/18413/20293/12771/20310/16174/16182/16181/16180/107527/56744/12983/12767/320100/56708/16196/16162/16878/58181/20297/16185/15980/12163/16176/16175/16172/16190/20311/238057/16177/16194/50930/16323/21938/21947/245527/269275/11479/16156",47
"Human Diseases","Infectious disease: bacterial","mmu05152","Tuberculosis","34/667","180/10644",0.188888888888889,3.01429285357321,7.04701118657852,5.22960104849093e-09,3.44107748990703e-07,2.63131505387228e-07,"246256/56619/16193/12608/12265/13063/12795/13115/24088/271457/12796/192656/170780/15510/20698/15980/21898/15526/16176/16175/18779/12042/15001/15000/56644/12323/29857/14131/12721/114143/18033/108960/13040/21897",34
"Organismal Systems","Immune system","mmu04657","IL-17 signaling pathway","23/667","98/10644",0.23469387755102,3.74524982406756,7.05904562110824,2.48252884623958e-08,1.3612533173547e-06,1.04091998991449e-06,"12985/14825/14283/16193/19225/20201/20293/12608/20310/21929/16819/17392/16478/74180/56489/20297/16176/16172/12675/20311/29857/18033/14282",23
"Human Diseases","Infectious disease: parasitic","mmu05140","Leishmaniasis","18/667","70/10644",0.257142857142857,4.10349111158706,6.73557745777336,1.88378285505554e-07,8.85377941876102e-06,6.77028725350787e-06,"246256/19225/17969/17970/24088/17357/18036/15980/21898/16176/16175/15001/15000/29857/14131/17972/18033/18751",18
"Organismal Systems","Immune system","mmu04625","C-type lectin receptor signaling pathway","23/667","112/10644",0.205357142857143,3.27709359605911,6.26367809127667,3.39023046895024e-07,1.39423228035578e-05,1.06613826589356e-05,"56619/16193/19225/17474/216799/12795/16362/18019/12051/19698/17164/170780/18034/13655/56489/16176/12042/12675/56644/29857/56760/69810/18033",23
"Human Diseases","Infectious disease: parasitic","mmu05145","Toxoplasmosis","22/667","109/10644",0.201834862385321,3.22088497035886,6.02583181401111,8.32800014002979e-07,3.04434671785534e-05,2.32794389879195e-05,"12265/13063/24088/11796/104709/11689/26397/18036/15980/21898/14679/12675/320207/105675/15001/15000/329581/29857/18033/12703/16780/21947",22
"Organismal Systems","Immune system","mmu04640","Hematopoietic cell lineage","20/667","94/10644",0.212765957446809,3.39532361478835,6.03110452095645,1.09364596157087e-06,3.59809521356815e-05,2.75138299805724e-05,"12985/16178/12986/16193/13136/22042/16196/14128/16176/16175/16402/16190/15001/15000/16177/16194/12502/12481/14256/16156",20
"Organismal Systems","Immune system","mmu04659","Th17 cell differentiation","21/667","105/10644",0.2,3.19160419790105,5.83515011037225,1.72619114887933e-06,5.16288079983001e-05,3.94793956537953e-05,"16193/16180/18019/22637/16818/14462/16185/18036/15980/16176/12675/16190/15001/15000/15251/29857/16177/16194/18033/12503/12502",21
"Human Diseases","Immune disease","mmu05323","Rheumatoid arthritis","18/667","87/10644",0.206896551724138,3.30165951507005,5.57346664301733,5.71363251457507e-06,0.000156648758107933,0.000119785804472232,"14825/15894/16193/20293/20310/24088/17392/22339/20297/21898/11966/16176/16175/15001/15000/20311/114143/16156",18
"Cellular Processes","Transport and catabolism","mmu04145","Phagosome","28/667","183/10644",0.153005464480874,2.44166441369479,5.08625446520101,9.36721800957649e-06,0.000237062671165436,0.000181276526663059,"246256/17969/17970/24088/22042/271457/545486/67951/21354/22151/22145/170780/21898/11966/18779/16402/15001/15000/22146/56644/14131/12721/17972/17195/114143/14991/13040/17523",28
"Organismal Systems","Immune system","mmu04062","Chemokine signaling pathway","29/667","194/10644",0.149484536082474,2.38547736441058,5.03543641689261,1.03386727502913e-05,0.000242958809631847,0.00018578517197892,"12765/227288/14825/20293/12771/14191/20310/17969/56744/17096/104709/14707/277360/12767/15162/56484/22376/20297/18036/14679/12675/320207/20311/14695/216869/19354/271849/18033/18751",29
