"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Lipid metabolism","mmu00100","Steroid biosynthesis","8/254","20/10644",0.4,16.7622047244095,11.0313597128882,9.26265028853269e-09,2.59354208078915e-06,2.16453512005711e-06,"14137/74754/66234/13121/235293/20775/15490/16987",8
"Cellular Processes","Cellular community - eukaryotes","mmu04510","Focal adhesion","18/254","202/10644",0.0891089108910891,3.73415451781399,6.13405987018133,1.53507796163598e-06,0.000214910914629037,0.000179361740780625,"12843/16412/12390/286940/18590/16410/20750/12827/12826/11848/22330/16400/19353/226519/16403/18596/11465/232906",18
"Human Diseases","Cardiovascular disease","mmu05412","Arrhythmogenic right ventricular cardiomyopathy","11/254","86/10644",0.127906976744186,5.36000732466581,6.347266471203,5.79130214397517e-06,0.000410404554876747,0.000342518087152774,"13138/16412/11938/16410/13405/16400/24052/16403/12385/11465/20649",11
"Human Diseases","Cardiovascular disease","mmu05414","Dilated cardiomyopathy","12/254","103/10644",0.116504854368932,4.88219555079887,6.19007952948586,5.86292221252496e-06,0.000410404554876747,0.000342518087152774,"13138/16412/432530/11938/16410/14683/13405/16400/24052/16403/11465/20649",12
"Environmental Information Processing","Signaling molecules and interaction","mmu04512","ECM-receptor interaction","11/254","89/10644",0.123595505617978,5.17933292046359,6.19033237420594,8.11633802111695e-06,0.000454514929182549,0.000379332008565887,"13138/12843/16412/16423/16410/20750/12827/12826/16400/226519/16403",11
"Cellular Processes","Cell motility","mmu04810","Regulation of actin cytoskeleton","18/254","235/10644",0.0765957446808511,3.20978388339755,5.35575058973417,1.29501768308672e-05,0.000512393894643102,0.00042763700981492,"19241/16412/67771/227753/18590/16410/12631/11848/22330/14673/16400/19353/17532/17698/16403/18596/11465/232906",18
"Human Diseases","Infectious disease: bacterial","mmu05100","Bacterial invasion of epithelial cells","10/254","77/10644",0.12987012987013,5.4422742611719,6.11668326515366,1.34953054823194e-05,0.000512393894643102,0.00042763700981492,"16412/67771/12390/74325/11848/22330/14388/19353/12385/11465",10
"Metabolism","Global and overview maps","mmu01212","Fatty acid metabolism","9/254","62/10644",0.145161290322581,6.08305816611633,6.27593101500909,1.46398255612315e-05,0.000512393894643102,0.00042763700981492,"20250/106529/170439/14104/54325/56473/74205/15488/107476",9
"Cellular Processes","Transport and catabolism","mmu04142","Lysosome","13/254","136/10644",0.0955882352941176,4.00567392311255,5.51559540586451,2.1320333359245e-05,0.0006632992600654,0.000553580585468116,"16783/54411/13033/74325/67963/17939/17113/18145/13030/11886/12512/17775/19156",13
"Human Diseases","Cardiovascular disease","mmu05410","Hypertrophic cardiomyopathy","11/254","100/10644",0.11,4.6096062992126,5.67019837054073,2.49783844953053e-05,0.000699394765868549,0.000583705406100819,"13138/16412/11938/16410/108097/13405/16400/24052/16403/11465/20649",11
