"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006883","intracellular sodium ion homeostasis","4/51","27/25730",0.148148148148148,74.7421931735657,17.0849421147437,2.3226915958785e-07,0.00038905084230965,0.000259896964886195,"Sgk1/Atp1b3/Atp1a1/Slc12a2",4
"GO:0007517","muscle organ development","8/51","385/25730",0.0207792207792208,10.4833206009677,8.35510934157911,8.48458471949556e-07,0.000511315243736453,0.000341573042634312,"Cntf/Arid5b/Tsc22d3/Cryab/Pmp22/Hmgcr/Egr2/Hspa8",8
"GO:0006814","sodium ion transport","7/51","266/25730",0.0263157894736842,13.2765737874097,8.96937479506441,9.15788496244393e-07,0.000511315243736453,0.000341573042634312,"Sgk1/Fxyd6/Slc6a6/Atp1b3/Atp1a1/Slc12a2/Slc9a9",7
"GO:0035725","sodium ion transmembrane transport","6/51","181/25730",0.0331491712707182,16.7240818979526,9.46074026031609,1.54440234442023e-06,0.000587101813906939,0.000392200614726206,"Fxyd6/Slc6a6/Atp1b3/Atp1a1/Slc12a2/Slc9a9",6
"GO:0055078","sodium ion homeostasis","4/51","44/25730",0.0909090909090909,45.8645276292335,13.2735987923089,1.75254272808041e-06,0.000587101813906939,0.000392200614726206,"Sgk1/Atp1b3/Atp1a1/Slc12a2",4
"GO:0032868","response to insulin","7/51","320/25730",0.021875,11.0361519607843,8.05095451452135,3.12121990524238e-06,0.000871340556880165,0.000582080133205728,"Insig1/Sgk1/Col1a1/Egr2/Prkcq/Errfi1/Klf15",7
"GO:0098739","import across plasma membrane","6/51","220/25730",0.0272727272727273,13.7593582887701,8.47017594645366,4.76762892506044e-06,0.00114082549278232,0.00076210369132921,"Slc7a5/Slc6a6/Atp1b3/Atp1a1/Slc12a2/Slc9a9",6
"GO:0030007","intracellular potassium ion homeostasis","3/51","19/25730",0.157894736842105,79.6594427244582,15.2853599217461,6.95129445632484e-06,0.00145542727679301,0.000972266579878066,"Atp1b3/Atp1a1/Slc12a2",3
"GO:0008202","steroid metabolic process","7/51","385/25730",0.0181818181818182,9.1729055258467,7.20059166826834,1.0446096543876e-05,0.00184270143332049,0.00123097666841771,"Insig1/Pmp22/Ldlr/Hmgcr/Tiparp/Errfi1/Atp1a1",7
"GO:0036376","sodium ion export across plasma membrane","3/51","22/25730",0.136363636363636,68.7967914438503,14.1773096038706,1.1001202586988e-05,0.00184270143332049,0.00123097666841771,"Fxyd6/Atp1b3/Atp1a1",3
"GO:0048143","astrocyte activation","3/51","24/25730",0.125,63.0637254901961,13.5560667459194,1.44183367142181e-05,0.00219551945421048,0.00146666908394391,"Cntf/Ldlr/Ifngr1",3
"GO:0042063","gliogenesis","7/51","415/25730",0.0168674698795181,8.50980392156863,6.87339287304762,1.69516677676825e-05,0.00225779609445456,0.00150827164078881,"Cntf/Pmp22/Ldlr/Slc7a5/Egr2/Ifngr1/Klf15",7
"GO:0002028","regulation of sodium ion transport","4/51","78/25730",0.0512820512820513,25.8722976370035,9.80415299177924,1.7523193568901e-05,0.00225779609445456,0.00150827164078881,"Sgk1/Fxyd6/Atp1b3/Atp1a1",4
"GO:0008203","cholesterol metabolic process","5/51","165/25730",0.0303030303030303,15.2881758764112,8.2054678626391,1.88879022732666e-05,0.00225980259340868,0.00150961203883326,"Insig1/Pmp22/Ldlr/Hmgcr/Errfi1",5
"GO:0016125","sterol metabolic process","5/51","174/25730",0.028735632183908,14.4974081586658,7.96133783491443,2.43824826501272e-05,0.00272271056259754,0.00181884765312879,"Insig1/Pmp22/Ldlr/Hmgcr/Errfi1",5
"GO:1902652","secondary alcohol metabolic process","5/51","178/25730",0.0280898876404494,14.171623705662,7.85858499548853,2.71904631351591e-05,0.00284650160946197,0.00190154357320224,"Insig1/Pmp22/Ldlr/Hmgcr/Errfi1",5
"GO:0010001","glial cell differentiation","6/51","305/25730",0.019672131147541,9.92478302796528,6.98754460888573,3.03758940157909e-05,0.00299291896920293,0.00199935451014153,"Cntf/Pmp22/Ldlr/Egr2/Ifngr1/Klf15",6
"GO:0006606","protein import into nucleus","5/51","197/25730",0.0253807106598985,12.8048173584154,7.41223108516971,4.41325403701724e-05,0.00410677806222438,0.00274344388383002,"Insig1/Nfkbia/Hspa8/Prkcq/Cdkn1a",5
"GO:0051170","import into nucleus","5/51","204/25730",0.0245098039215686,12.3654363706267,7.26302107026494,5.20982347704605e-05,0.00459287069686955,0.00306816751030468,"Insig1/Nfkbia/Hspa8/Prkcq/Cdkn1a",5
