"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Excretory system","mmu04960","Aldosterone-regulated sodium reabsorption","3/31","38/10644",0.0789473684210526,27.106960950764,8.71296766621977,0.000176127599369783,0.00799049440207132,0.00523601585078218,"20393/11933/11928",3
"Environmental Information Processing","Signaling molecules and interaction","mmu04517","IgSF CAM signaling","6/31","300/10644",0.02,6.86709677419355,5.57100334214097,0.000193648442067039,0.00799049440207132,0.00523601585078218,"94332/235379/18858/640524/227613/18761",6
"Organismal Systems","Digestive system","mmu04976","Bile secretion","4/31","101/10644",0.0396039603960396,13.5982114340466,6.87513566340685,0.000197361806328897,0.00799049440207132,0.00523601585078218,"16835/15357/11933/11928",4
"Organismal Systems","Endocrine system","mmu04925","Aldosterone synthesis and secretion","4/31","104/10644",0.0384615384615385,13.2059553349876,6.7602372308076,0.000220916102785929,0.00799049440207132,0.00523601585078218,"16835/18227/11933/11928",4
"Human Diseases","Infectious disease: parasitic","mmu05145","Toxoplasmosis","4/31","109/10644",0.036697247706422,12.6001775673276,6.57891707089314,0.000264585907353355,0.00799049440207132,0.00523601585078218,"18035/16835/15481/15979",4
"Cellular Processes","Cell motility","mmu04820","Cytoskeleton in muscle cells","5/31","233/10644",0.0214592274678112,7.36812958604458,5.31174754074733,0.000513827524468115,0.0129313260324476,0.00847364689473733,"12842/640524/11933/11928/20971",5
"Organismal Systems","Excretory system","mmu04964","Proximal tubule bicarbonate reclamation","2/31","22/10644",0.0909090909090909,31.2140762463343,7.66675011856274,0.00182875576863311,0.0313525663120283,0.0205447280120646,"11933/11928",2
"Organismal Systems","Digestive system","mmu04970","Salivary secretion","3/31","87/10644",0.0344827586206897,11.8398220244716,5.48662544332135,0.00200949045490826,0.0313525663120283,0.0205447280120646,"11933/11928/20496",3
"Organismal Systems","Immune system","mmu04658","Th1 and Th2 cell differentiation","3/31","88/10644",0.0340909090909091,11.7052785923754,5.44983576861651,0.00207632889483631,0.0313525663120283,0.0205447280120646,"18035/18761/15979",3
"Human Diseases","Cancer: overview","mmu05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","3/31","88/10644",0.0340909090909091,11.7052785923754,5.44983576861651,0.00207632889483631,0.0313525663120283,0.0205447280120646,"18035/18761/15979",3
"Human Diseases","Cancer: overview","mmu05205","Proteoglycans in cancer","4/31","204/10644",0.0196078431372549,6.73244781783681,4.46785160778259,0.00274790493497501,0.0369089688655265,0.0241857307309828,"12842/12575/19046/20971",4
"Organismal Systems","Immune system","mmu04659","Th17 cell differentiation","3/31","105/10644",0.0285714285714286,9.81013824884793,4.90310808005047,0.00343047253773342,0.0369089688655265,0.0241857307309828,"18035/18761/15979",3
"Human Diseases","Cancer: specific types","mmu05215","Prostate cancer","3/31","107/10644",0.0280373831775701,9.626771178776,4.8470273848823,0.00361799551192297,0.0369089688655265,0.0241857307309828,"18035/21802/12575",3
"Organismal Systems","Digestive system","mmu04974","Protein digestion and absorption","3/31","108/10644",0.0277777777777778,9.53763440860215,4.81953730830226,0.00371406983264385,0.0369089688655265,0.0241857307309828,"12842/11933/11928",3
"Environmental Information Processing","Signal transduction","mmu04024","cAMP signaling pathway","4/31","224/10644",0.0178571428571429,6.13133640552995,4.19483065501774,0.0038461220048305,0.0369089688655265,0.0241857307309828,"18035/11933/11928/19046",4
"Human Diseases","Endocrine and metabolic disease","mmu04931","Insulin resistance","3/31","110/10644",0.0272727272727273,9.36422287390029,4.76561636006379,0.00391088411820148,0.0369089688655265,0.0241857307309828,"18035/18761/19046",3
"Organismal Systems","Digestive system","mmu04972","Pancreatic secretion","3/31","115/10644",0.0260869565217391,8.95708274894811,4.63663626518821,0.00443049765155655,0.0380789132856486,0.0249523725956847,"11933/11928/20496",3
"Organismal Systems","Endocrine system","mmu04928","Parathyroid hormone synthesis, secretion and action","3/31","116/10644",0.0258620689655172,8.87986651835373,4.61178139719773,0.00453920820623626,0.0380789132856486,0.0249523725956847,"20393/18227/12575",3
