"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","mmu04064","NF-kappa B signaling pathway","29/682","107/10644",0.271028037383178,4.22994491188642,8.785762596252,1.44004937065878e-11,4.75216292317396e-09,3.51675214729301e-09,"14825/15894/17873/19225/12044/13197/20310/21929/11796/17096/22637/17060/19698/16818/18034/108723/21898/16176/12042/12675/18761/16177/50930/18033/18792/21947/245527/18751/23882",29
"Environmental Information Processing","Signal transduction","mmu04668","TNF signaling pathway","30/682","118/10644",0.254237288135593,3.96789104826284,8.48219445355681,3.73037557873648e-11,6.1551197049152e-09,4.55498491719402e-09,"14825/15894/20339/16193/19225/12702/20293/12608/16477/26427/20310/21929/16182/16362/67457/26410/11796/12051/17392/231991/74568/16878/20297/26397/16176/12675/20311/29857/18033/21938",30
"Organismal Systems","Development and regeneration","mmu04380","Osteoclast differentiation","31/682","136/10644",0.227941176470588,3.55748663101604,7.85368980376354,3.49322377399123e-10,3.84254615139036e-08,2.84360672128409e-08,"246256/14283/18733/14284/12702/232801/16477/320832/17969/17970/18019/17060/19698/16818/18034/16478/15980/232790/16176/16175/12675/20375/29857/14131/16177/17972/18033/12703/15979/16822/14282",31
"Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction","48/682","294/10644",0.163265306122449,2.54808785684362,7.04287603238069,1.41949950199861e-09,1.17108708914885e-07,8.66641801220205e-08,"12765/12985/227288/14825/16178/12986/16193/12156/27279/18413/20293/12771/20310/16174/16182/16181/16180/107527/56744/12983/12767/320100/56708/16196/16162/16878/58181/20297/16185/15980/12163/16176/16175/16172/16190/20311/238057/16177/16194/50930/15979/16323/21938/21947/245527/269275/11479/16156",48
"Human Diseases","Infectious disease: bacterial","mmu05152","Tuberculosis","35/682","180/10644",0.194444444444444,3.0347018572825,7.20342631855781,2.49568062478195e-09,1.64714921235609e-07,1.21894295778824e-07,"246256/56619/16193/12608/12265/13063/12795/13115/24088/271457/12796/192656/170780/15510/20698/15980/21898/15526/16176/16175/18779/12042/15001/15000/56644/12323/29857/14131/12721/114143/18033/15979/108960/13040/21897",35
"Organismal Systems","Immune system","mmu04657","IL-17 signaling pathway","23/682","98/10644",0.23469387755102,3.6628762942127,6.92900852253256,3.75169514436522e-08,2.06343232940087e-06,1.5270057429697e-06,"12985/14825/14283/16193/19225/20201/20293/12608/20310/21929/16819/17392/16478/74180/56489/20297/16176/16172/12675/20311/29857/18033/14282",23
"Human Diseases","Infectious disease: parasitic","mmu05140","Leishmaniasis","19/682","70/10644",0.271428571428571,4.23619606200251,7.10747174300958,4.74370649229222e-08,2.23631877493776e-06,1.65494722738616e-06,"246256/19225/17969/17970/24088/17357/18036/15980/21898/16176/16175/15001/15000/29857/14131/17972/18033/15979/18751",19
"Human Diseases","Infectious disease: parasitic","mmu05145","Toxoplasmosis","24/682","109/10644",0.220183486238532,3.43641206381662,6.68956179554566,7.07434884089666e-08,2.91816889686987e-06,2.15953806722109e-06,"12265/13063/24088/11796/104709/11689/26397/18036/15980/21898/14679/12675/320207/105675/15001/15000/329581/29857/18033/12703/15979/16780/21947/15481",24
"Organismal Systems","Immune system","mmu04659","Th17 cell differentiation","23/682","105/10644",0.219047619047619,3.41868454126519,6.51666094738897,1.46469308072376e-07,5.37054129598712e-06,3.97437186816272e-06,"16193/16180/18019/22637/16818/14462/16185/18036/15980/16176/12675/16190/15001/15000/18761/15251/29857/16177/16194/18033/12503/15979/12502",23
"Organismal Systems","Immune system","mmu04625","C-type lectin receptor signaling pathway","23/682","112/10644",0.205357142857143,3.20501675743611,6.13785225325435,5.02317819891889e-07,1.65764880564323e-05,1.22671299173598e-05,"56619/16193/19225/17474/216799/12795/16362/18019/12051/19698/17164/170780/18034/13655/56489/16176/12042/12675/56644/29857/56760/69810/18033",23
"Organismal Systems","Immune system","mmu04640","Hematopoietic cell lineage","20/682","94/10644",0.212765957446809,3.3206464091845,5.91286032173581,1.5466005975201e-06,4.6398017925603e-05,3.4336013265518e-05,"12985/16178/12986/16193/13136/22042/16196/14128/16176/16175/16402/16190/15001/15000/16177/16194/12502/12481/14256/16156",20
"Human Diseases","Cancer: overview","mmu05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","19/682","88/10644",0.215909090909091,3.36970141295654,5.84031433961983,2.23143430066291e-06,6.136444326823e-05,4.54116454169995e-05,"381319/24088/18019/22637/16818/60533/26397/18036/15980/21898/12675/18761/15251/53314/29857/18033/12503/15979/12502",19
"Environmental Information Processing","Signal transduction","mmu04010","MAPK signaling pathway","41/682","299/10644",0.137123745819398,2.14009552859483,5.23193739679954,2.8085354973169e-06,7.1293593393429e-05,5.27595332289491e-05,"17873/17869/13197/240672/12290/19252/13874/16180/16002/26410/11839/233046/15370/19417/19698/17164/26411/21802/18034/16478/20111/22339/26397/16176/16175/12675/19099/12531/16000/29857/216869/16177/19354/26404/13640/18033/58231/15481/18751/14256/23882",41
"Cellular Processes","Transport and catabolism","mmu04145","Phagosome","29/682","183/10644",0.158469945355191,2.47324647853469,5.25975245753713,4.9414565187015e-06,0.000116477189369393,8.61968355141916e-05,"246256/17969/17970/24088/22042/271457/545486/67951/21354/22151/227613/22145/170780/21898/11966/18779/16402/15001/15000/22146/56644/14131/12721/17972/17195/114143/14991/13040/17523",29
"Human Diseases","Immune disease","mmu05321","Inflammatory bowel disease","15/682","62/10644",0.241935483870968,3.77589632012109,5.73543228975076,5.9384950309306e-06,0.000130646890680473,9.66828664684841e-05,"16193/16174/16182/24088/16162/14462/15980/21898/16176/16175/16190/15001/15000/18033/15979",15
"Human Diseases","Immune disease","mmu05323","Rheumatoid arthritis","18/682","87/10644",0.206896551724138,3.22904237031045,5.46208732329194,7.77945492753569e-06,0.000160451257880424,0.000118739048893966,"14825/15894/16193/20293/20310/24088/17392/22339/20297/21898/11966/16176/16175/15001/15000/20311/114143/16156",18
"Organismal Systems","Immune system","mmu04658","Th1 and Th2 cell differentiation","18/682","88/10644",0.204545454545455,3.19234870701146,5.40321473456489,9.20608880301724e-06,0.000178706429705629,0.000132248458346749,"18019/22637/16818/16162/14462/16185/18036/15980/12675/16190/15001/15000/18761/29857/18033/12503/15979/12502",18
