"Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"GO:0009987","cellular process",20947,145,4.05832999496659e-11,1.19355485151968e-07,"Cfap100,Ogn,Mt2,Mt3,Eps8l1,Mt1,Hmgcs1,Mast2,Ddn,Ddit4,Crlf3,Vwa1,Vit,Prnp,Srsf5,Samd5,Etnk1,Fdft1,Sema5a,Tsc22d4,Sesn1,Tecr,Sema6c,Acly,Zfp280c,Wsb1,Evi5,Rhot1,Sema3g,Klhdc8b,Pcdh9,Maged1,Mprip,Per1,Erbin,Myo1b,Fat1,Fdps,Dhcr24,Sparc,Adcy1,Srrm2,Mal,Selenop,Slc5a3,Plekhg2,Pttg1ip,Scd2,Pcsk5,Mboat1,Fndc1,Tab2,Prelid3a,Aacs,Ston1,Cxxc5,Slamf9,Ide,Cadm4,Wdr77,Bcl2l1,Cox16,Suco,Rai14,Agrn,Dmd,Pcyox1l,Cyp51,Piezo2,Pla2g7,Nav1,Slc27a1,Gria3,Tada2a,Specc1l,Mdn1,Gatad2b,Msmo1,Zdhhc2,Trp53inp1,Adamts5,Zfp788,Ddx5,Plk5,Rbm33,Ptprm,Ppp4r2,Phgdh,Prrg3,Sorbs1,Gpt2,Tspan15,Zdhhc8,Epb41l4b,Exoc3,Stmn1,Bicd1,Smurf1,Flnb,Paqr7,Chrdl1,Fam53b,Ncmap,Klrb1a,Ucp2,Prkab2,Slc20a2,Zfc3h1,Anxa7,Ttc3,Elovl1,Rbm6,Slc36a2,Zfp536,Cttnbp2,Colgalt1,Apod,Entr1,Ip6k2,Hnrnpk,Cyp39a1,Ankrd13b,Dbn1,Mlec,Epb41l2,Sfrp5,Man1a,Zbtb38,Cdc42ep1,Ldhb,Fntb,Chdh,Fa2h,Tsnax,Mocs2,Pdcd4,Npc1,Myrfl,Ube2d2a,Pik3r1,Etfbkmt,Slc3a2,Zscan26,Elovl6,Coq2"
"GO:0033489","cholesterol biosynthetic process via desmosterol",21,6,1.58667135123984e-09,2.1287282689856e-06,"Hmgcs1,Fdft1,Fdps,Dhcr24,Cyp51,Msmo1"
"GO:0033490","cholesterol biosynthetic process via lathosterol",22,6,2.17143312035254e-09,2.1287282689856e-06,"Hmgcs1,Fdft1,Fdps,Dhcr24,Cyp51,Msmo1"
"GO:0008610","lipid biosynthetic process",741,20,9.13401321336654e-09,6.52167030600113e-06,"Hmgcs1,Etnk1,Fdft1,Tecr,Acly,Fdps,Dhcr24,Scd2,Mboat1,Cyp51,Slc27a1,Msmo1,Sorbs1,Prkab2,Elovl1,Ip6k2,Fa2h,Pik3r1,Elovl6,Coq2"
"GO:0044283","small molecule biosynthetic process",674,19,1.10875047704882e-08,6.52167030600113e-06,"Hmgcs1,Fdft1,Tecr,Acly,Fdps,Dhcr24,Scd2,Cyp51,Msmo1,Phgdh,Gpt2,Prkab2,Elovl1,Ip6k2,Cyp39a1,Ldhb,Fa2h,Elovl6,Coq2"
"GO:0036196","zymosterol metabolic process",16,5,2.3603395221061e-08,9.91679790644863e-06,"Hmgcs1,Fdft1,Fdps,Cyp51,Msmo1"
"GO:0036197","zymosterol biosynthetic process",16,5,2.3603395221061e-08,9.91679790644863e-06,"Hmgcs1,Fdft1,Fdps,Cyp51,Msmo1"
"GO:0065007","biological regulation",13697,110,5.40850108952132e-08,1.98830021303527e-05,"Ogn,Mt2,Mt3,Eps8l1,Mt1,Mast2,Ddn,Ddit4,Crlf3,Vit,Prnp,Srsf5,Samd5,Sema5a,Tsc22d4,Sesn1,Sema6c,Acly,Zfp280c,Wsb1,Rhot1,Sema3g,Maged1,Per1,Erbin,Fat1,Fdps,Dhcr24,Sparc,Adcy1,Mal,Selenop,Slc5a3,Plekhg2,Pttg1ip,Pcsk5,Mboat1,Fndc1,Tab2,Aacs,Ston1,Cxxc5,Ide,Cadm4,Wdr77,Bcl2l1,Suco,Agrn,Dmd,Cyp51,Piezo2,Pla2g7,Slc27a1,Gria3,Tada2a,Specc1l,Gatad2b,Zdhhc2,Trp53inp1,Adamts5,Zfp788,Ddx5,Plk5,Rbm33,Ptprm,Ppp4r2,Phgdh,Prrg3,Sorbs1,Tspan15,Zdhhc8,Epb41l4b,Stmn1,Bicd1,Smurf1,Paqr7,Chrdl1,Fam53b,Ncmap,Klrb1a,Ucp2,Prkab2,Slc20a2,Anxa7,Ttc3,Slc36a2,Zfp536,Cttnbp2,Colgalt1,Apod,Entr1,Ip6k2,Hnrnpk,Ankrd13b,Dbn1,Epb41l2,Sfrp5,Zbtb38,Cdc42ep1,Fntb,Fa2h,Tsnax,Pdcd4,Npc1,Myrfl,Pik3r1,Etfbkmt,Slc3a2,Zscan26,Elovl6"
"GO:0044281","small molecule metabolic process",1875,31,6.4870596301156e-08,2.11982693024111e-05,"Hmgcs1,Ddit4,Fdft1,Tecr,Acly,Fdps,Dhcr24,Adcy1,Slc5a3,Scd2,Aacs,Bcl2l1,Cyp51,Slc27a1,Msmo1,Phgdh,Sorbs1,Gpt2,Ucp2,Prkab2,Elovl1,Apod,Ip6k2,Cyp39a1,Ldhb,Fa2h,Npc1,Pik3r1,Etfbkmt,Elovl6,Coq2"
"GO:0048518","positive regulation of biological process",6819,69,8.03402882741138e-08,2.36280787814169e-05,"Mt3,Eps8l1,Ddn,Crlf3,Vit,Prnp,Srsf5,Sema5a,Sesn1,Sema6c,Sema3g,Maged1,Per1,Erbin,Fat1,Fdps,Sparc,Adcy1,Mal,Slc5a3,Pttg1ip,Pcsk5,Fndc1,Tab2,Aacs,Ide,Wdr77,Bcl2l1,Suco,Agrn,Dmd,Cyp51,Pla2g7,Slc27a1,Gria3,Tada2a,Specc1l,Gatad2b,Zdhhc2,Trp53inp1,Ddx5,Plk5,Rbm33,Ptprm,Sorbs1,Zdhhc8,Epb41l4b,Bicd1,Smurf1,Fam53b,Ncmap,Ucp2,Prkab2,Slc20a2,Anxa7,Slc36a2,Colgalt1,Entr1,Ip6k2,Hnrnpk,Dbn1,Epb41l2,Zbtb38,Cdc42ep1,Fntb,Pdcd4,Myrfl,Pik3r1,Elovl6"
