"Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"GO:0031643","positive regulation of myelination",28,2,1.13967516130302e-05,0.00493479344844206,"Mag,Egr2"
"GO:0031646","positive regulation of nervous system process",56,2,4.63301758668011e-05,0.00525893898173403,"Mag,Egr2"
"GO:0045687","positive regulation of glial cell differentiation",58,2,4.97219882295357e-05,0.00525893898173403,"Mag,Egr2"
"GO:0031641","regulation of myelination",65,2,6.25320064977398e-05,0.00525893898173403,"Mag,Egr2"
"GO:0014015","positive regulation of gliogenesis",96,2,0.000136758922311652,0.00525893898173403,"Mag,Egr2"
"GO:0045685","regulation of glial cell differentiation",99,2,0.00014545231216197,0.00525893898173403,"Mag,Egr2"
"GO:0071260","cellular response to mechanical stimulus",103,2,0.000157456810414971,0.00525893898173403,"Mag,Col1a1"
"GO:0071496","cellular response to external stimulus",105,2,0.000163636067808795,0.00525893898173403,"Mag,Col1a1"
"GO:0021594","rhombomere formation",1,1,0.000194325689856223,0.00525893898173403,"Egr2"
"GO:0021595","rhombomere structural organization",1,1,0.000194325689856223,0.00525893898173403,"Egr2"
"GO:0021659","rhombomere 3 structural organization",1,1,0.000194325689856223,0.00525893898173403,"Egr2"
"GO:0021660","rhombomere 3 formation",1,1,0.000194325689856223,0.00525893898173403,"Egr2"
"GO:0021664","rhombomere 5 morphogenesis",1,1,0.000194325689856223,0.00525893898173403,"Egr2"
"GO:0021665","rhombomere 5 structural organization",1,1,0.000194325689856223,0.00525893898173403,"Egr2"
"GO:0021666","rhombomere 5 formation",1,1,0.000194325689856223,0.00525893898173403,"Egr2"
"GO:0071306","cellular response to vitamin E",1,1,0.000194325689856223,0.00525893898173403,"Col1a1"
"GO:0014013","regulation of gliogenesis",148,2,0.000324922801285312,0.00827597487979647,"Mag,Egr2"
"GO:0031644","regulation of nervous system process",169,2,0.000423336754386108,0.00916524073245924,"Mag,Egr2"
"GO:0042552","myelination",200,2,0.000592001408204757,0.0102552168943463,"Mag,Egr2"
"GO:0045597","positive regulation of cell differentiation",1033,3,0.000607179005940858,0.0102552168943463,"Mag,Egr2,Col1a1"
"GO:0007272","ensheathment of neurons",204,2,0.00061578669573442,0.0102552168943463,"Mag,Egr2"
"GO:0008366","axon ensheathment",204,2,0.00061578669573442,0.0102552168943463,"Mag,Egr2"
"GO:0009653","anatomical structure morphogenesis",3026,4,0.000865100516784682,0.0117058913677427,"Mfap5,Mag,Egr2,Col1a1"
"GO:0009612","response to mechanical stimulus",268,2,0.00105871624224533,0.0130978323683494,"Mag,Col1a1"
"GO:0048646","anatomical structure formation involved in morphogenesis",1333,3,0.00128216127244802,0.0142352777171793,"Mag,Egr2,Col1a1"
