"Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"GO:0042552","myelination",200,4,1.12020421497714e-06,0.000157990843443474,"Mbp,Prx,Bcas1,Gjc3"
"GO:0007272","ensheathment of neurons",204,4,1.21220595992436e-06,0.000157990843443474,"Mbp,Prx,Bcas1,Gjc3"
"GO:0008366","axon ensheathment",204,4,1.21220595992436e-06,0.000157990843443474,"Mbp,Prx,Bcas1,Gjc3"
"GO:0050954","sensory perception of mechanical stimulus",319,3,0.000289337474769189,0.0219605159095683,"Mbp,Kcna1,Gjc3"
"GO:0034113","heterotypic cell-cell adhesion",60,2,0.000290153802974266,0.0219605159095683,"Mbp,Ctnna3"
"GO:0032502","developmental process",7236,9,0.000336990013957569,0.0219605159095683,"Mbp,Prx,Kcna1,Bcas1,Shc4,Dusp15,Otud7b,Gjc3,Cebpd"
"GO:0007399","nervous system development",2794,6,0.00046399521333173,0.0259174469161009,"Mbp,Prx,Kcna1,Bcas1,Dusp15,Gjc3"
"GO:0007154","cell communication",7834,9,0.000651019348012835,0.0318185706341273,"Mbp,Ptpdc1,Prx,Kcna1,Shc4,Dusp15,Ctnna3,Otud7b,Gjc3"
"GO:0019233","sensory perception of pain",113,2,0.00102459682938632,0.0443868702104975,"Prx,Kcna1"
"GO:0019226","transmission of nerve impulse",119,2,0.00113521407187973,0.0443868702104975,"Prx,Kcna1"
"GO:0048856","anatomical structure development",6654,8,0.00150924275159545,0.0521965830286395,"Mbp,Prx,Kcna1,Bcas1,Dusp15,Otud7b,Gjc3,Cebpd"
"GO:0007275","multicellular organism development",5197,7,0.00208348477809027,0.0521965830286395,"Mbp,Prx,Kcna1,Bcas1,Dusp15,Otud7b,Gjc3"
"GO:0032501","multicellular organismal process",9056,9,0.00212835616550076,0.0521965830286395,"Mbp,Prx,Kcna1,Bcas1,Dusp15,Ctnna3,Otud7b,Gjc3,Cebpd"
"GO:0006937","regulation of muscle contraction",176,2,0.00245711811414492,0.0527357720341146,"Kcna1,Ctnna3"
"GO:0001508","action potential",194,2,0.00297448095522269,0.0556439085482986,"Kcna1,Ctnna3"
"GO:0048731","system development",4438,6,0.00549168327346,0.0675830527966469,"Mbp,Prx,Kcna1,Bcas1,Dusp15,Gjc3"
"GO:0007605","sensory perception of sound",280,2,0.00608280759701006,0.0675830527966469,"Mbp,Gjc3"
"GO:0090257","regulation of muscle system process",283,2,0.00620974195528671,0.0675830527966469,"Kcna1,Ctnna3"
"GO:0010001","glial cell differentiation",305,2,0.00717766750395271,0.0738544208959344,"Prx,Dusp15"
"GO:0050789","regulation of biological process",13279,10,0.00781680183582879,0.0764092379452264,"Mbp,Ptpdc1,Prx,Kcna1,Shc4,Dusp15,Ctnna3,Otud7b,Gjc3,Cebpd"
"GO:0007600","sensory perception",2064,4,0.00860937022717434,0.0782997087687415,"Mbp,Prx,Kcna1,Gjc3"
