"Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"GO:0032502","developmental process",7236,89,1.15631365497381e-16,3.89562070360676e-13,"Tagln,S100b,Igfbp7,Mgp,Aqp1,Metrn,Crlf1,Mdk,Mfap5,Slc2a1,Cxcl14,Acta2,Col14a1,Gfra3,Pcsk2,Hspb6,Gas6,Crim1,Tnnc1,Reln,Vwf,Gap43,Cav1,Tspan8,Ccdc3,Ehd2,Kcnj10,Pld4,Nbl1,Cldn5,Cnn2,Cyp26b1,Mmp15,Apc2,Ephx1,Sema7a,Cpe,Serpine2,Myoc,Egfl7,Frzb,Igfbp2,Ntrk2,Mustn1,Rap1gap,Lrrtm1,Cntn2,Sdk2,Ppl,Comp,Plvap,Smoc2,Astn2,Cx3cr1,St8sia6,Adamtsl2,Fabp4,Nefl,Krt19,Tll2,Kcna2,Insc,Fhl2,Ptn,Trem2,Rbp1,Cit,Faim2,Clec3b,Mlph,Tubb3,Smoc1,Myrf,Mag,Btc,Serpina5,Adm,Ptprz1,Fbn2,Spry4,Inpp5f,Efhd1,Igsf9b,Gdf11,Scin,Cdh5,Draxin,Grin2b,Robo4"
"GO:0007275","multicellular organism development",5197,73,8.48942296211826e-16,9.76316482854175e-13,"S100b,Igfbp7,Mgp,Aqp1,Metrn,Crlf1,Mdk,Mfap5,Slc2a1,Acta2,Col14a1,Gfra3,Pcsk2,Hspb6,Gas6,Tnnc1,Reln,Vwf,Gap43,Cav1,Kcnj10,Nbl1,Cldn5,Cyp26b1,Mmp15,Apc2,Ephx1,Sema7a,Cpe,Serpine2,Myoc,Egfl7,Frzb,Ntrk2,Mustn1,Rap1gap,Lrrtm1,Cntn2,Sdk2,Comp,Smoc2,Astn2,Cx3cr1,St8sia6,Adamtsl2,Nefl,Krt19,Tll2,Kcna2,Insc,Fhl2,Ptn,Trem2,Rbp1,Cit,Faim2,Clec3b,Tubb3,Smoc1,Myrf,Mag,Adm,Ptprz1,Fbn2,Inpp5f,Efhd1,Igsf9b,Gdf11,Scin,Cdh5,Draxin,Grin2b,Robo4"
"GO:0048731","system development",4438,67,8.69382442434706e-16,9.76316482854175e-13,"S100b,Igfbp7,Mgp,Aqp1,Metrn,Crlf1,Mdk,Mfap5,Slc2a1,Acta2,Col14a1,Gfra3,Pcsk2,Hspb6,Gas6,Tnnc1,Reln,Vwf,Gap43,Cav1,Kcnj10,Nbl1,Cldn5,Cyp26b1,Apc2,Ephx1,Sema7a,Cpe,Serpine2,Myoc,Egfl7,Frzb,Ntrk2,Mustn1,Rap1gap,Lrrtm1,Cntn2,Sdk2,Comp,Smoc2,Astn2,Cx3cr1,Adamtsl2,Nefl,Kcna2,Insc,Fhl2,Ptn,Trem2,Cit,Faim2,Clec3b,Tubb3,Smoc1,Myrf,Mag,Adm,Ptprz1,Fbn2,Inpp5f,Efhd1,Igsf9b,Gdf11,Scin,Cdh5,Draxin,Robo4"
"GO:0032501","multicellular organismal process",9056,96,5.02760094408761e-14,4.23449689515779e-11,"S100b,Ptgds,Igfbp7,Mgp,Aqp1,Metrn,Crlf1,Mdk,Mfap5,Slc2a1,Acta2,Col14a1,Gfra3,Pcsk2,Hspb6,Gas6,H2-Eb1,Crim1,Tnnc1,Reln,Vwf,Gap43,Cav1,Tspan8,Cfhr1,Kcnj10,Pld4,Nbl1,Cldn5,Marco,Cyp26b1,Mmp15,Lrat,Tril,Apc2,Ephx1,Sema7a,Cpe,Serpine2,Myoc,Slc2a5,Egfl7,Frzb,Igfbp2,Ntrk2,Mustn1,Rap1gap,Lrrtm1,Cntn2,B3gat1,Sdk2,Ppl,Ces1d,Comp,Plvap,Smoc2,Astn2,Cx3cr1,St8sia6,Adamtsl2,Fabp4,Prap1,Nefl,Krt19,Tll2,Kcna2,Insc,Fhl2,Ptn,Trem2,Rbp1,Cit,Faim2,Clec3b,Tubb3,Smoc1,Myrf,Mag,Btc,Serpina5,Adm,Ptprz1,Fbn2,Inpp5f,Efhd1,Igsf9b,Gdf11,Scin,Kcnab1,Cdh5,Draxin,Ptges,Grin2b,Robo4,Aoc3,Tmtc4"
"GO:0048856","anatomical structure development",6654,80,9.52847406009393e-14,6.42028582169129e-11,"Tagln,S100b,Igfbp7,Mgp,Aqp1,Metrn,Crlf1,Mdk,Mfap5,Slc2a1,Cxcl14,Acta2,Col14a1,Gfra3,Pcsk2,Hspb6,Gas6,Tnnc1,Reln,Vwf,Gap43,Cav1,Ehd2,Kcnj10,Pld4,Nbl1,Cldn5,Cnn2,Cyp26b1,Mmp15,Apc2,Ephx1,Sema7a,Cpe,Serpine2,Myoc,Egfl7,Frzb,Ntrk2,Mustn1,Rap1gap,Lrrtm1,Cntn2,Sdk2,Ppl,Comp,Smoc2,Astn2,Cx3cr1,St8sia6,Adamtsl2,Nefl,Krt19,Tll2,Kcna2,Insc,Fhl2,Ptn,Trem2,Rbp1,Cit,Faim2,Clec3b,Tubb3,Smoc1,Myrf,Mag,Adm,Ptprz1,Fbn2,Spry4,Inpp5f,Efhd1,Igsf9b,Gdf11,Scin,Cdh5,Draxin,Grin2b,Robo4"
"GO:0030154","cell differentiation",5107,68,2.70723055089738e-13,1.31565775288194e-10,"Tagln,S100b,Mgp,Metrn,Mdk,Mfap5,Cxcl14,Acta2,Col14a1,Gfra3,Gas6,Crim1,Reln,Gap43,Cav1,Ccdc3,Ehd2,Kcnj10,Pld4,Nbl1,Cldn5,Cnn2,Cyp26b1,Mmp15,Apc2,Sema7a,Cpe,Serpine2,Myoc,Egfl7,Frzb,Igfbp2,Ntrk2,Mustn1,Rap1gap,Cntn2,Sdk2,Ppl,Comp,Astn2,Cx3cr1,Fabp4,Nefl,Krt19,Tll2,Insc,Fhl2,Ptn,Trem2,Rbp1,Cit,Faim2,Mlph,Tubb3,Smoc1,Myrf,Mag,Btc,Adm,Ptprz1,Fbn2,Inpp5f,Efhd1,Gdf11,Scin,Cdh5,Draxin,Robo4"
"GO:0048869","cellular developmental process",5108,68,2.73363142480665e-13,1.31565775288194e-10,"Tagln,S100b,Mgp,Metrn,Mdk,Mfap5,Cxcl14,Acta2,Col14a1,Gfra3,Gas6,Crim1,Reln,Gap43,Cav1,Ccdc3,Ehd2,Kcnj10,Pld4,Nbl1,Cldn5,Cnn2,Cyp26b1,Mmp15,Apc2,Sema7a,Cpe,Serpine2,Myoc,Egfl7,Frzb,Igfbp2,Ntrk2,Mustn1,Rap1gap,Cntn2,Sdk2,Ppl,Comp,Astn2,Cx3cr1,Fabp4,Nefl,Krt19,Tll2,Insc,Fhl2,Ptn,Trem2,Rbp1,Cit,Faim2,Mlph,Tubb3,Smoc1,Myrf,Mag,Btc,Adm,Ptprz1,Fbn2,Inpp5f,Efhd1,Gdf11,Scin,Cdh5,Draxin,Robo4"
"GO:0050793","regulation of developmental process",2829,48,1.13858003385865e-12,4.79484516758724e-10,"S100b,Mgp,Aqp1,Metrn,Mdk,Cxcl14,Col14a1,Hspb6,Gas6,Crim1,Reln,Cav1,Ccdc3,Ehd2,Nbl1,Cldn5,Cyp26b1,Sema7a,Cpe,Serpine2,Frzb,Igfbp2,Ntrk2,Mustn1,Rap1gap,Lrrtm1,Cntn2,Comp,Smoc2,Cx3cr1,Nefl,Tll2,Ptn,Trem2,Rbp1,Cit,Smoc1,Myrf,Mag,Btc,Adm,Ptprz1,Fbn2,Inpp5f,Gdf11,Scin,Cdh5,Draxin"
"GO:0009653","anatomical structure morphogenesis",3026,49,3.38722560200973e-12,1.26795145035231e-09,"S100b,Igfbp7,Mgp,Aqp1,Metrn,Mdk,Mfap5,Acta2,Gfra3,Hspb6,Tnnc1,Reln,Gap43,Cav1,Ehd2,Nbl1,Cldn5,Cyp26b1,Mmp15,Sema7a,Cpe,Serpine2,Egfl7,Frzb,Ntrk2,Mustn1,Cntn2,Sdk2,Comp,Smoc2,Astn2,Cx3cr1,Nefl,Krt19,Kcna2,Fhl2,Ptn,Trem2,Cit,Faim2,Tubb3,Mag,Adm,Ptprz1,Fbn2,Gdf11,Cdh5,Draxin,Robo4"
"GO:0045595","regulation of cell differentiation",1809,37,4.7198674889186e-12,1.59012335701668e-09,"S100b,Metrn,Mdk,Cxcl14,Gas6,Crim1,Reln,Cav1,Ccdc3,Nbl1,Cldn5,Cyp26b1,Sema7a,Serpine2,Frzb,Igfbp2,Ntrk2,Mustn1,Rap1gap,Cntn2,Cx3cr1,Nefl,Ptn,Trem2,Rbp1,Cit,Smoc1,Myrf,Mag,Btc,Adm,Ptprz1,Fbn2,Gdf11,Scin,Cdh5,Draxin"
"GO:0048583","regulation of response to stimulus",4311,59,9.45637577641905e-12,2.89622999915962e-09,"S100b,Igfbp7,Mdk,Cxcl14,Acta2,Cfd,Gas6,H2-Eb1,Crim1,Tnnc1,Reln,Vwf,Cav1,Tspan8,Cfhr1,Ccdc3,Scube1,Nbl1,Marco,Cyp26b1,Tril,Apc2,Sema7a,Cpe,Serpine2,Myoc,Egfl7,Frzb,Igfbp2,Ntrk2,Rap1gap,Cntn2,Arhgef16,Ppl,Smoc2,Cx3cr1,Tmem132a,Adamtsl2,Fabp4,Tle2,Prap1,Fhl2,Ptn,Trem2,Cit,Faim2,Adm,Chp2,Fbn2,Spry4,Inpp5f,Efhd1,Igsf9b,Gdf11,Cdh5,Draxin,Ptges,Grin2b,Aoc3"
"GO:0016477","cell migration",1685,35,1.33944147685788e-11,3.76048194627849e-09,"Aqp1,Mdk,Cxcl14,Acta2,Gfra3,Gas6,Reln,Podn,Cav1,Sdc3,Tns1,Nbl1,Cldn5,Cnn2,Ggt5,Apc2,Sema7a,Cpe,Myoc,Egfl7,Ntrk2,Cntn2,Arhgef16,Plvap,Smoc2,Astn2,Cx3cr1,Synpo2,Ptn,Trem2,Ptprz1,Fbn2,Cdh5,Robo4,Aoc3"
"GO:0051239","regulation of multicellular organismal process",3381,51,1.46678355307946e-11,3.80122599255747e-09,"S100b,Ptgds,Mgp,Aqp1,Metrn,Mdk,Acta2,Col14a1,Hspb6,Gas6,H2-Eb1,Tnnc1,Reln,Vwf,Cav1,Tspan8,Pld4,Cldn5,Cyp26b1,Tril,Sema7a,Cpe,Serpine2,Frzb,Igfbp2,Ntrk2,Mustn1,Rap1gap,Lrrtm1,Comp,Smoc2,Cx3cr1,Fabp4,Prap1,Nefl,Kcna2,Ptn,Trem2,Rbp1,Cit,Myrf,Mag,Adm,Ptprz1,Fbn2,Igsf9b,Scin,Cdh5,Draxin,Ptges,Grin2b"
"GO:0050896","response to stimulus",10946,102,2.09132805481382e-11,5.03263158333412e-09,"S100b,Rnase1,Ptgds,Igfbp7,Prelp,Gpx3,Aqp1,Metrn,Crlf1,Mdk,Slc2a1,Cxcl14,Acta2,Cfd,Gfra3,Hspb6,Gas6,H2-Eb1,Crim1,Tnnc1,Reln,Vwf,Fbxo2,Gap43,Cav1,Tspan8,Cfhr1,Crip1,Ccdc3,Kcnj10,Scube1,Pld4,Nbl1,Cldn5,Cnn2,Grik3,Marco,Cyp26b1,Mmp15,Lrat,Tril,Ggt5,Apc2,Ephx1,Sema7a,Cpe,Serpine2,Myoc,Slc2a5,Egfl7,Frzb,Igfbp2,Ntrk2,Rap1gap,Cntn2,B3gat1,Arhgef16,Ppl,Ces1d,Tpsb2,Comp,Plvap,Smoc2,Cx3cr1,Tmem132a,Adamtsl2,Fabp4,Tle2,Prap1,Nefl,Krt19,Fhl2,Ptn,Slpi,Trem2,Rbp1,Cit,Mrgprf,Faim2,Tubb3,Gstt2,Myrf,Mag,Btc,Adm,Ptprz1,Chp2,Fbn2,Saa1,Spry4,Inpp5f,Wfdc2,Efhd1,Igsf9b,Gdf11,Cdh5,Draxin,Ptges,Grin2b,Aoc3,Haghl,Tmtc4"
"GO:2000026","regulation of multicellular organismal development",1641,34,3.00987384820403e-11,6.76017666306625e-09,"S100b,Mgp,Aqp1,Metrn,Mdk,Col14a1,Hspb6,Gas6,Reln,Cav1,Cldn5,Cyp26b1,Sema7a,Serpine2,Frzb,Ntrk2,Mustn1,Lrrtm1,Comp,Smoc2,Cx3cr1,Nefl,Ptn,Trem2,Rbp1,Cit,Myrf,Mag,Adm,Ptprz1,Fbn2,Scin,Cdh5,Draxin"
"GO:0065007","biological regulation",13697,116,3.53575334428238e-11,7.44497063555458e-09,"S100b,Ptgds,Igfbp7,Mgp,Aqp1,Metrn,Crlf1,Mdk,Cxcl14,Acta2,Cfd,Col14a1,Gfra3,Pcsk2,Hspb6,Gas6,H2-Eb1,Crim1,Tnnc1,Reln,Vwf,Fbxo2,Podn,Gap43,Rps26,Cav1,Tspan8,Sdc3,Cfhr1,Crip1,Ccdc3,Ehd2,Kcnj10,Scube1,Pld4,Nbl1,Cldn5,Cnn2,Grik3,Marco,Cyp26b1,Lrat,Tril,Apc2,Sema7a,Kank4,Cpe,Serpine2,Myoc,Slc2a5,Egfl7,Frzb,Igfbp2,Ntrk2,Mustn1,Rap1gap,Lrrtm1,Cntn2,Arhgef16,Ppl,Ces1d,Comp,Plvap,Smoc2,Astn2,Cx3cr1,Tmem132a,Adamtsl2,Fabp4,Tle2,Synpo2,Prap1,Nkain2,Nefl,Krt19,Tll2,Kcna2,Insc,Fhl2,Ptn,Slpi,Trem2,Rbp1,Fxyd3,Atp10b,Cit,Mrgprf,Faim2,Clec3b,Tubb3,Smoc1,Myrf,Mag,Btc,Serpina5,Adm,Ptprz1,Chp2,Fbn2,Spry4,Inpp5f,Efhd1,Igsf9b,Gdf11,Scin,Kcnab1,Cdh5,Glis3,Draxin,Ptges,Grin2b,Robo4,Trim9,Shisa9,Aoc3,Tmtc4"
