"Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"GO:0048731","system development",4438,15,1.97813584545436e-06,0.00163594306797913,"Anxa3,Col1a2,Spp1,Zdhhc2,Vstm4,Nav1,Ppp1r9a,Sema3g,Col1a1,Rock2,Nfasc,Dbn1,Plk5,Sirt2,Cc2d1a"
"GO:0098974","postsynaptic actin cytoskeleton organization",27,3,2.33372762907152e-06,0.00163594306797913,"Ppp1r9a,Rock2,Dbn1"
"GO:0099188","postsynaptic cytoskeleton organization",33,3,4.33638106948563e-06,0.00202653541980628,"Ppp1r9a,Rock2,Dbn1"
"GO:0099173","postsynapse organization",328,5,1.40687065297877e-05,0.0036365930289684,"Zdhhc2,Ppp1r9a,Rock2,Dbn1,Cc2d1a"
"GO:0007275","multicellular organism development",5197,15,1.52042656698165e-05,0.0036365930289684,"Anxa3,Col1a2,Spp1,Zdhhc2,Vstm4,Nav1,Ppp1r9a,Sema3g,Col1a1,Rock2,Nfasc,Dbn1,Plk5,Sirt2,Cc2d1a"
"GO:0034329","cell junction assembly",579,6,1.55631656018619e-05,0.0036365930289684,"Zdhhc2,Ppp1r9a,Tesk2,Rock2,Nfasc,Cc2d1a"
"GO:0034330","cell junction organization",988,7,3.15574849615703e-05,0.00608539421021967,"Zdhhc2,Ppp1r9a,Tesk2,Rock2,Nfasc,Dbn1,Cc2d1a"
"GO:0030199","collagen fibril organization",67,3,3.72534050861639e-05,0.00608539421021967,"Col1a2,Col7a1,Col1a1"
"GO:0048813","dendrite morphogenesis",201,4,4.02032855875057e-05,0.00608539421021967,"Ppp1r9a,Rock2,Dbn1,Cc2d1a"
"GO:0050808","synapse organization",705,6,4.69984108130532e-05,0.00608539421021967,"Zdhhc2,Ppp1r9a,Rock2,Nfasc,Dbn1,Cc2d1a"
"GO:0048667","cell morphogenesis involved in neuron differentiation",707,6,4.77456036465167e-05,0.00608539421021967,"Ppp1r9a,Sema3g,Rock2,Nfasc,Dbn1,Cc2d1a"
"GO:0043589","skin morphogenesis",13,2,7.0232127901032e-05,0.00794791359388811,"Col1a2,Col1a1"
"GO:0048812","neuron projection morphogenesis",766,6,7.44795163130518e-05,0.00794791359388811,"Ppp1r9a,Sema3g,Rock2,Nfasc,Dbn1,Cc2d1a"
"GO:0120039","plasma membrane bounded cell projection morphogenesis",782,6,8.34854983228285e-05,0.00794791359388811,"Ppp1r9a,Sema3g,Rock2,Nfasc,Dbn1,Cc2d1a"
"GO:0048858","cell projection morphogenesis",789,6,8.76902658177959e-05,0.00794791359388811,"Ppp1r9a,Sema3g,Rock2,Nfasc,Dbn1,Cc2d1a"
"GO:0022008","neurogenesis",2099,9,9.62011603583374e-05,0.00794791359388811,"Nav1,Ppp1r9a,Sema3g,Rock2,Nfasc,Dbn1,Plk5,Sirt2,Cc2d1a"
"GO:0010647","positive regulation of cell communication",2115,9,0.000102041686654769,0.00794791359388811,"Spop,Spp1,Zdhhc2,Ppp1r9a,Cacnb3,Col1a1,Rock2,Dbn1,Cc2d1a"
"GO:0023056","positive regulation of signaling",2115,9,0.000102041686654769,0.00794791359388811,"Spop,Spp1,Zdhhc2,Ppp1r9a,Cacnb3,Col1a1,Rock2,Dbn1,Cc2d1a"
"GO:0051641","cellular localization",2691,10,0.000114373068558593,0.00827231314968823,"Sptbn5,Anxa3,Zdhhc2,Ppp1r9a,Cacnb3,Slc7a2,Rock2,Nfasc,Dbn1,Sirt2"
"GO:0072657","protein localization to membrane",513,5,0.000118007320252329,0.00827231314968823,"Zdhhc2,Cacnb3,Rock2,Nfasc,Dbn1"
"GO:0031175","neuron projection development",1233,7,0.000128073057115746,0.00855040124172743,"Ppp1r9a,Sema3g,Rock2,Nfasc,Dbn1,Plk5,Cc2d1a"
"GO:0016043","cellular component organization",7913,17,0.000137963222534095,0.00879201990876368,"Sptbn5,Col1a2,Eps8l1,Col7a1,Zdhhc2,Nav1,Ppp1r9a,Etnppl,Sema3g,Col1a1,Tesk2,Rock2,Nfasc,Dbn1,Plk5,Sirt2,Cc2d1a"
"GO:0007399","nervous system development",2794,10,0.000156985418727214,0.00932096655915229,"Zdhhc2,Nav1,Ppp1r9a,Sema3g,Rock2,Nfasc,Dbn1,Plk5,Sirt2,Cc2d1a"
"GO:0071559","response to transforming growth factor beta",296,4,0.000179417730780448,0.00932096655915229,"Col1a2,Col1a1,Rock2,Dbn1"
"GO:0032231","regulation of actin filament bundle assembly",117,3,0.000195911259223046,0.00932096655915229,"Ppp1r9a,Rock2,Dbn1"
"GO:0071840","cellular component organization or biogenesis",8121,17,0.000196996527633254,0.00932096655915229,"Sptbn5,Col1a2,Eps8l1,Col7a1,Zdhhc2,Nav1,Ppp1r9a,Etnppl,Sema3g,Col1a1,Tesk2,Rock2,Nfasc,Dbn1,Plk5,Sirt2,Cc2d1a"
"GO:0032502","developmental process",7236,16,0.000198571821032056,0.00932096655915229,"Anxa3,Col1a2,Spp1,Zdhhc2,Vstm4,Nav1,Ppp1r9a,Sema3g,Col1a1,Tesk2,Rock2,Nfasc,Dbn1,Plk5,Sirt2,Cc2d1a"
"GO:0065008","regulation of biological quality",3488,11,0.000198604432030991,0.00932096655915229,"Col1a2,Spp1,Zdhhc2,Vstm4,Ppp1r9a,Sema3g,Cacnb3,Rock2,Dbn1,Sirt2,Cc2d1a"
"GO:0048522","positive regulation of cellular process",6410,15,0.000204143149674096,0.00932096655915229,"Anxa3,Spop,Spp1,Eps8l1,Zdhhc2,Ppp1r9a,Fntb,Sema3g,Cacnb3,Col1a1,Rock2,Dbn1,Plk5,Sirt2,Cc2d1a"
"GO:0051130","positive regulation of cellular component organization",1331,7,0.000205887791027493,0.00932096655915229,"Eps8l1,Zdhhc2,Ppp1r9a,Rock2,Dbn1,Plk5,Sirt2"
"GO:0048699","generation of neurons",1806,8,0.00021265881919515,0.00932096655915229,"Nav1,Ppp1r9a,Sema3g,Rock2,Nfasc,Dbn1,Plk5,Cc2d1a"
"GO:0120036","plasma membrane bounded cell projection organization",1809,8,0.00021510834026998,0.00932096655915229,"Eps8l1,Ppp1r9a,Sema3g,Rock2,Nfasc,Dbn1,Plk5,Cc2d1a"
"GO:0072659","protein localization to plasma membrane",312,4,0.000219395075928692,0.00932096655915229,"Zdhhc2,Cacnb3,Rock2,Nfasc"
"GO:0090066","regulation of anatomical structure size",598,5,0.000240952910463959,0.00993576413148443,"Vstm4,Ppp1r9a,Sema3g,Rock2,Dbn1"
"GO:0030030","cell projection organization",1854,8,0.000254755656271953,0.0102047837169508,"Eps8l1,Ppp1r9a,Sema3g,Rock2,Nfasc,Dbn1,Plk5,Cc2d1a"
"GO:0060079","excitatory postsynaptic potential",131,3,0.00027329213352429,0.0106432103111404,"Ppp1r9a,Cacnb3,Dbn1"
"GO:0016358","dendrite development",334,4,0.000284379836939899,0.0107756900375605,"Ppp1r9a,Rock2,Dbn1,Cc2d1a"
"GO:0048666","neuron development",1416,7,0.000301215647043302,0.0109634703624706,"Ppp1r9a,Sema3g,Rock2,Nfasc,Dbn1,Plk5,Cc2d1a"
"GO:0009653","anatomical structure morphogenesis",3026,10,0.00030497528112436,0.0109634703624706,"Anxa3,Col1a2,Vstm4,Ppp1r9a,Sema3g,Col1a1,Rock2,Nfasc,Dbn1,Cc2d1a"
"GO:0048856","anatomical structure development",6654,15,0.00031894373229975,0.0111789778171063,"Anxa3,Col1a2,Spp1,Zdhhc2,Vstm4,Nav1,Ppp1r9a,Sema3g,Col1a1,Rock2,Nfasc,Dbn1,Plk5,Sirt2,Cc2d1a"
"GO:0099565","chemical synaptic transmission, postsynaptic",146,3,0.000375607084049395,0.012843930044811,"Ppp1r9a,Cacnb3,Dbn1"
"GO:0007266","Rho protein signal transduction",149,3,0.0003986404575876,0.0133069981318527,"Col1a2,Eps8l1,Rock2"
"GO:0044057","regulation of system process",672,5,0.000412163145042574,0.0134384355662718,"Spp1,Cacnb3,Rock2,Dbn1,Cc2d1a"
"GO:0048518","positive regulation of biological process",6819,15,0.000426025595376583,0.0135747246526811,"Anxa3,Spop,Spp1,Eps8l1,Zdhhc2,Ppp1r9a,Fntb,Sema3g,Cacnb3,Col1a1,Rock2,Dbn1,Plk5,Sirt2,Cc2d1a"
"GO:0031589","cell-substrate adhesion",383,4,0.000477300066081424,0.0145990654218251,"Spp1,Col1a1,Tesk2,Dbn1"
