"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010001","glial cell differentiation","15/149","305/25730",0.0491803278688525,8.49268346352734,10.0462192832186,3.1938140551098e-10,8.20171449352196e-07,6.34392328630757e-07,"S100b/Metrn/Mdk/Reln/Gap43/Kcnj10/Serpine2/Myoc/Ntrk2/Cntn2/Ptn/Trem2/Myrf/Mag/Ptprz1",15
"GO:0042063","gliogenesis","16/149","415/25730",0.0385542168674699,6.65771812080537,8.86792920858692,2.72687103970794e-09,3.501302414985e-06,2.70821350101521e-06,"S100b/Metrn/Mdk/Reln/Gap43/Kcnj10/Serpine2/Myoc/Ntrk2/Cntn2/Cx3cr1/Ptn/Trem2/Myrf/Mag/Ptprz1",16
"GO:0009612","response to mechanical stimulus","12/149","268/25730",0.0447761194029851,7.73214464589803,8.45513230038992,5.71394979407085e-08,4.89114102372465e-05,3.78323623207428e-05,"Aqp1/Txnip/Mdk/Slc2a1/Gap43/Cav1/Cnn2/Serpine2/Igfbp2/Ptn/Mag/Grin2b",12
"GO:0045685","regulation of glial cell differentiation","8/149","99/25730",0.0808080808080808,13.9543081824961,9.85586793593924,1.14851498023065e-07,7.37346617308075e-05,5.70328359919798e-05,"Mdk/Serpine2/Cntn2/Ptn/Trem2/Myrf/Mag/Ptprz1",8
"GO:0050767","regulation of neurogenesis","15/149","483/25730",0.031055900621118,5.36287465088165,7.38732557484017,1.4957763859116e-07,7.68230751804197e-05,5.94216850571618e-05,"Metrn/Mdk/Reln/Sema7a/Serpine2/Ntrk2/Cx3cr1/Nefl/Ptn/Trem2/Cit/Myrf/Mag/Ptprz1/Draxin",15
"GO:0042552","myelination","10/149","200/25730",0.05,8.63422818791946,8.27181011203975,2.74986601993912e-07,0.00010598768037192,8.19801413599822e-05,"S100b/Kcnj10/Cldn5/Myoc/Ntrk2/Cntn2/Ptn/Myrf/Mag/Ptprz1",10
"GO:0007272","ensheathment of neurons","10/149","204/25730",0.0490196078431373,8.46492959599947,8.16949565672944,3.30179689632149e-07,0.00010598768037192,8.19801413599822e-05,"S100b/Kcnj10/Cldn5/Myoc/Ntrk2/Cntn2/Ptn/Myrf/Mag/Ptprz1",10
"GO:0008366","axon ensheathment","10/149","204/25730",0.0490196078431373,8.46492959599947,8.16949565672944,3.30179689632149e-07,0.00010598768037192,8.19801413599822e-05,"S100b/Kcnj10/Cldn5/Myoc/Ntrk2/Cntn2/Ptn/Myrf/Mag/Ptprz1",10
"GO:0050769","positive regulation of neurogenesis","12/149","324/25730",0.037037037037037,6.39572458364405,7.45933240503383,4.41410419296225e-07,0.000125949106305856,9.74200539429212e-05,"Metrn/Mdk/Reln/Sema7a/Serpine2/Ntrk2/Cx3cr1/Nefl/Ptn/Myrf/Mag/Ptprz1",12
"GO:0051962","positive regulation of nervous system development","13/149","392/25730",0.0331632653061225,5.72678400219148,7.19728090823685,5.04122029718858e-07,0.00012823907013176,9.91913122391501e-05,"Metrn/Mdk/Reln/Sema7a/Serpine2/Ntrk2/Lrrtm1/Cx3cr1/Nefl/Ptn/Myrf/Mag/Ptprz1",13
"GO:0051402","neuron apoptotic process","13/149","395/25730",0.0329113924050633,5.68328944014952,7.15871250676221,5.4931065866408e-07,0.00012823907013176,9.91913122391501e-05,"Crlf1/Mdk/Cpe/Ntrk2/Cx3cr1/Nefl/Trem2/Cit/Faim2/Mag/Ptprz1/Draxin/Tmtc4",13
"GO:0043524","negative regulation of neuron apoptotic process","10/149","225/25730",0.0444444444444444,7.67486950037286,7.67480240965791,8.10317243691369e-07,0.000173407890149953,0.000134128827968914,"Crlf1/Mdk/Cpe/Ntrk2/Cx3cr1/Nefl/Faim2/Mag/Ptprz1/Draxin",10
"GO:0045687","positive regulation of glial cell differentiation","6/149","58/25730",0.103448275862069,17.8639203887989,9.81269989540274,1.07640654982551e-06,0.000212631693842454,0.000164467948139331,"Mdk/Serpine2/Ptn/Myrf/Mag/Ptprz1",6
"GO:0048709","oligodendrocyte differentiation","8/149","135/25730",0.0592592592592593,10.2331593338305,8.20890966047087,1.24699773067221e-06,0.000228735012311874,0.000176923662990862,"Mdk/Kcnj10/Ntrk2/Cntn2/Ptn/Myrf/Mag/Ptprz1",8
"GO:0007611","learning or memory","12/149","369/25730",0.032520325203252,5.61575817100453,6.81583191960307,1.72674954957371e-06,0.00029561952288702,0.000228657992985656,"S100b/Mdk/Reln/Ntrk2/Cntn2/B3gat1/Cx3cr1/Ptn/Trem2/Ptprz1/Kcnab1/Grin2b",12
"GO:0002685","regulation of leukocyte migration","10/149","249/25730",0.0401606425702811,6.93512304250559,7.18235712104213,2.02396791764598e-06,0.000324846850782179,0.000251264964513024,"Mdk/Cxcl14/Gas6/Nbl1/Cnn2/Plvap/Cx3cr1/Ptn/Trem2/Aoc3",10
"GO:0021782","glial cell development","8/149","150/25730",0.0533333333333333,9.20984340044743,7.69619497381504,2.75151859699793e-06,0.000415641162181805,0.000321493225543969,"Mdk/Kcnj10/Myoc/Ntrk2/Cntn2/Trem2/Myrf/Mag",8
"GO:0021537","telencephalon development","11/149","323/25730",0.0340557275541796,5.88089845616806,6.73705617729007,3.04999101548181e-06,0.000435132051542071,0.000336569183989133,"Aqp1/Mdk/Slc2a1/Reln/Sema7a/Ntrk2/Cntn2/Cx3cr1/Nefl/Kcna2/Draxin",11
"GO:0043523","regulation of neuron apoptotic process","11/149","336/25730",0.0327380952380952,5.65336369447108,6.55264902949325,4.44547932461122e-06,0.000600841626610612,0.000464743461802847,"Crlf1/Mdk/Cpe/Ntrk2/Cx3cr1/Nefl/Trem2/Faim2/Mag/Ptprz1/Draxin",11
"GO:0051384","response to glucocorticoid","8/149","162/25730",0.0493827160493827,8.52763277819206,7.33522402163876,4.87334262729928e-06,0.000625737193345227,0.000483999870405986,"S100b/Ptgds/Aqp1/Mdk/Ephx1/Cpe/Igfbp2/Nefl",8
"GO:0031102","neuron projection regeneration","6/149","76/25730",0.0789473684210526,13.6329918756623,8.41746456124143,5.33693727416867e-06,0.000652631186669768,0.000504802036910089,"Gap43/Nefl/Ptn/Mag/Adm/Inpp5f",6
"GO:0050890","cognition","12/149","415/25730",0.0289156626506024,4.99328859060403,6.25909594200381,5.75064824232717e-06,0.000671257485740735,0.00051920924561107,"S100b/Mdk/Reln/Ntrk2/Cntn2/B3gat1/Cx3cr1/Ptn/Trem2/Ptprz1/Kcnab1/Grin2b",12
