"Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"GO:0048731","system development",4438,90,2.80024412712528e-22,1.08901494103902e-18,"S100b,Mbp,Igfbp7,Mgp,Aqp1,Col1a1,Metrn,Crlf1,Mdk,Mfap5,Slc2a1,Acta2,Thbs1,Col3a1,Col14a1,Gfra3,Sfrp2,Pcsk2,Hspb6,Gas6,Mme,Gpm6a,Tnnc1,Reln,Vwf,Gap43,Tmem59l,Cav1,Fgf1,Kcnj10,Rgcc,Nbl1,Cldn5,Cyp26b1,Apc2,Ephx1,Sema7a,Cpe,Serpine2,Myoc,Egfl7,Frzb,Ntrk2,Mustn1,Rap1gap,Lrrtm1,Cntn2,Sdk2,Fam107a,Comp,Smoc2,Astn2,Cx3cr1,Sorl1,Egr2,Adamtsl2,Nefl,Kcna2,Insc,Fhl2,Ptn,Cldn19,Trem2,Klk6,Tnnt2,S100a1,Cit,Faim2,Clec3b,Tubb3,Smoc1,Myrf,Mag,Adm,Ptprz1,Fbn2,Lrrn1,Tacstd2,Inpp5f,Efhd1,Igsf9b,Gdf11,Scin,Svep1,Cdh5,S100a9,Itgax,Draxin,Dact1,Robo4"
"GO:0032502","developmental process",7236,115,2.80098947141295e-21,4.88894220886053e-18,"Tagln,S100b,Mbp,Igfbp7,Mgp,Aqp1,Txnip,Col1a1,Metrn,Crlf1,Mdk,Mfap5,Slc2a1,Cxcl14,Acta2,Thbs1,Col3a1,Col14a1,Gfra3,Sfrp2,Pcsk2,Hspb6,Gas6,Crim1,Mme,Gpm6a,Tnnc1,Reln,Vwf,Gap43,Tmem59l,Cav1,Tspan8,Ccdc3,Ehd2,Fgf1,Rcan1,Kcnj10,Rgcc,Pld4,Nbl1,Cldn5,Cnn2,Cyp26b1,Mmp15,Apc2,Ephx1,Sema7a,Cpe,Serpine2,Myoc,Egfl7,Frzb,Igfbp2,Ntrk2,Mustn1,Rap1gap,Lrrtm1,Cntn2,Sdk2,Ppl,Fam107a,Comp,Plvap,Smoc2,Astn2,Cx3cr1,Sorl1,Egr2,St8sia6,Adamtsl2,Fabp4,Nefl,Krt19,Tll2,Kcna2,Insc,Fhl2,Ptn,Cldn19,Trem2,Klk6,Rbp1,Tnnt2,S100a1,Cit,Faim2,Clec3b,Mlph,Tubb3,Smoc1,Myrf,Mag,Btc,Serpina5,Adm,Ptprz1,Fbn2,Lrrn1,Tacstd2,Spry4,Inpp5f,Efhd1,Igsf9b,Gdf11,Scin,Svep1,Cdh5,S100a9,Itgax,Draxin,Dact1,Grin2b,Robo4,Rbm11"
"GO:0007275","multicellular organism development",5197,96,3.77136195077953e-21,4.88894220886053e-18,"S100b,Mbp,Igfbp7,Mgp,Aqp1,Col1a1,Metrn,Crlf1,Mdk,Mfap5,Slc2a1,Acta2,Thbs1,Col3a1,Col14a1,Gfra3,Sfrp2,Pcsk2,Hspb6,Gas6,Mme,Gpm6a,Tnnc1,Reln,Vwf,Gap43,Tmem59l,Cav1,Fgf1,Kcnj10,Rgcc,Nbl1,Cldn5,Cyp26b1,Mmp15,Apc2,Ephx1,Sema7a,Cpe,Serpine2,Myoc,Egfl7,Frzb,Ntrk2,Mustn1,Rap1gap,Lrrtm1,Cntn2,Sdk2,Fam107a,Comp,Smoc2,Astn2,Cx3cr1,Sorl1,Egr2,St8sia6,Adamtsl2,Nefl,Krt19,Tll2,Kcna2,Insc,Fhl2,Ptn,Cldn19,Trem2,Klk6,Rbp1,Tnnt2,S100a1,Cit,Faim2,Clec3b,Tubb3,Smoc1,Myrf,Mag,Adm,Ptprz1,Fbn2,Lrrn1,Tacstd2,Inpp5f,Efhd1,Igsf9b,Gdf11,Scin,Svep1,Cdh5,S100a9,Itgax,Draxin,Dact1,Grin2b,Robo4"
"GO:0016477","cell migration",1685,52,1.86087990400973e-19,1.80924048667346e-16,"Aqp1,Col1a1,Mdk,Cxcl14,Acta2,Thbs1,Col3a1,Gfra3,Sfrp2,Gas6,Gpm6a,Reln,Podn,Cav1,Sdc3,Tns1,Fgf1,Rgcc,Nbl1,Cldn5,Cnn2,Ggt5,Apc2,Sema7a,Cpe,Myoc,Egfl7,Ntrk2,Cntn2,Arhgef16,Fam107a,Plvap,Smoc2,Astn2,Cx3cr1,Chst2,Sorl1,Synpo2,Ptn,Cldn19,Trem2,Il17b,Tac1,Ptprz1,Fbn2,Tacstd2,Svep1,Cdh5,S100a9,Itgax,Robo4,Aoc3"
"GO:0032501","multicellular organismal process",9056,125,2.03829587104439e-18,1.41497045240957e-15,"S100b,Mbp,Ptgds,Igfbp7,Mgp,Aqp1,Col1a1,Metrn,Crlf1,Mdk,Mfap5,Slc2a1,Acta2,Thbs1,Col3a1,Col14a1,Gfra3,Sfrp2,Pcsk2,Hspb6,Gas6,H2-Eb1,Crim1,Mme,Gpm6a,Tnnc1,Reln,Vwf,Gap43,Tmem59l,Cav1,Tspan8,Cfhr1,Fgf1,Rcan1,Kcnj10,Rgcc,Pld4,Nbl1,Cldn5,Marco,Cyp26b1,Mmp15,Lrat,Tril,Mlip,Apc2,Ephx1,Sema7a,Cpe,Serpine2,Myoc,Slc2a5,Egfl7,Frzb,Igfbp2,Ntrk2,Mustn1,Rap1gap,Lrrtm1,Cntn2,B3gat1,Sdk2,Ppl,Fam107a,Ces1d,Comp,Plvap,Smoc2,Astn2,Cx3cr1,Sorl1,Egr2,St8sia6,Adamtsl2,Fabp4,Prap1,Nefl,Krt19,Tll2,Kcna2,Insc,Fhl2,Ptn,Cldn19,Trem2,Adam33,Klk6,Il17b,Rbp1,Tnnt2,S100a1,Cit,Faim2,Clec3b,Tubb3,Smoc1,Slc7a2,Myrf,Tac1,Mag,Btc,Serpina5,Adm,Ptprz1,Fbn2,Lrrn1,Tacstd2,Inpp5f,Efhd1,Igsf9b,Gdf11,Scin,Svep1,Kcnab1,Cdh5,S100a9,Itgax,Draxin,Dact1,Ptges,Grin2b,Robo4,Aoc3,Tmtc4"
"GO:0048856","anatomical structure development",6654,105,2.18303489700628e-18,1.41497045240957e-15,"Tagln,S100b,Mbp,Igfbp7,Mgp,Aqp1,Txnip,Col1a1,Metrn,Crlf1,Mdk,Mfap5,Slc2a1,Cxcl14,Acta2,Thbs1,Col3a1,Col14a1,Gfra3,Sfrp2,Pcsk2,Hspb6,Gas6,Mme,Gpm6a,Tnnc1,Reln,Vwf,Gap43,Tmem59l,Cav1,Ehd2,Fgf1,Rcan1,Kcnj10,Rgcc,Pld4,Nbl1,Cldn5,Cnn2,Cyp26b1,Mmp15,Apc2,Ephx1,Sema7a,Cpe,Serpine2,Myoc,Egfl7,Frzb,Ntrk2,Mustn1,Rap1gap,Lrrtm1,Cntn2,Sdk2,Ppl,Fam107a,Comp,Smoc2,Astn2,Cx3cr1,Sorl1,Egr2,St8sia6,Adamtsl2,Nefl,Krt19,Tll2,Kcna2,Insc,Fhl2,Ptn,Cldn19,Trem2,Klk6,Rbp1,Tnnt2,S100a1,Cit,Faim2,Clec3b,Tubb3,Smoc1,Myrf,Mag,Adm,Ptprz1,Fbn2,Lrrn1,Tacstd2,Spry4,Inpp5f,Efhd1,Igsf9b,Gdf11,Scin,Svep1,Cdh5,S100a9,Itgax,Draxin,Dact1,Grin2b,Robo4"
"GO:0051239","regulation of multicellular organismal process",3381,72,3.22695308396326e-18,1.79280293479044e-15,"S100b,Mbp,Ptgds,Mgp,Aqp1,Col1a1,Metrn,Mdk,Acta2,Thbs1,Col14a1,Sfrp2,Hspb6,Gas6,H2-Eb1,Mme,Tnnc1,Reln,Vwf,Cav1,Tspan8,Fgf1,Rgcc,Pld4,Cldn5,Cyp26b1,Tril,Mlip,Sema7a,Cpe,Serpine2,Frzb,Igfbp2,Ntrk2,Mustn1,Rap1gap,Lrrtm1,Comp,Smoc2,Cx3cr1,Sorl1,Egr2,Fabp4,Prap1,Nefl,Kcna2,Ptn,Trem2,Adam33,Il17b,Rbp1,Tnnt2,S100a1,Cit,Slc7a2,Myrf,Tac1,Mag,Adm,Ptprz1,Fbn2,Lrrn1,Tacstd2,Igsf9b,Scin,Svep1,Cdh5,S100a9,Itgax,Draxin,Ptges,Grin2b"
"GO:0040011","locomotion",1360,45,6.45739467254544e-18,3.13910098519115e-15,"Aqp1,Col1a1,Mdk,Cxcl14,Acta2,Thbs1,Col3a1,Sfrp2,Gas6,Reln,Podn,Cav1,Sdc3,Fgf1,Rcan1,Rgcc,Nbl1,Cldn5,Cnn2,Sema7a,Myoc,Egfl7,Arhgef16,Fam107a,Plvap,Smoc2,Cx3cr1,Chst2,Sorl1,Synpo2,Nefl,Ptn,Cldn19,Trem2,Il17b,Tac1,Ptprz1,Fbn2,Tacstd2,Inpp5f,Cdh5,S100a9,Itgax,Robo4,Aoc3"
"GO:0065007","biological regulation",13697,155,3.11716493491751e-17,1.19603520775523e-14,"S100b,Mbp,Ptgds,Igfbp7,Mgp,Aqp1,Txnip,Col1a1,Metrn,Crlf1,Mdk,Cxcl14,Acta2,Thbs1,Cfd,Col3a1,Col14a1,Gfra3,Sfrp2,Pcsk2,Hspb6,Gas6,H2-Eb1,Crim1,Mme,Gpm6a,Tnnc1,Reln,Vwf,Fbxo2,Podn,Gap43,Rps26,Cav1,Tspan8,Sdc3,Cfhr1,Crip1,Ccdc3,Ehd2,Fgf1,Rcan1,Kcnj10,Scube1,Rgcc,Pld4,Nbl1,Cldn5,Cnn2,Grik3,Sv2b,Marco,Cyp26b1,Lrat,Tril,Mlip,C7,Apc2,Sema7a,Kank4,Cpe,Serpine2,Myoc,Slc2a5,Egfl7,Frzb,Igfbp2,Ntrk2,Ptgfr,Mustn1,Rap1gap,Lrrtm1,Cntn2,Arhgef16,Ppl,Fam107a,Ces1d,Comp,Plvap,Smoc2,Astn2,Cx3cr1,Chst2,Sorl1,Egr2,Tmem132a,Adamtsl2,Nnmt,Fabp4,Tle2,Synpo2,Prap1,Nkain2,Nefl,Rnd3,Krt19,Tll2,Kcna2,Insc,Fhl2,Ptn,Cldn19,Slpi,Trem2,Adam33,Klk6,Il17b,Rbp1,Tubb4a,Fxyd3,Tnnt2,S100a1,Atp10b,Cit,Mrgprf,Faim2,Clec3b,Tubb3,Smoc1,Slc7a2,Myrf,Tac1,Mag,Btc,Serpina5,Adm,Ptprz1,Chp2,Fbn2,Lrrn1,Tacstd2,Spry4,Inpp5f,Kcnk5,Efhd1,Igsf9b,Gdf11,Scin,Svep1,Kcnab1,Cdh5,Glis3,S100a9,Itgax,Draxin,Dact1,Ptges,Grin2b,Robo4,Trim9,Shisa9,Rbm11,Aoc3,Dclk3,Tmtc4"
"GO:0030334","regulation of cell migration",1048,39,3.16417537727532e-17,1.19603520775523e-14,"Aqp1,Col1a1,Mdk,Cxcl14,Acta2,Thbs1,Col3a1,Sfrp2,Gas6,Reln,Podn,Cav1,Sdc3,Fgf1,Rgcc,Nbl1,Cldn5,Cnn2,Sema7a,Myoc,Egfl7,Fam107a,Plvap,Smoc2,Cx3cr1,Chst2,Sorl1,Synpo2,Ptn,Cldn19,Trem2,Tac1,Ptprz1,Fbn2,Tacstd2,Cdh5,Itgax,Robo4,Aoc3"
