"gene","n_pathways","n_comparisons","n_celltypes","pathways","comparisons","celltypes","mean_pathway_padj"
"Col1a1",71,2,2,"response to steroid hormone | visual perception | sensory perception of light stimulus | response to vitamin E | sensory perception of sound | collagen-activated tyrosine kinase receptor signaling pathway | skin morphogenesis | bone trabecula formation | sensory perception of mechanical stimulus | negative regulation of cell adhesion | collagen-activated signaling pathway | response to hyperoxia | bone trabecula morphogenesis | cellular response to aldehyde | cellular response to mechanical stimulus | cellular response to external stimulus | response to mechanical stimulus | response to insulin | cellular response to abiotic stimulus | cellular response to environmental stimulus | response to increased oxygen levels | trabecula formation | cellular response to vitamin | tooth mineralization | endochondral ossification | replacement ossification | face morphogenesis | cartilage development involved in endochondral bone morphogenesis | head morphogenesis | cellular response to epidermal growth factor stimulus | cellular response to nutrient | trabecula morphogenesis | response to epidermal growth factor | body morphogenesis | positive regulation of epithelial to mesenchymal transition | face development | cellular response to retinoic acid | negative regulation of cell-substrate adhesion | collagen fibril organization | collagen biosynthetic process | endochondral bone morphogenesis | response to vitamin | response to cAMP | regulation of epithelial to mesenchymal transition | cellular response to fibroblast growth factor stimulus | response to retinoic acid | positive regulation of canonical Wnt signaling pathway | bone morphogenesis | response to fibroblast growth factor | response to hydrogen peroxide | response to estradiol | mesenchymal cell differentiation | mesenchyme development | Wnt signaling pathway | cellular response to glucose stimulus | cellular response to hexose stimulus | cellular response to monosaccharide stimulus | cellular response to carbohydrate stimulus | intracellular glucose homeostasis | response to reactive oxygen species | cartilage development | response to glucose | regulation of canonical Wnt signaling pathway | response to hexose | response to monosaccharide | response to carbohydrate | canonical Wnt signaling pathway | regulation of Wnt signaling pathway | glucose homeostasis | carbohydrate homeostasis | connective tissue development","DREXvsDR, EXvsHFD","mySC, majorSC",0.0355155399504642
"Mag",54,1,2,"positive regulation of myelination | positive regulation of nervous system process | positive regulation of glial cell differentiation | regulation of myelination | positive regulation of gliogenesis | regulation of glial cell differentiation | cellular response to mechanical stimulus | cellular response to external stimulus | regulation of gliogenesis | regulation of nervous system process | myelination | ensheathment of neurons | axon ensheathment | response to mechanical stimulus | glial cell differentiation | positive regulation of neurogenesis | positive regulation of nervous system development | cellular response to abiotic stimulus | cellular response to environmental stimulus | gliogenesis | positive regulation of astrocyte differentiation | regulation of neurogenesis | myelin assembly | central nervous system myelination | axon ensheathment in central nervous system | negative regulation of axon extension | regulation of astrocyte differentiation | oligodendrocyte development | negative regulation of axonogenesis | axon regeneration | neuron projection regeneration | negative regulation of neuron differentiation | response to axon injury | astrocyte differentiation | regulation of axon extension | transmission of nerve impulse | negative regulation of developmental growth | regulation of extent of cell growth | regulation of cell growth | negative regulation of cell growth | negative regulation of growth | axon extension | regulation of axonogenesis | neuron projection extension | regulation of cell size | negative regulation of neuron apoptotic process | regulation of neuron differentiation | developmental growth involved in morphogenesis | developmental cell growth | negative regulation of cell development | regulation of neuron apoptotic process | neuron apoptotic process | regulation of developmental growth | regulation of cellular component size","EXvsHFD","mySC, majorSC",0.0239380225646011
"Egr2",43,1,2,"positive regulation of myelination | positive regulation of nervous system process | positive regulation of glial cell differentiation | regulation of myelination | positive regulation of gliogenesis | regulation of glial cell differentiation | regulation of gliogenesis | regulation of nervous system process | myelination | ensheathment of neurons | axon ensheathment | glial cell differentiation | response to insulin | positive regulation of neurogenesis | facial nerve structural organization | positive regulation of nervous system development | facial nerve development | facial nerve morphogenesis | gliogenesis | cranial nerve structural organization | regulation of neurogenesis | preganglionic parasympathetic fiber development | parasympathetic nervous system development | anatomical structure arrangement | cranial nerve morphogenesis | motor neuron axon guidance | protein sumoylation | autonomic nervous system development | Schwann cell differentiation | cranial nerve development | protein export from nucleus | aorta development | rhythmic behavior | peripheral nervous system development | skeletal muscle cell differentiation | nerve development | peptidyl-lysine modification | segmentation | artery development | hindbrain development | axon guidance | neuron projection guidance | fat cell differentiation","EXvsHFD","mySC, majorSC",0.0249422806255573
"Serpine2",40,1,1,"positive regulation of glial cell differentiation | positive regulation of gliogenesis | positive regulation of neurogenesis | regulation of glial cell differentiation | positive regulation of astrocyte differentiation | positive regulation of nervous system development | regulation of cell growth | regulation of gliogenesis | regulation of neurogenesis | negative regulation of cell growth | regulation of astrocyte differentiation | negative regulation of growth | response to mechanical stimulus | glial cell differentiation | regulation of sodium ion transport | gliogenesis | astrocyte differentiation | nerve development | hindbrain development | cerebellar granular layer morphogenesis | negative regulation of platelet aggregation | insemination | negative regulation of sodium ion transport | sodium ion transport | protein processing | cerebellar granular layer development | negative regulation of homotypic cell-cell adhesion | negative regulation of platelet activation | regulation of timing of cell differentiation | regulation of plasminogen activation | regulation of development, heterochronic | sensory perception of mechanical stimulus | negative regulation of cell adhesion | copulation | negative regulation of protein processing | negative regulation of protein maturation | plasminogen activation | regulation of platelet aggregation | regulation of metal ion transport | innervation","EXvsHFD","majorSC",0.0265631042886377
"Cpe",30,2,1,"response to steroid hormone | response to glucocorticoid | response to corticosteroid | Wnt signaling pathway | response to hydrogen peroxide | cellular response to glucose stimulus | cellular response to hexose stimulus | cellular response to monosaccharide stimulus | cellular response to carbohydrate stimulus | intracellular glucose homeostasis | response to reactive oxygen species | negative regulation of neuron apoptotic process | insulin processing | response to glucose | response to hexose | branching morphogenesis of a nerve | response to monosaccharide | protein processing | negative regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway | response to carbohydrate | peptide catabolic process | regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway | regulation of neuron apoptotic process | glucose homeostasis | cardiac left ventricle morphogenesis | carbohydrate homeostasis | neuron intrinsic apoptotic signaling pathway in response to oxidative stress | insulin metabolic process | neuron apoptotic process | negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway","DREXvsDR, EXvsHFD","majorSC",0.0390655985640982
"Sema7a",22,1,1,"positive regulation of neurogenesis | positive regulation of nervous system development | regulation of cell growth | regulation of neurogenesis | mesenchymal cell differentiation | mesenchyme development | neural crest cell differentiation | regulation of axon extension | regulation of extent of cell growth | axon extension | regulation of axonogenesis | neuron projection extension | regulation of cell size | axon guidance | neuron projection guidance | developmental growth involved in morphogenesis | developmental cell growth | stem cell differentiation | positive regulation of macrophage cytokine production | regulation of developmental growth | regulation of cellular component size | regulation of synapse maturation","EXvsHFD","majorSC",0.0289358406425868
"Frzb",21,1,1,"regulation of cell growth | negative regulation of cell growth | negative regulation of growth | mesenchymal cell differentiation | mesenchyme development | neural crest cell differentiation | Wnt signaling pathway | cartilage development | regulation of canonical Wnt signaling pathway | fat cell differentiation | convergent extension | stem cell differentiation | hepatocyte differentiation | negative regulation of cell development | canonical Wnt signaling pathway | regulation of Wnt signaling pathway | connective tissue development | sensory organ morphogenesis | embryonic organ morphogenesis | cochlea morphogenesis | negative regulation of cartilage development","EXvsHFD","majorSC",0.0322669393791911
"Nbl1",15,2,2,"regulation of neuron differentiation | positive regulation of neuron differentiation | sequestering of extracellular ligand from receptor | determination of dorsal/ventral asymmetry | determination of dorsal identity | extracellular regulation of signal transduction | extracellular negative regulation of signal transduction | negative regulation of cell migration | negative regulation of cell motility | negative regulation of locomotion | negative regulation of leukocyte chemotaxis | regulation of leukocyte migration | regulation of monocyte chemotaxis | negative regulation of mononuclear cell migration | leukocyte migration","DREXvsDR, EXvsHFD","mySC, majorSC",0.0437006805400897
"Mbp",13,1,2,"response to steroid hormone | myelination | ensheathment of neurons | axon ensheathment | negative regulation of cell projection organization | negative regulation of heterotypic cell-cell adhesion | regulation of cell-cell adhesion involved in gastrulation | sensory perception of sound | cell-cell adhesion via plasma-membrane adhesion molecules | cell-cell adhesion involved in gastrulation | sensory perception of mechanical stimulus | positive regulation of chemokine (C-X-C motif) ligand 2 production | negative regulation of cell adhesion","DREXvsDR","mySC, majorSC",0.0419880525966893
"Cldn19",9,1,1,"visual perception | sensory perception of light stimulus | cell-cell adhesion via plasma-membrane adhesion molecules | neuronal action potential propagation | retinal pigment epithelium development | action potential propagation | negative regulation of cell migration | negative regulation of cell motility | negative regulation of locomotion","DREXvsDR","mySC",0.0466070988673067
