"gene","p_val","avg_log2fc","pct.1","pct.2","p_val_adj"
"Aacs",4.25805294352844e-06,0.356231823656544,0.114,0.079,0.0639559552117972
"Aagab",0.000684567152049807,-0.117067404857343,0.189,0.227,1
"Aatk",4.01696385579455e-05,0.182073057396992,0.92,0.89,0.603347971140341
"Abca2",0.000727216307504414,-0.121589961578655,0.347,0.394,1
"Abca3",0.00205853989775805,-0.117449554351407,0.117,0.145,1
"Abca7",4.65245330369219e-07,-0.195167234176098,0.065,0.101,0.00698798486214567
"Abcc5",1.45978884115132e-10,-0.247198295354299,0.491,0.571,2.19260283940929e-06
"Abcg1",0.000794117641502327,-0.12368846678693,0.36,0.447,1
"Abtb2",0.00181515028918562,-0.159519990593087,0.266,0.343,1
"Acap3",0.00249944299706964,-0.136237345984466,0.143,0.173,1
"Acbd4",0.006759768782126,-0.260619907176694,0.124,0.166,1
"Acly",0.00475569945373216,0.259440651176313,0.202,0.177,1
"Acrbp",6.11434839799166e-06,-0.352196285546105,0.112,0.195,0.0918375129378348
"Actg1",0.0046184834237643,-0.170868539839016,0.391,0.456,1
"Adam11",0.00226552390445524,-0.167264246798779,0.443,0.517,1
"Adamts20",1.86655306072288e-09,0.280069920455516,0.527,0.459,2.80356269720576e-05
"Adamts6",0.00825403711255629,0.0736243141592968,0.12,0.077,1
"Adamtsl5",2.12565484400291e-10,-0.237294699459379,0.558,0.628,3.19273357569237e-06
"Adcy1",0.000146123012797247,0.299009150751871,0.758,0.734,1
"Add3",0.00297850282819956,-0.235319668483632,0.331,0.399,1
"Adipor2",0.00161978667084325,-0.161568609900185,0.155,0.221,1
"Adnp",0.000601755263771352,-0.124182254390136,0.103,0.133,1
"Adprh",0.00927950718596052,-0.205607238167128,0.102,0.14,1
"Aebp2",0.00034201457576601,-0.159006121621224,0.118,0.15,1
"Afg3l2",0.0077841099223407,-0.151253879527921,0.205,0.268,1
"Agap1",1.52740654556182e-05,-0.372956888547761,0.29,0.379,0.229416463143385
"Agpat3",0.00855823632548532,-0.148479595875906,0.64,0.703,1
"Ahnak",0.00617493365788302,0.122586922589355,0.921,0.939,1
"Akap8l",8.30435667932362e-07,-0.334780566280532,0.373,0.501,0.0124731437323441
"Akt2",0.00387561068014103,-0.196585568407884,0.192,0.257,1
"Alad",0.00124928151857497,-0.127528304579586,0.217,0.256,1
"Aldh9a1",0.000159994758997837,-0.106995235567482,0.229,0.276,1
"Alyref",0.00394842479728294,-0.0941861441232224,0.064,0.106,1
"Amdhd2",0.00259085857976822,-0.118592869438943,0.103,0.128,1
"Amotl2",0.00161228293880905,-0.112918144266724,0.216,0.253,1
"Amy1",0.00019978366924365,-0.158459609148178,0.203,0.244,1
"Anapc5",0.00699084671646526,-0.123134855669247,0.162,0.216,1
"Angptl4",0.005007260643587,0.214742675046491,0.224,0.2,1
"Ank3",0.00767192998361645,0.109279786987983,0.609,0.599,1
"Ankib1",0.00830283193119952,-0.096811790974089,0.082,0.102,1
"Ankrd10",0.00921196509389276,-0.0766504195836148,0.252,0.317,1
"Ankrd28",0.00145118816742492,-0.101612718918217,0.218,0.257,1
"Ankrd39",0.00409279659089289,-0.0932265282643333,0.079,0.1,1
"Ankrd46",5.44248781112863e-05,-0.15827318383738,0.326,0.435,0.81746166923152
"Anks1",2.28823763714407e-06,-0.181674876756352,0.349,0.415,0.0343693293099039
"Ap2m1",0.00396696249126718,-0.176253470277686,0.099,0.122,1
"Apod",0.000866824731042599,-0.209074786700851,0.295,0.328,1
"Apoe",0.000455975528840579,-0.389493956796304,0.404,0.471,1
"Appbp2",3.69816330358301e-05,-0.186767635002682,0.216,0.262,0.555464128198168
"Arglu1",0.0023492366728489,0.17575685311175,0.625,0.594,1
"Arhgap39",0.000104185088235842,-0.125629630429042,0.521,0.571,1
"Arhgef1",0.00231919276646795,-0.102542921022494,0.314,0.351,1
"Arhgef10",1.26895468790716e-13,-0.260579401905805,0.526,0.616,1.90596994123655e-09
"Arhgef37",7.48449622317205e-08,-0.261971457019892,0.206,0.264,0.00112417133272044
"Arhgef40",0.000104962521922599,0.188304196912179,0.536,0.509,1
"Arid5b",0.000295535505160765,-0.192589383463946,0.084,0.112,1
"Arl13b",0.00589928697827232,-0.0791353663862373,0.105,0.129,1
"Arl8a",0.00775507826535577,-0.101812835350752,0.598,0.668,1
"Armc10",0.00415903107660269,-0.183321355295725,0.09,0.136,1
"Arpc1a",0.0021093693904192,-0.173363125476425,0.087,0.11,1
"Arrb2",8.54412286348573e-07,-0.269295899415535,0.083,0.121,0.0128332725409556
"Arrdc3",0.00113051883734727,-0.186968540332233,0.281,0.362,1
"Art3",5.03143972551939e-10,-0.214049091617625,0.678,0.748,7.55722246773013e-06
"Asah1",0.00719956812793442,-0.106485066631225,0.363,0.431,1
"Ash1l",0.00354247651071358,-0.0898996324599239,0.142,0.17,1
"Aspa",9.88873725074663e-07,-0.237982628890978,0.27,0.33,0.0148528833506214
"Asph",0.00068807107858049,-0.259155081859332,0.245,0.317,1
"Atat1",8.29920033376448e-06,-0.178418536191872,0.154,0.2,0.124653989013143
"Atf3",0.00532943478902654,-0.240701919121733,0.158,0.206,1
"Atg13",0.00222887212728459,-0.083715557544518,0.148,0.212,1
"Atg16l2",0.0016231300667746,-0.0620247775226981,0.093,0.118,1
