"gene","p_val","avg_log2fc","pct.1","pct.2","p_val_adj"
"AW549877",0.004550478528966,0.072961812134573,0.276,0.234,1
"Aacs",6.44576454542861e-05,0.244794636330178,0.114,0.079,0.968153834723378
"Abhd14b",0.000508596828640643,0.0885732167830224,0.272,0.223,1
"Abhd8",0.00803552476782273,-0.123315888014312,0.09,0.137,1
"Abr",0.00654136941284987,0.0879272653185101,0.17,0.14,1
"Abtb2",0.0028907364906389,0.0991997616962081,0.16,0.128,1
"Acaca",0.000715057938863838,0.0909716250291852,0.207,0.164,1
"Acads",2.86782153343457e-05,0.145284113376827,0.202,0.152,0.430746794321873
"Acly",0.00288167118234808,0.0731839246990205,0.216,0.177,1
"Acsl3",8.79404189370364e-05,0.104657103733454,0.138,0.098,1
"Acyp2",0.00420738032703762,0.140088007106762,0.144,0.115,1
"Adam23",0.00760653856659345,0.274394593379119,0.423,0.364,1
"Adam9",8.16800947792942e-05,0.160069427756397,0.142,0.102,1
"Adamts20",0.000156460427152052,0.0685190596144469,0.538,0.459,1
"Adamtsl1",0.000325962841168791,0.186110814149127,0.19,0.15,1
"Adcy1",1.11167985158656e-05,0.177638386749212,0.635,0.563,0.166974313708301
"Adipor2",0.00667043794776928,-0.158811923151146,0.158,0.221,1
"Afap1",0.000273718252298493,0.12140654589418,0.235,0.189,1
"Afap1l2",0.000674456962309001,0.116796913936466,0.376,0.317,1
"Agtpbp1",0.000446210804019423,0.0602053129263764,0.213,0.167,1
"Akap8l",0.0013858823280258,-0.298667215807216,0.411,0.501,1
"Aldh2",0.00190183658465027,0.149095461267071,0.135,0.105,1
"Alg14",0.000992286729895892,0.0821439627530935,0.141,0.106,1
"Alkbh1",0.00332268230177031,0.131106225373838,0.163,0.131,1
"Alkbh5",0.00463172096387619,0.0992131490727731,0.111,0.085,1
"Als2",0.000564098954487248,0.113732550578176,0.176,0.137,1
"Anapc1",0.0078006432506496,0.0367458267015643,0.253,0.213,1
"Anapc13",0.00319436648382736,-0.207408131935887,0.138,0.197,1
"Anapc2",0.00113039939210981,0.381186348445135,0.241,0.177,1
"Angptl4",3.73398669399495e-05,0.181831746142638,0.252,0.2,0.560844801438042
"Ankhd1",0.00632701746378903,0.135037729430623,0.141,0.113,1
"Ankrd13b",0.00022909008132588,0.151637160745157,0.153,0.115,1
"Ano8",0.000590398204039452,0.0878865992224308,0.14,0.105,1
"Anp32e",0.000427964118580735,-0.354998746029066,0.204,0.285,1
"Anxa3",0.000113441741765413,0.285373743199084,0.215,0.17,1
"Anxa7",0.0033891771133043,0.0756927826591132,0.281,0.237,1
"Ap1m1",0.00482264185446935,0.0754543316544509,0.172,0.14,1
"Apod",1.21064504346099e-06,0.166899928912198,0.407,0.328,0.018183888552784
"Apopt1",0.00114235289829837,0.172996700369935,0.108,0.08,1
"Appbp2",0.00043335626580141,0.0630930518649293,0.318,0.262,1
"Arfgef1",0.00154124521553892,0.0819579230241287,0.181,0.145,1
"Arglu1",0.00150548386221202,0.0814064500074902,0.823,0.759,1
"Arhgap17",0.0034124711741683,-0.000174025428499425,0.209,0.17,1
"Arhgap24",0.000701672258444475,0.0991455320582868,0.229,0.184,1
"Arhgef12",6.89345740578146e-05,0.158033532944479,0.325,0.264,1
"Arhgef17",0.000342304279232494,0.102702989288016,0.248,0.201,1
"Arhgef2",0.00293627467699614,0.140584885059648,0.15,0.12,1
"Arid5b",0.000686293315239257,0.0737803393532261,0.148,0.112,1
"Arih1",8.24065574370881e-05,0.156857223842142,0.201,0.156,1
"Arl2",0.00214567094228781,0.0939169894208793,0.163,0.128,1
"Arl2bp",0.00154385879040697,-0.287749112667478,0.191,0.263,1
"Arl3",0.00511964973552556,0.078520529107222,0.168,0.136,1
"Armc10",0.0047770573368126,-0.202515853964523,0.086,0.136,1
"Art3",1.60004328666818e-08,-0.325897539686462,0.73,0.748,0.000240326501657561
"Ascc2",0.00385662311462262,0.100117693221102,0.158,0.126,1
"Asph",0.00522569371540814,0.0621551195083996,0.275,0.234,1
"Ate1",0.00315275215794827,0.0981582540296637,0.128,0.099,1
"Atf3",0.0061999181765348,-0.413178781393785,0.157,0.206,1
"Atg13",0.00473710885722216,-0.0814969819864202,0.148,0.212,1
"Atp11b",0.00232079097791339,0.124950316450058,0.22,0.182,1
"Atp1a1",0.00492140190957708,0.145567599916678,0.246,0.208,1
"Atp2a2",9.39969576358567e-05,0.217771968080248,0.118,0.083,1
"Atp6ap1",0.00013543577665632,0.195383732743138,0.146,0.108,1
"Atp6v0a1",0.000616185237178902,0.166977610180923,0.195,0.157,1
"Atp6v1f",0.00432024844121677,-0.215596631734024,0.2,0.261,1
"Atp6v1h",0.00557249016777658,0.0935793641559146,0.15,0.121,1
"Atxn7l1",0.00310024502705998,0.047120069359543,0.273,0.229,1
"Azin1",0.00746186310470507,0.0640456754186882,0.169,0.137,1
"B2m",6.83300359750559e-05,-0.196906355331117,0.318,0.423,1
"B4galnt1",0.00244947342723496,-0.177968126937729,0.209,0.282,1
"Bbs9",0.00683909201281594,-0.322788532657377,0.069,0.106,1
"Bcar1",1.09640808632144e-05,0.127230729871291,0.108,0.07,0.16468049456548
"Bckdhb",0.0096044764985279,0.0936449299735105,0.24,0.205,1
"Bcl9",0.000343555167177039,0.199722366353133,0.162,0.125,1
"Bcl9l",0.00487871524419879,0.0793356813703762,0.143,0.114,1
"Becn1",0.00379875048949007,0.0718278913598169,0.155,0.123,1
"Birc6",0.0018143497668368,0.0599125497537856,0.267,0.222,1
"Bmp7",0.00545129513659657,0.0813375828266383,0.333,0.289,1
"Bok",0.000283069425925905,-0.271339633790583,0.318,0.421,1
"Bphl",0.00971663072627279,-0.24850054648521,0.136,0.188,1
"Brd1",0.00673462545420985,0.0998875397628269,0.167,0.137,1
"Brd2",0.00134770634637033,0.148459623340357,0.15,0.117,1
"Brd8",0.00515294907228818,0.297912755134299,0.242,0.186,1
"Brwd1",0.00231290767365275,0.0292301583420009,0.336,0.284,1
"C1s1",0.00477955478024105,-0.332150115828361,0.104,0.151,1
"C77080",0.000865565948608685,-0.418536218028736,0.095,0.149,1
"Cacnb3",3.01493184811059e-05,0.236498159143246,0.172,0.128,0.45284276358621
"Cadm3",2.47814724622143e-08,0.213338025373682,0.529,0.435,0.000372217716382458
"Cadm4",0.00311628646264306,0.0930995159103198,0.497,0.437,1
"Calm3",0.00580527983153492,-0.173760658891413,0.402,0.48,1
"Camk2d",3.35371493653306e-05,0.132840751420364,0.427,0.359,0.503727983467265
"Caml",0.00787590894501399,-0.380895866957775,0.065,0.101,1
"Capn7",0.00505725645847056,0.0658329013338159,0.154,0.123,1
"Card10",0.00277346092135924,0.161294653293046,0.141,0.112,1
"Carmil1",0.00219101707256141,0.0883517475362423,0.129,0.099,1
"Caskin2",0.00750326516051362,0.0556088359311246,0.632,0.564,1
"Castor2",0.00444434962490123,-0.184480066874354,0.198,0.266,1
"Cat",0.00467842242918774,0.0879518600169253,0.269,0.228,1
"Cavin3",0.000985117626064824,0.088353318315348,0.177,0.14,1
"Cbx2",0.00261016878049031,-0.316133458342562,0.121,0.179,1
"Cc2d1b",0.00768917021605142,0.105282027953754,0.217,0.185,1
"Ccdc159",0.00883793524574691,0.0408301857518327,0.152,0.123,1
"Ccdc186",0.00577617606874632,0.222606112534139,0.249,0.188,1
"Ccdc59",0.0084458501096143,0.050874130819486,0.261,0.222,1
"Ccdc6",0.00435090512301378,0.0127456621546584,0.232,0.195,1
"Ccdc84",8.379274353412e-06,0.158563956888976,0.258,0.197,0.125856700788248
"Ccdc9",0.00503332272106617,0.0741812988212518,0.327,0.285,1
"Ccdc93",0.000193237007872922,0.125419389257286,0.1,0.069,1
"Ccn1",0.00150339199606524,0.197634109378167,0.127,0.096,1
"Ccnt2",3.69527733629072e-05,0.122529850059927,0.3,0.239,0.555030655910865
"Ccser2",0.000827335791099177,0.0843770507573467,0.516,0.45,1
"Cd55",0.00129271062664369,0.132435698217033,0.157,0.123,1
"Cd59a",0.00475004130103229,0.0675405553623938,0.161,0.129,1
"Cd63",0.000643437808122886,0.0598869922017717,0.162,0.124,1
"Cd82",0.00339073776376605,0.100136738752433,0.42,0.369,1
"Cd9",0.00443146045546582,0.117236748455897,0.602,0.544,1
"Cdc42bpa",0.00103433505170679,0.0727269667820405,0.404,0.346,1
"Cdc42ep1",0.00965632146880102,0.0492771834787922,0.247,0.211,1
"Cdc42se2",0.000970612363830667,0.145393738659288,0.169,0.104,1
"Cdh19",9.90949926453228e-05,0.126751836693742,0.51,0.438,1
"Cdyl",0.00321859139217006,-0.0591827554157053,0.074,0.123,1
"Cebpg",0.00313050982951412,0.101335101899419,0.166,0.134,1
"Celf2",0.00616709390027678,0.141099714211957,0.768,0.717,1
"Cemip2",0.00755231985609077,0.0592995799209499,0.284,0.242,1
"Cep295nl",0.0072808238750588,0.0479529415443736,0.158,0.128,1
"Cep350",0.00193829525720553,0.113805940192494,0.173,0.138,1
"Cfap100",1.90529278946057e-13,0.178851891056904,0.945,0.902,2.86174976976977e-09
"Cggbp1",0.00108977806423721,0.312374287335488,0.275,0.202,1
"Chd1",0.000164410371794049,0.147783553310929,0.14,0.102,1
"Chd9",0.00889882746194789,0.073159737194744,0.13,0.104,1
"Chfr",0.00321489781156163,0.046376745735401,0.211,0.173,1
"Chm",6.41532388678922e-05,0.244475829738172,0.122,0.086,0.96358164779574
"Chpt1",0.0013745162786001,-0.293775675566786,0.453,0.517,1
"Chst2",0.000370664706120526,0.162565291784018,0.104,0.074,1
"Clcn4",5.24754322829952e-05,0.183758695526421,0.112,0.077,0.788180992890587
"Clip4",0.00107798224452132,0.144407859686055,0.182,0.145,1
"Clmn",0.000203991608635346,0.133627989349893,0.267,0.215,1
"Clock",0.00336917003282618,0.0427231274877072,0.101,0.075,1
"Clstn1",0.00205539964311022,0.078016109637189,0.552,0.483,1
"Cltb",0.000145728138341677,0.145314575431606,0.291,0.239,1
"Cmtr1",0.00196452700055844,0.0298825163240901,0.148,0.114,1
"Cmya5",0.00800640354446656,0.100802317975473,0.15,0.123,1
"Cnot10",0.00245080306943446,0.120722611834228,0.306,0.262,1
"Cnot2",0.00492740596106602,0.0325300364783878,0.261,0.218,1
"Cnot7",0.00223070966003167,0.129216938620674,0.105,0.078,1
"Cnot8",0.00907559303674483,0.0396393103396933,0.112,0.088,1
"Cnp",0.0030398158743563,-0.230096366481714,0.444,0.474,1
"Cntf",8.241396661102e-05,0.180444899961977,0.389,0.329,1
"Cog2",0.00695531088121409,0.102398579499355,0.167,0.137,1
"Col14a1",0.00359273574725126,0.0677312299846067,0.213,0.175,1
"Col1a1",3.21261199096029e-12,0.347238735430106,0.565,0.468,4.82534321042236e-08
"Col1a2",2.48839107290097e-07,0.175670485596967,0.676,0.58,0.00373756339149726
"Col23a1",0.000101913963159452,0.124255314560713,0.417,0.354,1
"Col24a1",5.00749254435605e-07,0.219757204304527,0.506,0.425,0.00752125380162279
"Col3a1",0.00511594582498693,0.102503682124937,0.12,0.094,1
"Col4a1",0.000306053083465906,0.302254925330328,0.481,0.399,1
"Col4a2",4.40764321177863e-05,0.0912598878234978,0.488,0.414,0.66202801040915
"Col5a1",1.27149017287908e-10,0.23200384573031,0.649,0.547,1.90977823966438e-06
"Col5a3",6.49629774379517e-10,0.198031365853164,0.805,0.722,9.75743921118035e-06
"Col9a2",0.00766153442104568,0.0602370960839231,0.202,0.169,1
"Colgalt1",0.000949831989679978,0.0405266182882269,0.21,0.167,1
"Cox14",0.00792927950440757,0.0379783937550684,0.147,0.118,1
"Cox16",0.00171366552703827,0.125525064562201,0.186,0.149,1
"Cpeb2",0.000413453595915678,0.118938045776253,0.559,0.494,1
"Crbn",0.00580876739793774,0.0722358889492791,0.1,0.076,1
"Creld1",0.00347722858576974,-0.30026070926884,0.214,0.285,1
"Crlf3",0.00521486871353719,0.00893517677694988,0.31,0.261,1
"Crtc1",0.00490779750412052,0.160240121313817,0.144,0.117,1
"Crtc3",0.00954010575486525,0.0715752355220534,0.212,0.178,1
"Cry2",0.000100306531675103,-0.415613461217829,0.076,0.135,1
"Cryab",0.000411141967834478,0.0991003257890379,0.503,0.427,1
"Cryzl1",0.0098890511502499,-0.412702578031028,0.118,0.16,1
"Csnk1d",0.00634338637572616,0.104477837268261,0.153,0.124,1
"Cst3",0.00986653416011303,0.124304380159647,0.109,0.086,1
"Ctbp1",0.00528498639999891,0.0805212325143578,0.149,0.119,1
"Ctcf",0.00399060007492538,0.322602447363292,0.112,0.07,1
"Ctnnd1",0.005581031864545,0.0385216805924993,0.352,0.302,1
"Cttnbp2",0.000376694730584894,0.11331533183468,0.474,0.416,1
"Cxxc1",0.000660279516775079,0.236545691334735,0.232,0.157,1
"Cxxc5",0.00038536632027323,0.171591820374896,0.172,0.134,1
"Cys1",0.00312374248378027,-0.276876503428612,0.102,0.153,1
"D11Wsu47e",0.00662869634559775,0.0965773478051929,0.131,0.104,1
"D8Ertd738e",0.00551837684620189,0.0643396382977603,0.102,0.078,1
"Dag1",0.00012237636633062,0.154490827186736,0.383,0.321,1
"Dbn1",1.58842379970182e-08,0.229714360671681,0.408,0.323,0.000238581254715214
"Dbp",4.59875131843711e-06,-0.542721507668237,0.12,0.206,0.0690732448029254
"Dclk2",0.000225582372264552,0.127111100004693,0.231,0.184,1
"Dcp1b",0.0058868789863092,0.0350289264154586,0.16,0.129,1
